RIFIN-B.hmm 	PF3D7_0100200 	1.4e-104 	338.0 	2.1e-58 	186.2	
RIFIN-B.hmm 	PF3D7_0832600 	0.02 	2.2 	5.3e-05 	10.7	
STEVOR1.hmm 	PF3D7_0832600 	5.5e-48 	151.6 	7.3e-48 	151.2	
RIFIN-B.hmm 	PF3D7_0832800 	1.8e-134 	436.2 	2e-134 	436.0	
STEVOR1.hmm 	PF3D7_0832800 	2.9e-15 	44.2 	5.2e-14 	40.1	
RIFIN-A.hmm 	PF3D7_0832800 	3.5e-99 	320.5 	1e-53 	171.0	
STEVOR1.hmm 	PF3D7_0832900 	1.7e-172 	560.5 	1.9e-172 	560.4	
RIFIN-B.hmm 	PF3D7_0832900 	4.6e-12 	33.9 	4.5e-10 	27.4	
RIFIN-A.hmm 	PF3D7_0832900 	6.1e-11 	30.3 	1.2e-07 	19.5	
RIFIN-A.hmm 	PF3D7_0833000 	1.4e-154 	502.6 	1.6e-154 	502.4	
RIFIN-B.hmm 	PF3D7_0833000 	4.1e-102 	329.8 	9.9e-57 	180.7	
STEVOR1.hmm 	PF3D7_0833000 	7.4e-08 	19.9 	1.4e-06 	15.7	
RIFIN-B.hmm 	PF3D7_0833100 	1.8e-109 	354.0 	5e-65 	208.0	
STEVOR1.hmm 	PF3D7_0833100 	1.8e-12 	35.0 	4.3e-08 	20.7	
RIFIN-A.hmm 	PF3D7_0833100 	9.6e-153 	496.6 	1.1e-152 	496.4	
STEVOR1.hmm 	PF3D7_0833200 	1.2e-10 	29.0 	1.7e-08 	21.9	
RIFIN-A.hmm 	PF3D7_0833200 	1.6e-99 	321.6 	2.1e-61 	196.2	
RIFIN-B.hmm 	PF3D7_0833200 	3.1e-141 	458.4 	3.5e-141 	458.2	
RIFIN-A.hmm 	PF3D7_0833400 	3.6e-148 	481.6 	4.1e-148 	481.4	
STEVOR1.hmm 	PF3D7_0833400 	5.2e-12 	33.5 	1.8e-09 	25.2	
RIFIN-B.hmm 	PF3D7_0833400 	9.1e-100 	322.1 	9.3e-53 	167.6	
RIFIN-A.hmm 	PF3D7_0900200 	3.1e-159 	517.9 	3.5e-159 	517.8	
STEVOR1.hmm 	PF3D7_0900200 	6.4e-12 	33.2 	3.8e-08 	20.8	
RIFIN-B.hmm 	PF3D7_0900200 	6.6e-107 	345.6 	1.2e-61 	196.9	
RIFIN-A.hmm 	PF3D7_0900300 	1.3e-102 	331.7 	2.9e-65 	208.9	
RIFIN-B.hmm 	PF3D7_0900300 	1.8e-143 	465.7 	2.1e-143 	465.5	
STEVOR1.hmm 	PF3D7_0900300 	2.7e-12 	34.5 	1.2e-08 	22.5	
STEVOR1.hmm 	PF3D7_0900400 	4e-14 	40.5 	4.1e-09 	24.0	
RIFIN-B.hmm 	PF3D7_0900400 	5.5e-103 	332.7 	1.5e-57 	183.4	
RIFIN-A.hmm 	PF3D7_0900400 	8.2e-148 	480.4 	9.2e-148 	480.2	
STEVOR1.hmm 	PF3D7_0900500 	3.4e-13 	37.4 	1.5e-10 	28.8	
RIFIN-A.hmm 	PF3D7_0900500 	4.1e-103 	333.4 	4.1e-66 	211.7	
RIFIN-B.hmm 	PF3D7_0900500 	5.3e-149 	483.9 	5.9e-149 	483.7	
RIFIN-B.hmm 	PF3D7_0900600 	2.9e-122 	396.1 	1.1e-70 	226.5	
STEVOR1.hmm 	PF3D7_0900600 	5.6e-12 	33.4 	6.5e-09 	23.3	
RIFIN-A.hmm 	PF3D7_0900600 	8.3e-154 	500.1 	9.3e-154 	499.9	
RIFIN-A.hmm 	PF3D7_0900700 	1.2e-157 	512.7 	1.3e-157 	512.6	
RIFIN-B.hmm 	PF3D7_0900700 	1.7e-117 	380.4 	1.3e-66 	213.1	
STEVOR1.hmm 	PF3D7_0900700 	4.2e-14 	40.4 	1.3e-09 	25.6	
RIFIN-A.hmm 	PF3D7_0900900 	1.1e-10 	29.4 	1e-07 	19.7	
RIFIN-B.hmm 	PF3D7_0900900 	1.5e-11 	32.3 	3.2e-09 	24.6	
STEVOR1.hmm 	PF3D7_0900900 	2.1e-171 	556.9 	2.4e-171 	556.8	
RIFIN-B.hmm 	PF3D7_0901000 	3.4e-131 	425.4 	3.8e-131 	425.2	
STEVOR1.hmm 	PF3D7_0901000 	3.4e-15 	44.0 	1.7e-10 	28.5	
RIFIN-A.hmm 	PF3D7_0901000 	6.8e-93 	299.8 	7.2e-51 	161.6	
STEVOR1.hmm 	PF3D7_0901100 	2.1e-06 	15.1 	1.1e-05 	12.7	
RIFIN-A.hmm 	PF3D7_0901100 	7e-120 	388.5 	7.9e-120 	388.4	
RIFIN-B.hmm 	PF3D7_0901100 	8.7e-90 	289.3 	4e-54 	172.1	
RIFIN-B.hmm 	PF3D7_0901300 	1e-101 	328.5 	2.3e-57 	182.8	
RIFIN-A.hmm 	PF3D7_0901300 	2.6e-156 	508.4 	2.9e-156 	508.2	
STEVOR1.hmm 	PF3D7_0901300 	6.1e-11 	30.0 	1.4e-07 	18.9	
STEVOR1.hmm 	PF3D7_0901400 	1.1e-20 	62.0 	4.5e-17 	50.1	
RIFIN-A.hmm 	PF3D7_0901400 	4.3e-134 	435.3 	4.9e-134 	435.1	
RIFIN-B.hmm 	PF3D7_0901400 	8.7e-102 	328.8 	8.6e-56 	177.6	
RIFIN-A.hmm 	PF3D7_0901500 	1.1e-148 	483.3 	1.2e-148 	483.1	
RIFIN-B.hmm 	PF3D7_0901500 	3.1e-106 	343.4 	2e-59 	189.5	
STEVOR1.hmm 	PF3D7_0901500 	3.1e-15 	44.1 	5.8e-12 	33.4	
RIFIN-B.hmm 	PF3D7_0901600 	1.1e-13 	39.3 	2e-12 	35.1	
STEVOR1.hmm 	PF3D7_0901600 	1.7e-167 	544.1 	1.9e-167 	543.9	
RIFIN-A.hmm 	PF3D7_0901600 	2.2e-12 	35.0 	7.2e-11 	30.1	
RIFIN-B.hmm 	PF3D7_0937300 	1.7e-90 	291.6 	3.7e-52 	165.7	
RIFIN-A.hmm 	PF3D7_0937300 	2.2e-123 	400.1 	2.6e-123 	399.8	
STEVOR1.hmm 	PF3D7_0937300 	4.2e-09 	24.0 	8.6e-07 	16.4	
RIFIN-A.hmm 	PF3D7_0937400 	1.4e-92 	298.7 	9.1e-57 	181.0	
STEVOR1.hmm 	PF3D7_0937400 	2e-09 	25.0 	2.1e-08 	21.6	
RIFIN-B.hmm 	PF3D7_0937400 	3.2e-131 	425.5 	3.6e-131 	425.3	
STEVOR1.hmm 	PF3D7_0937500 	1.4e-10 	28.8 	2e-07 	18.5	
RIFIN-A.hmm 	PF3D7_0937500 	1e-156 	509.7 	1.1e-156 	509.5	
RIFIN-B.hmm 	PF3D7_0937500 	6.2e-105 	339.1 	3.9e-58 	185.3	
RIFIN-A.hmm 	PF3D7_0937700 	1.1e-159 	519.4 	1.2e-159 	519.3	
RIFIN-B.hmm 	PF3D7_0937700 	3.6e-115 	372.7 	9.6e-66 	210.3	
STEVOR1.hmm 	PF3D7_0937700 	4.9e-11 	30.3 	4.4e-09 	23.9	
RIFIN-A.hmm 	PF3D7_1000200 	1.3e-157 	512.6 	1.5e-157 	512.4	
STEVOR1.hmm 	PF3D7_1000200 	7.1e-12 	33.1 	6.4e-09 	23.4	
RIFIN-B.hmm 	PF3D7_1000200 	7.6e-112 	361.8 	3.4e-65 	208.5	
STEVOR1.hmm 	PF3D7_1000300 	1.2e-13 	38.9 	5.9e-09 	23.5	
RIFIN-B.hmm 	PF3D7_1000300 	1.3e-153 	499.1 	1.4e-153 	498.9	
RIFIN-A.hmm 	PF3D7_1000300 	3.9e-103 	333.5 	2.8e-61 	195.8	
STEVOR1.hmm 	PF3D7_1000400 	1.1e-07 	19.4 	7.9e-07 	16.5	
RIFIN-B.hmm 	PF3D7_1000400 	1.8e-105 	340.8 	3.7e-61 	195.3	
RIFIN-A.hmm 	PF3D7_1000400 	8e-154 	500.2 	8.9e-154 	500.0	
RIFIN-B.hmm 	PF3D7_1000500 	1e-101 	328.5 	4.3e-59 	188.5	
STEVOR1.hmm 	PF3D7_1000500 	2.2e-10 	28.2 	1.5e-08 	22.2	
RIFIN-A.hmm 	PF3D7_1000500 	2.3e-152 	495.3 	2.6e-152 	495.2	
RIFIN-B.hmm 	PF3D7_1000600 	1.5e-143 	466.0 	1.7e-143 	465.8	
RIFIN-A.hmm 	PF3D7_1000600 	3.3e-98 	317.3 	7.4e-60 	191.2	
STEVOR1.hmm 	PF3D7_1000600 	4.1e-13 	37.2 	1.1e-09 	25.8	
RIFIN-A.hmm 	PF3D7_1040000 	6.7e-140 	454.4 	7.5e-140 	454.2	
STEVOR1.hmm 	PF3D7_1040000 	8.8e-17 	49.2 	3.1e-10 	27.7	
RIFIN-B.hmm 	PF3D7_1040000 	9.7e-102 	328.6 	5.4e-55 	175.0	
RIFIN-B.hmm 	PF3D7_1040100 	1.1e-131 	426.9 	1.3e-131 	426.7	
RIFIN-A.hmm 	PF3D7_1040100 	3.9e-91 	294.0 	1.3e-48 	154.2	
STEVOR1.hmm 	PF3D7_1040100 	5.6e-14 	40.0 	5.2e-10 	26.9	
RIFIN-B.hmm 	PF3D7_1040200 	1.1e-13 	39.2 	4.8e-12 	33.8	
RIFIN-A.hmm 	PF3D7_1040200 	1.1e-14 	42.6 	2e-10 	28.6	
STEVOR1.hmm 	PF3D7_1040200 	2.1e-167 	543.8 	2.3e-167 	543.7	
RIFIN-A.hmm 	PF3D7_1040300 	3e-152 	495.0 	3.4e-152 	494.8	
STEVOR1.hmm 	PF3D7_1040300 	6.8e-14 	39.7 	2.5e-10 	28.0	
RIFIN-B.hmm 	PF3D7_1040300 	8.4e-101 	325.5 	1.8e-56 	179.8	
RIFIN-B.hmm 	PF3D7_1040400 	1.3e-149 	485.9 	1.5e-149 	485.7	
RIFIN-A.hmm 	PF3D7_1040400 	1.4e-103 	335.0 	4.7e-61 	195.1	
STEVOR1.hmm 	PF3D7_1040400 	3.3e-13 	37.4 	1.4e-09 	25.5	
STEVOR1.hmm 	PF3D7_1040500 	1.1e-12 	35.7 	1.8e-10 	28.5	
RIFIN-B.hmm 	PF3D7_1040500 	3e-96 	310.6 	2.3e-51 	163.1	
RIFIN-A.hmm 	PF3D7_1040500 	4.7e-147 	477.9 	5.3e-147 	477.7	
RIFIN-B.hmm 	PF3D7_1040600 	1.1e-141 	459.9 	1.2e-141 	459.7	
STEVOR1.hmm 	PF3D7_1040600 	6.3e-17 	49.7 	3.1e-10 	27.7	
RIFIN-A.hmm 	PF3D7_1040600 	8.3e-98 	315.9 	5.9e-59 	188.2	
STEVOR1.hmm 	PF3D7_1040700 	1.2e-09 	25.7 	4.7e-08 	20.5	
RIFIN-B.hmm 	PF3D7_1040700 	2.9e-115 	373.0 	2.4e-72 	232.0	
RIFIN-A.hmm 	PF3D7_1040700 	6.8e-154 	500.4 	7.6e-154 	500.2	
RIFIN-B.hmm 	PF3D7_1040800 	1.6e-126 	410.1 	1.8e-126 	409.9	
RIFIN-A.hmm 	PF3D7_1040800 	2.3e-85 	275.0 	4.4e-46 	145.9	
STEVOR1.hmm 	PF3D7_1040800 	2.8e-13 	37.7 	4.2e-11 	30.5	
RIFIN-B.hmm 	PF3D7_1040900 	1.2e-137 	446.6 	1.4e-137 	446.4	
STEVOR1.hmm 	PF3D7_1040900 	5.2e-14 	40.1 	2.1e-09 	24.9	
RIFIN-A.hmm 	PF3D7_1040900 	8.7e-96 	309.3 	5.1e-57 	181.8	
RIFIN-A.hmm 	PF3D7_1041000 	1.4e-148 	482.9 	1.6e-148 	482.7	
RIFIN-B.hmm 	PF3D7_1041000 	2.2e-125 	406.3 	7e-67 	214.1	
STEVOR1.hmm 	PF3D7_1041000 	3e-13 	37.6 	1e-08 	22.7	
RIFIN-B.hmm 	PF3D7_1041100 	2.9e-149 	484.8 	3.2e-149 	484.6	
STEVOR1.hmm 	PF3D7_1041100 	6.3e-10 	26.7 	5.7e-07 	17.0	
RIFIN-A.hmm 	PF3D7_1041100 	8.1e-102 	329.1 	1.6e-62 	199.9	
RIFIN-B.hmm 	PF3D7_1041200 	4.5e-104 	336.3 	7e-62 	197.6	
STEVOR1.hmm 	PF3D7_1041200 	8.5e-12 	32.8 	6.4e-08 	20.1	
RIFIN-A.hmm 	PF3D7_1041200 	9.8e-151 	490.0 	1.1e-150 	489.8	
RIFIN-A.hmm 	PF3D7_1100300 	2.2e-148 	482.2 	2.5e-148 	482.1	
RIFIN-B.hmm 	PF3D7_1100300 	2.5e-103 	333.8 	5.1e-57 	181.6	
STEVOR1.hmm 	PF3D7_1100300 	7.5e-10 	26.4 	3e-08 	21.2	
STEVOR1.hmm 	PF3D7_1100400 	2.3e-16 	47.8 	1.9e-15 	44.8	
RIFIN-A.hmm 	PF3D7_1100400 	3.1e-124 	402.9 	3.7e-124 	402.6	
RIFIN-B.hmm 	PF3D7_1100400 	5.1e-81 	260.5 	2.6e-47 	149.7	
RIFIN-B.hmm 	PF3D7_1100500 	1.2e-97 	315.2 	7.6e-61 	194.2	
RIFIN-A.hmm 	PF3D7_1100500 	1.7e-111 	361.0 	1.9e-111 	360.8	
STEVOR1.hmm 	PF3D7_1100500 	6.3e-16 	46.4 	2.2e-10 	28.1	
RIFIN-A.hmm 	PF3D7_1101100 	1.1e-148 	483.2 	1.2e-148 	483.1	
RIFIN-B.hmm 	PF3D7_1101100 	1.5e-103 	334.6 	4.8e-56 	178.4	
STEVOR1.hmm 	PF3D7_1101100 	3.3e-12 	34.1 	2.7e-08 	21.3	
RIFIN-B.hmm 	PF3D7_1101200 	2.9e-140 	455.2 	3.3e-140 	455.0	
STEVOR1.hmm 	PF3D7_1101200 	5.7e-13 	36.7 	1.3e-10 	28.9	
RIFIN-A.hmm 	PF3D7_1101200 	6.2e-98 	316.4 	1.6e-61 	196.6	
RIFIN-A.hmm 	PF3D7_1101300 	1.7e-132 	430.0 	1.9e-132 	429.8	
RIFIN-B.hmm 	PF3D7_1101300 	3.7e-95 	307.0 	1e-52 	167.5	
STEVOR1.hmm 	PF3D7_1101300 	9.3e-14 	39.3 	1.7e-08 	22.0	
STEVOR1.hmm 	PF3D7_1149800 	2e-10 	28.3 	6.9e-08 	20.0	
RIFIN-B.hmm 	PF3D7_1149800 	4.1e-134 	435.0 	4.6e-134 	434.8	
RIFIN-A.hmm 	PF3D7_1149800 	8.3e-97 	312.7 	2.2e-55 	176.4	
RIFIN-B.hmm 	PF3D7_1149900 	2.1e-13 	38.3 	1.3e-10 	29.2	
STEVOR1.hmm 	PF3D7_1149900 	2.4e-167 	543.6 	2.7e-167 	543.4	
RIFIN-A.hmm 	PF3D7_1149900 	3.2e-09 	24.7 	3.2e-09 	24.7	
RIFIN-B.hmm 	PF3D7_1150000 	1.9e-109 	353.9 	8.4e-63 	200.6	
STEVOR1.hmm 	PF3D7_1150000 	1.9e-14 	41.5 	1.6e-10 	28.7	
RIFIN-A.hmm 	PF3D7_1150000 	9.1e-144 	467.1 	1e-143 	466.9	
STEVOR1.hmm 	PF3D7_1150200 	2.1e-13 	38.1 	6.2e-12 	33.3	
RIFIN-A.hmm 	PF3D7_1150200 	3.7e-138 	448.7 	4.1e-138 	448.5	
RIFIN-B.hmm 	PF3D7_1150200 	3.9e-99 	320.0 	1.2e-51 	164.0	
RIFIN-A.hmm 	PF3D7_1150300 	1.3e-146 	476.4 	1.5e-146 	476.2	
STEVOR1.hmm 	PF3D7_1150300 	3.7e-12 	34.0 	2.5e-08 	21.4	
RIFIN-B.hmm 	PF3D7_1150300 	6.9e-102 	329.1 	3.7e-58 	185.4	
RIFIN-A.hmm 	PF3D7_1200200 	1.3e-160 	522.5 	1.4e-160 	522.3	
STEVOR1.hmm 	PF3D7_1200200 	1.9e-15 	44.8 	1.8e-10 	28.4	
RIFIN-B.hmm 	PF3D7_1200200 	5.8e-108 	349.1 	1.2e-61 	196.9	
STEVOR1.hmm 	PF3D7_1200300 	1.3e-13 	38.7 	2.8e-09 	24.6	
RIFIN-A.hmm 	PF3D7_1200300 	3.6e-97 	313.9 	4.6e-58 	185.3	
RIFIN-B.hmm 	PF3D7_1200300 	8.6e-144 	466.8 	9.8e-144 	466.6	
RIFIN-B.hmm 	PF3D7_1200500 	1.2e-106 	344.7 	3e-55 	175.8	
RIFIN-A.hmm 	PF3D7_1200500 	2.2e-151 	492.1 	2.5e-151 	491.9	
STEVOR1.hmm 	PF3D7_1200500 	4.7e-10 	27.1 	1.1e-07 	19.3	
STEVOR1.hmm 	PF3D7_1253700 	1.4e-12 	35.4 	1.2e-09 	25.8	
RIFIN-A.hmm 	PF3D7_1253700 	2.2e-97 	314.5 	2.8e-97 	314.2	
RIFIN-B.hmm 	PF3D7_1253700 	7.3e-78 	250.1 	1.1e-42 	134.5	
RIFIN-B.hmm 	PF3D7_1254000 	1.2e-147 	479.4 	1.4e-147 	479.3	
STEVOR1.hmm 	PF3D7_1254000 	1.6e-14 	41.7 	1.1e-08 	22.6	
RIFIN-A.hmm 	PF3D7_1254000 	6.3e-105 	339.4 	7.2e-62 	197.8	
RIFIN-B.hmm 	PF3D7_1254100 	1.4e-11 	32.4 	2e-10 	28.5	
STEVOR1.hmm 	PF3D7_1254100 	2.8e-166 	540.1 	3.1e-166 	540.0	
RIFIN-A.hmm 	PF3D7_1254100 	4.4e-12 	34.0 	1.1e-10 	29.5	
STEVOR1.hmm 	PF3D7_1254200 	1e-13 	39.1 	1.3e-08 	22.4	
RIFIN-B.hmm 	PF3D7_1254200 	4.6e-102 	329.7 	3.7e-57 	182.1	
RIFIN-A.hmm 	PF3D7_1254200 	7.7e-151 	490.3 	8.6e-151 	490.2	
RIFIN-B.hmm 	PF3D7_1254300 	2.7e-14 	41.3 	2.9e-13 	37.9	
STEVOR1.hmm 	PF3D7_1254300 	5.3e-163 	529.4 	5.9e-163 	529.2	
RIFIN-A.hmm 	PF3D7_1254300 	8.7e-11 	29.8 	8.7e-11 	29.8	
STEVOR1.hmm 	PF3D7_1254400 	3.1e-13 	37.5 	1.9e-09 	25.1	
RIFIN-A.hmm 	PF3D7_1254400 	5.5e-150 	487.5 	6.2e-150 	487.4	
RIFIN-B.hmm 	PF3D7_1254400 	6.5e-114 	368.6 	1.7e-65 	209.5	
RIFIN-B.hmm 	PF3D7_1254500 	1.2e-120 	390.8 	1.3e-120 	390.6	
STEVOR1.hmm 	PF3D7_1254500 	3.2e-11 	30.9 	1.1e-07 	19.4	
RIFIN-A.hmm 	PF3D7_1254500 	4.5e-94 	303.7 	4.2e-53 	168.9	
RIFIN-B.hmm 	PF3D7_1254600 	2.6e-11 	31.4 	2.9e-11 	31.3	
STEVOR1.hmm 	PF3D7_1254600 	6.8e-166 	538.8 	7.6e-166 	538.7	
RIFIN-A.hmm 	PF3D7_1254600 	9e-10 	26.5 	1.1e-09 	26.1	
RIFIN-A.hmm 	PF3D7_1254700 	2.9e-139 	452.3 	3.3e-139 	452.1	
STEVOR1.hmm 	PF3D7_1254700 	4e-13 	37.2 	3.4e-09 	24.3	
RIFIN-B.hmm 	PF3D7_1254700 	5e-92 	296.7 	4.7e-49 	155.5	
STEVOR1.hmm 	PF3D7_1254800 	1.5e-14 	41.9 	5.4e-10 	26.9	
RIFIN-A.hmm 	PF3D7_1254800 	3.1e-130 	422.6 	7.4e-130 	421.3	
RIFIN-B.hmm 	PF3D7_1254800 	7.5e-91 	292.8 	7.4e-51 	161.4	
RIFIN-A.hmm 	PF3D7_1255000 	2.2e-103 	334.3 	7.5e-64 	204.3	
STEVOR1.hmm 	PF3D7_1255000 	2e-15 	44.7 	5.4e-10 	26.9	
RIFIN-B.hmm 	PF3D7_1255000 	5.9e-153 	496.9 	6.6e-153 	496.7	
RIFIN-B.hmm 	PF3D7_1255100 	2.3e-95 	307.6 	6.3e-52 	164.9	
RIFIN-A.hmm 	PF3D7_1255100 	7.8e-145 	470.6 	8.8e-145 	470.4	
STEVOR1.hmm 	PF3D7_1255100 	9.6e-10 	26.1 	1.4e-06 	15.7	
STEVOR1.hmm 	PF3D7_1300200 	3.8e-12 	34.0 	2.4e-08 	21.5	
RIFIN-B.hmm 	PF3D7_1300200 	4.4e-100 	323.2 	6.2e-52 	164.9	
RIFIN-A.hmm 	PF3D7_1300200 	4.5e-147 	478.0 	5e-147 	477.8	
STEVOR1.hmm 	PF3D7_1300400 	2.3e-13 	37.9 	2.2e-08 	21.6	
RIFIN-A.hmm 	PF3D7_1300400 	2.5e-147 	478.8 	2.8e-147 	478.6	
RIFIN-B.hmm 	PF3D7_1300400 	2.9e-103 	333.6 	2.3e-58 	186.1	
RIFIN-A.hmm 	PF3D7_1300500 	1.6e-128 	416.9 	2e-128 	416.7	
STEVOR1.hmm 	PF3D7_1300500 	2.4e-19 	57.6 	5.7e-13 	36.7	
RIFIN-B.hmm 	PF3D7_1300500 	2e-92 	298.0 	1.3e-48 	154.0	
STEVOR1.hmm 	PF3D7_1300600 	3.1e-14 	40.8 	1.6e-09 	25.4	
RIFIN-B.hmm 	PF3D7_1300600 	6.5e-155 	503.3 	7.3e-155 	503.2	
RIFIN-A.hmm 	PF3D7_1300600 	6.8e-105 	339.3 	2.5e-68 	219.0	
RIFIN-B.hmm 	PF3D7_1300700 	1e-107 	348.2 	3.2e-60 	192.2	
RIFIN-A.hmm 	PF3D7_1300700 	2.7e-154 	501.7 	3e-154 	501.6	
STEVOR1.hmm 	PF3D7_1300700 	2e-12 	34.9 	5.9e-09 	23.5	
RIFIN-B.hmm 	PF3D7_1300900 	1.3e-16 	48.9 	1.1e-13 	39.3	
RIFIN-A.hmm 	PF3D7_1300900 	1.9e-14 	41.8 	1.4e-12 	35.7	
STEVOR1.hmm 	PF3D7_1300900 	4.6e-167 	542.7 	5.1e-167 	542.5	
RIFIN-B.hmm 	PF3D7_1372600 	3.1e-100 	323.6 	3.7e-100 	323.4	
STEVOR1.hmm 	PF3D7_1372600 	7e-06 	13.4 	0.00034 	7.8	
RIFIN-A.hmm 	PF3D7_1372600 	9.1e-69 	220.5 	1.9e-40 	127.3	
RIFIN-B.hmm 	PF3D7_1372700 	1.4e-103 	334.6 	1.2e-53 	170.6	
STEVOR1.hmm 	PF3D7_1372700 	3.8e-09 	24.1 	9.2e-07 	16.3	
RIFIN-A.hmm 	PF3D7_1372700 	8.4e-149 	483.6 	9.5e-149 	483.5	
RIFIN-B.hmm 	PF3D7_1372800 	1.3e-10 	29.1 	1.4e-09 	25.8	
STEVOR1.hmm 	PF3D7_1372800 	2.3e-169 	550.3 	2.6e-169 	550.1	
RIFIN-A.hmm 	PF3D7_1372800 	3.6e-09 	24.5 	1.6e-08 	22.4	
RIFIN-B.hmm 	PF3D7_1373000 	1.9e-98 	317.8 	3.2e-51 	162.6	
STEVOR1.hmm 	PF3D7_1373000 	5.2e-10 	26.9 	6.9e-09 	23.3	
RIFIN-A.hmm 	PF3D7_1373000 	9.6e-140 	453.9 	1.1e-139 	453.7	
RIFIN-B.hmm 	PF3D7_1373100 	1e-103 	335.1 	6.7e-59 	187.8	
STEVOR1.hmm 	PF3D7_1373100 	2.2e-12 	34.7 	3.8e-11 	30.7	
RIFIN-A.hmm 	PF3D7_1373100 	9.4e-137 	444.0 	1.1e-136 	443.9	
RIFIN-A.hmm 	PF3D7_1373300 	1.7e-94 	305.0 	2.9e-59 	189.2	
STEVOR1.hmm 	PF3D7_1373300 	2.1e-14 	41.3 	8.6e-10 	26.2	
RIFIN-B.hmm 	PF3D7_1373300 	9.7e-133 	430.5 	1.1e-132 	430.3	
RIFIN-A.hmm 	PF3D7_1373400 	1.5e-161 	525.6 	1.7e-161 	525.4	
RIFIN-B.hmm 	PF3D7_1373400 	1.7e-118 	383.7 	3e-68 	218.5	
STEVOR1.hmm 	PF3D7_1373400 	8.4e-10 	26.3 	5.4e-07 	17.1	
RIFIN-B.hmm 	PF3D7_1400200 	2.2e-110 	357.0 	1e-62 	200.4	
RIFIN-A.hmm 	PF3D7_1400200 	2.2e-150 	488.8 	2.5e-150 	488.7	
STEVOR1.hmm 	PF3D7_1400200 	7e-10 	26.5 	1.1e-07 	19.3	
STEVOR1.hmm 	PF3D7_1400300 	1.3e-12 	35.5 	9.4e-09 	22.8	
RIFIN-A.hmm 	PF3D7_1400300 	4.9e-101 	326.6 	1.7e-63 	203.2	
RIFIN-B.hmm 	PF3D7_1400300 	6.4e-149 	483.6 	7.2e-149 	483.5	
STEVOR1.hmm 	PF3D7_1400400 	1.3e-11 	32.2 	6.6e-09 	23.3	
RIFIN-B.hmm 	PF3D7_1400400 	2e-104 	337.5 	7.9e-61 	194.2	
RIFIN-A.hmm 	PF3D7_1400400 	3.2e-142 	462.0 	3.6e-142 	461.8	
STEVOR1.hmm 	PF3D7_1400500 	1.6e-15 	45.0 	5.2e-12 	33.5	
RIFIN-A.hmm 	PF3D7_1400500 	2.5e-105 	340.7 	1.8e-62 	199.8	
RIFIN-B.hmm 	PF3D7_1400500 	7.3e-139 	450.6 	8.2e-139 	450.4	
STEVOR1.hmm 	PF3D7_1400600 	7.9e-10 	26.3 	4.5e-09 	23.9	
RIFIN-A.hmm 	PF3D7_1400600 	7e-152 	493.8 	7.8e-152 	493.6	
RIFIN-B.hmm 	PF3D7_1400600 	8.1e-103 	332.1 	4.8e-58 	185.0	
RIFIN-B.hmm 	PF3D7_1400700 	1.1e-11 	32.7 	6.2e-09 	23.6	
RIFIN-A.hmm 	PF3D7_1400700 	1.2e-09 	26.1 	4.1e-07 	17.7	
STEVOR1.hmm 	PF3D7_1400700 	7.3e-164 	532.2 	8.9e-164 	531.9	
RIFIN-A.hmm 	PF3D7_1400800 	1.4e-94 	305.3 	2e-52 	166.7	
RIFIN-B.hmm 	PF3D7_1400800 	2.6e-143 	465.2 	2.9e-143 	465.1	
STEVOR1.hmm 	PF3D7_1400800 	5.6e-16 	46.5 	1.8e-11 	31.7	
RIFIN-A.hmm 	PF3D7_1479400 	1.8e-96 	311.6 	2.3e-59 	189.5	
RIFIN-B.hmm 	PF3D7_1479400 	2.1e-137 	445.8 	2.4e-137 	445.6	
STEVOR1.hmm 	PF3D7_1479400 	5.7e-11 	30.1 	1.8e-07 	18.6	
STEVOR1.hmm 	PF3D7_1479500 	1e-168 	548.2 	1.1e-168 	548.0	
RIFIN-B.hmm 	PF3D7_1479500 	2.8e-15 	44.5 	2.9e-12 	34.6	
RIFIN-A.hmm 	PF3D7_1479500 	4.4e-13 	37.4 	6.7e-11 	30.1	
RIFIN-A.hmm 	PF3D7_1479600 	5e-105 	339.7 	1.5e-60 	193.4	
RIFIN-B.hmm 	PF3D7_1479600 	5e-142 	461.0 	5.6e-142 	460.8	
STEVOR1.hmm 	PF3D7_1479600 	8.2e-18 	52.6 	6.2e-14 	39.8	
RIFIN-A.hmm 	PF3D7_1479700 	1.3e-143 	466.6 	1.5e-143 	466.4	
STEVOR1.hmm 	PF3D7_1479700 	2.1e-05 	11.8 	9.7e-06 	12.9	
RIFIN-B.hmm 	PF3D7_1479700 	3e-98 	317.1 	2.3e-53 	169.6	
STEVOR1.hmm 	PF3D7_1479800 	1.3e-16 	48.7 	1.5e-11 	32.0	
RIFIN-B.hmm 	PF3D7_1479800 	2.3e-150 	488.4 	2.6e-150 	488.2	
RIFIN-A.hmm 	PF3D7_1479800 	3.1e-104 	337.1 	2.6e-64 	205.8	
RIFIN-A.hmm 	PF3D7_1479900 	1.8e-12 	35.3 	3.8e-11 	31.0	
STEVOR1.hmm 	PF3D7_1479900 	2.1e-172 	560.2 	2.3e-172 	560.1	
RIFIN-B.hmm 	PF3D7_1479900 	3.5e-13 	37.6 	2.6e-11 	31.5	
STEVOR1.hmm 	PF3D7_1480000 	2.1e-08 	21.7 	2.1e-08 	21.7	
RIFIN-B.hmm 	PF3D7_1480000 	4.9e-98 	316.4 	1.6e-54 	173.4	
