RIFIN-B.hmm 	PfGA01_000005900 	1.1e-12 	36.0 	1.9e-12 	35.2	
RIFIN-B.hmm 	PfGA01_070035000 	8.8e-99 	318.9 	3e-51 	162.7	
RIFIN-A.hmm 	PfGA01_070035700 	1.5e-95 	308.5 	7.5e-52 	164.8	
STEVOR1.hmm 	PfGA01_070035700 	1.8e-11 	31.8 	2.6e-08 	21.4	
RIFIN-B.hmm 	PfGA01_070035700 	5.8e-142 	460.8 	6.5e-142 	460.6	
RIFIN-B.hmm 	PfGA01_070035800 	2e-93 	301.3 	1e-51 	164.2	
STEVOR1.hmm 	PfGA01_070035800 	3e-09 	24.4 	4.3e-07 	17.4	
RIFIN-A.hmm 	PfGA01_070035800 	6.1e-148 	480.8 	6.8e-148 	480.6	
RIFIN-B.hmm 	PfGA01_070035900 	3.3e-92 	297.3 	1e-51 	164.2	
RIFIN-A.hmm 	PfGA01_070035900 	8.5e-135 	437.6 	9.5e-135 	437.4	
STEVOR1.hmm 	PfGA01_070035900 	9.3e-13 	36.0 	5.1e-09 	23.7	
STEVOR1.hmm 	PfGA01_070036000 	2.3e-12 	34.7 	1.6e-08 	22.1	
RIFIN-B.hmm 	PfGA01_070036000 	2e-145 	472.2 	2.2e-145 	472.0	
RIFIN-A.hmm 	PfGA01_070036000 	9.5e-95 	305.9 	4e-56 	178.9	
RIFIN-B.hmm 	PfGA01_070036100 	2.7e-105 	340.3 	1.5e-60 	193.3	
RIFIN-A.hmm 	PfGA01_070036100 	2.8e-153 	498.4 	3.1e-153 	498.2	
STEVOR1.hmm 	PfGA01_070036100 	6.8e-11 	29.8 	7.8e-08 	19.8	
STEVOR1.hmm 	PfGA01_070036200 	1.5e-10 	28.8 	1.7e-08 	22.0	
RIFIN-B.hmm 	PfGA01_070036200 	1.8e-142 	462.5 	2.1e-142 	462.3	
RIFIN-A.hmm 	PfGA01_070036200 	2.1e-93 	301.5 	1.1e-56 	180.7	
RIFIN-A.hmm 	PfGA01_070036300 	2.4e-159 	518.3 	2.7e-159 	518.1	
RIFIN-B.hmm 	PfGA01_070036300 	3.1e-114 	369.7 	3.7e-66 	211.7	
STEVOR1.hmm 	PfGA01_070036300 	5.9e-15 	43.2 	2.9e-11 	31.1	
RIFIN-A.hmm 	PfGA01_080012600 	1.4e-66 	213.2 	1.9e-66 	212.8	
RIFIN-B.hmm 	PfGA01_080012600 	8.3e-47 	148.1 	2.6e-39 	123.4	
STEVOR1.hmm 	PfGA01_080035400 	6.1e-83 	266.4 	2.6e-82 	264.4	
RIFIN-B.hmm 	PfGA01_080035600 	1.5e-136 	443.0 	1.7e-136 	442.8	
STEVOR1.hmm 	PfGA01_080035600 	4.2e-12 	33.8 	6.6e-11 	29.9	
RIFIN-A.hmm 	PfGA01_080035600 	8.4e-98 	315.9 	1.4e-53 	170.5	
RIFIN-B.hmm 	PfGA01_080035700 	3.8e-13 	37.5 	6.9e-11 	30.1	
STEVOR1.hmm 	PfGA01_080035700 	3e-170 	553.1 	3.4e-170 	553.0	
RIFIN-A.hmm 	PfGA01_080035700 	9.3e-10 	26.4 	1.2e-09 	26.1	
STEVOR1.hmm 	PfGA01_080035800 	1.8e-17 	51.4 	9.5e-13 	35.9	
RIFIN-A.hmm 	PfGA01_080035800 	1.9e-144 	469.3 	2.2e-144 	469.1	
RIFIN-B.hmm 	PfGA01_080035800 	3.3e-106 	343.3 	2.9e-55 	175.9	
STEVOR1.hmm 	PfGA01_080035900 	3.9e-15 	43.8 	8.8e-10 	26.2	
RIFIN-B.hmm 	PfGA01_080035900 	4.7e-101 	326.3 	1.5e-53 	170.3	
RIFIN-A.hmm 	PfGA01_080035900 	9.2e-144 	467.1 	1e-143 	466.9	
RIFIN-B.hmm 	PfGA01_080036100 	1.3e-143 	466.2 	1.4e-143 	466.1	
RIFIN-A.hmm 	PfGA01_080036100 	3.2e-97 	314.0 	1.7e-55 	176.8	
STEVOR1.hmm 	PfGA01_080036100 	6.2e-11 	30.0 	1.2e-07 	19.1	
RIFIN-A.hmm 	PfGA01_080036200 	1.5e-151 	492.6 	1.7e-151 	492.5	
RIFIN-B.hmm 	PfGA01_080036200 	6e-103 	332.6 	4.6e-55 	175.2	
STEVOR1.hmm 	PfGA01_080036200 	9.9e-11 	29.3 	3e-07 	17.9	
RIFIN-A.hmm 	PfGA01_080036300 	1.3e-99 	321.9 	1.2e-53 	170.8	
RIFIN-B.hmm 	PfGA01_080036300 	1.7e-137 	446.1 	1.9e-137 	445.9	
STEVOR1.hmm 	PfGA01_080036300 	3.7e-11 	30.7 	5.5e-08 	20.3	
STEVOR1.hmm 	PfGA01_080036400 	2.7e-158 	513.9 	3e-158 	513.7	
RIFIN-A.hmm 	PfGA01_080036400 	3.2e-16 	47.7 	1.9e-13 	38.5	
RIFIN-B.hmm 	PfGA01_080036400 	7.4e-17 	49.7 	3.4e-13 	37.7	
RIFIN-B.hmm 	PfGA01_080036600 	1.3e-99 	321.6 	2.6e-53 	169.5	
RIFIN-A.hmm 	PfGA01_080036600 	2.2e-150 	488.8 	2.5e-150 	488.7	
STEVOR1.hmm 	PfGA01_080036600 	6.1e-09 	23.4 	3.3e-07 	17.7	
RIFIN-A.hmm 	PfGA01_080036700 	1.6e-147 	479.4 	1.8e-147 	479.3	
STEVOR1.hmm 	PfGA01_080036700 	2.3e-15 	44.5 	1.2e-10 	29.0	
RIFIN-B.hmm 	PfGA01_080036700 	2.7e-126 	409.3 	2.2e-66 	212.4	
RIFIN-B.hmm 	PfGA01_080036800 	4.1e-116 	375.8 	3.2e-66 	211.9	
STEVOR1.hmm 	PfGA01_080036800 	5.9e-12 	33.3 	9.3e-09 	22.8	
RIFIN-A.hmm 	PfGA01_080036800 	6.8e-163 	530.0 	7.7e-163 	529.8	
RIFIN-B.hmm 	PfGA01_090005400 	4.4e-103 	333.0 	6.4e-54 	171.5	
STEVOR1.hmm 	PfGA01_090005400 	5.7e-11 	30.1 	1.5e-07 	18.9	
RIFIN-A.hmm 	PfGA01_090005400 	8.1e-156 	506.7 	9.1e-156 	506.5	
STEVOR1.hmm 	PfGA01_090005600 	2.1e-12 	34.8 	3.8e-08 	20.8	
RIFIN-A.hmm 	PfGA01_090005600 	2e-146 	475.8 	2.2e-146 	475.7	
RIFIN-B.hmm 	PfGA01_090005600 	3.8e-102 	329.9 	9.3e-58 	184.1	
STEVOR1.hmm 	PfGA01_090005700 	1.3e-17 	52.0 	1.2e-12 	35.6	
RIFIN-A.hmm 	PfGA01_090005700 	1.8e-99 	321.4 	1.4e-61 	196.8	
RIFIN-B.hmm 	PfGA01_090005700 	7.4e-139 	450.6 	8.4e-139 	450.4	
RIFIN-A.hmm 	PfGA01_090005900 	2.2e-146 	475.7 	2.5e-146 	475.5	
RIFIN-B.hmm 	PfGA01_090005900 	2.2e-98 	317.5 	1.2e-55 	177.1	
STEVOR1.hmm 	PfGA01_090005900 	5.6e-10 	26.8 	2e-07 	18.5	
RIFIN-B.hmm 	PfGA01_090006000 	3.1e-141 	458.4 	3.5e-141 	458.2	
STEVOR1.hmm 	PfGA01_090006000 	3.2e-16 	47.4 	2.2e-11 	31.5	
RIFIN-A.hmm 	PfGA01_090006000 	7.4e-98 	316.1 	9.2e-57 	181.0	
RIFIN-B.hmm 	PfGA01_090006100 	1.1e-13 	39.3 	2e-12 	35.1	
STEVOR1.hmm 	PfGA01_090006100 	1.7e-167 	544.1 	1.9e-167 	543.9	
RIFIN-A.hmm 	PfGA01_090006100 	2.2e-12 	35.0 	7.2e-11 	30.1	
RIFIN-A.hmm 	PfGA01_100005500 	1.7e-145 	472.7 	2e-145 	472.6	
RIFIN-B.hmm 	PfGA01_100005500 	3.5e-98 	316.9 	7.9e-53 	167.9	
STEVOR1.hmm 	PfGA01_100005500 	6.9e-11 	29.8 	3.5e-09 	24.2	
STEVOR1.hmm 	PfGA01_100005600 	2.2e-12 	34.8 	2.1e-09 	24.9	
RIFIN-B.hmm 	PfGA01_100005600 	4.3e-142 	461.2 	4.8e-142 	461.0	
RIFIN-A.hmm 	PfGA01_100005600 	4.9e-94 	303.5 	1.9e-54 	173.4	
RIFIN-A.hmm 	PfGA01_100005700 	5.5e-149 	484.2 	6.2e-149 	484.1	
STEVOR1.hmm 	PfGA01_100005700 	7.6e-12 	33.0 	4.9e-08 	20.5	
RIFIN-B.hmm 	PfGA01_100005700 	8.9e-109 	351.7 	1.1e-57 	183.9	
RIFIN-B.hmm 	PfGA01_100005900 	2.4e-114 	370.0 	1.1e-68 	219.9	
RIFIN-A.hmm 	PfGA01_100005900 	2.5e-162 	528.1 	2.8e-162 	528.0	
STEVOR1.hmm 	PfGA01_100005900 	3e-16 	47.4 	3.7e-11 	30.7	
RIFIN-B.hmm 	PfGA01_100006000 	2.7e-127 	412.6 	3e-127 	412.4	
RIFIN-A.hmm 	PfGA01_100006000 	3.1e-97 	314.0 	7.5e-51 	161.5	
STEVOR1.hmm 	PfGA01_100006000 	4.7e-10 	27.1 	4.7e-10 	27.1	
RIFIN-B.hmm 	PfGA01_100006100 	5.3e-101 	326.2 	1.6e-58 	186.6	
RIFIN-A.hmm 	PfGA01_100006100 	6.6e-149 	484.0 	7.3e-149 	483.8	
STEVOR1.hmm 	PfGA01_100006100 	9.6e-10 	26.1 	7.3e-07 	16.6	
RIFIN-B.hmm 	PfGA01_100006200 	1.4e-143 	466.1 	1.6e-143 	465.9	
RIFIN-A.hmm 	PfGA01_100006200 	3.7e-97 	313.8 	8.2e-61 	194.3	
STEVOR1.hmm 	PfGA01_100006200 	7.4e-13 	36.3 	2.7e-09 	24.6	
RIFIN-A.hmm 	PfGA01_100045000 	3.8e-10 	27.7 	1.1e-09 	26.2	
STEVOR1.hmm 	PfGA01_100045000 	4.5e-171 	555.9 	5e-171 	555.7	
RIFIN-B.hmm 	PfGA01_100045000 	6.9e-13 	36.6 	1.8e-12 	35.3	
RIFIN-A.hmm 	PfGA01_100045100 	2.8e-135 	439.2 	3.1e-135 	439.0	
RIFIN-B.hmm 	PfGA01_100045100 	5.7e-99 	319.5 	1.8e-53 	170.0	
STEVOR1.hmm 	PfGA01_100045100 	6e-13 	36.6 	8.7e-09 	22.9	
STEVOR1.hmm 	PfGA01_100045200 	1.9e-15 	44.8 	1.4e-10 	28.8	
RIFIN-A.hmm 	PfGA01_100045200 	2.3e-148 	482.2 	2.6e-148 	482.0	
RIFIN-B.hmm 	PfGA01_100045200 	5e-104 	336.1 	2.1e-58 	186.2	
RIFIN-B.hmm 	PfGA01_110005500 	1.1e-99 	321.8 	5.1e-53 	168.5	
RIFIN-A.hmm 	PfGA01_110005500 	1.8e-140 	456.3 	2e-140 	456.1	
STEVOR1.hmm 	PfGA01_110005500 	8.1e-13 	36.2 	1.5e-10 	28.7	
STEVOR1.hmm 	PfGA01_110005700 	1.7e-12 	35.1 	5.4e-08 	20.3	
RIFIN-A.hmm 	PfGA01_110005700 	3.4e-151 	491.5 	3.7e-151 	491.4	
RIFIN-B.hmm 	PfGA01_110005700 	4.2e-103 	333.1 	7.7e-60 	190.9	
RIFIN-A.hmm 	PfGA01_110005800 	1.4e-10 	29.1 	2.6e-10 	28.2	
RIFIN-B.hmm 	PfGA01_110005800 	1.5e-12 	35.6 	1.5e-12 	35.6	
STEVOR1.hmm 	PfGA01_110005800 	2.9e-160 	520.3 	3.3e-160 	520.2	
STEVOR1.hmm 	PfGA01_110005900 	1.1e-15 	45.6 	5.4e-10 	26.9	
RIFIN-B.hmm 	PfGA01_110005900 	1.2e-115 	374.3 	5.8e-62 	197.9	
RIFIN-A.hmm 	PfGA01_110005900 	8.1e-151 	490.3 	9.3e-151 	490.1	
RIFIN-A.hmm 	PfGA01_110006000 	2.9e-100 	324.0 	1e-55 	177.5	
STEVOR1.hmm 	PfGA01_110006000 	3.9e-17 	50.3 	7.3e-12 	33.0	
RIFIN-B.hmm 	PfGA01_110006000 	5.4e-146 	474.0 	6.1e-146 	473.9	
STEVOR1.hmm 	PfGA01_110006100 	3.3e-16 	47.3 	2.9e-10 	27.8	
RIFIN-B.hmm 	PfGA01_110006100 	4.4e-102 	329.7 	9.8e-56 	177.4	
RIFIN-A.hmm 	PfGA01_110006100 	7e-142 	460.9 	7.9e-142 	460.7	
RIFIN-B.hmm 	PfGA01_110053300 	2.1e-90 	291.4 	4.2e-50 	158.9	
RIFIN-A.hmm 	PfGA01_110053300 	3.6e-130 	422.4 	4.1e-130 	422.2	
STEVOR1.hmm 	PfGA01_110053300 	4.5e-12 	33.7 	2e-09 	25.1	
STEVOR1.hmm 	PfGA01_110053400 	1.3e-47 	150.4 	1.6e-47 	150.1	
RIFIN-B.hmm 	PfGA01_110053400 	2.3e-05 	11.9 	1.3e-06 	16.0	
RIFIN-A.hmm 	PfGA01_110053400 	2.6e-07 	18.3 	2.6e-07 	18.3	
RIFIN-B.hmm 	PfGA01_110053600 	3.9e-141 	458.0 	4.4e-141 	457.9	
RIFIN-A.hmm 	PfGA01_110053600 	7.6e-97 	312.8 	4.8e-55 	175.3	
STEVOR1.hmm 	PfGA01_110053600 	8.7e-11 	29.5 	9.3e-08 	19.5	
STEVOR1.hmm 	PfGA01_110053700 	1e-08 	22.7 	1.8e-06 	15.3	
RIFIN-B.hmm 	PfGA01_110053700 	2.7e-103 	333.7 	6.5e-54 	171.4	
RIFIN-A.hmm 	PfGA01_110053700 	6.3e-127 	411.7 	7e-127 	411.5	
STEVOR1.hmm 	PfGA01_110053800 	1.4e-15 	45.2 	3.4e-11 	30.8	
RIFIN-B.hmm 	PfGA01_110053800 	2.9e-133 	432.2 	3.3e-133 	432.0	
RIFIN-A.hmm 	PfGA01_110053800 	3.2e-94 	304.2 	1.7e-52 	167.0	
RIFIN-B.hmm 	PfGA01_110053900 	2.5e-11 	31.5 	1e-09 	26.2	
STEVOR1.hmm 	PfGA01_110053900 	4e-166 	539.6 	4.5e-166 	539.4	
RIFIN-A.hmm 	PfGA01_110053900 	6.6e-10 	26.9 	1.6e-07 	19.0	
STEVOR1.hmm 	PfGA01_110054100 	1.2e-14 	42.2 	4.1e-10 	27.3	
RIFIN-B.hmm 	PfGA01_110054100 	3.1e-94 	304.0 	4.9e-49 	155.4	
RIFIN-A.hmm 	PfGA01_110054100 	3.5e-139 	452.0 	3.9e-139 	451.8	
RIFIN-B.hmm 	PfGA01_110054300 	1.3e-87 	282.2 	5.5e-49 	155.2	
STEVOR1.hmm 	PfGA01_110054300 	2.6e-14 	41.0 	2e-09 	25.1	
RIFIN-A.hmm 	PfGA01_110054300 	2.8e-129 	419.5 	3.1e-129 	419.3	
RIFIN-A.hmm 	PfGA01_120005600 	1.9e-152 	495.7 	2.1e-152 	495.5	
RIFIN-B.hmm 	PfGA01_120005600 	3e-102 	330.3 	5.9e-57 	181.4	
STEVOR1.hmm 	PfGA01_120005600 	7.6e-13 	36.2 	4.8e-08 	20.5	
STEVOR1.hmm 	PfGA01_120045000 	1.4e-09 	25.5 	2.3e-07 	18.2	
RIFIN-A.hmm 	PfGA01_120045000 	8.4e-86 	276.5 	3.6e-46 	146.1	
RIFIN-B.hmm 	PfGA01_120045000 	8e-129 	417.6 	6.2e-92 	296.4	
STEVOR1.hmm 	PfGA01_120045200 	1.4e-09 	25.5 	2.3e-07 	18.2	
RIFIN-A.hmm 	PfGA01_120045200 	8.4e-86 	276.5 	3.6e-46 	146.1	
RIFIN-B.hmm 	PfGA01_120045200 	8e-129 	417.6 	6.2e-92 	296.4	
STEVOR1.hmm 	PfGA01_120045400 	1.4e-09 	25.5 	2.3e-07 	18.2	
RIFIN-A.hmm 	PfGA01_120045400 	8.4e-86 	276.5 	3.6e-46 	146.1	
RIFIN-B.hmm 	PfGA01_120045400 	8e-129 	417.6 	6.2e-92 	296.4	
RIFIN-B.hmm 	PfGA01_120045600 	1.4e-63 	203.2 	1.9e-57 	183.1	
STEVOR1.hmm 	PfGA01_120045600 	1.9e-08 	21.8 	1.9e-08 	21.8	
RIFIN-A.hmm 	PfGA01_120045600 	2.2e-88 	285.0 	2.8e-88 	284.6	
STEVOR1.hmm 	PfGA01_120045700 	1.6e-16 	48.3 	1.9e-12 	34.9	
RIFIN-B.hmm 	PfGA01_120045700 	3.1e-93 	300.7 	8.1e-52 	164.5	
RIFIN-A.hmm 	PfGA01_120045700 	7.5e-130 	421.3 	8.4e-130 	421.2	
RIFIN-B.hmm 	PfGA01_120046000 	1.4e-63 	203.2 	1.8e-57 	183.1	
RIFIN-A.hmm 	PfGA01_120046000 	1.7e-88 	285.3 	2.3e-88 	284.9	
STEVOR1.hmm 	PfGA01_120046000 	1.9e-08 	21.8 	1.9e-08 	21.8	
STEVOR1.hmm 	PfGA01_120046100 	1.6e-16 	48.3 	1.9e-12 	34.9	
RIFIN-B.hmm 	PfGA01_120046100 	3.1e-93 	300.7 	8.1e-52 	164.5	
RIFIN-A.hmm 	PfGA01_120046100 	7.5e-130 	421.3 	8.4e-130 	421.2	
RIFIN-B.hmm 	PfGA01_120059400 	1.1e-95 	308.8 	1.7e-51 	163.5	
RIFIN-A.hmm 	PfGA01_120059400 	2.5e-143 	465.6 	2.8e-143 	465.5	
STEVOR1.hmm 	PfGA01_120059400 	3.1e-09 	24.4 	1.3e-07 	19.1	
RIFIN-A.hmm 	PfGA01_120059500 	1.7e-10 	28.8 	2e-08 	22.0	
RIFIN-B.hmm 	PfGA01_120059500 	2.5e-12 	34.8 	9.5e-09 	23.0	
STEVOR1.hmm 	PfGA01_120059500 	2.5e-147 	477.9 	3.2e-147 	477.5	
RIFIN-B.hmm 	PfGA01_120059900 	1.3e-106 	344.6 	3.6e-61 	195.3	
RIFIN-A.hmm 	PfGA01_120059900 	4.9e-157 	510.7 	5.5e-157 	510.5	
STEVOR1.hmm 	PfGA01_120059900 	9.2e-09 	22.9 	4.7e-07 	17.2	
RIFIN-B.hmm 	PfGA01_120060000 	1.8e-96 	311.3 	7.7e-54 	171.2	
STEVOR1.hmm 	PfGA01_120060000 	2.1e-10 	28.2 	2.7e-08 	21.3	
RIFIN-A.hmm 	PfGA01_120060000 	3.2e-145 	471.9 	3.6e-145 	471.7	
STEVOR1.hmm 	PfGA01_120060100 	2.8e-08 	21.2 	1.6e-06 	15.5	
RIFIN-A.hmm 	PfGA01_120060100 	3.2e-149 	485.0 	3.6e-149 	484.9	
RIFIN-B.hmm 	PfGA01_120060100 	9.7e-97 	312.2 	2.2e-52 	166.4	
RIFIN-A.hmm 	PfGA01_120060300 	1.1e-138 	450.3 	1.3e-138 	450.2	
STEVOR1.hmm 	PfGA01_120060300 	1.8e-12 	35.1 	1.2e-10 	29.0	
RIFIN-B.hmm 	PfGA01_120060300 	4.4e-97 	313.3 	3.3e-52 	165.8	
RIFIN-B.hmm 	PfGA01_120060500 	1.1e-103 	335.0 	5.6e-61 	194.7	
STEVOR1.hmm 	PfGA01_120060500 	2.2e-09 	24.9 	1e-06 	16.1	
RIFIN-A.hmm 	PfGA01_120060500 	3.3e-153 	498.1 	3.7e-153 	498.0	
STEVOR1.hmm 	PfGA01_120060700 	1.3e-09 	25.6 	5.2e-08 	20.4	
RIFIN-A.hmm 	PfGA01_120060700 	1.3e-149 	486.3 	1.5e-149 	486.1	
RIFIN-B.hmm 	PfGA01_120060700 	4.5e-99 	319.8 	7.3e-53 	168.0	
STEVOR1.hmm 	PfGA01_130005600 	3.9e-14 	40.5 	1.5e-09 	25.4	
RIFIN-B.hmm 	PfGA01_130005600 	4.2e-96 	310.1 	2e-50 	160.0	
RIFIN-A.hmm 	PfGA01_130005600 	7.4e-141 	457.5 	8.4e-141 	457.3	
STEVOR1.hmm 	PfGA01_130005700 	2.1e-08 	21.7 	1.7e-06 	15.4	
RIFIN-A.hmm 	PfGA01_130005700 	2.4e-118 	383.5 	2.6e-118 	383.4	
RIFIN-B.hmm 	PfGA01_130005700 	5.3e-91 	293.3 	3.4e-55 	175.6	
STEVOR1.hmm 	PfGA01_130005800 	1.7e-167 	544.1 	1.9e-167 	543.9	
RIFIN-A.hmm 	PfGA01_130005800 	1.9e-12 	35.2 	2e-09 	25.3	
RIFIN-B.hmm 	PfGA01_130005800 	2.7e-14 	41.3 	2.4e-11 	31.6	
RIFIN-A.hmm 	PfGA01_130005900 	3e-86 	277.9 	4.7e-50 	158.9	
RIFIN-B.hmm 	PfGA01_130005900 	4.8e-136 	441.3 	5.4e-136 	441.2	
STEVOR1.hmm 	PfGA01_130005900 	6.4e-08 	20.1 	6.4e-08 	20.1	
RIFIN-B.hmm 	PfGA01_130006000 	1e-107 	348.2 	1e-59 	190.5	
RIFIN-A.hmm 	PfGA01_130006000 	2e-153 	498.9 	2.2e-153 	498.7	
STEVOR1.hmm 	PfGA01_130006000 	3.6e-10 	27.5 	3.2e-07 	17.8	
RIFIN-B.hmm 	PfGA01_130006200 	1.3e-139 	453.1 	1.4e-139 	452.9	
STEVOR1.hmm 	PfGA01_130006200 	2.7e-15 	44.3 	6.3e-09 	23.4	
RIFIN-A.hmm 	PfGA01_130006200 	6e-93 	300.0 	1.5e-50 	160.5	
STEVOR1.hmm 	PfGA01_130006300 	3.4e-12 	34.1 	7.9e-09 	23.1	
RIFIN-A.hmm 	PfGA01_130006300 	3.9e-141 	458.4 	4.4e-141 	458.3	
RIFIN-B.hmm 	PfGA01_130006300 	9.2e-104 	335.2 	3.1e-54 	172.5	
RIFIN-B.hmm 	PfGA01_130006400 	1.5e-134 	436.4 	1.7e-134 	436.3	
RIFIN-A.hmm 	PfGA01_130006400 	3.1e-92 	297.6 	1.1e-50 	161.0	
STEVOR1.hmm 	PfGA01_130006400 	4.6e-12 	33.7 	3.1e-08 	21.1	
RIFIN-B.hmm 	PfGA01_130078100 	4.9e-118 	382.2 	5.9e-118 	381.9	
RIFIN-A.hmm 	PfGA01_130078100 	5.1e-84 	270.6 	1e-55 	177.5	
STEVOR1.hmm 	PfGA01_130078100 	8.6e-08 	19.7 	8.6e-08 	19.7	
RIFIN-A.hmm 	PfGA01_130078200 	3.1e-87 	281.2 	5.2e-54 	171.9	
RIFIN-B.hmm 	PfGA01_130078200 	6.5e-117 	378.5 	7.3e-117 	378.3	
STEVOR1.hmm 	PfGA01_130078200 	8.2e-13 	36.1 	1.8e-08 	21.9	
RIFIN-A.hmm 	PfGA01_130078300 	1.2e-103 	335.1 	3.6e-56 	179.0	
RIFIN-B.hmm 	PfGA01_130078300 	3.7e-121 	392.4 	4.1e-121 	392.3	
STEVOR1.hmm 	PfGA01_130078300 	5.3e-17 	49.9 	5.8e-12 	33.4	
RIFIN-A.hmm 	PfGA01_130078400 	1.8e-11 	32.0 	2.5e-09 	25.0	
STEVOR1.hmm 	PfGA01_130078400 	6e-173 	562.0 	6.7e-173 	561.9	
RIFIN-B.hmm 	PfGA01_130078400 	9e-14 	39.5 	3.8e-10 	27.6	
RIFIN-A.hmm 	PfGA01_130078500 	3.4e-152 	494.8 	3.8e-152 	494.6	
STEVOR1.hmm 	PfGA01_130078500 	6.5e-10 	26.6 	1.3e-06 	15.8	
RIFIN-B.hmm 	PfGA01_130078500 	7.6e-106 	342.1 	2.3e-58 	186.1	
RIFIN-A.hmm 	PfGA01_130078600 	1.5e-94 	305.2 	2.1e-59 	189.6	
STEVOR1.hmm 	PfGA01_130078600 	2e-12 	34.9 	5e-09 	23.7	
RIFIN-B.hmm 	PfGA01_130078600 	5.2e-140 	454.3 	6e-140 	454.2	
RIFIN-B.hmm 	PfGA01_130078700 	3.4e-103 	333.4 	2.3e-58 	186.1	
STEVOR1.hmm 	PfGA01_130078700 	7e-08 	20.0 	1.2e-06 	16.0	
RIFIN-A.hmm 	PfGA01_130078700 	9.1e-148 	480.2 	1e-147 	480.1	
RIFIN-A.hmm 	PfGA01_130079300 	1.1e-96 	312.3 	2.2e-53 	169.8	
RIFIN-B.hmm 	PfGA01_130079300 	3.6e-139 	451.6 	4e-139 	451.4	
STEVOR1.hmm 	PfGA01_130079300 	4.8e-12 	33.6 	3.5e-08 	21.0	
STEVOR1.hmm 	PfGA01_130079400 	1.3e-170 	554.3 	1.4e-170 	554.2	
RIFIN-B.hmm 	PfGA01_130079400 	2.9e-11 	31.3 	1.8e-10 	28.7	
RIFIN-A.hmm 	PfGA01_130079400 	4.6e-11 	30.7 	1.7e-09 	25.6	
STEVOR1.hmm 	PfGA01_140005600 	1.1e-10 	29.2 	2.6e-09 	24.6	
RIFIN-B.hmm 	PfGA01_140005600 	1.2e-114 	371.0 	3.6e-67 	215.0	
RIFIN-A.hmm 	PfGA01_140005600 	5.9e-158 	513.7 	6.6e-158 	513.6	
STEVOR1.hmm 	PfGA01_140006000 	1.9e-167 	544.0 	2.1e-167 	543.8	
RIFIN-B.hmm 	PfGA01_140006000 	2.3e-13 	38.2 	1.6e-11 	32.2	
RIFIN-A.hmm 	PfGA01_140006000 	2.8e-12 	34.7 	3.6e-11 	31.1	
RIFIN-A.hmm 	PfGA01_140006100 	1.1e-103 	335.3 	1.4e-60 	193.5	
RIFIN-B.hmm 	PfGA01_140006100 	5e-138 	447.8 	5.6e-138 	447.7	
STEVOR1.hmm 	PfGA01_140006100 	6.7e-11 	29.9 	1.2e-08 	22.5	
RIFIN-A.hmm 	PfGA01_140006300 	1.5e-154 	502.5 	1.7e-154 	502.4	
RIFIN-B.hmm 	PfGA01_140006300 	1.5e-98 	318.1 	2.1e-54 	173.0	
STEVOR1.hmm 	PfGA01_140006300 	6.3e-14 	39.8 	1.3e-08 	22.4	
STEVOR1.hmm 	PfGA01_140006400 	1.1e-167 	544.7 	1.2e-167 	544.6	
RIFIN-A.hmm 	PfGA01_140006400 	2.2e-13 	38.3 	9.3e-10 	26.4	
RIFIN-B.hmm 	PfGA01_140006400 	3.2e-12 	34.4 	1.1e-11 	32.7	
RIFIN-B.hmm 	PfGA01_140084400 	1.2e-78 	252.7 	1.9e-43 	137.0	
STEVOR1.hmm 	PfGA01_140084400 	1e-12 	35.8 	1.3e-09 	25.7	
RIFIN-A.hmm 	PfGA01_140084400 	9.7e-99 	319.0 	1.2e-98 	318.7	
RIFIN-B.hmm 	PfGA01_140084700 	1.2e-147 	479.4 	1.4e-147 	479.3	
STEVOR1.hmm 	PfGA01_140084700 	1.6e-14 	41.7 	1.1e-08 	22.6	
RIFIN-A.hmm 	PfGA01_140084700 	6.3e-105 	339.4 	7.2e-62 	197.8	
RIFIN-B.hmm 	PfGA01_140084800 	1.4e-11 	32.4 	2e-10 	28.5	
STEVOR1.hmm 	PfGA01_140084800 	2.8e-166 	540.1 	3.1e-166 	540.0	
RIFIN-A.hmm 	PfGA01_140084800 	4.4e-12 	34.0 	1.1e-10 	29.5	
STEVOR1.hmm 	PfGA01_140084900 	3.7e-09 	24.1 	7.5e-07 	16.6	
RIFIN-A.hmm 	PfGA01_140084900 	7.5e-146 	473.9 	8.5e-146 	473.7	
RIFIN-B.hmm 	PfGA01_140084900 	9.3e-105 	338.5 	2.8e-58 	185.8	
