RIFIN-A.hmm 	PfNF166_000006300 	2.5e-69 	222.3 	5.7e-41 	129.0	
STEVOR1.hmm 	PfNF166_080035800 	2e-167 	543.9 	2.2e-167 	543.8	
RIFIN-A.hmm 	PfNF166_080035800 	5.3e-14 	40.4 	3.5e-10 	27.8	
RIFIN-A.hmm 	PfNF166_080035900 	1.2e-133 	433.8 	1.3e-133 	433.6	
RIFIN-B.hmm 	PfNF166_080035900 	3.6e-101 	326.7 	1.8e-52 	166.7	
STEVOR1.hmm 	PfNF166_080035900 	3.9e-14 	40.5 	6.3e-09 	23.4	
STEVOR1.hmm 	PfNF166_080036000 	3.8e-13 	37.2 	2.5e-08 	21.4	
RIFIN-A.hmm 	PfNF166_080036000 	6.3e-147 	477.5 	7e-147 	477.3	
RIFIN-B.hmm 	PfNF166_080036000 	6.6e-102 	329.2 	1.5e-57 	183.4	
STEVOR1.hmm 	PfNF166_080036200 	2.8e-10 	27.8 	2.6e-08 	21.4	
RIFIN-B.hmm 	PfNF166_080036200 	3.2e-107 	346.6 	1.6e-63 	203.1	
RIFIN-A.hmm 	PfNF166_080036200 	8.7e-152 	493.4 	9.8e-152 	493.3	
RIFIN-B.hmm 	PfNF166_090005100 	2.8e-98 	317.2 	1.6e-54 	173.4	
RIFIN-A.hmm 	PfNF166_090005100 	3.7e-143 	465.1 	4.1e-143 	464.9	
STEVOR1.hmm 	PfNF166_090005100 	5.8e-14 	39.9 	9.7e-09 	22.8	
RIFIN-B.hmm 	PfNF166_090005200 	2.8e-98 	317.2 	1.6e-54 	173.4	
RIFIN-A.hmm 	PfNF166_090005200 	3.7e-143 	465.1 	4.1e-143 	464.9	
STEVOR1.hmm 	PfNF166_090005200 	5.8e-14 	39.9 	9.7e-09 	22.8	
STEVOR1.hmm 	PfNF166_090005300 	2.3e-13 	38.0 	1.4e-08 	22.3	
RIFIN-B.hmm 	PfNF166_090005300 	2.4e-96 	310.9 	4.4e-52 	165.4	
RIFIN-A.hmm 	PfNF166_090005300 	3.3e-142 	462.0 	3.7e-142 	461.8	
RIFIN-B.hmm 	PfNF166_090005400 	1.4e-10 	29.0 	1.6e-09 	25.5	
STEVOR1.hmm 	PfNF166_090005400 	3e-164 	533.5 	3.3e-164 	533.3	
RIFIN-A.hmm 	PfNF166_090005400 	4.7e-11 	30.7 	8.2e-09 	23.3	
RIFIN-A.hmm 	PfNF166_090005500 	1e-94 	305.8 	3.8e-55 	175.7	
STEVOR1.hmm 	PfNF166_090005500 	3.4e-08 	21.0 	1.4e-06 	15.7	
RIFIN-B.hmm 	PfNF166_090005500 	8.8e-140 	453.6 	9.9e-140 	453.4	
STEVOR1.hmm 	PfNF166_090005700 	3.1e-12 	34.2 	2.5e-08 	21.4	
RIFIN-A.hmm 	PfNF166_090005700 	4.1e-135 	438.6 	4.8e-135 	438.4	
RIFIN-B.hmm 	PfNF166_090005700 	5.1e-97 	313.1 	2e-56 	179.7	
STEVOR1.hmm 	PfNF166_090005800 	1.2e-167 	544.6 	1.4e-167 	544.4	
RIFIN-B.hmm 	PfNF166_090005800 	3.4e-13 	37.6 	3.3e-11 	31.1	
RIFIN-A.hmm 	PfNF166_090005800 	6.6e-12 	33.5 	3.8e-10 	27.7	
STEVOR1.hmm 	PfNF166_090041600 	1.4e-15 	45.2 	2.7e-10 	27.9	
RIFIN-A.hmm 	PfNF166_090041600 	2.5e-107 	347.2 	1.2e-59 	190.4	
RIFIN-B.hmm 	PfNF166_090041600 	3.1e-140 	455.1 	3.5e-140 	454.9	
RIFIN-A.hmm 	PfNF166_090041700 	1.9e-145 	472.6 	2.1e-145 	472.5	
STEVOR1.hmm 	PfNF166_090041700 	1e-13 	39.1 	7.7e-09 	23.1	
RIFIN-B.hmm 	PfNF166_090041700 	8.9e-117 	378.0 	3.5e-67 	215.0	
RIFIN-A.hmm 	PfNF166_090041800 	2.2e-136 	442.8 	2.5e-136 	442.6	
STEVOR1.hmm 	PfNF166_090041800 	3.1e-15 	44.1 	1e-12 	35.8	
RIFIN-B.hmm 	PfNF166_090041800 	6.4e-96 	309.5 	5.9e-50 	158.4	
STEVOR1.hmm 	PfNF166_090042000 	1.1e-11 	32.5 	8e-09 	23.0	
RIFIN-A.hmm 	PfNF166_090042000 	4.6e-94 	303.6 	1.5e-53 	170.4	
RIFIN-B.hmm 	PfNF166_090042000 	6.1e-129 	418.0 	6.9e-129 	417.8	
STEVOR1.hmm 	PfNF166_090042100 	4.5e-09 	23.9 	6.6e-08 	20.0	
RIFIN-B.hmm 	PfNF166_090042100 	5.4e-111 	359.0 	4e-64 	205.0	
RIFIN-A.hmm 	PfNF166_090042100 	6.9e-157 	510.2 	7.7e-157 	510.1	
RIFIN-A.hmm 	PfNF166_090042300 	1.2e-147 	479.8 	1.4e-147 	479.7	
RIFIN-B.hmm 	PfNF166_090042300 	2.2e-103 	334.0 	2e-58 	186.3	
STEVOR1.hmm 	PfNF166_090042300 	2.8e-14 	41.0 	3.8e-09 	24.1	
RIFIN-B.hmm 	PfNF166_090042500 	1.1e-102 	331.8 	1.1e-53 	170.7	
RIFIN-A.hmm 	PfNF166_090042500 	1.9e-143 	466.1 	2.1e-143 	465.9	
STEVOR1.hmm 	PfNF166_090042500 	3.3e-11 	30.9 	8.1e-08 	19.7	
RIFIN-B.hmm 	PfNF166_100005100 	1.3e-91 	295.4 	3.8e-48 	152.5	
STEVOR1.hmm 	PfNF166_100005100 	1.5e-10 	28.7 	5.6e-08 	20.3	
RIFIN-A.hmm 	PfNF166_100005100 	4e-133 	432.1 	4.5e-133 	431.9	
RIFIN-B.hmm 	PfNF166_100005300 	1.3e-101 	328.1 	1.1e-57 	183.8	
RIFIN-A.hmm 	PfNF166_100005300 	1.5e-145 	472.9 	1.7e-145 	472.7	
STEVOR1.hmm 	PfNF166_100005300 	3.5e-12 	34.1 	4.4e-08 	20.6	
RIFIN-B.hmm 	PfNF166_100005500 	3.1e-97 	313.8 	1.5e-55 	176.8	
STEVOR1.hmm 	PfNF166_100005500 	7.4e-12 	33.0 	5.8e-08 	20.2	
RIFIN-A.hmm 	PfNF166_100005500 	9.4e-144 	467.0 	1e-143 	466.9	
STEVOR1.hmm 	PfNF166_100005600 	1.2e-10 	29.1 	4.4e-08 	20.6	
RIFIN-B.hmm 	PfNF166_100005600 	1.3e-105 	341.4 	1.9e-61 	196.2	
RIFIN-A.hmm 	PfNF166_100005600 	2.6e-142 	462.3 	2.9e-142 	462.1	
RIFIN-A.hmm 	PfNF166_100005700 	3.8e-97 	313.8 	1.5e-59 	190.1	
STEVOR1.hmm 	PfNF166_100005700 	5.4e-15 	43.3 	1.3e-09 	25.6	
RIFIN-B.hmm 	PfNF166_100005700 	9.9e-146 	473.2 	1.1e-145 	473.0	
RIFIN-B.hmm 	PfNF166_110052400 	1.5e-132 	429.9 	1.7e-132 	429.7	
STEVOR1.hmm 	PfNF166_110052400 	3.8e-10 	27.4 	3.1e-07 	17.8	
RIFIN-A.hmm 	PfNF166_110052400 	8.7e-94 	302.7 	1.6e-53 	170.4	
RIFIN-A.hmm 	PfNF166_110052500 	3.7e-12 	34.3 	3.2e-11 	31.2	
STEVOR1.hmm 	PfNF166_110052500 	3.9e-171 	556.1 	4.4e-171 	555.9	
RIFIN-B.hmm 	PfNF166_110052500 	5.7e-13 	36.9 	1e-11 	32.8	
RIFIN-B.hmm 	PfNF166_110052600 	2e-130 	422.8 	2.3e-130 	422.7	
STEVOR1.hmm 	PfNF166_110052600 	6.9e-08 	20.0 	3.3e-07 	17.7	
RIFIN-A.hmm 	PfNF166_110052600 	7.5e-105 	339.1 	4.1e-58 	185.4	
RIFIN-A.hmm 	PfNF166_110052700 	2.6e-10 	28.2 	9.1e-10 	26.4	
STEVOR1.hmm 	PfNF166_110052700 	4.8e-156 	506.5 	9e-156 	505.6	
RIFIN-B.hmm 	PfNF166_110052700 	7.6e-11 	29.9 	1.3e-10 	29.2	
RIFIN-B.hmm 	PfNF166_110052800 	2.3e-107 	347.1 	2.3e-62 	199.2	
RIFIN-A.hmm 	PfNF166_110052800 	7.6e-156 	506.8 	8.6e-156 	506.6	
STEVOR1.hmm 	PfNF166_110052800 	8.4e-14 	39.4 	8.5e-09 	23.0	
RIFIN-B.hmm 	PfNF166_120007100 	5.9e-101 	326.0 	1.9e-54 	173.2	
STEVOR1.hmm 	PfNF166_120007100 	8.9e-09 	22.9 	3.1e-06 	14.6	
RIFIN-A.hmm 	PfNF166_120007100 	8.9e-158 	513.1 	1e-157 	513.0	
RIFIN-B.hmm 	PfNF166_120007300 	1.4e-100 	324.8 	1.3e-57 	183.6	
STEVOR1.hmm 	PfNF166_120007300 	1.8e-08 	21.9 	4.1e-07 	17.4	
RIFIN-A.hmm 	PfNF166_120007300 	4.1e-149 	484.7 	4.6e-149 	484.5	
RIFIN-B.hmm 	PfNF166_120007500 	1.1e-100 	325.2 	3.2e-53 	169.2	
RIFIN-A.hmm 	PfNF166_120007500 	5.9e-155 	503.9 	6.6e-155 	503.7	
STEVOR1.hmm 	PfNF166_120007500 	6.5e-12 	33.2 	5.7e-08 	20.2	
RIFIN-B.hmm 	PfNF166_120007800 	2.4e-101 	327.3 	7.1e-56 	177.9	
STEVOR1.hmm 	PfNF166_120007800 	3.1e-16 	47.4 	2.9e-11 	31.1	
RIFIN-A.hmm 	PfNF166_120007800 	6.7e-147 	477.4 	7.5e-147 	477.2	
RIFIN-B.hmm 	PfNF166_120026100 	4.7e-23 	70.0 	5.3e-23 	69.9	
RIFIN-A.hmm 	PfNF166_120026100 	5.7e-24 	73.1 	6.4e-24 	73.0	
RIFIN-A.hmm 	PfNF166_120059100 	1.3e-145 	473.2 	1.4e-145 	473.0	
RIFIN-B.hmm 	PfNF166_120059100 	2.6e-99 	320.6 	1.1e-55 	177.3	
STEVOR1.hmm 	PfNF166_120059100 	3.9e-09 	24.1 	1.7e-07 	18.7	
STEVOR1.hmm 	PfNF166_120059200 	2.4e-13 	37.9 	5.2e-09 	23.7	
RIFIN-A.hmm 	PfNF166_120059200 	4.1e-101 	326.8 	6.1e-61 	194.7	
RIFIN-B.hmm 	PfNF166_120059200 	5.6e-138 	447.7 	6.5e-138 	447.5	
STEVOR1.hmm 	PfNF166_120059300 	1.3e-12 	35.5 	3.8e-08 	20.8	
RIFIN-B.hmm 	PfNF166_120059300 	2.2e-103 	334.0 	9.3e-58 	184.1	
RIFIN-A.hmm 	PfNF166_120059300 	6.2e-147 	477.5 	7e-147 	477.3	
RIFIN-A.hmm 	PfNF166_130005500 	1.2e-148 	483.2 	1.3e-148 	483.0	
STEVOR1.hmm 	PfNF166_130005500 	1.9e-17 	51.4 	8.1e-13 	36.2	
RIFIN-B.hmm 	PfNF166_130005500 	2.9e-100 	323.7 	3.4e-53 	169.1	
STEVOR1.hmm 	PfNF166_130005700 	1.6e-13 	38.5 	1.3e-09 	25.6	
RIFIN-B.hmm 	PfNF166_130005700 	4.8e-103 	332.9 	1e-53 	170.8	
RIFIN-A.hmm 	PfNF166_130005700 	5e-154 	500.8 	5.6e-154 	500.7	
RIFIN-A.hmm 	PfNF166_130005800 	1.5e-155 	505.8 	1.7e-155 	505.7	
STEVOR1.hmm 	PfNF166_130005800 	4.9e-12 	33.6 	1.3e-08 	22.4	
RIFIN-B.hmm 	PfNF166_130005800 	8.6e-117 	378.1 	3.4e-67 	215.1	
RIFIN-A.hmm 	PfNF166_130005900 	1.1e-94 	305.6 	6.1e-57 	181.6	
RIFIN-B.hmm 	PfNF166_130005900 	1.2e-135 	440.0 	1.4e-135 	439.8	
STEVOR1.hmm 	PfNF166_130005900 	5.8e-13 	36.6 	6.9e-09 	23.3	
RIFIN-A.hmm 	PfNF166_130006100 	1.3e-140 	456.8 	1.4e-140 	456.6	
RIFIN-B.hmm 	PfNF166_130006100 	1.9e-91 	294.8 	8.9e-49 	154.6	
STEVOR1.hmm 	PfNF166_130006100 	4.6e-12 	33.7 	5e-08 	20.4	
RIFIN-B.hmm 	PfNF166_130006300 	2e-13 	38.4 	1e-11 	32.8	
RIFIN-A.hmm 	PfNF166_130006300 	5.6e-14 	40.3 	1e-09 	26.3	
STEVOR1.hmm 	PfNF166_130006300 	7.4e-167 	542.0 	8.3e-167 	541.8	
RIFIN-A.hmm 	PfNF166_140005000 	1.5e-95 	308.5 	3.1e-50 	159.5	
STEVOR1.hmm 	PfNF166_140005000 	1.7e-12 	35.1 	4.5e-10 	27.2	
RIFIN-B.hmm 	PfNF166_140005000 	4.5e-129 	418.4 	5e-129 	418.3	
RIFIN-A.hmm 	PfNF166_140005100 	1.5e-94 	305.2 	3.8e-50 	159.2	
STEVOR1.hmm 	PfNF166_140005100 	2.3e-13 	38.0 	4e-09 	24.0	
RIFIN-B.hmm 	PfNF166_140005100 	2.5e-138 	448.8 	2.8e-138 	448.7	
STEVOR1.hmm 	PfNF166_140081600 	1.2e-08 	22.4 	1.5e-05 	12.3	
RIFIN-B.hmm 	PfNF166_140081600 	1.7e-84 	272.0 	2.3e-49 	156.5	
RIFIN-A.hmm 	PfNF166_140081600 	7e-114 	368.8 	7.8e-114 	368.6	
STEVOR1.hmm 	PfNF166_140081800 	1.3e-57 	183.3 	2.3e-57 	182.5	
