STEVOR1.hmm 	PfKH02_000007900 	1e-14 	42.4 	6.5e-10 	26.6	
RIFIN-B.hmm 	PfKH02_070035000 	1.2e-97 	315.2 	2.6e-51 	162.9	
STEVOR1.hmm 	PfKH02_070035000 	2.4e-13 	37.9 	1.6e-08 	22.0	
RIFIN-A.hmm 	PfKH02_070035000 	4.8e-149 	484.4 	5.4e-149 	484.3	
RIFIN-A.hmm 	PfKH02_080005300 	1.1e-155 	506.3 	1.2e-155 	506.1	
RIFIN-B.hmm 	PfKH02_080005300 	1.2e-120 	390.8 	3.3e-70 	225.0	
STEVOR1.hmm 	PfKH02_080005300 	6.7e-10 	26.6 	1e-08 	22.7	
RIFIN-B.hmm 	PfKH02_080005400 	3e-99 	320.4 	1.5e-52 	166.9	
RIFIN-A.hmm 	PfKH02_080005400 	4.7e-153 	497.6 	5.3e-153 	497.4	
STEVOR1.hmm 	PfKH02_080005400 	8.4e-09 	23.0 	1.8e-06 	15.3	
RIFIN-B.hmm 	PfKH02_080005500 	1.5e-106 	344.4 	1.1e-60 	193.7	
STEVOR1.hmm 	PfKH02_080005500 	2.2e-10 	28.2 	5e-07 	17.1	
RIFIN-A.hmm 	PfKH02_080005500 	2.6e-151 	491.9 	2.9e-151 	491.7	
RIFIN-A.hmm 	PfKH02_080005600 	2.3e-142 	462.5 	2.5e-142 	462.3	
STEVOR1.hmm 	PfKH02_080005600 	4.2e-14 	40.4 	1.9e-10 	28.4	
RIFIN-B.hmm 	PfKH02_080005600 	4.6e-100 	323.1 	8.7e-55 	174.3	
RIFIN-B.hmm 	PfKH02_080005700 	3.2e-132 	428.7 	3.6e-132 	428.6	
RIFIN-A.hmm 	PfKH02_080005700 	8.3e-94 	302.8 	5.2e-55 	175.2	
STEVOR1.hmm 	PfKH02_080005700 	8.8e-11 	29.5 	6.6e-08 	20.0	
RIFIN-A.hmm 	PfKH02_080005900 	1.6e-126 	410.4 	2e-126 	410.1	
STEVOR1.hmm 	PfKH02_080005900 	1.7e-11 	31.8 	1.7e-08 	22.0	
RIFIN-B.hmm 	PfKH02_080005900 	2.9e-79 	254.8 	7.5e-48 	151.5	
RIFIN-B.hmm 	PfKH02_080006000 	3.3e-12 	34.4 	2.1e-08 	21.9	
STEVOR1.hmm 	PfKH02_080006000 	5.6e-146 	473.5 	7e-146 	473.1	
RIFIN-A.hmm 	PfKH02_080006000 	9e-10 	26.5 	1.1e-08 	22.9	
RIFIN-A.hmm 	PfKH02_080006100 	1.9e-134 	436.4 	2.1e-134 	436.3	
STEVOR1.hmm 	PfKH02_080006100 	2.1e-09 	24.9 	5.2e-07 	17.1	
RIFIN-B.hmm 	PfKH02_080006100 	8.8e-100 	322.2 	1.6e-54 	173.4	
RIFIN-A.hmm 	PfKH02_080014400 	1.2e-134 	437.1 	1.3e-134 	437.0	
RIFIN-B.hmm 	PfKH02_080014400 	2.9e-105 	340.2 	4.9e-56 	178.4	
STEVOR1.hmm 	PfKH02_080014400 	7.7e-15 	42.8 	2.4e-11 	31.3	
RIFIN-A.hmm 	PfKH02_080014600 	2.1e-86 	278.4 	2.8e-47 	149.8	
RIFIN-B.hmm 	PfKH02_080014600 	8.4e-136 	440.5 	2.9e-98 	317.2	
STEVOR1.hmm 	PfKH02_080014600 	8.7e-12 	32.8 	9.6e-09 	22.8	
STEVOR1.hmm 	PfKH02_080037400 	8.5e-82 	262.7 	4.9e-80 	256.9	
RIFIN-B.hmm 	PfKH02_080037700 	2.8e-13 	37.9 	1.8e-10 	28.7	
STEVOR1.hmm 	PfKH02_080037700 	2e-167 	543.9 	2.2e-167 	543.8	
RIFIN-A.hmm 	PfKH02_080037700 	5.3e-14 	40.4 	3.5e-10 	27.8	
RIFIN-A.hmm 	PfKH02_080037800 	2.5e-131 	426.2 	2.8e-131 	426.0	
STEVOR1.hmm 	PfKH02_080037800 	2.6e-11 	31.2 	1.3e-08 	22.4	
RIFIN-B.hmm 	PfKH02_080037800 	6.4e-97 	312.8 	3.6e-52 	165.7	
RIFIN-A.hmm 	PfKH02_080037900 	2.7e-130 	422.8 	7.9e-130 	421.2	
RIFIN-B.hmm 	PfKH02_080037900 	3.5e-86 	277.5 	2e-49 	156.7	
STEVOR1.hmm 	PfKH02_080037900 	7.2e-16 	46.2 	1.7e-09 	25.2	
RIFIN-A.hmm 	PfKH02_080038000 	1.4e-136 	443.5 	1.6e-136 	443.3	
STEVOR1.hmm 	PfKH02_080038000 	3.4e-13 	37.4 	9.8e-11 	29.3	
RIFIN-B.hmm 	PfKH02_080038000 	8.7e-100 	322.2 	1.2e-56 	180.4	
RIFIN-A.hmm 	PfKH02_080038100 	1.1e-135 	440.5 	1.3e-135 	440.3	
RIFIN-B.hmm 	PfKH02_080038100 	2.3e-93 	301.1 	1.1e-50 	160.8	
STEVOR1.hmm 	PfKH02_080038100 	6.1e-13 	36.6 	7.7e-08 	19.8	
RIFIN-B.hmm 	PfKH02_090005200 	2.8e-108 	350.1 	3.8e-62 	198.5	
RIFIN-A.hmm 	PfKH02_090005200 	3.2e-153 	498.2 	3.6e-153 	498.0	
STEVOR1.hmm 	PfKH02_090005200 	3.4e-12 	34.1 	5.8e-08 	20.2	
RIFIN-B.hmm 	PfKH02_090005300 	1.3e-98 	318.3 	1.8e-52 	166.7	
RIFIN-A.hmm 	PfKH02_090005300 	1.8e-139 	452.9 	2e-139 	452.8	
STEVOR1.hmm 	PfKH02_090005300 	1e-07 	19.4 	1.1e-05 	12.8	
RIFIN-A.hmm 	PfKH02_090005500 	2.1e-10 	28.5 	4.6e-08 	20.8	
STEVOR1.hmm 	PfKH02_090005500 	3.4e-170 	553.0 	3.8e-170 	552.8	
RIFIN-B.hmm 	PfKH02_090005500 	7e-12 	33.3 	4e-10 	27.5	
RIFIN-B.hmm 	PfKH02_090005600 	1.5e-142 	462.7 	1.7e-142 	462.5	
STEVOR1.hmm 	PfKH02_090005600 	2.5e-10 	28.0 	1.7e-08 	21.9	
RIFIN-A.hmm 	PfKH02_090005600 	9.3e-103 	332.2 	6.1e-59 	188.1	
STEVOR1.hmm 	PfKH02_090005700 	1.3e-08 	22.3 	2.1e-08 	21.6	
RIFIN-B.hmm 	PfKH02_090005700 	1.5e-105 	341.1 	8.1e-60 	190.8	
RIFIN-A.hmm 	PfKH02_090005700 	4.8e-156 	507.5 	5.4e-156 	507.3	
RIFIN-A.hmm 	PfKH02_090005900 	2.8e-150 	488.5 	3.1e-150 	488.4	
STEVOR1.hmm 	PfKH02_090005900 	3.2e-11 	30.9 	6e-08 	20.2	
RIFIN-B.hmm 	PfKH02_090005900 	9.9e-102 	328.6 	6.3e-59 	187.9	
RIFIN-A.hmm 	PfKH02_090006000 	1.7e-138 	449.8 	1.9e-138 	449.6	
STEVOR1.hmm 	PfKH02_090006000 	2.5e-18 	54.3 	9.3e-13 	36.0	
RIFIN-B.hmm 	PfKH02_090006000 	4e-104 	336.4 	6.7e-55 	174.7	
RIFIN-A.hmm 	PfKH02_090006100 	2.5e-09 	25.0 	2.4e-08 	21.8	
RIFIN-B.hmm 	PfKH02_090006100 	2.6e-12 	34.7 	4.8e-10 	27.3	
STEVOR1.hmm 	PfKH02_090006100 	8.3e-166 	538.6 	9.3e-166 	538.4	
RIFIN-A.hmm 	PfKH02_090006200 	2.6e-101 	327.4 	1.4e-55 	177.0	
STEVOR1.hmm 	PfKH02_090006200 	2e-14 	41.5 	2e-11 	31.6	
RIFIN-B.hmm 	PfKH02_090006200 	4.8e-143 	464.3 	5.4e-143 	464.2	
RIFIN-A.hmm 	PfKH02_090006300 	1.8e-141 	459.6 	2e-141 	459.4	
STEVOR1.hmm 	PfKH02_090006300 	4.2e-13 	37.1 	6.3e-09 	23.4	
RIFIN-B.hmm 	PfKH02_090006300 	9.9e-120 	387.7 	8.5e-65 	207.2	
RIFIN-B.hmm 	PfKH02_090006500 	0.003 	5.0 	2.2e-05 	12.0	
STEVOR1.hmm 	PfKH02_090006500 	1.1e-26 	81.6 	2.1e-22 	67.6	
RIFIN-B.hmm 	PfKH02_090042400 	2.3e-139 	452.2 	2.5e-139 	452.1	
STEVOR1.hmm 	PfKH02_090042400 	3.8e-16 	47.1 	1e-10 	29.3	
RIFIN-A.hmm 	PfKH02_090042400 	8.8e-109 	352.0 	3e-61 	195.7	
RIFIN-A.hmm 	PfKH02_090042500 	1.4e-12 	35.7 	6.5e-09 	23.6	
RIFIN-B.hmm 	PfKH02_090042500 	1.7e-10 	28.8 	5.1e-08 	20.6	
STEVOR1.hmm 	PfKH02_090042500 	1.7e-163 	530.9 	1.9e-163 	530.8	
STEVOR1.hmm 	PfKH02_090042600 	1.3e-11 	32.2 	7e-08 	20.0	
RIFIN-B.hmm 	PfKH02_090042600 	2.3e-106 	343.8 	4.1e-64 	205.0	
RIFIN-A.hmm 	PfKH02_090042600 	3.3e-139 	452.1 	3.6e-139 	451.9	
STEVOR1.hmm 	PfKH02_100005100 	1.3e-09 	25.7 	2.9e-08 	21.2	
RIFIN-A.hmm 	PfKH02_100005100 	2.6e-140 	455.7 	3e-140 	455.5	
RIFIN-B.hmm 	PfKH02_100005100 	9.3e-110 	354.9 	1.2e-60 	193.5	
RIFIN-A.hmm 	PfKH02_100005200 	1.5e-10 	29.0 	2.4e-08 	21.8	
STEVOR1.hmm 	PfKH02_100005200 	2.2e-158 	514.2 	4.1e-158 	513.3	
RIFIN-B.hmm 	PfKH02_100005200 	9.2e-13 	36.2 	6.4e-10 	26.9	
RIFIN-B.hmm 	PfKH02_100005300 	2.7e-119 	386.3 	6.1e-73 	234.0	
STEVOR1.hmm 	PfKH02_100005300 	2.8e-11 	31.1 	4.5e-08 	20.6	
RIFIN-A.hmm 	PfKH02_100005300 	9.5e-155 	503.2 	1.1e-154 	503.0	
RIFIN-B.hmm 	PfKH02_100005500 	1.3e-142 	462.9 	1.5e-142 	462.7	
STEVOR1.hmm 	PfKH02_100005500 	3.6e-13 	37.3 	1.1e-08 	22.6	
RIFIN-A.hmm 	PfKH02_100005500 	4.5e-101 	326.7 	5.6e-65 	208.0	
RIFIN-B.hmm 	PfKH02_100005600 	1.1e-11 	32.6 	8e-10 	26.5	
STEVOR1.hmm 	PfKH02_100005600 	1.8e-165 	537.5 	2e-165 	537.3	
RIFIN-A.hmm 	PfKH02_100005600 	4.3e-11 	30.8 	2.3e-08 	21.8	
RIFIN-A.hmm 	PfKH02_100005700 	1.4e-146 	476.3 	1.6e-146 	476.1	
STEVOR1.hmm 	PfKH02_100005700 	3e-12 	34.3 	1.5e-08 	22.2	
RIFIN-B.hmm 	PfKH02_100005700 	9.7e-115 	371.3 	1.9e-63 	202.8	
STEVOR1.hmm 	PfKH02_100005800 	1.9e-157 	511.1 	2.1e-157 	510.9	
RIFIN-B.hmm 	PfKH02_100005800 	2.4e-10 	28.3 	1.8e-09 	25.4	
RIFIN-A.hmm 	PfKH02_100005800 	7.8e-09 	23.4 	5.7e-08 	20.5	
STEVOR1.hmm 	PfKH02_100005900 	1.7e-12 	35.1 	7.5e-10 	26.4	
RIFIN-B.hmm 	PfKH02_100005900 	1e-141 	460.0 	1.1e-141 	459.8	
RIFIN-A.hmm 	PfKH02_100005900 	1e-98 	319.0 	2.6e-57 	182.8	
RIFIN-A.hmm 	PfKH02_100006000 	2.1e-142 	462.6 	2.3e-142 	462.4	
RIFIN-B.hmm 	PfKH02_100006000 	4.8e-99 	319.8 	5.1e-55 	175.1	
STEVOR1.hmm 	PfKH02_100006000 	8.5e-11 	29.5 	3.9e-07 	17.5	
RIFIN-A.hmm 	PfKH02_100006100 	1.6e-96 	311.8 	8.4e-59 	187.7	
STEVOR1.hmm 	PfKH02_100006100 	1.7e-15 	45.0 	4.6e-10 	27.1	
RIFIN-B.hmm 	PfKH02_100006100 	5.4e-145 	470.7 	6.1e-145 	470.6	
RIFIN-A.hmm 	PfKH02_100045000 	1.8e-146 	476.0 	2e-146 	475.8	
RIFIN-B.hmm 	PfKH02_100045000 	2.1e-106 	343.9 	1.3e-64 	206.6	
STEVOR1.hmm 	PfKH02_100045000 	3.7e-12 	34.0 	2.1e-10 	28.2	
RIFIN-B.hmm 	PfKH02_100045100 	1.4e-115 	374.0 	2.2e-65 	209.1	
STEVOR1.hmm 	PfKH02_100045100 	3.2e-15 	44.0 	5.4e-10 	26.9	
RIFIN-A.hmm 	PfKH02_100045100 	7.6e-149 	483.8 	8.5e-149 	483.6	
RIFIN-B.hmm 	PfKH02_100045200 	1.1e-115 	374.4 	9.6e-70 	223.5	
STEVOR1.hmm 	PfKH02_100045200 	2e-10 	28.3 	4.3e-08 	20.7	
RIFIN-A.hmm 	PfKH02_100045200 	4.6e-159 	517.4 	5.2e-159 	517.2	
RIFIN-B.hmm 	PfKH02_100045300 	4.5e-130 	421.7 	5e-130 	421.5	
STEVOR1.hmm 	PfKH02_100045300 	5.1e-14 	40.1 	7e-11 	29.8	
RIFIN-A.hmm 	PfKH02_100045300 	7.4e-90 	289.8 	7.4e-51 	161.6	
STEVOR1.hmm 	PfKH02_100045400 	1.4e-11 	32.1 	1.7e-09 	25.2	
RIFIN-A.hmm 	PfKH02_100045400 	2.5e-142 	462.4 	2.8e-142 	462.2	
RIFIN-B.hmm 	PfKH02_100045400 	3.9e-106 	343.0 	2.3e-61 	195.9	
STEVOR1.hmm 	PfKH02_100045700 	1.2e-08 	22.4 	1.5e-08 	22.1	
RIFIN-B.hmm 	PfKH02_100045700 	1.3e-35 	111.3 	1.5e-35 	111.1	
RIFIN-A.hmm 	PfKH02_100045700 	2.9e-33 	103.7 	3.6e-33 	103.4	
RIFIN-A.hmm 	PfKH02_110005800 	1.6e-153 	499.1 	1.8e-153 	499.0	
STEVOR1.hmm 	PfKH02_110005800 	2.6e-10 	27.9 	2.4e-07 	18.2	
RIFIN-B.hmm 	PfKH02_110005800 	9.2e-110 	355.0 	2.4e-60 	192.6	
RIFIN-B.hmm 	PfKH02_110005900 	1.8e-120 	390.2 	2e-120 	390.0	
RIFIN-A.hmm 	PfKH02_110005900 	1e-115 	374.8 	1.2e-63 	203.7	
STEVOR1.hmm 	PfKH02_110005900 	7.5e-11 	29.7 	1.2e-07 	19.2	
RIFIN-B.hmm 	PfKH02_110006000 	5.4e-150 	487.2 	6.1e-150 	487.0	
STEVOR1.hmm 	PfKH02_110006000 	6.5e-16 	46.3 	1.4e-12 	35.4	
RIFIN-A.hmm 	PfKH02_110006000 	6.8e-101 	326.1 	2.8e-61 	195.8	
STEVOR1.hmm 	PfKH02_110006100 	2.3e-10 	28.1 	7.9e-07 	16.5	
RIFIN-B.hmm 	PfKH02_110006100 	3.6e-102 	330.0 	3.1e-54 	172.5	
RIFIN-A.hmm 	PfKH02_110006100 	8.8e-151 	490.2 	9.8e-151 	490.0	
RIFIN-B.hmm 	PfKH02_110006200 	2.2e-112 	363.6 	3.2e-66 	211.9	
RIFIN-A.hmm 	PfKH02_110006200 	6.3e-157 	510.3 	7.1e-157 	510.2	
STEVOR1.hmm 	PfKH02_110006200 	7.7e-08 	19.8 	1.3e-07 	19.1	
RIFIN-A.hmm 	PfKH02_110006300 	1.4e-95 	308.6 	4.3e-59 	188.7	
STEVOR1.hmm 	PfKH02_110006300 	1.7e-15 	45.0 	1.1e-09 	25.9	
RIFIN-B.hmm 	PfKH02_110006300 	1e-138 	450.1 	1.2e-138 	449.9	
RIFIN-B.hmm 	PfKH02_110006500 	1.4e-103 	334.7 	1e-58 	187.3	
STEVOR1.hmm 	PfKH02_110006500 	1.4e-14 	41.9 	2.3e-11 	31.4	
RIFIN-A.hmm 	PfKH02_110006500 	2e-141 	459.4 	2.3e-141 	459.2	
STEVOR1.hmm 	PfKH02_110006600 	2.7e-17 	50.9 	1.2e-11 	32.3	
RIFIN-B.hmm 	PfKH02_110006600 	2.8e-89 	287.7 	4.7e-51 	162.0	
RIFIN-A.hmm 	PfKH02_110006600 	2e-123 	400.2 	2.3e-123 	400.0	
RIFIN-B.hmm 	PfKH02_110054300 	1.1e-90 	292.2 	1.9e-50 	160.1	
RIFIN-A.hmm 	PfKH02_110054300 	1.7e-129 	420.2 	1.9e-129 	420.0	
STEVOR1.hmm 	PfKH02_110054300 	2.7e-12 	34.4 	3.3e-09 	24.3	
RIFIN-A.hmm 	PfKH02_110054400 	0.00028 	8.4 	0.00061 	7.3	
STEVOR1.hmm 	PfKH02_110054400 	3.2e-46 	145.9 	3.7e-46 	145.6	
STEVOR1.hmm 	PfKH02_110054600 	1.6e-08 	22.1 	4.8e-06 	13.9	
RIFIN-A.hmm 	PfKH02_110054600 	5.1e-135 	438.3 	5.6e-135 	438.2	
RIFIN-B.hmm 	PfKH02_110054600 	6.2e-101 	326.0 	8.8e-53 	167.7	
STEVOR1.hmm 	PfKH02_110054700 	1.5e-10 	28.7 	6.9e-08 	20.0	
RIFIN-A.hmm 	PfKH02_110054700 	1.9e-97 	314.7 	1.3e-62 	200.2	
RIFIN-B.hmm 	PfKH02_110054700 	3.3e-153 	497.7 	3.7e-153 	497.6	
STEVOR1.hmm 	PfKH02_120005200 	2.4e-13 	37.9 	7.5e-09 	23.1	
RIFIN-A.hmm 	PfKH02_120005200 	3.3e-153 	498.1 	3.7e-153 	498.0	
RIFIN-B.hmm 	PfKH02_120005200 	4e-110 	356.2 	6e-62 	197.8	
RIFIN-A.hmm 	PfKH02_120005400 	1.8e-105 	341.1 	5e-62 	198.3	
STEVOR1.hmm 	PfKH02_120005400 	2.9e-13 	37.6 	2.1e-08 	21.7	
RIFIN-B.hmm 	PfKH02_120005400 	3.4e-134 	435.2 	3.8e-134 	435.1	
RIFIN-A.hmm 	PfKH02_120005500 	1.5e-130 	423.6 	1.7e-130 	423.4	
STEVOR1.hmm 	PfKH02_120005500 	2.3e-17 	51.1 	9.1e-12 	32.7	
RIFIN-B.hmm 	PfKH02_120005500 	7.4e-112 	361.8 	1.7e-59 	189.8	
STEVOR1.hmm 	PfKH02_120005600 	2.9e-22 	67.2 	3.4e-18 	53.8	
RIFIN-B.hmm 	PfKH02_120005600 	6e-08 	20.4 	1.1e-07 	19.5	
RIFIN-A.hmm 	PfKH02_120005800 	2.7e-93 	301.1 	3.9e-51 	162.5	
RIFIN-B.hmm 	PfKH02_120005800 	3.2e-136 	441.9 	3.5e-136 	441.8	
STEVOR1.hmm 	PfKH02_120005800 	5.5e-16 	46.6 	1.8e-11 	31.8	
STEVOR1.hmm 	PfKH02_120005900 	1e-17 	52.2 	9.4e-12 	32.7	
RIFIN-B.hmm 	PfKH02_120005900 	3.6e-101 	326.7 	2.4e-55 	176.1	
RIFIN-A.hmm 	PfKH02_120005900 	3.7e-136 	442.0 	4.2e-136 	441.9	
STEVOR1.hmm 	PfKH02_120006000 	1.6e-169 	550.8 	1.8e-169 	550.6	
RIFIN-B.hmm 	PfKH02_120006000 	2e-15 	45.0 	2.4e-13 	38.1	
RIFIN-A.hmm 	PfKH02_120006000 	3.8e-13 	37.6 	2.4e-11 	31.6	
RIFIN-A.hmm 	PfKH02_120045400 	1.4e-130 	423.7 	1.6e-130 	423.5	
STEVOR1.hmm 	PfKH02_120045400 	4.3e-17 	50.2 	1.3e-12 	35.5	
RIFIN-B.hmm 	PfKH02_120045400 	8.6e-96 	309.1 	3.7e-54 	172.2	
STEVOR1.hmm 	PfKH02_120058600 	2.7e-08 	21.3 	2.6e-06 	14.8	
RIFIN-B.hmm 	PfKH02_120058600 	5.7e-96 	309.6 	9.8e-52 	164.3	
RIFIN-A.hmm 	PfKH02_120058600 	9e-125 	404.6 	1.1e-124 	404.4	
RIFIN-B.hmm 	PfKH02_120058700 	3.3e-140 	455.0 	3.7e-140 	454.8	
RIFIN-A.hmm 	PfKH02_120058700 	4.4e-96 	310.3 	2.7e-57 	182.7	
STEVOR1.hmm 	PfKH02_120058700 	8.4e-17 	49.3 	3.2e-10 	27.7	
RIFIN-B.hmm 	PfKH02_120058800 	4.7e-115 	372.3 	2.5e-72 	232.0	
STEVOR1.hmm 	PfKH02_120058800 	6e-12 	33.3 	4.8e-08 	20.5	
RIFIN-A.hmm 	PfKH02_120058800 	7.6e-150 	487.1 	8.5e-150 	486.9	
RIFIN-A.hmm 	PfKH02_120058900 	1.1e-95 	308.9 	4.6e-57 	182.0	
RIFIN-B.hmm 	PfKH02_120058900 	1.6e-131 	426.5 	1.8e-131 	426.3	
STEVOR1.hmm 	PfKH02_120058900 	1.6e-14 	41.7 	2.1e-09 	25.0	
STEVOR1.hmm 	PfKH02_120059000 	1.2e-09 	25.8 	1.5e-07 	18.9	
RIFIN-A.hmm 	PfKH02_120059000 	1.2e-143 	466.7 	1.4e-143 	466.5	
RIFIN-B.hmm 	PfKH02_120059000 	7.3e-120 	388.2 	2.5e-67 	215.5	
RIFIN-A.hmm 	PfKH02_120059100 	1e-12 	36.2 	3.2e-10 	27.9	
STEVOR1.hmm 	PfKH02_120059100 	3.3e-167 	543.2 	3.7e-167 	543.0	
RIFIN-B.hmm 	PfKH02_120059100 	9.3e-14 	39.5 	6.4e-12 	33.5	
STEVOR1.hmm 	PfKH02_120059200 	1.8e-11 	31.7 	2.3e-10 	28.1	
RIFIN-A.hmm 	PfKH02_120059200 	4.5e-118 	382.6 	5.1e-118 	382.4	
RIFIN-B.hmm 	PfKH02_120059200 	4.6e-85 	273.8 	3.7e-48 	152.5	
RIFIN-B.hmm 	PfKH02_120059300 	2.3e-85 	274.8 	1.9e-50 	160.1	
RIFIN-A.hmm 	PfKH02_120059300 	2.4e-131 	426.3 	3e-131 	425.9	
STEVOR1.hmm 	PfKH02_120059300 	4.9e-11 	30.3 	4.7e-08 	20.5	
STEVOR1.hmm 	PfKH02_130075100 	2.9e-07 	17.9 	4.7e-07 	17.2	
RIFIN-A.hmm 	PfKH02_130075100 	6.1e-131 	424.9 	7.3e-131 	424.7	
RIFIN-B.hmm 	PfKH02_130075100 	6.7e-98 	316.0 	5.9e-53 	168.3	
STEVOR1.hmm 	PfKH02_130075200 	1.4e-10 	28.8 	1.7e-07 	18.7	
RIFIN-A.hmm 	PfKH02_130075200 	2.3e-134 	436.1 	2.6e-134 	436.0	
RIFIN-B.hmm 	PfKH02_130075200 	5.1e-97 	313.1 	4.5e-53 	168.7	
RIFIN-A.hmm 	PfKH02_130075300 	2.2e-100 	324.4 	1e-54 	174.3	
RIFIN-B.hmm 	PfKH02_130075300 	6.4e-139 	450.8 	7.1e-139 	450.6	
STEVOR1.hmm 	PfKH02_130075300 	7e-11 	29.8 	2.5e-08 	21.4	
RIFIN-A.hmm 	PfKH02_130075400 	2.8e-143 	465.5 	3.2e-143 	465.3	
RIFIN-B.hmm 	PfKH02_130075400 	3.4e-100 	323.5 	3.6e-59 	188.7	
STEVOR1.hmm 	PfKH02_130075400 	5.2e-11 	30.2 	3.2e-07 	17.8	
STEVOR1.hmm 	PfKH02_140005600 	1.3e-10 	28.9 	1.1e-08 	22.6	
RIFIN-B.hmm 	PfKH02_140005600 	1.4e-99 	321.6 	5.6e-53 	168.4	
RIFIN-A.hmm 	PfKH02_140005600 	2.7e-155 	505.0 	3e-155 	504.8	
RIFIN-B.hmm 	PfKH02_140005700 	1.6e-93 	301.6 	1.5e-53 	170.2	
RIFIN-A.hmm 	PfKH02_140005700 	5e-145 	471.2 	5.6e-145 	471.1	
STEVOR1.hmm 	PfKH02_140005700 	6.5e-10 	26.6 	5.7e-07 	17.0	
RIFIN-A.hmm 	PfKH02_140005800 	2.7e-140 	455.7 	3e-140 	455.5	
STEVOR1.hmm 	PfKH02_140005800 	4e-14 	40.5 	1.7e-09 	25.3	
RIFIN-B.hmm 	PfKH02_140005800 	5.4e-101 	326.1 	2.3e-54 	172.9	
STEVOR1.hmm 	PfKH02_140005900 	1.8e-163 	530.9 	2e-163 	530.7	
RIFIN-A.hmm 	PfKH02_140005900 	2.7e-09 	24.9 	6.6e-09 	23.6	
RIFIN-B.hmm 	PfKH02_140005900 	5.5e-13 	36.9 	9.4e-12 	32.9	
STEVOR1.hmm 	PfKH02_140006000 	2e-16 	48.0 	4.3e-11 	30.5	
RIFIN-B.hmm 	PfKH02_140006000 	3.7e-140 	454.8 	4.2e-140 	454.7	
RIFIN-A.hmm 	PfKH02_140006000 	9.6e-95 	305.9 	3.1e-56 	179.2	
RIFIN-B.hmm 	PfKH02_140006100 	1.2e-152 	495.9 	1.3e-152 	495.7	
STEVOR1.hmm 	PfKH02_140006100 	1.4e-15 	45.3 	4.1e-10 	27.3	
RIFIN-A.hmm 	PfKH02_140006100 	2.2e-103 	334.3 	6.9e-66 	211.0	
RIFIN-A.hmm 	PfKH02_140006200 	3.6e-148 	481.6 	4e-148 	481.4	
RIFIN-B.hmm 	PfKH02_140006200 	6.4e-101 	325.9 	5.7e-54 	171.6	
STEVOR1.hmm 	PfKH02_140006200 	6.6e-15 	43.0 	1.4e-09 	25.5	
RIFIN-B.hmm 	PfKH02_140006300 	3.6e-12 	34.3 	4.1e-11 	30.8	
RIFIN-A.hmm 	PfKH02_140006300 	5.2e-11 	30.5 	4.1e-10 	27.6	
STEVOR1.hmm 	PfKH02_140006300 	5.6e-170 	552.3 	6.3e-170 	552.1	
RIFIN-A.hmm 	PfKH02_140006400 	1.6e-140 	456.4 	1.8e-140 	456.3	
RIFIN-B.hmm 	PfKH02_140006400 	2.6e-104 	337.0 	3.8e-55 	175.5	
STEVOR1.hmm 	PfKH02_140006400 	8e-11 	29.6 	1.5e-08 	22.1	
STEVOR1.hmm 	PfKH02_140006500 	1.7e-08 	22.0 	1.1e-07 	19.4	
RIFIN-B.hmm 	PfKH02_140006500 	2.5e-135 	438.9 	2.8e-135 	438.8	
RIFIN-A.hmm 	PfKH02_140006500 	9.3e-91 	292.8 	2.4e-52 	166.4	
