RIFIN-B.hmm 	PfKE01_000005100 	1.1e-103 	335.0 	3.3e-55 	175.7	
RIFIN-B.hmm 	PfKE01_070035200 	1.1e-105 	341.5 	1.2e-57 	183.7	
RIFIN-A.hmm 	PfKE01_070035200 	1.2e-155 	506.1 	1.4e-155 	506.0	
STEVOR1.hmm 	PfKE01_070035200 	9.2e-09 	22.8 	1.2e-07 	19.2	
RIFIN-B.hmm 	PfKE01_080005500 	1.7e-99 	321.2 	3.5e-52 	165.7	
STEVOR1.hmm 	PfKE01_080005500 	2.4e-12 	34.6 	4.7e-09 	23.8	
RIFIN-A.hmm 	PfKE01_080005500 	7.2e-148 	480.6 	8.1e-148 	480.4	
RIFIN-A.hmm 	PfKE01_080005700 	3.4e-149 	484.9 	3.9e-149 	484.8	
RIFIN-B.hmm 	PfKE01_080005700 	4.7e-97 	313.2 	1.5e-51 	163.7	
STEVOR1.hmm 	PfKE01_080005700 	5.8e-13 	36.7 	8.5e-10 	26.2	
RIFIN-A.hmm 	PfKE01_080005800 	1e-99 	322.2 	1.9e-62 	199.6	
STEVOR1.hmm 	PfKE01_080005800 	2.7e-12 	34.5 	4.5e-08 	20.6	
RIFIN-B.hmm 	PfKE01_080005800 	4.3e-153 	497.4 	4.9e-153 	497.2	
RIFIN-A.hmm 	PfKE01_080005900 	1.4e-153 	499.4 	1.6e-153 	499.2	
STEVOR1.hmm 	PfKE01_080005900 	2.5e-09 	24.7 	2e-07 	18.4	
RIFIN-B.hmm 	PfKE01_080005900 	3.6e-105 	339.9 	3.8e-59 	188.6	
STEVOR1.hmm 	PfKE01_080006100 	1.3e-166 	541.2 	1.6e-166 	540.9	
RIFIN-A.hmm 	PfKE01_080006100 	1.5e-11 	32.3 	8.2e-09 	23.3	
RIFIN-B.hmm 	PfKE01_080006100 	2.7e-14 	41.3 	4.7e-11 	30.6	
STEVOR1.hmm 	PfKE01_080006200 	2.3e-15 	44.5 	9.8e-12 	32.6	
RIFIN-B.hmm 	PfKE01_080006200 	3.6e-139 	451.6 	4.1e-139 	451.4	
RIFIN-A.hmm 	PfKE01_080006200 	9e-93 	299.4 	1.8e-55 	176.8	
RIFIN-B.hmm 	PfKE01_080006300 	1.3e-108 	351.2 	3.9e-61 	195.2	
RIFIN-A.hmm 	PfKE01_080006300 	4.9e-155 	504.1 	5.5e-155 	504.0	
STEVOR1.hmm 	PfKE01_080006300 	6.6e-11 	29.9 	1.1e-08 	22.6	
RIFIN-B.hmm 	PfKE01_080014400 	1.3e-98 	318.4 	6.9e-52 	164.8	
STEVOR1.hmm 	PfKE01_080014400 	2.5e-07 	18.1 	1.3e-06 	15.8	
RIFIN-A.hmm 	PfKE01_080014400 	3.6e-143 	465.1 	4e-143 	465.0	
STEVOR1.hmm 	PfKE01_080014500 	1.3e-10 	29.0 	7.8e-09 	23.1	
RIFIN-B.hmm 	PfKE01_080014500 	1.8e-100 	324.5 	3.4e-56 	178.9	
RIFIN-A.hmm 	PfKE01_080014500 	2.2e-152 	495.4 	2.4e-152 	495.3	
STEVOR1.hmm 	PfKE01_080037500 	3.5e-82 	263.9 	1.5e-81 	261.9	
RIFIN-A.hmm 	PfKE01_080037700 	1.7e-154 	502.4 	1.9e-154 	502.2	
STEVOR1.hmm 	PfKE01_080037700 	2.5e-13 	37.9 	1.4e-08 	22.3	
RIFIN-B.hmm 	PfKE01_080037700 	4.5e-108 	349.4 	1.8e-60 	193.0	
STEVOR1.hmm 	PfKE01_090005400 	3.8e-11 	30.7 	5.3e-08 	20.3	
RIFIN-A.hmm 	PfKE01_090005400 	4.6e-153 	497.7 	5.2e-153 	497.5	
RIFIN-B.hmm 	PfKE01_090005400 	9.5e-100 	322.1 	3.5e-54 	172.3	
STEVOR1.hmm 	PfKE01_090005500 	2.1e-11 	31.5 	3.3e-08 	21.0	
RIFIN-B.hmm 	PfKE01_090005500 	3e-140 	455.1 	3.5e-140 	454.9	
RIFIN-A.hmm 	PfKE01_090005500 	9.9e-110 	355.2 	4.9e-66 	211.5	
RIFIN-B.hmm 	PfKE01_090005700 	1.1e-103 	335.0 	3.7e-56 	178.8	
STEVOR1.hmm 	PfKE01_090005700 	1.4e-10 	28.8 	3.4e-08 	21.0	
RIFIN-A.hmm 	PfKE01_090005700 	4.5e-142 	461.5 	5.1e-142 	461.3	
STEVOR1.hmm 	PfKE01_090005800 	2.6e-16 	47.6 	2.6e-10 	28.0	
RIFIN-B.hmm 	PfKE01_090005800 	7.5e-142 	460.4 	8.4e-142 	460.2	
RIFIN-A.hmm 	PfKE01_090005800 	8e-101 	325.9 	4.1e-62 	198.6	
RIFIN-B.hmm 	PfKE01_090005900 	2.5e-98 	317.4 	1.7e-51 	163.5	
RIFIN-A.hmm 	PfKE01_090005900 	2e-146 	475.8 	2.3e-146 	475.6	
STEVOR1.hmm 	PfKE01_090005900 	4.3e-09 	23.9 	7.7e-07 	16.5	
RIFIN-B.hmm 	PfKE01_090006100 	0.022 	2.1 	0.0043 	4.5	
STEVOR1.hmm 	PfKE01_090006100 	5.2e-22 	66.3 	1.2e-21 	65.2	
RIFIN-A.hmm 	PfKE01_100005600 	1e-145 	473.5 	1.1e-145 	473.3	
RIFIN-B.hmm 	PfKE01_100005600 	2.2e-97 	314.3 	2.7e-54 	172.7	
STEVOR1.hmm 	PfKE01_100005600 	2.7e-09 	24.6 	3.2e-07 	17.8	
STEVOR1.hmm 	PfKE01_100005700 	1.3e-06 	15.8 	1.3e-06 	15.8	
RIFIN-A.hmm 	PfKE01_100005700 	3.3e-139 	452.1 	3.7e-139 	451.9	
RIFIN-B.hmm 	PfKE01_100005700 	5e-102 	329.6 	3e-56 	179.1	
RIFIN-B.hmm 	PfKE01_100005800 	1.2e-13 	39.1 	5.3e-12 	33.7	
RIFIN-A.hmm 	PfKE01_100005800 	7.1e-13 	36.6 	7.2e-11 	30.1	
STEVOR1.hmm 	PfKE01_100005800 	7e-167 	542.1 	7.8e-167 	541.9	
RIFIN-B.hmm 	PfKE01_100005900 	2.1e-96 	311.1 	4.1e-50 	158.9	
STEVOR1.hmm 	PfKE01_100005900 	2.2e-12 	34.7 	7.9e-08 	19.8	
RIFIN-A.hmm 	PfKE01_100005900 	2.5e-141 	459.1 	2.8e-141 	458.9	
RIFIN-A.hmm 	PfKE01_100006000 	1.4e-98 	318.5 	3.2e-60 	192.3	
RIFIN-B.hmm 	PfKE01_100006000 	3e-143 	465.0 	3.4e-143 	464.8	
STEVOR1.hmm 	PfKE01_100006000 	7e-13 	36.4 	2e-09 	25.0	
STEVOR1.hmm 	PfKE01_100045300 	2.4e-16 	47.7 	1.7e-10 	28.5	
RIFIN-B.hmm 	PfKE01_100045300 	5.7e-106 	342.5 	1.1e-59 	190.4	
RIFIN-A.hmm 	PfKE01_100045300 	9.6e-137 	444.0 	1.1e-136 	443.8	
RIFIN-A.hmm 	PfKE01_100045400 	1.1e-67 	216.9 	6.6e-46 	145.3	
STEVOR1.hmm 	PfKE01_100045400 	2.1e-07 	18.4 	2.1e-07 	18.4	
RIFIN-B.hmm 	PfKE01_100045400 	4.5e-102 	329.7 	5.5e-102 	329.4	
RIFIN-A.hmm 	PfKE01_110005700 	1.2e-132 	430.5 	1.6e-132 	430.1	
RIFIN-B.hmm 	PfKE01_110005700 	1.8e-86 	278.4 	8.2e-49 	154.7	
STEVOR1.hmm 	PfKE01_110005700 	7.1e-17 	49.5 	6.8e-12 	33.1	
RIFIN-A.hmm 	PfKE01_110005800 	1.9e-149 	485.8 	2.1e-149 	485.6	
STEVOR1.hmm 	PfKE01_110005800 	6.9e-10 	26.5 	2e-08 	21.8	
RIFIN-B.hmm 	PfKE01_110005800 	9.5e-103 	331.9 	3.3e-60 	192.1	
STEVOR1.hmm 	PfKE01_110005900 	1.1e-168 	548.0 	1.3e-168 	547.8	
RIFIN-B.hmm 	PfKE01_110005900 	2e-13 	38.4 	2e-13 	38.4	
RIFIN-A.hmm 	PfKE01_110005900 	3.5e-12 	34.4 	3.5e-12 	34.4	
RIFIN-B.hmm 	PfKE01_110006000 	1.5e-129 	420.0 	1.7e-129 	419.8	
STEVOR1.hmm 	PfKE01_110006000 	6.2e-14 	39.8 	2.2e-09 	24.9	
RIFIN-A.hmm 	PfKE01_110006000 	6.3e-109 	352.5 	1.7e-58 	186.7	
STEVOR1.hmm 	PfKE01_110006100 	1.7e-14 	41.7 	3.2e-09 	24.4	
RIFIN-A.hmm 	PfKE01_110006100 	2.2e-152 	495.4 	2.5e-152 	495.2	
RIFIN-B.hmm 	PfKE01_110006100 	3.3e-107 	346.6 	4.1e-57 	181.9	
RIFIN-A.hmm 	PfKE01_110006200 	1.2e-140 	456.8 	1.4e-140 	456.6	
RIFIN-B.hmm 	PfKE01_110006200 	1.3e-101 	328.1 	6.2e-53 	168.2	
STEVOR1.hmm 	PfKE01_110006200 	7.6e-15 	42.8 	8.5e-12 	32.8	
RIFIN-B.hmm 	PfKE01_110053800 	1.3e-128 	416.9 	2.4e-91 	294.5	
STEVOR1.hmm 	PfKE01_110053800 	2.3e-10 	28.1 	1.9e-06 	15.2	
RIFIN-A.hmm 	PfKE01_110053800 	9.4e-88 	282.9 	2.6e-47 	149.9	
RIFIN-B.hmm 	PfKE01_110053900 	1.4e-15 	45.5 	4.1e-12 	34.1	
STEVOR1.hmm 	PfKE01_110053900 	1.9e-158 	514.4 	2.1e-158 	514.2	
RIFIN-A.hmm 	PfKE01_110053900 	4.7e-14 	40.5 	1.5e-11 	32.3	
RIFIN-A.hmm 	PfKE01_110054000 	1.7e-146 	476.0 	2e-146 	475.9	
STEVOR1.hmm 	PfKE01_110054000 	5.7e-15 	43.2 	8.7e-11 	29.5	
RIFIN-B.hmm 	PfKE01_110054000 	5.8e-105 	339.2 	6.4e-56 	178.0	
RIFIN-B.hmm 	PfKE01_120005500 	1.7e-113 	367.2 	3.2e-66 	211.9	
STEVOR1.hmm 	PfKE01_120005500 	2.6e-10 	27.9 	2.2e-08 	21.6	
RIFIN-A.hmm 	PfKE01_120005500 	4e-161 	524.2 	4.5e-161 	524.0	
RIFIN-A.hmm 	PfKE01_120005700 	1.1e-98 	318.9 	6.4e-57 	181.5	
RIFIN-B.hmm 	PfKE01_120005700 	2.3e-145 	472.0 	2.6e-145 	471.8	
STEVOR1.hmm 	PfKE01_120005700 	2.7e-11 	31.2 	7.5e-09 	23.1	
RIFIN-A.hmm 	PfKE01_120005900 	6.1e-143 	464.4 	6.8e-143 	464.2	
STEVOR1.hmm 	PfKE01_120005900 	6.3e-18 	52.9 	2.5e-12 	34.6	
RIFIN-B.hmm 	PfKE01_120005900 	8.6e-115 	371.5 	3.2e-67 	215.2	
RIFIN-B.hmm 	PfKE01_120006000 	2.1e-110 	357.1 	5.6e-64 	204.5	
RIFIN-A.hmm 	PfKE01_120006000 	2.2e-151 	492.1 	2.5e-151 	491.9	
STEVOR1.hmm 	PfKE01_120006000 	5.5e-14 	40.0 	5.2e-09 	23.7	
STEVOR1.hmm 	PfKE01_120045200 	1.1e-08 	22.5 	1.4e-08 	22.3	
RIFIN-A.hmm 	PfKE01_120045200 	1.8e-33 	104.4 	2.2e-33 	104.1	
RIFIN-B.hmm 	PfKE01_120045200 	9.7e-36 	111.7 	1.1e-35 	111.5	
RIFIN-A.hmm 	PfKE01_120045500 	1.3e-67 	216.6 	7.6e-67 	214.1	
RIFIN-B.hmm 	PfKE01_120045500 	2.8e-46 	146.3 	1.6e-37 	117.6	
STEVOR1.hmm 	PfKE01_120059400 	1.1e-08 	22.5 	7.6e-07 	16.6	
RIFIN-B.hmm 	PfKE01_120059400 	7.5e-96 	309.2 	3e-50 	159.4	
RIFIN-A.hmm 	PfKE01_120059400 	8e-120 	388.4 	9.4e-120 	388.1	
RIFIN-B.hmm 	PfKE01_120059500 	1.2e-16 	49.0 	5e-12 	33.8	
STEVOR1.hmm 	PfKE01_120059500 	6.1e-167 	542.3 	6.8e-167 	542.1	
RIFIN-A.hmm 	PfKE01_120059500 	7.2e-15 	43.2 	4.5e-11 	30.7	
RIFIN-B.hmm 	PfKE01_120059600 	5.2e-98 	316.4 	1.1e-51 	164.1	
STEVOR1.hmm 	PfKE01_120059600 	6.8e-08 	20.0 	8.3e-07 	16.4	
RIFIN-A.hmm 	PfKE01_120059600 	7.8e-154 	500.2 	8.7e-154 	500.0	
STEVOR1.hmm 	PfKE01_120059700 	3.3e-13 	37.5 	9.3e-10 	26.1	
RIFIN-B.hmm 	PfKE01_120059700 	3e-133 	432.1 	3.4e-133 	432.0	
RIFIN-A.hmm 	PfKE01_120059700 	9.1e-91 	292.8 	3.2e-52 	166.1	
RIFIN-A.hmm 	PfKE01_120059800 	1.3e-11 	32.5 	8.4e-09 	23.3	
RIFIN-B.hmm 	PfKE01_120059800 	2.5e-13 	38.1 	1.1e-09 	26.1	
STEVOR1.hmm 	PfKE01_120059800 	4.6e-168 	546.0 	5.2e-168 	545.8	
RIFIN-B.hmm 	PfKE01_120060000 	5e-100 	323.0 	5.3e-56 	178.3	
RIFIN-A.hmm 	PfKE01_120060000 	6.3e-145 	470.9 	7e-145 	470.7	
STEVOR1.hmm 	PfKE01_120060000 	6.9e-13 	36.4 	3.3e-08 	21.0	
RIFIN-B.hmm 	PfKE01_120060100 	1.2e-100 	325.0 	2.8e-54 	172.6	
STEVOR1.hmm 	PfKE01_120060100 	1.7e-10 	28.5 	2e-08 	21.8	
RIFIN-A.hmm 	PfKE01_120060100 	6.9e-152 	493.8 	7.8e-152 	493.6	
RIFIN-B.hmm 	PfKE01_120060200 	1.1e-111 	361.3 	3.2e-65 	208.6	
RIFIN-A.hmm 	PfKE01_120060200 	1.9e-156 	508.8 	2.1e-156 	508.6	
STEVOR1.hmm 	PfKE01_120060200 	7.5e-12 	33.0 	8.9e-08 	19.6	
STEVOR1.hmm 	PfKE01_130005500 	3.1e-10 	27.7 	1.4e-07 	19.0	
RIFIN-A.hmm 	PfKE01_130005500 	4e-148 	481.4 	4.5e-148 	481.3	
RIFIN-B.hmm 	PfKE01_130005500 	5.1e-103 	332.8 	7e-56 	177.9	
RIFIN-A.hmm 	PfKE01_130005700 	1.2e-137 	446.9 	1.4e-137 	446.7	
STEVOR1.hmm 	PfKE01_130005700 	2.4e-08 	21.5 	2.4e-08 	21.5	
RIFIN-B.hmm 	PfKE01_130005700 	8.9e-99 	318.9 	2.8e-55 	175.9	
STEVOR1.hmm 	PfKE01_130005800 	2.8e-165 	536.8 	3.1e-165 	536.7	
RIFIN-B.hmm 	PfKE01_130005800 	4.9e-15 	43.7 	2.1e-12 	35.1	
RIFIN-A.hmm 	PfKE01_130005800 	8.6e-14 	39.7 	1.7e-11 	32.1	
RIFIN-A.hmm 	PfKE01_130005900 	1.5e-102 	331.5 	2.1e-57 	183.1	
RIFIN-B.hmm 	PfKE01_130005900 	1.8e-145 	472.3 	2e-145 	472.2	
STEVOR1.hmm 	PfKE01_130005900 	1e-13 	39.1 	5.8e-10 	26.8	
RIFIN-B.hmm 	PfKE01_130006000 	1.9e-94 	304.7 	3.4e-54 	172.4	
STEVOR1.hmm 	PfKE01_130006000 	2.3e-14 	41.3 	2e-11 	31.6	
RIFIN-A.hmm 	PfKE01_130006000 	9.8e-138 	447.2 	1.1e-137 	447.1	
STEVOR1.hmm 	PfKE01_130006100 	2.4e-169 	550.2 	2.7e-169 	550.0	
RIFIN-B.hmm 	PfKE01_130006100 	4.7e-14 	40.5 	1.6e-10 	28.8	
RIFIN-A.hmm 	PfKE01_130006100 	9.7e-13 	36.2 	7.3e-09 	23.5	
RIFIN-A.hmm 	PfKE01_130006200 	1.5e-95 	308.6 	3.9e-51 	162.5	
STEVOR1.hmm 	PfKE01_130006200 	2.6e-13 	37.8 	3.6e-09 	24.2	
RIFIN-B.hmm 	PfKE01_130006200 	4e-139 	451.4 	4.5e-139 	451.3	
RIFIN-A.hmm 	PfKE01_130077600 	0.00017 	9.1 	0.017 	2.5	
STEVOR1.hmm 	PfKE01_130077600 	3.3e-98 	316.6 	3.7e-98 	316.4	
RIFIN-B.hmm 	PfKE01_130077800 	2.1e-12 	35.1 	2.2e-12 	35.0	
RIFIN-A.hmm 	PfKE01_130077800 	2.2e-34 	107.4 	2.4e-34 	107.3	
RIFIN-A.hmm 	PfKE01_140005400 	3.9e-158 	514.3 	4.4e-158 	514.2	
RIFIN-B.hmm 	PfKE01_140005400 	4e-106 	343.0 	2.5e-60 	192.5	
STEVOR1.hmm 	PfKE01_140005400 	5.6e-14 	40.0 	1.3e-09 	25.6	
RIFIN-B.hmm 	PfKE01_140005500 	1.4e-151 	492.3 	1.6e-151 	492.2	
STEVOR1.hmm 	PfKE01_140005500 	2.7e-15 	44.3 	2.8e-10 	27.8	
RIFIN-A.hmm 	PfKE01_140005500 	6.2e-100 	322.9 	1.4e-60 	193.5	
STEVOR1.hmm 	PfKE01_140005700 	1.5e-11 	32.0 	2.6e-08 	21.4	
RIFIN-A.hmm 	PfKE01_140005700 	4e-145 	471.5 	4.5e-145 	471.4	
RIFIN-B.hmm 	PfKE01_140005700 	6.4e-105 	339.0 	2.3e-57 	182.8	
RIFIN-B.hmm 	PfKE01_140005800 	1.3e-84 	272.3 	2e-49 	156.7	
RIFIN-A.hmm 	PfKE01_140005800 	3.7e-130 	422.3 	1.1e-129 	420.8	
STEVOR1.hmm 	PfKE01_140005800 	8e-16 	46.0 	1.8e-09 	25.2	
STEVOR1.hmm 	PfKE01_140005900 	1.9e-14 	41.5 	5.7e-10 	26.8	
RIFIN-A.hmm 	PfKE01_140005900 	2e-127 	413.3 	6.1e-127 	411.8	
RIFIN-B.hmm 	PfKE01_140005900 	3.1e-84 	271.1 	1e-48 	154.3	
RIFIN-B.hmm 	PfKE01_140006000 	1.1e-12 	36.0 	4e-11 	30.8	
RIFIN-A.hmm 	PfKE01_140006000 	3.4e-12 	34.4 	9.8e-11 	29.6	
STEVOR1.hmm 	PfKE01_140006000 	3.5e-164 	533.2 	4e-164 	533.1	
RIFIN-A.hmm 	PfKE01_140083700 	4.4e-98 	316.9 	1.4e-54 	173.8	
RIFIN-B.hmm 	PfKE01_140083700 	7.4e-144 	467.0 	8.3e-144 	466.8	
STEVOR1.hmm 	PfKE01_140083700 	7.6e-12 	33.0 	8.4e-08 	19.7	
STEVOR1.hmm 	PfKE01_140083800 	1.8e-167 	544.0 	2.1e-167 	543.8	
RIFIN-B.hmm 	PfKE01_140083800 	3e-12 	34.5 	1.7e-10 	28.8	
RIFIN-A.hmm 	PfKE01_140083800 	4.3e-11 	30.8 	1.2e-10 	29.3	
STEVOR1.hmm 	PfKE01_140084100 	1.5e-10 	28.7 	2.9e-07 	17.9	
RIFIN-A.hmm 	PfKE01_140084100 	3.6e-153 	498.0 	4e-153 	497.8	
RIFIN-B.hmm 	PfKE01_140084100 	9.4e-97 	312.2 	1.3e-53 	170.5	
