RIFIN-A.hmm 	PfKH01_000024700 	1e-97 	315.6 	1.3e-97 	315.3	
STEVOR1.hmm 	PfKH01_050006100 	1.1e-09 	25.9 	2.7e-07 	18.0	
RIFIN-B.hmm 	PfKH01_050006100 	1e-101 	328.6 	8.5e-57 	180.9	
RIFIN-A.hmm 	PfKH01_050006100 	9.2e-155 	503.2 	1e-154 	503.1	
STEVOR1.hmm 	PfKH01_050006200 	1.6e-11 	31.9 	6.7e-08 	20.0	
RIFIN-A.hmm 	PfKH01_050006200 	2.1e-101 	327.7 	3e-63 	202.3	
RIFIN-B.hmm 	PfKH01_050006200 	5.6e-141 	457.5 	6.4e-141 	457.3	
RIFIN-B.hmm 	PfKH01_050006300 	1e-107 	348.3 	6.7e-62 	197.7	
RIFIN-A.hmm 	PfKH01_050006300 	3e-142 	462.1 	3.4e-142 	461.9	
STEVOR1.hmm 	PfKH01_050006300 	6.1e-13 	36.6 	2.2e-08 	21.6	
RIFIN-A.hmm 	PfKH01_050037600 	2e-125 	406.8 	2.4e-125 	406.5	
RIFIN-B.hmm 	PfKH01_050037600 	3.7e-95 	307.0 	9.4e-51 	161.1	
STEVOR1.hmm 	PfKH01_050037600 	7.6e-17 	49.4 	9.7e-11 	29.3	
RIFIN-B.hmm 	PfKH01_050037700 	3.2e-143 	464.9 	3.6e-143 	464.8	
STEVOR1.hmm 	PfKH01_050037700 	3e-16 	47.4 	3e-10 	27.7	
RIFIN-A.hmm 	PfKH01_050037700 	9.8e-100 	322.3 	1.5e-54 	173.7	
STEVOR1.hmm 	PfKH01_050038000 	1.1e-14 	42.4 	2.2e-10 	28.2	
RIFIN-A.hmm 	PfKH01_050038000 	2.5e-152 	495.3 	2.8e-152 	495.1	
RIFIN-B.hmm 	PfKH01_050038000 	3.3e-108 	349.8 	2e-65 	209.2	
RIFIN-A.hmm 	PfKH01_050038200 	1.8e-97 	314.8 	3.8e-60 	192.1	
STEVOR1.hmm 	PfKH01_050038200 	5.8e-12 	33.3 	7.9e-09 	23.1	
RIFIN-B.hmm 	PfKH01_050038200 	9.6e-138 	446.9 	1.1e-137 	446.7	
STEVOR1.hmm 	PfKH01_050038300 	1.1e-14 	42.3 	2.6e-09 	24.7	
RIFIN-B.hmm 	PfKH01_050038300 	1.4e-112 	364.2 	1.4e-66 	213.1	
RIFIN-A.hmm 	PfKH01_050038300 	6.5e-163 	530.0 	7.3e-163 	529.9	
STEVOR1.hmm 	PfKH01_060006800 	1.3e-11 	32.2 	1.9e-07 	18.5	
RIFIN-B.hmm 	PfKH01_060006800 	1.5e-97 	314.8 	7.2e-53 	168.0	
RIFIN-A.hmm 	PfKH01_060006800 	9.6e-146 	473.6 	1.1e-145 	473.4	
RIFIN-B.hmm 	PfKH01_060007000 	3.5e-13 	37.6 	1.4e-12 	35.6	
STEVOR1.hmm 	PfKH01_060007000 	4.9e-169 	549.2 	5.5e-169 	549.0	
RIFIN-A.hmm 	PfKH01_060007000 	8.9e-14 	39.6 	6.6e-13 	36.8	
RIFIN-B.hmm 	PfKH01_060007100 	1.7e-143 	465.8 	1.9e-143 	465.7	
STEVOR1.hmm 	PfKH01_060007100 	2.5e-12 	34.5 	5.2e-09 	23.7	
RIFIN-A.hmm 	PfKH01_060007100 	4.6e-94 	303.6 	3.6e-54 	172.4	
RIFIN-A.hmm 	PfKH01_060007200 	4.5e-143 	464.8 	5.1e-143 	464.6	
STEVOR1.hmm 	PfKH01_060007200 	5.6e-12 	33.4 	1.6e-07 	18.8	
RIFIN-B.hmm 	PfKH01_060007200 	9.2e-104 	335.2 	5.2e-59 	188.2	
RIFIN-A.hmm 	PfKH01_060007300 	1.8e-136 	443.1 	2e-136 	443.0	
STEVOR1.hmm 	PfKH01_060007300 	2.4e-15 	44.5 	3.1e-10 	27.7	
RIFIN-B.hmm 	PfKH01_060007300 	7.8e-100 	322.3 	3.7e-58 	185.4	
RIFIN-B.hmm 	PfKH01_060007400 	1e-84 	272.7 	1.4e-48 	153.9	
STEVOR1.hmm 	PfKH01_060007400 	2.3e-15 	44.5 	7.7e-13 	36.2	
RIFIN-A.hmm 	PfKH01_060007400 	4.3e-125 	405.7 	5.3e-125 	405.4	
RIFIN-B.hmm 	PfKH01_060007500 	2.9e-13 	37.8 	2.4e-11 	31.5	
STEVOR1.hmm 	PfKH01_060007500 	5.1e-165 	536.0 	5.7e-165 	535.8	
RIFIN-A.hmm 	PfKH01_060007500 	6.4e-12 	33.5 	8e-10 	26.6	
RIFIN-A.hmm 	PfKH01_060007600 	1.2e-11 	32.6 	2.6e-09 	24.9	
STEVOR1.hmm 	PfKH01_060007600 	1.4e-162 	528.0 	1.6e-162 	527.8	
RIFIN-B.hmm 	PfKH01_060007600 	2.1e-13 	38.3 	4.2e-11 	30.8	
RIFIN-B.hmm 	PfKH01_060007700 	1.4e-131 	426.7 	1.6e-131 	426.5	
STEVOR1.hmm 	PfKH01_060007700 	2.7e-07 	18.0 	3.2e-06 	14.5	
RIFIN-A.hmm 	PfKH01_060007700 	3.6e-99 	320.4 	6.2e-62 	198.0	
RIFIN-A.hmm 	PfKH01_060007800 	1.4e-134 	436.9 	1.5e-134 	436.8	
RIFIN-B.hmm 	PfKH01_060007800 	1e-104 	338.4 	1.4e-58 	186.7	
STEVOR1.hmm 	PfKH01_060007800 	3.2e-18 	53.9 	3.2e-11 	30.9	
STEVOR1.hmm 	PfKH01_060024700 	1.2e-18 	55.3 	4.6e-14 	40.3	
RIFIN-A.hmm 	PfKH01_060024700 	5.7e-143 	464.5 	6.4e-143 	464.3	
RIFIN-B.hmm 	PfKH01_060024700 	9.5e-115 	371.3 	9.4e-63 	200.5	
RIFIN-B.hmm 	PfKH01_060038900 	1.8e-101 	327.7 	7.5e-55 	174.5	
STEVOR1.hmm 	PfKH01_060038900 	1.9e-17 	51.4 	1.9e-10 	28.4	
RIFIN-A.hmm 	PfKH01_060038900 	2.8e-137 	445.8 	3.1e-137 	445.6	
STEVOR1.hmm 	PfKH01_060039000 	1.6e-11 	31.9 	2.3e-08 	21.5	
RIFIN-B.hmm 	PfKH01_060039000 	1.7e-126 	410.0 	1.9e-126 	409.8	
RIFIN-A.hmm 	PfKH01_060039000 	1.7e-91 	295.2 	8.1e-52 	164.7	
RIFIN-B.hmm 	PfKH01_060039100 	2.2e-94 	304.4 	3.9e-54 	172.2	
STEVOR1.hmm 	PfKH01_060039100 	4.9e-08 	20.5 	2.8e-07 	18.0	
RIFIN-A.hmm 	PfKH01_060039100 	8.9e-138 	447.4 	1e-137 	447.2	
RIFIN-A.hmm 	PfKH01_060039200 	1.5e-09 	25.8 	8.2e-07 	16.7	
RIFIN-B.hmm 	PfKH01_060039200 	3.8e-11 	30.9 	8.6e-10 	26.4	
STEVOR1.hmm 	PfKH01_060039200 	4.7e-153 	496.7 	7.7e-153 	496.0	
RIFIN-A.hmm 	PfKH01_060039500 	1.9e-149 	485.8 	2.1e-149 	485.6	
STEVOR1.hmm 	PfKH01_060039500 	6.9e-12 	33.1 	4.8e-08 	20.5	
RIFIN-B.hmm 	PfKH01_060039500 	7.8e-102 	328.9 	5.8e-55 	174.9	
RIFIN-B.hmm 	PfKH01_070005100 	1.6e-106 	344.3 	6.8e-59 	187.8	
STEVOR1.hmm 	PfKH01_070005100 	1e-14 	42.4 	1.8e-09 	25.2	
RIFIN-A.hmm 	PfKH01_070005100 	5.8e-155 	503.9 	6.5e-155 	503.7	
RIFIN-A.hmm 	PfKH01_070005300 	1.5e-14 	42.2 	3.4e-11 	31.1	
RIFIN-B.hmm 	PfKH01_070005300 	6.7e-13 	36.7 	2.6e-11 	31.4	
STEVOR1.hmm 	PfKH01_070005300 	6e-166 	539.0 	6.7e-166 	538.9	
RIFIN-A.hmm 	PfKH01_070005400 	1.7e-148 	482.6 	1.9e-148 	482.5	
STEVOR1.hmm 	PfKH01_070005400 	3.8e-11 	30.7 	3.6e-07 	17.6	
RIFIN-B.hmm 	PfKH01_070005400 	8.9e-101 	325.4 	4.9e-54 	171.8	
RIFIN-B.hmm 	PfKH01_070005500 	1.2e-101 	328.3 	3.2e-53 	169.2	
RIFIN-A.hmm 	PfKH01_070005500 	2.7e-124 	403.1 	3e-124 	402.9	
STEVOR1.hmm 	PfKH01_070005500 	9.1e-25 	75.4 	7e-16 	46.2	
STEVOR1.hmm 	PfKH01_070005600 	1.7e-164 	534.3 	1.9e-164 	534.1	
RIFIN-B.hmm 	PfKH01_070005600 	2.5e-12 	34.8 	5.7e-11 	30.3	
RIFIN-A.hmm 	PfKH01_070005600 	6.5e-11 	30.2 	1.2e-09 	26.0	
RIFIN-B.hmm 	PfKH01_070005700 	4.3e-140 	454.6 	4.8e-140 	454.5	
RIFIN-A.hmm 	PfKH01_070005700 	4.5e-93 	300.4 	2e-50 	160.1	
STEVOR1.hmm 	PfKH01_070005700 	8.9e-11 	29.5 	1.5e-07 	18.8	
STEVOR1.hmm 	PfKH01_070005800 	1.1e-09 	25.9 	6.3e-07 	16.8	
RIFIN-B.hmm 	PfKH01_070005800 	1.1e-86 	279.1 	2.4e-48 	153.2	
RIFIN-A.hmm 	PfKH01_070005800 	1.9e-115 	374.0 	3.5e-115 	373.1	
RIFIN-A.hmm 	PfKH01_070015900 	1.9e-09 	25.4 	1.4e-07 	19.3	
STEVOR1.hmm 	PfKH01_070015900 	1e-153 	498.9 	1.1e-153 	498.7	
RIFIN-B.hmm 	PfKH01_070015900 	2.2e-12 	34.9 	2.1e-10 	28.5	
STEVOR1.hmm 	PfKH01_070016000 	2.8e-15 	44.2 	2.4e-11 	31.3	
RIFIN-B.hmm 	PfKH01_070016000 	3.1e-96 	310.5 	3.8e-54 	172.2	
RIFIN-A.hmm 	PfKH01_070016000 	7.3e-131 	424.7 	8.2e-131 	424.5	
RIFIN-A.hmm 	PfKH01_070016100 	1.3e-144 	469.8 	1.5e-144 	469.6	
RIFIN-B.hmm 	PfKH01_070016100 	1.7e-114 	370.5 	3.1e-64 	205.4	
STEVOR1.hmm 	PfKH01_070016100 	9.8e-16 	45.7 	4.4e-11 	30.5	
RIFIN-A.hmm 	PfKH01_070016400 	1.9e-09 	25.4 	1.4e-07 	19.3	
STEVOR1.hmm 	PfKH01_070016400 	1e-153 	498.9 	1.1e-153 	498.7	
RIFIN-B.hmm 	PfKH01_070016400 	2.2e-12 	34.9 	2.1e-10 	28.5	
STEVOR1.hmm 	PfKH01_070016500 	2.8e-15 	44.2 	2.4e-11 	31.3	
RIFIN-B.hmm 	PfKH01_070016500 	3.1e-96 	310.5 	3.8e-54 	172.2	
RIFIN-A.hmm 	PfKH01_070016500 	7.3e-131 	424.7 	8.2e-131 	424.5	
RIFIN-A.hmm 	PfKH01_070017000 	1.2e-127 	414.1 	1.4e-127 	413.9	
RIFIN-B.hmm 	PfKH01_070017000 	6e-96 	309.6 	3.2e-53 	169.2	
STEVOR1.hmm 	PfKH01_070017000 	9.6e-18 	52.3 	1.6e-13 	38.5	
STEVOR1.hmm 	PfKH01_070035400 	0.0038 	4.4 	0.00015 	9.0	
RIFIN-A.hmm 	PfKH01_070035400 	6.5e-77 	247.2 	8e-45 	141.7	
RIFIN-B.hmm 	PfKH01_070035400 	9.5e-112 	361.5 	1.2e-111 	361.2	
STEVOR1.hmm 	PfKH01_070035500 	1.4e-164 	534.5 	1.6e-164 	534.4	
RIFIN-B.hmm 	PfKH01_070035500 	2e-12 	35.1 	1.4e-10 	29.0	
RIFIN-A.hmm 	PfKH01_070035500 	3.1e-10 	28.0 	2.6e-09 	25.0	
RIFIN-A.hmm 	PfKH01_070035700 	1.8e-163 	531.9 	2e-163 	531.7	
RIFIN-B.hmm 	PfKH01_070035700 	4.1e-111 	359.4 	1e-64 	206.9	
STEVOR1.hmm 	PfKH01_070035700 	4.3e-09 	23.9 	2.3e-08 	21.6	
STEVOR1.hmm 	PfKH01_070035800 	1.1e-13 	39.0 	3.4e-10 	27.6	
RIFIN-A.hmm 	PfKH01_070035800 	6.1e-103 	332.8 	6.7e-67 	214.3	
RIFIN-B.hmm 	PfKH01_070035800 	7.4e-138 	447.3 	8.4e-138 	447.1	
RIFIN-B.hmm 	PfKH01_080013000 	1.2e-110 	357.9 	7.4e-64 	204.1	
RIFIN-A.hmm 	PfKH01_080013000 	1.5e-139 	453.2 	1.7e-139 	453.0	
STEVOR1.hmm 	PfKH01_080013000 	7.8e-14 	39.5 	3.8e-09 	24.1	
RIFIN-B.hmm 	PfKH01_080013100 	1.9e-99 	321.1 	1.1e-56 	180.5	
STEVOR1.hmm 	PfKH01_080013100 	5.6e-16 	46.5 	2.4e-11 	31.3	
RIFIN-A.hmm 	PfKH01_080013100 	7.2e-133 	431.2 	8.1e-133 	431.1	
STEVOR1.hmm 	PfKH01_080037100 	2.6e-82 	264.4 	1.1e-81 	262.3	
STEVOR1.hmm 	PfKH01_080037300 	1.7e-11 	31.8 	7e-10 	26.5	
RIFIN-A.hmm 	PfKH01_080037300 	9.3e-99 	319.1 	2.7e-55 	176.2	
RIFIN-B.hmm 	PfKH01_080037300 	9e-128 	414.1 	1e-127 	414.0	
RIFIN-B.hmm 	PfKH01_080037400 	2.1e-100 	324.2 	1.5e-60 	193.2	
STEVOR1.hmm 	PfKH01_080037400 	2.5e-11 	31.3 	1.2e-08 	22.4	
RIFIN-A.hmm 	PfKH01_080037400 	4e-121 	392.6 	4.6e-121 	392.4	
STEVOR1.hmm 	PfKH01_080037500 	2.1e-11 	31.5 	1.1e-07 	19.2	
RIFIN-B.hmm 	PfKH01_080037500 	2.2e-147 	478.6 	2.4e-147 	478.5	
RIFIN-A.hmm 	PfKH01_080037500 	3.2e-99 	320.6 	1.6e-54 	173.6	
STEVOR1.hmm 	PfKH01_080038000 	3.2e-12 	34.2 	4e-08 	20.7	
RIFIN-B.hmm 	PfKH01_080038000 	6.3e-113 	365.4 	4.5e-67 	214.7	
RIFIN-A.hmm 	PfKH01_080038000 	7e-161 	523.4 	7.8e-161 	523.2	
STEVOR1.hmm 	PfKH01_090005600 	6.2e-12 	33.3 	1.2e-07 	19.2	
RIFIN-B.hmm 	PfKH01_090005600 	6.3e-99 	319.4 	1.7e-51 	163.5	
RIFIN-A.hmm 	PfKH01_090005600 	9.2e-145 	470.3 	1e-144 	470.2	
STEVOR1.hmm 	PfKH01_090005700 	1.2e-12 	35.7 	7.2e-09 	23.2	
RIFIN-A.hmm 	PfKH01_090005700 	2.1e-120 	390.2 	2.6e-120 	389.9	
RIFIN-B.hmm 	PfKH01_090005700 	2.4e-82 	264.9 	2.4e-47 	149.9	
RIFIN-B.hmm 	PfKH01_090005800 	1e-127 	414.0 	1.1e-127 	413.8	
RIFIN-A.hmm 	PfKH01_090005800 	4.7e-100 	323.3 	4.6e-53 	168.8	
STEVOR1.hmm 	PfKH01_090005800 	5.7e-18 	53.1 	1.7e-12 	35.1	
STEVOR1.hmm 	PfKH01_090005900 	1.4e-17 	51.8 	2.1e-12 	34.8	
RIFIN-A.hmm 	PfKH01_090005900 	1.9e-136 	443.0 	2.1e-136 	442.9	
RIFIN-B.hmm 	PfKH01_090005900 	4.3e-113 	365.9 	8.4e-68 	217.1	
RIFIN-B.hmm 	PfKH01_090006000 	1.1e-12 	35.9 	3.3e-11 	31.1	
RIFIN-A.hmm 	PfKH01_090006000 	1.7e-11 	32.1 	1.2e-09 	26.1	
STEVOR1.hmm 	PfKH01_090006000 	4.7e-160 	519.7 	5.3e-160 	519.5	
STEVOR1.hmm 	PfKH01_090041700 	1.4e-15 	45.2 	2.7e-10 	27.9	
RIFIN-A.hmm 	PfKH01_090041700 	2.5e-107 	347.2 	1.2e-59 	190.4	
RIFIN-B.hmm 	PfKH01_090041700 	3.1e-140 	455.1 	3.5e-140 	454.9	
RIFIN-A.hmm 	PfKH01_090041800 	1.2e-151 	493.0 	1.3e-151 	492.9	
STEVOR1.hmm 	PfKH01_090041800 	1.2e-17 	52.0 	2.9e-13 	37.6	
RIFIN-B.hmm 	PfKH01_090041800 	4.8e-117 	378.9 	1.4e-68 	219.7	
RIFIN-A.hmm 	PfKH01_090041900 	1.3e-154 	502.8 	1.5e-154 	502.6	
STEVOR1.hmm 	PfKH01_090041900 	6.6e-14 	39.7 	1.3e-09 	25.6	
RIFIN-B.hmm 	PfKH01_090041900 	8.5e-108 	348.5 	1.4e-63 	203.2	
RIFIN-A.hmm 	PfKH01_090042100 	1.1e-142 	463.5 	1.2e-142 	463.4	
RIFIN-B.hmm 	PfKH01_090042100 	5.9e-99 	319.4 	7.1e-53 	168.0	
STEVOR1.hmm 	PfKH01_090042100 	9.4e-05 	9.7 	0.00016 	8.9	
STEVOR1.hmm 	PfKH01_090042200 	1.3e-09 	25.6 	2.2e-07 	18.3	
RIFIN-A.hmm 	PfKH01_090042200 	1.3e-97 	315.3 	1.8e-57 	183.3	
RIFIN-B.hmm 	PfKH01_090042200 	1.5e-144 	469.3 	1.7e-144 	469.1	
STEVOR1.hmm 	PfKH01_090042300 	2e-15 	44.7 	1.9e-10 	28.3	
RIFIN-A.hmm 	PfKH01_090042300 	5.6e-157 	510.5 	6.3e-157 	510.4	
RIFIN-B.hmm 	PfKH01_090042300 	7.8e-103 	332.2 	6.7e-54 	171.4	
RIFIN-B.hmm 	PfKH01_090042400 	3e-98 	317.1 	4.1e-53 	168.8	
STEVOR1.hmm 	PfKH01_090042400 	5e-14 	40.2 	5.6e-11 	30.1	
RIFIN-A.hmm 	PfKH01_090042400 	7.6e-139 	450.9 	8.5e-139 	450.7	
RIFIN-A.hmm 	PfKH01_100005100 	1.4e-152 	496.0 	1.6e-152 	495.9	
STEVOR1.hmm 	PfKH01_100005100 	3.4e-13 	37.4 	1.7e-08 	22.0	
RIFIN-B.hmm 	PfKH01_100005100 	3e-102 	330.3 	4.6e-56 	178.5	
RIFIN-A.hmm 	PfKH01_100005200 	1.5e-131 	426.9 	7.5e-103 	332.5	
RIFIN-B.hmm 	PfKH01_100005200 	4e-96 	310.2 	1e-47 	151.1	
STEVOR1.hmm 	PfKH01_100005200 	5e-13 	36.8 	1.4e-08 	22.2	
RIFIN-B.hmm 	PfKH01_100005300 	2.4e-145 	471.9 	2.7e-145 	471.7	
STEVOR1.hmm 	PfKH01_100005300 	2.7e-16 	47.6 	2.9e-10 	27.8	
RIFIN-A.hmm 	PfKH01_100005300 	5.6e-96 	309.9 	8.4e-59 	187.7	
STEVOR1.hmm 	PfKH01_100005500 	1.3e-106 	344.2 	1.6e-106 	343.9	
RIFIN-A.hmm 	PfKH01_100005500 	4.9e-11 	30.6 	2.9e-07 	18.2	
RIFIN-B.hmm 	PfKH01_100005500 	5e-09 	23.9 	1.5e-08 	22.3	
RIFIN-A.hmm 	PfKH01_100044100 	1.7e-136 	443.1 	1.9e-136 	443.0	
RIFIN-B.hmm 	PfKH01_100044100 	2.6e-98 	317.3 	5.7e-52 	165.1	
STEVOR1.hmm 	PfKH01_100044100 	8.3e-19 	55.8 	1.5e-11 	32.0	
RIFIN-A.hmm 	PfKH01_100044200 	1.5e-97 	315.1 	4.9e-54 	172.0	
STEVOR1.hmm 	PfKH01_100044200 	1.7e-15 	45.0 	2.1e-11 	31.5	
RIFIN-B.hmm 	PfKH01_100044200 	3.7e-145 	471.3 	4.2e-145 	471.1	
STEVOR1.hmm 	PfKH01_100044300 	4.6e-156 	506.6 	5.1e-156 	506.4	
RIFIN-A.hmm 	PfKH01_100044300 	4e-09 	24.3 	1.1e-08 	22.9	
RIFIN-B.hmm 	PfKH01_100044300 	8.9e-12 	33.0 	1.1e-09 	26.1	
RIFIN-B.hmm 	PfKH01_100044400 	1.1e-115 	374.5 	1.1e-66 	213.4	
STEVOR1.hmm 	PfKH01_100044400 	1.4e-09 	25.5 	3.1e-08 	21.1	
RIFIN-A.hmm 	PfKH01_100044400 	7.9e-162 	526.5 	8.9e-162 	526.3	
STEVOR1.hmm 	PfKH01_100044500 	2.6e-13 	37.8 	4.4e-09 	23.9	
RIFIN-A.hmm 	PfKH01_100044500 	3e-91 	294.4 	5.6e-57 	181.7	
RIFIN-B.hmm 	PfKH01_100044500 	4.4e-131 	425.0 	5.1e-131 	424.8	
STEVOR1.hmm 	PfKH01_100044600 	4.2e-18 	53.5 	1.7e-11 	31.8	
RIFIN-A.hmm 	PfKH01_100044600 	7.4e-140 	454.2 	8.3e-140 	454.1	
RIFIN-B.hmm 	PfKH01_100044600 	8.9e-94 	302.4 	9.1e-50 	157.8	
RIFIN-A.hmm 	PfKH01_100045000 	1.9e-103 	334.5 	2.2e-103 	334.3	
STEVOR1.hmm 	PfKH01_100045000 	5.5e-10 	26.9 	5.5e-10 	26.9	
RIFIN-B.hmm 	PfKH01_100045000 	6.5e-79 	253.6 	1.1e-54 	174.0	
RIFIN-A.hmm 	PfKH01_110005200 	1.8e-145 	472.7 	2e-145 	472.5	
RIFIN-B.hmm 	PfKH01_110005200 	2e-102 	330.9 	3.6e-58 	185.4	
STEVOR1.hmm 	PfKH01_110005200 	3.4e-13 	37.4 	1.5e-08 	22.2	
STEVOR1.hmm 	PfKH01_110005300 	1.5e-13 	38.5 	2.6e-08 	21.4	
RIFIN-A.hmm 	PfKH01_110005300 	2e-150 	489.0 	2.2e-150 	488.8	
RIFIN-B.hmm 	PfKH01_110005300 	3.1e-108 	350.0 	1.6e-59 	189.8	
RIFIN-B.hmm 	PfKH01_110005400 	3.9e-103 	333.2 	1.1e-60 	193.7	
STEVOR1.hmm 	PfKH01_110005400 	6.9e-16 	46.2 	4.2e-11 	30.5	
RIFIN-A.hmm 	PfKH01_110005400 	7.2e-139 	451.0 	8e-139 	450.8	
RIFIN-B.hmm 	PfKH01_110005500 	3.5e-16 	47.4 	2.7e-10 	28.1	
RIFIN-A.hmm 	PfKH01_110005500 	5.6e-15 	43.6 	3.1e-10 	27.9	
STEVOR1.hmm 	PfKH01_110005500 	9.4e-165 	535.1 	1.1e-164 	534.9	
RIFIN-B.hmm 	PfKH01_110005600 	1.2e-98 	318.5 	1.2e-53 	170.6	
RIFIN-A.hmm 	PfKH01_110005600 	2.5e-126 	409.8 	2.8e-126 	409.6	
STEVOR1.hmm 	PfKH01_110005600 	4.2e-10 	27.3 	2.3e-07 	18.3	
RIFIN-B.hmm 	PfKH01_110005700 	2.4e-130 	422.6 	2.7e-130 	422.4	
STEVOR1.hmm 	PfKH01_110005700 	3.7e-10 	27.4 	2e-07 	18.5	
RIFIN-A.hmm 	PfKH01_110005700 	5e-93 	300.2 	4.9e-53 	168.7	
RIFIN-A.hmm 	PfKH01_110005800 	4.3e-155 	504.3 	4.9e-155 	504.1	
RIFIN-B.hmm 	PfKH01_110005800 	5.2e-102 	329.5 	5e-56 	178.4	
STEVOR1.hmm 	PfKH01_110005800 	5e-11 	30.3 	9.7e-08 	19.5	
RIFIN-A.hmm 	PfKH01_120005500 	1.1e-155 	506.3 	1.2e-155 	506.1	
RIFIN-B.hmm 	PfKH01_120005500 	1.8e-104 	337.6 	8e-56 	177.7	
STEVOR1.hmm 	PfKH01_120005500 	1.8e-11 	31.7 	4.7e-08 	20.5	
STEVOR1.hmm 	PfKH01_120005600 	2.5e-11 	31.3 	2.5e-08 	21.4	
RIFIN-A.hmm 	PfKH01_120005600 	6.1e-154 	500.5 	6.8e-154 	500.4	
RIFIN-B.hmm 	PfKH01_120005600 	7.3e-105 	338.9 	5e-55 	175.1	
RIFIN-B.hmm 	PfKH01_120005900 	1.1e-10 	29.4 	6.6e-10 	26.8	
RIFIN-A.hmm 	PfKH01_120005900 	1.5e-10 	29.0 	1.8e-09 	25.5	
STEVOR1.hmm 	PfKH01_120005900 	5.2e-168 	545.8 	5.8e-168 	545.6	
STEVOR1.hmm 	PfKH01_120006000 	2.5e-10 	28.0 	7.1e-07 	16.7	
RIFIN-B.hmm 	PfKH01_120006000 	2.5e-137 	445.6 	2.8e-137 	445.4	
RIFIN-A.hmm 	PfKH01_120006000 	6.7e-101 	326.1 	2.7e-56 	179.5	
STEVOR1.hmm 	PfKH01_120006200 	1.6e-14 	41.8 	1.5e-09 	25.4	
RIFIN-A.hmm 	PfKH01_120006200 	3e-138 	448.9 	9.6e-138 	447.3	
RIFIN-B.hmm 	PfKH01_120006200 	4e-107 	346.3 	8.9e-61 	194.0	
STEVOR1.hmm 	PfKH01_120006300 	1.8e-11 	31.8 	1.9e-08 	21.8	
RIFIN-B.hmm 	PfKH01_120006300 	2.3e-109 	353.7 	6.3e-68 	217.5	
RIFIN-A.hmm 	PfKH01_120006300 	4.8e-156 	507.5 	5.3e-156 	507.3	
RIFIN-A.hmm 	PfKH01_120006400 	3e-103 	333.9 	7.9e-60 	191.1	
STEVOR1.hmm 	PfKH01_120006400 	4e-16 	47.0 	9.4e-11 	29.4	
RIFIN-B.hmm 	PfKH01_120006400 	5.2e-152 	493.8 	5.9e-152 	493.6	
STEVOR1.hmm 	PfKH01_120006600 	1.6e-14 	41.8 	1.5e-09 	25.4	
RIFIN-A.hmm 	PfKH01_120006600 	3e-138 	448.9 	9.6e-138 	447.3	
RIFIN-B.hmm 	PfKH01_120006600 	4e-107 	346.3 	8.9e-61 	194.0	
STEVOR1.hmm 	PfKH01_120006700 	1.8e-11 	31.8 	1.9e-08 	21.8	
RIFIN-B.hmm 	PfKH01_120006700 	2.3e-109 	353.7 	6.3e-68 	217.5	
RIFIN-A.hmm 	PfKH01_120006700 	4.8e-156 	507.5 	5.3e-156 	507.3	
STEVOR1.hmm 	PfKH01_120006800 	2.5e-14 	41.1 	2e-09 	25.0	
RIFIN-A.hmm 	PfKH01_120006800 	5.8e-101 	326.3 	1.9e-58 	186.5	
RIFIN-B.hmm 	PfKH01_120006800 	7.3e-150 	486.7 	8.3e-150 	486.5	
RIFIN-B.hmm 	PfKH01_120006900 	2.9e-110 	356.6 	1.1e-60 	193.7	
RIFIN-A.hmm 	PfKH01_120006900 	3.7e-150 	488.1 	4.1e-150 	487.9	
STEVOR1.hmm 	PfKH01_120006900 	5e-12 	33.6 	7.4e-08 	19.9	
RIFIN-B.hmm 	PfKH01_120025800 	2.3e-13 	38.2 	3.3e-13 	37.7	
RIFIN-A.hmm 	PfKH01_120025800 	6e-14 	40.2 	3.7e-11 	31.0	
STEVOR1.hmm 	PfKH01_120025800 	8.3e-155 	502.4 	9.3e-155 	502.3	
STEVOR1.hmm 	PfKH01_120025900 	1.9e-18 	54.7 	2.3e-13 	37.9	
RIFIN-A.hmm 	PfKH01_120025900 	2.1e-126 	410.0 	2.4e-126 	409.8	
RIFIN-B.hmm 	PfKH01_120025900 	6e-101 	326.0 	1.8e-56 	179.8	
RIFIN-A.hmm 	PfKH01_120046600 	5.6e-53 	168.5 	6.9e-53 	168.2	
RIFIN-B.hmm 	PfKH01_120046600 	8.2e-33 	102.1 	5.6e-25 	76.4	
STEVOR1.hmm 	PfKH01_120047000 	1e-16 	49.0 	4.4e-12 	33.7	
RIFIN-B.hmm 	PfKH01_120047000 	4.7e-104 	336.2 	1.3e-59 	190.1	
RIFIN-A.hmm 	PfKH01_120047000 	7.9e-140 	454.1 	8.9e-140 	454.0	
RIFIN-A.hmm 	PfKH01_120059900 	1.6e-05 	12.5 	2.4e-05 	11.9	
STEVOR1.hmm 	PfKH01_120059900 	4.1e-84 	270.3 	4.9e-84 	270.0	
RIFIN-B.hmm 	PfKH01_120060000 	1.3e-112 	364.4 	1.5e-112 	364.1	
RIFIN-A.hmm 	PfKH01_120060000 	1.3e-77 	249.5 	1.6e-42 	134.1	
STEVOR1.hmm 	PfKH01_120060000 	8.9e-08 	19.6 	4.4e-06 	14.1	
STEVOR1.hmm 	PfKH01_130075900 	3.5e-84 	270.5 	4.2e-84 	270.2	
RIFIN-A.hmm 	PfKH01_130075900 	7.8e-06 	13.5 	1.4e-05 	12.7	
