STEVOR1.hmm 	PfDd2_010005400 	1.5e-13 	38.6 	1.3e-08 	22.4	
RIFIN-A.hmm 	PfDd2_090006500 	2.6e-101 	327.4 	1.4e-55 	177.0	
STEVOR1.hmm 	PfDd2_090006500 	2e-14 	41.5 	2e-11 	31.6	
RIFIN-B.hmm 	PfDd2_090006500 	4.8e-143 	464.3 	5.4e-143 	464.2	
RIFIN-A.hmm 	PfDd2_090006600 	4.5e-142 	461.5 	5.1e-142 	461.3	
RIFIN-B.hmm 	PfDd2_090006600 	4.6e-120 	388.8 	8.5e-65 	207.2	
STEVOR1.hmm 	PfDd2_090006600 	5e-13 	36.9 	6.3e-09 	23.4	
RIFIN-B.hmm 	PfDd2_090006800 	0.003 	5.0 	0.00061 	7.2	
STEVOR1.hmm 	PfDd2_090006800 	2.3e-25 	77.4 	4.4e-21 	63.3	
STEVOR1.hmm 	PfDd2_090006900 	1.6e-17 	51.6 	3.1e-12 	34.3	
RIFIN-B.hmm 	PfDd2_090006900 	6.5e-105 	339.0 	1.9e-64 	206.0	
RIFIN-A.hmm 	PfDd2_090006900 	9.6e-148 	480.2 	1.1e-147 	480.0	
RIFIN-B.hmm 	PfDd2_090007000 	1.2e-13 	39.1 	9.6e-11 	29.6	
RIFIN-A.hmm 	PfDd2_090007000 	3.7e-11 	31.0 	1.2e-09 	26.0	
STEVOR1.hmm 	PfDd2_090007000 	9.7e-166 	538.3 	1.1e-165 	538.2	
STEVOR1.hmm 	PfDd2_090042600 	1.2e-15 	45.5 	1e-10 	29.3	
RIFIN-B.hmm 	PfDd2_090042600 	1.5e-140 	456.1 	1.7e-140 	456.0	
RIFIN-A.hmm 	PfDd2_090042600 	1.6e-107 	347.9 	9.1e-60 	190.9	
RIFIN-B.hmm 	PfDd2_090042700 	5.6e-100 	322.8 	1.5e-58 	186.7	
RIFIN-A.hmm 	PfDd2_090042700 	7.6e-146 	473.9 	8.5e-146 	473.8	
STEVOR1.hmm 	PfDd2_090042700 	8.7e-14 	39.4 	7.1e-09 	23.2	
STEVOR1.hmm 	PfDd2_090042800 	1.2e-13 	38.8 	2.9e-11 	31.0	
RIFIN-A.hmm 	PfDd2_090042800 	1.5e-92 	298.7 	7.4e-56 	178.0	
RIFIN-B.hmm 	PfDd2_090042800 	3.6e-137 	445.0 	4e-137 	444.9	
RIFIN-A.hmm 	PfDd2_100005200 	1.1e-151 	493.1 	1.2e-151 	493.0	
RIFIN-B.hmm 	PfDd2_100005200 	2.1e-105 	340.6 	3.1e-58 	185.6	
STEVOR1.hmm 	PfDd2_100005200 	4.7e-08 	20.5 	4.7e-08 	20.5	
RIFIN-B.hmm 	PfDd2_100005300 	1.8e-93 	301.4 	4.9e-50 	158.7	
RIFIN-A.hmm 	PfDd2_100005300 	4.8e-142 	461.4 	5.4e-142 	461.2	
STEVOR1.hmm 	PfDd2_100005300 	9.5e-12 	32.7 	5.9e-09 	23.5	
RIFIN-A.hmm 	PfDd2_100005400 	1.2e-155 	506.1 	1.4e-155 	505.9	
RIFIN-B.hmm 	PfDd2_100005400 	3.6e-109 	353.0 	2.5e-62 	199.1	
STEVOR1.hmm 	PfDd2_100005400 	4.8e-12 	33.6 	6.6e-08 	20.0	
STEVOR1.hmm 	PfDd2_100005700 	1.5e-169 	550.8 	1.7e-169 	550.7	
RIFIN-B.hmm 	PfDd2_100005700 	4.4e-13 	37.3 	6e-12 	33.5	
RIFIN-A.hmm 	PfDd2_100005700 	7.2e-13 	36.6 	1.3e-11 	32.5	
RIFIN-B.hmm 	PfDd2_100005800 	1.4e-104 	337.9 	5.6e-58 	184.8	
RIFIN-A.hmm 	PfDd2_100005800 	3.7e-147 	478.2 	4.2e-147 	478.1	
STEVOR1.hmm 	PfDd2_100005800 	3e-11 	31.0 	3.5e-08 	21.0	
STEVOR1.hmm 	PfDd2_100005900 	2.6e-16 	47.7 	1.9e-10 	28.4	
RIFIN-A.hmm 	PfDd2_100005900 	2.7e-98 	317.5 	3.2e-60 	192.4	
RIFIN-B.hmm 	PfDd2_100005900 	8.3e-147 	476.7 	9.4e-147 	476.5	
STEVOR1.hmm 	PfDd2_100044800 	2.7e-10 	27.9 	2.7e-10 	27.9	
RIFIN-B.hmm 	PfDd2_100044800 	2.9e-79 	254.7 	3.9e-55 	175.4	
RIFIN-A.hmm 	PfDd2_100044800 	5.8e-116 	375.7 	6.5e-116 	375.5	
STEVOR1.hmm 	PfDd2_100044900 	1.4e-13 	38.7 	4.2e-10 	27.2	
RIFIN-B.hmm 	PfDd2_100044900 	1.7e-130 	423.1 	1.9e-130 	423.0	
RIFIN-A.hmm 	PfDd2_100044900 	6.7e-90 	289.9 	1.2e-51 	164.1	
RIFIN-B.hmm 	PfDd2_100045000 	1.4e-14 	42.2 	1.5e-09 	25.6	
STEVOR1.hmm 	PfDd2_100045000 	2.1e-161 	524.1 	2.6e-161 	523.8	
RIFIN-A.hmm 	PfDd2_100045000 	5.1e-12 	33.8 	2.8e-08 	21.5	
STEVOR1.hmm 	PfDd2_100045100 	1.1e-07 	19.4 	1.8e-07 	18.6	
RIFIN-B.hmm 	PfDd2_100045100 	1.9e-103 	334.2 	4.9e-59 	188.3	
RIFIN-A.hmm 	PfDd2_100045100 	3.7e-143 	465.1 	4.1e-143 	464.9	
RIFIN-A.hmm 	PfDd2_100045200 	4.5e-11 	30.7 	3.9e-09 	24.4	
RIFIN-B.hmm 	PfDd2_100045200 	4.5e-13 	37.2 	2.2e-10 	28.4	
STEVOR1.hmm 	PfDd2_100045200 	4.7e-161 	523.0 	5.3e-161 	522.8	
STEVOR1.hmm 	PfDd2_100045400 	1.3e-08 	22.4 	3.9e-08 	20.8	
RIFIN-B.hmm 	PfDd2_100045400 	3.2e-109 	353.2 	8.6e-63 	200.6	
RIFIN-A.hmm 	PfDd2_100045400 	8.7e-156 	506.6 	1e-155 	506.4	
RIFIN-B.hmm 	PfDd2_100045500 	1.4e-136 	443.1 	1.6e-136 	442.9	
STEVOR1.hmm 	PfDd2_100045500 	2.9e-16 	47.5 	2.7e-10 	27.9	
RIFIN-A.hmm 	PfDd2_100045500 	2e-91 	295.0 	3.1e-49 	156.2	
STEVOR1.hmm 	PfDd2_100045600 	3.2e-160 	520.2 	3.6e-160 	520.1	
RIFIN-A.hmm 	PfDd2_100045600 	5.9e-09 	23.8 	2.9e-07 	18.2	
RIFIN-B.hmm 	PfDd2_100045600 	5.9e-12 	33.6 	7.3e-09 	23.4	
RIFIN-A.hmm 	PfDd2_100045700 	2e-145 	472.5 	2.3e-145 	472.3	
RIFIN-B.hmm 	PfDd2_100045700 	3.3e-106 	343.3 	3.9e-59 	188.6	
STEVOR1.hmm 	PfDd2_100045700 	8.1e-15 	42.7 	2.1e-11 	31.5	
RIFIN-B.hmm 	PfDd2_100045800 	1.2e-100 	325.0 	4.3e-57 	181.9	
STEVOR1.hmm 	PfDd2_100045800 	2.6e-12 	34.5 	2.6e-08 	21.4	
RIFIN-A.hmm 	PfDd2_100045800 	7.2e-155 	503.6 	8.1e-155 	503.4	
STEVOR1.hmm 	PfDd2_110052400 	4.7e-09 	23.8 	1.1e-06 	16.0	
RIFIN-B.hmm 	PfDd2_110052400 	4e-133 	431.7 	4.4e-133 	431.6	
RIFIN-A.hmm 	PfDd2_110052400 	5.3e-95 	306.7 	1.4e-53 	170.5	
STEVOR1.hmm 	PfDd2_110052500 	2.6e-160 	520.5 	2.9e-160 	520.4	
RIFIN-B.hmm 	PfDd2_110052500 	2e-13 	38.4 	3e-11 	31.3	
RIFIN-A.hmm 	PfDd2_110052500 	4.1e-13 	37.4 	2.5e-10 	28.3	
RIFIN-B.hmm 	PfDd2_110052600 	1.5e-117 	380.6 	4.7e-70 	224.5	
RIFIN-A.hmm 	PfDd2_110052600 	2.4e-143 	465.7 	2.7e-143 	465.5	
STEVOR1.hmm 	PfDd2_110052600 	5.6e-15 	43.3 	1.4e-10 	28.8	
RIFIN-A.hmm 	PfDd2_110052700 	1.6e-149 	486.0 	1.8e-149 	485.8	
RIFIN-B.hmm 	PfDd2_110052700 	3.6e-99 	320.2 	1.4e-55 	176.9	
STEVOR1.hmm 	PfDd2_110052700 	7.6e-13 	36.3 	1.7e-09 	25.3	
STEVOR1.hmm 	PfDd2_110052900 	1.5e-09 	25.4 	1.7e-08 	22.0	
RIFIN-A.hmm 	PfDd2_110052900 	7.7e-98 	316.1 	1.6e-53 	170.3	
RIFIN-B.hmm 	PfDd2_110052900 	9e-140 	453.6 	1e-139 	453.4	
RIFIN-B.hmm 	PfDd2_110053100 	1.8e-103 	334.3 	8.3e-62 	197.4	
RIFIN-A.hmm 	PfDd2_110053100 	8.9e-141 	457.3 	9.9e-141 	457.1	
STEVOR1.hmm 	PfDd2_110053100 	9.5e-15 	42.5 	2e-09 	25.0	
RIFIN-A.hmm 	PfDd2_110053200 	1.1e-147 	480.0 	1.2e-147 	479.8	
STEVOR1.hmm 	PfDd2_110053200 	1.8e-14 	41.6 	1.7e-09 	25.2	
RIFIN-B.hmm 	PfDd2_110053200 	6.6e-103 	332.4 	1.4e-58 	186.7	
RIFIN-A.hmm 	PfDd2_120005000 	1.5e-130 	423.6 	1.7e-130 	423.4	
STEVOR1.hmm 	PfDd2_120005000 	2.3e-17 	51.1 	9.1e-12 	32.7	
RIFIN-B.hmm 	PfDd2_120005000 	7.4e-112 	361.8 	1.7e-59 	189.8	
STEVOR1.hmm 	PfDd2_120005100 	5.1e-24 	73.0 	1.3e-18 	55.2	
RIFIN-B.hmm 	PfDd2_120005100 	9.3e-07 	16.5 	2e-05 	12.1	
RIFIN-A.hmm 	PfDd2_120005300 	3.7e-93 	300.7 	5.3e-51 	162.0	
RIFIN-B.hmm 	PfDd2_120005300 	5.9e-136 	441.0 	6.7e-136 	440.9	
STEVOR1.hmm 	PfDd2_120005300 	6.5e-16 	46.3 	1.8e-11 	31.8	
STEVOR1.hmm 	PfDd2_120005400 	1e-17 	52.2 	9.4e-12 	32.7	
RIFIN-B.hmm 	PfDd2_120005400 	3.2e-101 	326.9 	2.1e-55 	176.3	
RIFIN-A.hmm 	PfDd2_120005400 	3.3e-136 	442.2 	3.8e-136 	442.0	
STEVOR1.hmm 	PfDd2_120005500 	1.6e-169 	550.8 	1.8e-169 	550.6	
RIFIN-B.hmm 	PfDd2_120005500 	2e-15 	45.0 	2.4e-13 	38.1	
RIFIN-A.hmm 	PfDd2_120005500 	3.8e-13 	37.6 	2.4e-11 	31.6	
RIFIN-A.hmm 	PfDd2_120045400 	1.4e-133 	433.6 	1.6e-133 	433.4	
STEVOR1.hmm 	PfDd2_120045400 	1.6e-12 	35.2 	3.5e-08 	20.9	
RIFIN-B.hmm 	PfDd2_120045400 	4.7e-104 	336.2 	2.3e-59 	189.3	
RIFIN-B.hmm 	PfDd2_120045500 	1.2e-92 	298.8 	2.6e-51 	162.9	
STEVOR1.hmm 	PfDd2_120045500 	1.6e-16 	48.4 	1.9e-12 	34.9	
RIFIN-A.hmm 	PfDd2_120045500 	3.2e-129 	419.2 	3.6e-129 	419.1	
RIFIN-B.hmm 	PfDd2_120045800 	2.5e-32 	100.5 	2.1e-22 	67.9	
RIFIN-A.hmm 	PfDd2_120045800 	3.5e-57 	182.4 	4.1e-57 	182.1	
STEVOR1.hmm 	PfDd2_130005800 	1.1e-11 	32.4 	6.9e-08 	20.0	
RIFIN-A.hmm 	PfDd2_130005800 	1.6e-149 	486.0 	1.8e-149 	485.9	
RIFIN-B.hmm 	PfDd2_130005800 	3.1e-97 	313.8 	4.2e-56 	178.6	
RIFIN-B.hmm 	PfDd2_130005900 	1.6e-135 	439.6 	1.8e-135 	439.5	
STEVOR1.hmm 	PfDd2_130005900 	2.3e-13 	37.9 	2.5e-09 	24.7	
RIFIN-A.hmm 	PfDd2_130005900 	2.5e-102 	330.8 	3e-60 	192.4	
RIFIN-B.hmm 	PfDd2_130006000 	1.3e-109 	354.4 	2.4e-63 	202.4	
STEVOR1.hmm 	PfDd2_130006000 	2.5e-10 	28.0 	8.3e-08 	19.7	
RIFIN-A.hmm 	PfDd2_130006000 	6.7e-156 	507.0 	7.5e-156 	506.8	
RIFIN-A.hmm 	PfDd2_130006100 	1.6e-141 	459.7 	1.8e-141 	459.5	
RIFIN-B.hmm 	PfDd2_130006100 	4.1e-114 	369.3 	1.3e-67 	216.5	
STEVOR1.hmm 	PfDd2_130006100 	4.2e-15 	43.7 	7.9e-10 	26.4	
STEVOR1.hmm 	PfDd2_130006200 	1.6e-167 	544.2 	1.8e-167 	544.0	
RIFIN-B.hmm 	PfDd2_130006200 	2.6e-14 	41.3 	1.9e-10 	28.6	
RIFIN-A.hmm 	PfDd2_130006200 	2.8e-12 	34.7 	8.2e-09 	23.3	
RIFIN-B.hmm 	PfDd2_130006300 	1.2e-96 	311.9 	1e-53 	170.8	
RIFIN-A.hmm 	PfDd2_130006300 	1.4e-138 	450.0 	1.6e-138 	449.8	
STEVOR1.hmm 	PfDd2_130006300 	2.8e-12 	34.4 	1.3e-07 	19.1	
RIFIN-B.hmm 	PfDd2_130077700 	3.1e-100 	323.6 	3.7e-100 	323.4	
STEVOR1.hmm 	PfDd2_130077700 	7e-06 	13.4 	0.00034 	7.8	
RIFIN-A.hmm 	PfDd2_130077700 	9.1e-69 	220.5 	1.9e-40 	127.3	
RIFIN-B.hmm 	PfDd2_130077800 	4.5e-99 	319.8 	7.6e-53 	167.9	
STEVOR1.hmm 	PfDd2_130077800 	4e-13 	37.2 	2.3e-10 	28.1	
RIFIN-A.hmm 	PfDd2_130077800 	8.7e-142 	460.6 	9.7e-142 	460.4	
RIFIN-A.hmm 	PfDd2_130077900 	1.5e-97 	315.1 	2.3e-52 	166.5	
STEVOR1.hmm 	PfDd2_130077900 	2.8e-11 	31.1 	8.7e-10 	26.2	
RIFIN-B.hmm 	PfDd2_130077900 	4.7e-124 	401.9 	5.3e-124 	401.8	
STEVOR1.hmm 	PfDd2_130078000 	1.2e-14 	42.2 	4.5e-11 	30.4	
RIFIN-B.hmm 	PfDd2_130078000 	2.8e-150 	488.1 	3.2e-150 	487.9	
RIFIN-A.hmm 	PfDd2_130078000 	8.6e-104 	335.6 	3.8e-55 	175.7	
RIFIN-A.hmm 	PfDd2_130078100 	3.3e-102 	330.4 	3.6e-65 	208.6	
RIFIN-B.hmm 	PfDd2_130078100 	6.4e-135 	437.6 	7.2e-135 	437.5	
STEVOR1.hmm 	PfDd2_130078100 	6.9e-10 	26.5 	1.5e-07 	18.9	
RIFIN-B.hmm 	PfDd2_130078200 	2.1e-12 	35.0 	2.1e-12 	35.0	
RIFIN-A.hmm 	PfDd2_130078200 	3.8e-12 	34.3 	2e-11 	31.9	
STEVOR1.hmm 	PfDd2_130078200 	8e-164 	532.0 	8.9e-164 	531.9	
RIFIN-B.hmm 	PfDd2_130078300 	1.5e-100 	324.7 	1.5e-55 	176.8	
RIFIN-A.hmm 	PfDd2_130078300 	2e-137 	446.2 	2.4e-137 	446.0	
STEVOR1.hmm 	PfDd2_130078300 	3.2e-17 	50.6 	3.4e-13 	37.4	
STEVOR1.hmm 	PfDd2_130078400 	2.1e-162 	527.4 	2.3e-162 	527.2	
RIFIN-A.hmm 	PfDd2_130078400 	6.6e-10 	26.9 	1.2e-08 	22.7	
RIFIN-B.hmm 	PfDd2_130078400 	7.5e-14 	39.8 	9.7e-12 	32.9	
RIFIN-A.hmm 	PfDd2_130078500 	2.1e-155 	505.4 	2.3e-155 	505.2	
RIFIN-B.hmm 	PfDd2_130078500 	2.2e-102 	330.7 	2.4e-58 	186.0	
STEVOR1.hmm 	PfDd2_130078500 	9e-10 	26.2 	1e-07 	19.4	
RIFIN-A.hmm 	PfDd2_130078600 	1.9e-145 	472.6 	2.2e-145 	472.4	
RIFIN-B.hmm 	PfDd2_130078600 	2.5e-102 	330.5 	3.1e-55 	175.8	
STEVOR1.hmm 	PfDd2_130078600 	3.6e-11 	30.7 	1.4e-08 	22.2	
RIFIN-A.hmm 	PfDd2_140005000 	1.8e-153 	499.0 	2e-153 	498.8	
RIFIN-B.hmm 	PfDd2_140005000 	1.8e-99 	321.1 	2.1e-55 	176.4	
STEVOR1.hmm 	PfDd2_140005000 	6.8e-09 	23.3 	1e-06 	16.2	
RIFIN-B.hmm 	PfDd2_140005100 	5.5e-130 	421.4 	6.2e-130 	421.3	
RIFIN-A.hmm 	PfDd2_140005100 	6.8e-109 	352.4 	6.5e-64 	204.5	
STEVOR1.hmm 	PfDd2_140005100 	8.3e-08 	19.7 	3.2e-07 	17.8	
RIFIN-A.hmm 	PfDd2_140005200 	1.7e-94 	305.1 	3.7e-54 	172.4	
STEVOR1.hmm 	PfDd2_140005200 	2.1e-12 	34.8 	2.2e-08 	21.6	
RIFIN-B.hmm 	PfDd2_140005200 	7.9e-148 	480.1 	8.8e-148 	479.9	
RIFIN-A.hmm 	PfDd2_140083300 	1.4e-98 	318.5 	1.7e-98 	318.2	
STEVOR1.hmm 	PfDd2_140083300 	1.5e-12 	35.3 	2.3e-09 	24.9	
RIFIN-B.hmm 	PfDd2_140083300 	9.1e-79 	253.1 	1.8e-43 	137.1	
RIFIN-A.hmm 	PfDd2_140083600 	1.5e-103 	334.8 	3.7e-63 	202.0	
STEVOR1.hmm 	PfDd2_140083600 	1.6e-09 	25.3 	5.2e-08 	20.4	
RIFIN-B.hmm 	PfDd2_140083600 	3.3e-140 	455.0 	3.7e-140 	454.8	
RIFIN-B.hmm 	PfDd2_140083700 	1.1e-95 	308.7 	2.1e-50 	159.9	
RIFIN-A.hmm 	PfDd2_140083700 	6.9e-135 	437.9 	7.9e-135 	437.7	
STEVOR1.hmm 	PfDd2_140083700 	9.2e-10 	26.1 	1.6e-07 	18.8	
