RIFIN-A.hmm 	PfGN01_000022800 	1.6e-98 	318.3 	1.5e-59 	190.2	
STEVOR1.hmm 	PfGN01_070005700 	8.9e-15 	42.6 	2.7e-09 	24.6	
RIFIN-A.hmm 	PfGN01_070005800 	1.3e-110 	358.0 	1.5e-110 	357.9	
RIFIN-B.hmm 	PfGN01_070005800 	8.9e-76 	243.3 	4.7e-51 	162.0	
STEVOR1.hmm 	PfGN01_070005800 	8e-10 	26.3 	8e-10 	26.3	
RIFIN-A.hmm 	PfGN01_070006400 	6.1e-154 	500.5 	6.8e-154 	500.4	
STEVOR1.hmm 	PfGN01_070006400 	6.2e-13 	36.6 	1.3e-08 	22.4	
RIFIN-B.hmm 	PfGN01_070006400 	7.5e-110 	355.3 	6.1e-60 	191.2	
STEVOR1.hmm 	PfGN01_070006600 	2.7e-165 	536.9 	3e-165 	536.7	
RIFIN-A.hmm 	PfGN01_070006600 	3.9e-10 	27.6 	1.5e-07 	19.2	
RIFIN-B.hmm 	PfGN01_070006600 	6.2e-12 	33.5 	4.1e-10 	27.5	
RIFIN-B.hmm 	PfGN01_070006700 	2.7e-120 	389.6 	3e-120 	389.4	
RIFIN-A.hmm 	PfGN01_070006700 	6.3e-94 	303.2 	1.2e-52 	167.4	
STEVOR1.hmm 	PfGN01_070006700 	9e-08 	19.6 	1.1e-07 	19.4	
RIFIN-A.hmm 	PfGN01_070006800 	1.3e-122 	397.6 	1.5e-122 	397.3	
RIFIN-B.hmm 	PfGN01_070006800 	1.4e-87 	282.0 	6e-54 	171.5	
RIFIN-A.hmm 	PfGN01_070017100 	1.6e-98 	318.3 	1.5e-59 	190.2	
RIFIN-B.hmm 	PfGN01_070017100 	1e-145 	473.1 	1.2e-145 	472.9	
STEVOR1.hmm 	PfGN01_070017100 	4.7e-11 	30.4 	1e-08 	22.7	
RIFIN-A.hmm 	PfGN01_070017700 	1.5e-52 	167.1 	1.9e-52 	166.8	
RIFIN-B.hmm 	PfGN01_070017700 	6.3e-34 	105.8 	5e-24 	73.2	
RIFIN-A.hmm 	PfGN01_070018000 	3.8e-128 	415.7 	4.3e-128 	415.5	
RIFIN-B.hmm 	PfGN01_070018000 	5.5e-96 	309.7 	2.6e-52 	166.2	
STEVOR1.hmm 	PfGN01_070018000 	9.3e-17 	49.1 	1.4e-12 	35.4	
RIFIN-A.hmm 	PfGN01_070036600 	2.1e-85 	275.2 	2.2e-46 	146.8	
RIFIN-B.hmm 	PfGN01_070036600 	3.2e-120 	389.3 	3.9e-120 	389.1	
STEVOR1.hmm 	PfGN01_070036600 	7.1e-05 	10.1 	0.00018 	8.7	
RIFIN-B.hmm 	PfGN01_070036700 	4.3e-13 	37.3 	4.4e-12 	34.0	
RIFIN-A.hmm 	PfGN01_070036700 	5.3e-15 	43.7 	2.6e-11 	31.5	
STEVOR1.hmm 	PfGN01_070036700 	6.9e-170 	552.0 	7.7e-170 	551.8	
STEVOR1.hmm 	PfGN01_070036800 	2.3e-10 	28.1 	2.9e-07 	17.9	
RIFIN-B.hmm 	PfGN01_070036800 	2.7e-100 	323.9 	5.3e-58 	184.9	
RIFIN-A.hmm 	PfGN01_070036800 	9.6e-152 	493.3 	1.1e-151 	493.1	
RIFIN-A.hmm 	PfGN01_070036900 	1.7e-92 	298.5 	1.2e-50 	160.9	
STEVOR1.hmm 	PfGN01_070036900 	1.9e-08 	21.8 	1.1e-07 	19.4	
RIFIN-B.hmm 	PfGN01_070036900 	6.7e-117 	378.4 	7.5e-117 	378.3	
RIFIN-B.hmm 	PfGN01_070037000 	2.5e-11 	31.5 	2.5e-11 	31.5	
RIFIN-A.hmm 	PfGN01_070037000 	5.9e-11 	30.3 	1e-09 	26.3	
STEVOR1.hmm 	PfGN01_070037000 	9.8e-163 	528.5 	1.2e-162 	528.2	
STEVOR1.hmm 	PfGN01_070037100 	1.2e-12 	35.6 	4.2e-09 	24.0	
RIFIN-B.hmm 	PfGN01_070037100 	3e-91 	294.1 	5e-48 	152.1	
RIFIN-A.hmm 	PfGN01_070037100 	4.9e-137 	444.9 	5.5e-137 	444.8	
RIFIN-B.hmm 	PfGN01_080005500 	1.1e-101 	328.4 	1.7e-55 	176.6	
RIFIN-A.hmm 	PfGN01_080005500 	1.5e-148 	482.9 	1.6e-148 	482.7	
STEVOR1.hmm 	PfGN01_080005500 	2.3e-09 	24.8 	1.2e-07 	19.2	
RIFIN-A.hmm 	PfGN01_080005600 	3.3e-105 	340.3 	5.7e-62 	198.1	
RIFIN-B.hmm 	PfGN01_080005600 	4.4e-143 	464.5 	4.9e-143 	464.3	
STEVOR1.hmm 	PfGN01_080005600 	6.2e-12 	33.3 	1.2e-06 	15.9	
RIFIN-A.hmm 	PfGN01_080005800 	1.5e-158 	515.7 	1.7e-158 	515.6	
RIFIN-B.hmm 	PfGN01_080005800 	4e-119 	385.7 	6.2e-68 	217.5	
STEVOR1.hmm 	PfGN01_080005800 	5.8e-11 	30.1 	2e-08 	21.7	
RIFIN-B.hmm 	PfGN01_080005900 	3.7e-13 	37.5 	1e-10 	29.5	
STEVOR1.hmm 	PfGN01_080005900 	5.5e-162 	526.0 	6.9e-162 	525.7	
RIFIN-A.hmm 	PfGN01_080005900 	8.4e-13 	36.4 	9.2e-10 	26.4	
RIFIN-A.hmm 	PfGN01_080006000 	5e-93 	300.2 	2.2e-53 	169.9	
STEVOR1.hmm 	PfGN01_080006000 	7.2e-10 	26.5 	1.3e-07 	19.1	
RIFIN-B.hmm 	PfGN01_080006000 	8.5e-135 	437.2 	9.5e-135 	437.1	
RIFIN-B.hmm 	PfGN01_080006100 	4.7e-103 	332.9 	1.1e-59 	190.3	
RIFIN-A.hmm 	PfGN01_080006100 	4.7e-152 	494.3 	5.3e-152 	494.2	
STEVOR1.hmm 	PfGN01_080006100 	8.2e-10 	26.3 	3.5e-08 	20.9	
STEVOR1.hmm 	PfGN01_080006250 	1.3e-166 	541.2 	1.6e-166 	540.9	
RIFIN-A.hmm 	PfGN01_080006250 	1.5e-11 	32.3 	8.2e-09 	23.3	
RIFIN-B.hmm 	PfGN01_080006250 	2.7e-14 	41.3 	4.7e-11 	30.6	
RIFIN-A.hmm 	PfGN01_080006300 	1.6e-100 	324.9 	5.1e-55 	175.2	
STEVOR1.hmm 	PfGN01_080006300 	1.6e-13 	38.4 	1.5e-09 	25.4	
RIFIN-B.hmm 	PfGN01_080006300 	9.1e-133 	430.6 	1e-132 	430.4	
RIFIN-B.hmm 	PfGN01_080006400 	1.4e-106 	344.5 	8.4e-60 	190.8	
RIFIN-A.hmm 	PfGN01_080006400 	4.3e-150 	487.9 	4.8e-150 	487.7	
STEVOR1.hmm 	PfGN01_080006400 	6.1e-15 	43.1 	5.6e-10 	26.8	
STEVOR1.hmm 	PfGN01_080037600 	1.6e-83 	268.4 	6.7e-83 	266.3	
RIFIN-B.hmm 	PfGN01_080037900 	1.5e-16 	48.7 	1.3e-11 	32.5	
RIFIN-A.hmm 	PfGN01_080037900 	1e-13 	39.4 	6.1e-10 	27.0	
STEVOR1.hmm 	PfGN01_080037900 	3.2e-164 	533.3 	3.6e-164 	533.2	
RIFIN-B.hmm 	PfGN01_080038000 	4e-135 	438.3 	4.5e-135 	438.1	
STEVOR1.hmm 	PfGN01_080038000 	5.3e-14 	40.1 	3.7e-12 	34.0	
RIFIN-A.hmm 	PfGN01_080038000 	5.4e-93 	300.1 	4e-55 	175.6	
RIFIN-A.hmm 	PfGN01_080038100 	1.6e-146 	476.1 	1.8e-146 	475.9	
STEVOR1.hmm 	PfGN01_080038100 	4e-16 	47.0 	9.2e-11 	29.4	
RIFIN-B.hmm 	PfGN01_080038100 	7.3e-111 	358.6 	4.6e-60 	191.6	
STEVOR1.hmm 	PfGN01_080038300 	1.1e-10 	29.2 	2e-09 	25.0	
RIFIN-B.hmm 	PfGN01_080038300 	1.6e-116 	377.2 	3.8e-71 	228.1	
RIFIN-A.hmm 	PfGN01_080038300 	6.2e-155 	503.8 	7e-155 	503.6	
RIFIN-B.hmm 	PfGN01_090005900 	1e-98 	318.6 	3.9e-53 	168.9	
STEVOR1.hmm 	PfGN01_090005900 	4.5e-13 	37.0 	7.5e-09 	23.1	
RIFIN-A.hmm 	PfGN01_090005900 	4.6e-151 	491.1 	5.2e-151 	490.9	
RIFIN-A.hmm 	PfGN01_090006000 	1.1e-82 	266.2 	1.9e-49 	156.9	
STEVOR1.hmm 	PfGN01_090006000 	1.2e-08 	22.5 	1.2e-08 	22.5	
RIFIN-B.hmm 	PfGN01_090006000 	2.8e-116 	376.4 	3.2e-116 	376.2	
STEVOR1.hmm 	PfGN01_090006100 	1.4e-11 	32.1 	7.3e-08 	19.9	
RIFIN-B.hmm 	PfGN01_090006100 	4.2e-103 	333.1 	5.9e-60 	191.3	
RIFIN-A.hmm 	PfGN01_090006100 	6e-149 	484.1 	6.7e-149 	484.0	
RIFIN-B.hmm 	PfGN01_090006200 	1.2e-141 	459.7 	1.4e-141 	459.6	
STEVOR1.hmm 	PfGN01_090006200 	2.4e-08 	21.5 	4.6e-07 	17.3	
RIFIN-A.hmm 	PfGN01_090006200 	2.8e-102 	330.7 	1.5e-56 	180.3	
RIFIN-B.hmm 	PfGN01_090006400 	0.003 	5.0 	0.00061 	7.2	
STEVOR1.hmm 	PfGN01_090006400 	2.3e-25 	77.4 	4.4e-21 	63.3	
RIFIN-B.hmm 	PfGN01_090006500 	1.1e-104 	338.3 	3e-64 	205.4	
STEVOR1.hmm 	PfGN01_090006500 	1.9e-17 	51.4 	4.3e-12 	33.8	
RIFIN-A.hmm 	PfGN01_090006500 	6.5e-148 	480.7 	7.3e-148 	480.5	
RIFIN-A.hmm 	PfGN01_090006600 	1.2e-11 	32.7 	1.4e-09 	25.8	
RIFIN-B.hmm 	PfGN01_090006600 	2.8e-14 	41.2 	1.1e-10 	29.3	
STEVOR1.hmm 	PfGN01_090006600 	4.1e-166 	539.6 	4.6e-166 	539.4	
RIFIN-A.hmm 	PfGN01_090042500 	2.4e-134 	436.1 	2.8e-134 	435.9	
STEVOR1.hmm 	PfGN01_090042500 	2e-09 	25.0 	3.1e-07 	17.8	
RIFIN-B.hmm 	PfGN01_090042500 	3.9e-98 	316.8 	3.4e-52 	165.8	
STEVOR1.hmm 	PfGN01_090042600 	1.4e-09 	25.5 	1.1e-08 	22.6	
RIFIN-B.hmm 	PfGN01_090042600 	6.6e-130 	421.2 	7.7e-130 	420.9	
RIFIN-A.hmm 	PfGN01_090042600 	6.7e-92 	296.5 	6.3e-56 	178.2	
RIFIN-B.hmm 	PfGN01_090042700 	2.3e-97 	314.2 	1.9e-52 	166.6	
RIFIN-A.hmm 	PfGN01_090042700 	8.4e-138 	447.5 	9.6e-138 	447.3	
STEVOR1.hmm 	PfGN01_090042700 	9.3e-14 	39.3 	4.8e-10 	27.0	
STEVOR1.hmm 	PfGN01_090042800 	1.5e-13 	38.5 	2.7e-08 	21.3	
RIFIN-A.hmm 	PfGN01_090042800 	1.8e-145 	472.7 	2e-145 	472.6	
RIFIN-B.hmm 	PfGN01_090042800 	2.8e-106 	343.5 	8.1e-59 	187.5	
RIFIN-B.hmm 	PfGN01_090043000 	1.3e-101 	328.2 	2.2e-57 	182.9	
RIFIN-A.hmm 	PfGN01_090043000 	2.4e-153 	498.6 	2.7e-153 	498.4	
STEVOR1.hmm 	PfGN01_090043000 	4.6e-11 	30.4 	2.3e-08 	21.6	
STEVOR1.hmm 	PfGN01_100005700 	3.1e-10 	27.7 	2.7e-08 	21.3	
RIFIN-A.hmm 	PfGN01_100005700 	4.2e-156 	507.6 	4.7e-156 	507.5	
RIFIN-B.hmm 	PfGN01_100005700 	8.2e-105 	338.7 	1.4e-58 	186.8	
STEVOR1.hmm 	PfGN01_100006000 	1.4e-09 	25.5 	6.1e-07 	16.9	
RIFIN-A.hmm 	PfGN01_100006000 	1.6e-144 	469.6 	1.8e-144 	469.4	
RIFIN-B.hmm 	PfGN01_100006000 	3.8e-97 	313.5 	1.4e-50 	160.5	
RIFIN-A.hmm 	PfGN01_100006100 	1.2e-11 	32.6 	6.3e-08 	20.4	
STEVOR1.hmm 	PfGN01_100006100 	1.5e-168 	547.5 	1.7e-168 	547.4	
RIFIN-B.hmm 	PfGN01_100006100 	2.7e-11 	31.4 	3.4e-08 	21.2	
RIFIN-A.hmm 	PfGN01_100006200 	1.3e-140 	456.7 	1.5e-140 	456.5	
STEVOR1.hmm 	PfGN01_100006200 	3e-12 	34.3 	3.7e-08 	20.9	
RIFIN-B.hmm 	PfGN01_100006200 	8.9e-108 	348.4 	9.9e-64 	203.7	
RIFIN-A.hmm 	PfGN01_100006300 	4.8e-97 	313.4 	2.2e-59 	189.6	
STEVOR1.hmm 	PfGN01_100006300 	6.7e-15 	43.0 	1.2e-09 	25.7	
RIFIN-B.hmm 	PfGN01_100006300 	7.2e-145 	470.3 	8.1e-145 	470.2	
RIFIN-A.hmm 	PfGN01_100045000 	1.8e-129 	420.1 	2e-129 	419.9	
RIFIN-B.hmm 	PfGN01_100045000 	3.5e-100 	323.5 	5.6e-53 	168.4	
STEVOR1.hmm 	PfGN01_100045000 	8.6e-21 	62.4 	3.8e-13 	37.2	
STEVOR1.hmm 	PfGN01_100045100 	1.3e-12 	35.4 	5.2e-09 	23.7	
RIFIN-A.hmm 	PfGN01_100045100 	1.3e-144 	469.9 	1.4e-144 	469.7	
RIFIN-B.hmm 	PfGN01_100045100 	2.5e-102 	330.5 	1.3e-54 	173.8	
RIFIN-A.hmm 	PfGN01_100045200 	1.2e-10 	29.3 	1.2e-10 	29.3	
RIFIN-B.hmm 	PfGN01_100045200 	5.5e-11 	30.4 	2.2e-10 	28.4	
STEVOR1.hmm 	PfGN01_100045200 	8.7e-160 	518.8 	9.7e-160 	518.6	
STEVOR1.hmm 	PfGN01_100045300 	2.1e-10 	28.2 	1.7e-07 	18.7	
RIFIN-A.hmm 	PfGN01_100045300 	2.3e-143 	465.8 	2.6e-143 	465.6	
RIFIN-B.hmm 	PfGN01_100045300 	2.6e-90 	291.0 	4.6e-48 	152.2	
RIFIN-A.hmm 	PfGN01_100045400 	1.7e-145 	472.8 	1.9e-145 	472.6	
STEVOR1.hmm 	PfGN01_100045400 	2.2e-16 	47.9 	2.9e-11 	31.1	
RIFIN-B.hmm 	PfGN01_100045400 	9.6e-100 	322.0 	3.7e-54 	172.2	
RIFIN-B.hmm 	PfGN01_100045500 	2.6e-97 	314.0 	1.6e-53 	170.2	
RIFIN-A.hmm 	PfGN01_100045500 	2e-135 	439.7 	2.2e-135 	439.5	
STEVOR1.hmm 	PfGN01_100045500 	3.2e-11 	30.9 	1.4e-08 	22.2	
STEVOR1.hmm 	PfGN01_100045600 	1.2e-10 	29.0 	1.7e-08 	21.9	
RIFIN-A.hmm 	PfGN01_100045600 	1.6e-99 	321.6 	2.1e-61 	196.2	
RIFIN-B.hmm 	PfGN01_100045600 	3.1e-141 	458.4 	3.5e-141 	458.2	
RIFIN-A.hmm 	PfGN01_100045800 	1.6e-157 	512.3 	1.8e-157 	512.2	
STEVOR1.hmm 	PfGN01_100045800 	2.6e-13 	37.8 	6.9e-09 	23.2	
RIFIN-B.hmm 	PfGN01_100045800 	8.8e-110 	355.0 	1.5e-67 	216.3	
STEVOR1.hmm 	PfGN01_110005900 	1.3e-12 	35.5 	1.3e-08 	22.4	
RIFIN-A.hmm 	PfGN01_110005900 	1.3e-150 	489.6 	1.4e-150 	489.4	
RIFIN-B.hmm 	PfGN01_110005900 	6.6e-109 	352.2 	3.8e-59 	188.6	
RIFIN-A.hmm 	PfGN01_110006100 	1.7e-100 	324.8 	9.4e-61 	194.1	
STEVOR1.hmm 	PfGN01_110006100 	4.6e-16 	46.8 	4.5e-10 	27.1	
RIFIN-B.hmm 	PfGN01_110006100 	9.3e-150 	486.4 	1e-149 	486.2	
STEVOR1.hmm 	PfGN01_110006200 	4.5e-14 	40.3 	8.4e-12 	32.8	
RIFIN-A.hmm 	PfGN01_110006200 	5.1e-142 	461.3 	5.7e-142 	461.2	
RIFIN-B.hmm 	PfGN01_110006200 	6.1e-102 	329.3 	4.9e-55 	175.1	
RIFIN-B.hmm 	PfGN01_110053700 	1.7e-86 	278.5 	4.2e-48 	152.4	
STEVOR1.hmm 	PfGN01_110053700 	3.4e-06 	14.4 	3.4e-06 	14.4	
RIFIN-A.hmm 	PfGN01_110053700 	6e-62 	198.0 	7.4e-38 	118.8	
RIFIN-A.hmm 	PfGN01_110053800 	1.2e-11 	32.6 	3.1e-10 	28.0	
RIFIN-B.hmm 	PfGN01_110053800 	1.8e-10 	28.7 	1e-09 	26.2	
STEVOR1.hmm 	PfGN01_110053800 	2.2e-168 	547.0 	2.4e-168 	546.9	
RIFIN-A.hmm 	PfGN01_110054000 	1.2e-135 	440.4 	1.4e-135 	440.2	
RIFIN-B.hmm 	PfGN01_110054000 	3e-103 	333.5 	1.2e-53 	170.6	
STEVOR1.hmm 	PfGN01_110054000 	4.6e-14 	40.3 	1.5e-10 	28.8	
RIFIN-A.hmm 	PfGN01_110054100 	2.2e-122 	396.8 	3.2e-122 	396.2	
RIFIN-B.hmm 	PfGN01_110054100 	2.4e-88 	284.6 	4.3e-51 	162.2	
STEVOR1.hmm 	PfGN01_110054100 	3.9e-12 	33.9 	2.9e-11 	31.0	
RIFIN-B.hmm 	PfGN01_110054200 	1.5e-94 	305.0 	5.8e-53 	168.3	
STEVOR1.hmm 	PfGN01_110054200 	3.7e-12 	34.0 	5.3e-08 	20.3	
RIFIN-A.hmm 	PfGN01_110054200 	9.4e-148 	480.2 	1e-147 	480.0	
STEVOR1.hmm 	PfGN01_110054400 	1.3e-13 	38.7 	5.8e-10 	26.8	
RIFIN-B.hmm 	PfGN01_110054400 	1.4e-102 	331.4 	3.6e-54 	172.3	
RIFIN-A.hmm 	PfGN01_110054400 	2.6e-156 	508.3 	2.9e-156 	508.2	
RIFIN-B.hmm 	PfGN01_120006000 	1.4e-110 	357.7 	9.7e-63 	200.4	
STEVOR1.hmm 	PfGN01_120006000 	2.6e-13 	37.8 	6.9e-10 	26.6	
RIFIN-A.hmm 	PfGN01_120006000 	3.6e-152 	494.7 	4e-152 	494.6	
STEVOR1.hmm 	PfGN01_120006100 	5.4e-12 	33.5 	7e-09 	23.2	
RIFIN-B.hmm 	PfGN01_120006100 	5e-148 	480.7 	5.6e-148 	480.5	
RIFIN-A.hmm 	PfGN01_120006100 	7e-100 	322.8 	8.3e-61 	194.3	
RIFIN-B.hmm 	PfGN01_120006200 	1.2e-114 	371.0 	7.2e-67 	214.0	
RIFIN-A.hmm 	PfGN01_120006200 	1.8e-157 	512.1 	2.1e-157 	511.9	
STEVOR1.hmm 	PfGN01_120006200 	3.6e-09 	24.2 	2.2e-08 	21.6	
RIFIN-A.hmm 	PfGN01_120006400 	1.4e-12 	35.7 	1.5e-08 	22.4	
STEVOR1.hmm 	PfGN01_120006400 	2.4e-169 	550.2 	2.7e-169 	550.0	
RIFIN-B.hmm 	PfGN01_120006400 	8.3e-13 	36.4 	1.3e-10 	29.2	
RIFIN-B.hmm 	PfGN01_120006500 	1.4e-131 	426.6 	1.6e-131 	426.5	
STEVOR1.hmm 	PfGN01_120006500 	6.9e-07 	16.7 	2.1e-05 	11.8	
RIFIN-A.hmm 	PfGN01_120006500 	6e-99 	319.7 	8.4e-62 	197.5	
RIFIN-A.hmm 	PfGN01_120006600 	1.8e-139 	452.9 	2.1e-139 	452.8	
RIFIN-B.hmm 	PfGN01_120006600 	3e-103 	333.6 	3.3e-55 	175.7	
STEVOR1.hmm 	PfGN01_120006600 	5.8e-18 	53.1 	1e-10 	29.3	
STEVOR1.hmm 	PfGN01_120007200 	1.8e-08 	21.9 	6.3e-07 	16.8	
RIFIN-A.hmm 	PfGN01_120007200 	3.8e-153 	497.9 	4.2e-153 	497.8	
RIFIN-B.hmm 	PfGN01_120007200 	6.3e-101 	325.9 	8.4e-55 	174.4	
RIFIN-A.hmm 	PfGN01_120060300 	1.1e-139 	453.7 	1.2e-139 	453.5	
RIFIN-B.hmm 	PfGN01_120060300 	1.5e-99 	321.4 	8.1e-56 	177.7	
STEVOR1.hmm 	PfGN01_120060300 	1.7e-09 	25.3 	2.5e-08 	21.4	
RIFIN-B.hmm 	PfGN01_120060400 	1.7e-134 	436.3 	1.9e-134 	436.1	
STEVOR1.hmm 	PfGN01_120060400 	4.1e-17 	50.3 	1.4e-11 	32.2	
RIFIN-A.hmm 	PfGN01_120060400 	8.1e-89 	286.4 	4.9e-51 	162.1	
STEVOR1.hmm 	PfGN01_120060500 	2.6e-11 	31.2 	3.3e-08 	21.0	
RIFIN-A.hmm 	PfGN01_120060500 	3.1e-104 	337.1 	7.8e-62 	197.6	
RIFIN-B.hmm 	PfGN01_120060500 	4.6e-131 	425.0 	5.1e-131 	424.8	
RIFIN-B.hmm 	PfGN01_120060600 	1.3e-11 	32.4 	2.6e-11 	31.5	
STEVOR1.hmm 	PfGN01_120060600 	2.2e-173 	563.4 	2.5e-173 	563.3	
RIFIN-A.hmm 	PfGN01_120060600 	3.9e-12 	34.2 	3.8e-11 	31.0	
STEVOR1.hmm 	PfGN01_120060700 	1.1e-10 	29.1 	1.8e-07 	18.6	
RIFIN-A.hmm 	PfGN01_120060700 	2.7e-140 	455.7 	3e-140 	455.5	
RIFIN-B.hmm 	PfGN01_120060700 	9.3e-101 	325.4 	6.4e-53 	168.2	
RIFIN-A.hmm 	PfGN01_120060800 	1.7e-12 	35.4 	1.1e-09 	26.1	
STEVOR1.hmm 	PfGN01_120060800 	1.9e-160 	521.0 	2.1e-160 	520.8	
RIFIN-B.hmm 	PfGN01_120060800 	9.8e-13 	36.1 	2.4e-11 	31.6	
RIFIN-A.hmm 	PfGN01_120060900 	3.9e-122 	396.0 	4.4e-122 	395.8	
RIFIN-B.hmm 	PfGN01_120060900 	7.9e-94 	302.6 	5.4e-57 	181.5	
STEVOR1.hmm 	PfGN01_120060900 	8.7e-16 	45.9 	2.3e-10 	28.1	
RIFIN-B.hmm 	PfGN01_120061000 	3.3e-91 	294.0 	2.2e-50 	159.8	
STEVOR1.hmm 	PfGN01_120061000 	4.7e-14 	40.2 	9.6e-12 	32.6	
RIFIN-A.hmm 	PfGN01_120061000 	7.6e-136 	441.0 	9.6e-136 	440.7	
RIFIN-A.hmm 	PfGN01_120061300 	1.1e-10 	29.5 	1.7e-08 	22.3	
STEVOR1.hmm 	PfGN01_120061300 	1.9e-154 	501.2 	2.3e-154 	501.0	
RIFIN-B.hmm 	PfGN01_120061300 	6.8e-12 	33.4 	7.2e-08 	20.1	
RIFIN-B.hmm 	PfGN01_120061400 	1.8e-88 	285.0 	4.1e-47 	149.1	
STEVOR1.hmm 	PfGN01_120061400 	4.1e-17 	50.3 	2.4e-15 	44.5	
RIFIN-A.hmm 	PfGN01_120061400 	9.4e-135 	437.4 	1.1e-134 	437.3	
STEVOR1.hmm 	PfGN01_120061600 	1.1e-10 	29.2 	2.4e-07 	18.2	
RIFIN-B.hmm 	PfGN01_120061600 	1.3e-109 	354.4 	3.3e-61 	195.4	
RIFIN-A.hmm 	PfGN01_120061600 	3.3e-157 	511.3 	3.8e-157 	511.1	
RIFIN-B.hmm 	PfGN01_130005600 	1.2e-107 	348.1 	2.3e-65 	209.1	
RIFIN-A.hmm 	PfGN01_130005600 	1.3e-154 	502.8 	1.4e-154 	502.6	
STEVOR1.hmm 	PfGN01_130005600 	3.5e-08 	21.0 	3.5e-08 	21.0	
STEVOR1.hmm 	PfGN01_130005800 	1.2e-13 	38.9 	3.4e-11 	30.8	
RIFIN-A.hmm 	PfGN01_130005800 	1.6e-135 	440.0 	1.8e-135 	439.8	
RIFIN-B.hmm 	PfGN01_130005800 	9.6e-94 	302.3 	3.6e-51 	162.4	
STEVOR1.hmm 	PfGN01_130005900 	2.1e-13 	38.1 	3.1e-10 	27.7	
RIFIN-A.hmm 	PfGN01_130005900 	2.3e-127 	413.2 	2.6e-127 	413.0	
RIFIN-B.hmm 	PfGN01_130005900 	9.5e-98 	315.5 	1.6e-54 	173.4	
RIFIN-A.hmm 	PfGN01_130006000 	1.1e-13 	39.3 	9.2e-10 	26.4	
RIFIN-B.hmm 	PfGN01_130006000 	2e-16 	48.2 	3.3e-12 	34.4	
STEVOR1.hmm 	PfGN01_130006000 	3.9e-165 	536.4 	4.3e-165 	536.2	
RIFIN-A.hmm 	PfGN01_130006100 	1.2e-104 	338.5 	5.5e-63 	201.4	
RIFIN-B.hmm 	PfGN01_130006100 	3.2e-140 	455.0 	3.6e-140 	454.9	
STEVOR1.hmm 	PfGN01_130006100 	4.9e-14 	40.2 	8.7e-10 	26.2	
RIFIN-A.hmm 	PfGN01_130006200 	1.1e-146 	476.7 	1.2e-146 	476.5	
RIFIN-B.hmm 	PfGN01_130006200 	1.9e-93 	301.3 	1.9e-50 	160.0	
STEVOR1.hmm 	PfGN01_130006200 	8.6e-10 	26.2 	2.9e-07 	17.9	
RIFIN-A.hmm 	PfGN01_130006300 	1.3e-91 	295.6 	1.8e-57 	183.3	
STEVOR1.hmm 	PfGN01_130006300 	1.5e-14 	41.9 	4.8e-10 	27.1	
RIFIN-B.hmm 	PfGN01_130006300 	3.8e-133 	431.8 	4.4e-133 	431.6	
STEVOR1.hmm 	PfGN01_130006500 	1.4e-13 	38.6 	4.8e-09 	23.8	
RIFIN-B.hmm 	PfGN01_130006500 	2.4e-92 	297.7 	7e-49 	154.9	
RIFIN-A.hmm 	PfGN01_130006500 	3.3e-138 	448.8 	3.7e-138 	448.6	
RIFIN-B.hmm 	PfGN01_130006600 	2.5e-10 	28.2 	1.5e-09 	25.7	
RIFIN-A.hmm 	PfGN01_130006600 	2.9e-10 	28.0 	9.4e-09 	23.1	
STEVOR1.hmm 	PfGN01_130006600 	6e-165 	535.7 	6.8e-165 	535.6	
RIFIN-B.hmm 	PfGN01_130006700 	1e-113 	368.0 	4.4e-64 	204.8	
RIFIN-A.hmm 	PfGN01_130006700 	2e-148 	482.4 	2.3e-148 	482.2	
STEVOR1.hmm 	PfGN01_130006700 	5.4e-13 	36.7 	1.5e-08 	22.1	
RIFIN-A.hmm 	PfGN01_130006900 	1.4e-08 	22.5 	1.9e-08 	22.1	
RIFIN-B.hmm 	PfGN01_130006900 	3.2e-12 	34.4 	5e-10 	27.2	
STEVOR1.hmm 	PfGN01_130006900 	3.6e-166 	539.8 	4e-166 	539.6	
RIFIN-B.hmm 	PfGN01_130007000 	1.5e-119 	387.2 	4.4e-94 	303.4	
RIFIN-A.hmm 	PfGN01_130007000 	3.4e-84 	271.2 	5.5e-48 	152.1	
STEVOR1.hmm 	PfGN01_130007000 	5.6e-08 	20.3 	4.3e-05 	10.8	
RIFIN-A.hmm 	PfGN01_130007100 	1.7e-98 	318.2 	6.8e-54 	171.5	
RIFIN-B.hmm 	PfGN01_130007100 	5.9e-142 	460.8 	6.6e-142 	460.6	
STEVOR1.hmm 	PfGN01_130007100 	9.2e-12 	32.7 	1.1e-08 	22.5	
RIFIN-B.hmm 	PfGN01_130078600 	1e-100 	325.2 	1.3e-100 	324.9	
RIFIN-A.hmm 	PfGN01_130078600 	2.6e-69 	222.2 	6.2e-41 	128.9	
STEVOR1.hmm 	PfGN01_130078600 	4.9e-06 	13.9 	0.00023 	8.4	
RIFIN-B.hmm 	PfGN01_130078700 	2.6e-105 	340.3 	4.6e-56 	178.5	
RIFIN-A.hmm 	PfGN01_130078700 	3.1e-140 	455.5 	3.4e-140 	455.3	
STEVOR1.hmm 	PfGN01_130078700 	7.1e-11 	29.8 	3.3e-08 	21.0	
RIFIN-B.hmm 	PfGN01_130078800 	1.6e-13 	38.7 	1.9e-10 	28.6	
STEVOR1.hmm 	PfGN01_130078800 	5.7e-170 	552.2 	6.4e-170 	552.1	
