RIFIN-B.hmm 	Pf7G8_000005100 	1.4e-87 	282.0 	1.2e-45 	144.3	
STEVOR1.hmm 	Pf7G8_090006400 	1.2e-16 	48.8 	6.3e-12 	33.2	
RIFIN-B.hmm 	Pf7G8_090006400 	6.6e-107 	345.6 	1.7e-64 	206.2	
RIFIN-B.hmm 	Pf7G8_090006500 	1.2e-13 	39.1 	9.6e-11 	29.6	
RIFIN-A.hmm 	Pf7G8_090006500 	3.7e-11 	31.0 	1.2e-09 	26.0	
STEVOR1.hmm 	Pf7G8_090006500 	9.7e-166 	538.3 	1.1e-165 	538.2	
STEVOR1.hmm 	Pf7G8_090042400 	1.2e-15 	45.5 	1e-10 	29.3	
RIFIN-B.hmm 	Pf7G8_090042400 	1.5e-140 	456.1 	1.7e-140 	456.0	
RIFIN-A.hmm 	Pf7G8_090042400 	1.6e-107 	347.9 	9.1e-60 	190.9	
RIFIN-B.hmm 	Pf7G8_090042500 	1e-107 	348.2 	6.1e-61 	194.5	
STEVOR1.hmm 	Pf7G8_090042500 	3.7e-09 	24.1 	1.9e-07 	18.6	
RIFIN-A.hmm 	Pf7G8_090042500 	7.3e-146 	474.0 	8.2e-146 	473.8	
RIFIN-A.hmm 	Pf7G8_090042700 	5e-155 	504.1 	5.6e-155 	504.0	
STEVOR1.hmm 	Pf7G8_090042700 	6.9e-13 	36.4 	9.7e-09 	22.8	
RIFIN-B.hmm 	Pf7G8_090042700 	7.9e-100 	322.3 	2.7e-53 	169.4	
RIFIN-B.hmm 	Pf7G8_100005200 	2.1e-84 	271.6 	3.3e-48 	152.7	
STEVOR1.hmm 	Pf7G8_100005200 	3.6e-11 	30.8 	3.2e-10 	27.6	
RIFIN-A.hmm 	Pf7G8_100005200 	8.6e-111 	358.6 	8.2e-110 	355.4	
STEVOR1.hmm 	Pf7G8_100005300 	1e-163 	531.7 	1.2e-163 	531.5	
RIFIN-B.hmm 	Pf7G8_100005300 	2.4e-11 	31.6 	5.4e-10 	27.1	
RIFIN-A.hmm 	Pf7G8_100005300 	9.6e-09 	23.1 	2.3e-07 	18.5	
RIFIN-B.hmm 	Pf7G8_110005100 	2.2e-109 	353.7 	1.1e-63 	203.5	
STEVOR1.hmm 	Pf7G8_110005100 	2.4e-16 	47.8 	4.6e-12 	33.7	
RIFIN-A.hmm 	Pf7G8_110005100 	7.5e-150 	487.1 	8.5e-150 	486.9	
RIFIN-B.hmm 	Pf7G8_110005200 	1.7e-84 	272.0 	5.3e-48 	152.0	
STEVOR1.hmm 	Pf7G8_110005200 	3.3e-19 	57.1 	1.4e-13 	38.7	
RIFIN-A.hmm 	Pf7G8_110005200 	6.3e-118 	382.1 	7.1e-118 	381.9	
STEVOR1.hmm 	Pf7G8_110005300 	2.5e-14 	41.1 	9.4e-10 	26.1	
RIFIN-B.hmm 	Pf7G8_110005300 	2.7e-142 	461.9 	3e-142 	461.7	
RIFIN-A.hmm 	Pf7G8_110005300 	3.4e-98 	317.2 	5.9e-55 	175.0	
RIFIN-B.hmm 	Pf7G8_110052900 	1.7e-91 	294.9 	8.8e-51 	161.1	
RIFIN-A.hmm 	Pf7G8_110052900 	2.4e-130 	423.0 	2.7e-130 	422.8	
STEVOR1.hmm 	Pf7G8_110052900 	3.9e-12 	33.9 	2e-09 	25.0	
STEVOR1.hmm 	Pf7G8_110053400 	2.3e-16 	47.8 	3.4e-13 	37.4	
RIFIN-B.hmm 	Pf7G8_110053400 	2.6e-109 	353.5 	4.4e-57 	181.9	
RIFIN-A.hmm 	Pf7G8_110053400 	6.6e-137 	444.5 	7.4e-137 	444.4	
STEVOR1.hmm 	Pf7G8_110053500 	1.1e-09 	25.8 	1.9e-06 	15.3	
RIFIN-A.hmm 	Pf7G8_110053500 	1.6e-107 	347.9 	3.8e-61 	195.4	
RIFIN-B.hmm 	Pf7G8_110053500 	3.3e-138 	448.4 	3.7e-138 	448.3	
STEVOR1.hmm 	Pf7G8_120005500 	1.7e-11 	31.9 	3.8e-08 	20.8	
RIFIN-B.hmm 	Pf7G8_120005500 	3.1e-102 	330.2 	2.5e-55 	176.1	
RIFIN-A.hmm 	Pf7G8_120005500 	5e-145 	471.2 	5.6e-145 	471.1	
RIFIN-B.hmm 	Pf7G8_120045900 	1.4e-63 	203.2 	1.8e-57 	183.1	
RIFIN-A.hmm 	Pf7G8_120045900 	1.7e-88 	285.3 	2.3e-88 	284.9	
STEVOR1.hmm 	Pf7G8_120045900 	1.9e-08 	21.8 	1.9e-08 	21.8	
RIFIN-B.hmm 	Pf7G8_120046000 	1.4e-93 	301.8 	3.3e-51 	162.5	
STEVOR1.hmm 	Pf7G8_120046000 	5.4e-15 	43.3 	6.8e-12 	33.1	
RIFIN-A.hmm 	Pf7G8_120046000 	8.2e-130 	421.2 	9.3e-130 	421.0	
RIFIN-B.hmm 	Pf7G8_120059600 	1.3e-112 	364.4 	1.5e-112 	364.1	
RIFIN-A.hmm 	Pf7G8_120059600 	1.3e-77 	249.5 	1.6e-42 	134.1	
STEVOR1.hmm 	Pf7G8_120059600 	8.9e-08 	19.6 	4.4e-06 	14.1	
RIFIN-B.hmm 	Pf7G8_120059700 	2e-101 	327.5 	5.5e-54 	171.7	
STEVOR1.hmm 	Pf7G8_120059700 	3.6e-10 	27.5 	9.3e-08 	19.5	
RIFIN-A.hmm 	Pf7G8_120059700 	3.9e-148 	481.5 	4.3e-148 	481.3	
RIFIN-B.hmm 	Pf7G8_120059800 	1.5e-133 	433.2 	1.6e-133 	433.0	
RIFIN-A.hmm 	Pf7G8_120059800 	1.7e-88 	285.3 	3.7e-52 	165.8	
STEVOR1.hmm 	Pf7G8_120059800 	2e-16 	48.0 	2.6e-10 	28.0	
RIFIN-A.hmm 	Pf7G8_120059900 	1.9e-155 	505.5 	2.2e-155 	505.3	
STEVOR1.hmm 	Pf7G8_120059900 	5.6e-13 	36.7 	9.4e-09 	22.8	
RIFIN-B.hmm 	Pf7G8_120059900 	7.8e-110 	355.2 	4e-64 	205.0	
STEVOR1.hmm 	Pf7G8_130005000 	1.3e-12 	35.4 	1.1e-09 	25.9	
RIFIN-A.hmm 	Pf7G8_130005000 	2.1e-150 	488.9 	2.3e-150 	488.8	
RIFIN-B.hmm 	Pf7G8_130005000 	3.6e-100 	323.4 	1.1e-53 	170.7	
RIFIN-B.hmm 	Pf7G8_130076600 	1.1e-78 	252.9 	1.7e-43 	137.2	
STEVOR1.hmm 	Pf7G8_130076600 	1.2e-12 	35.6 	1e-09 	26.0	
RIFIN-A.hmm 	Pf7G8_130076600 	2.1e-98 	317.9 	2.6e-98 	317.6	
RIFIN-A.hmm 	Pf7G8_140005100 	2.2e-153 	498.7 	2.5e-153 	498.5	
STEVOR1.hmm 	Pf7G8_140005100 	3.1e-09 	24.4 	5.4e-07 	17.0	
RIFIN-B.hmm 	Pf7G8_140005100 	6.5e-112 	362.0 	2.4e-61 	195.9	
STEVOR1.hmm 	Pf7G8_140005200 	1.3e-14 	42.1 	3e-11 	31.0	
RIFIN-A.hmm 	Pf7G8_140005200 	2.8e-102 	330.6 	1.5e-54 	173.7	
RIFIN-B.hmm 	Pf7G8_140005200 	9.6e-145 	469.9 	1.1e-144 	469.8	
STEVOR1.hmm 	Pf7G8_140005400 	2.3e-17 	51.1 	2.7e-12 	34.5	
RIFIN-B.hmm 	Pf7G8_140005400 	6.3e-102 	329.2 	5.3e-55 	175.0	
RIFIN-A.hmm 	Pf7G8_140005400 	6.4e-145 	470.9 	7.2e-145 	470.7	
STEVOR1.hmm 	Pf7G8_140005500 	1.2e-09 	25.7 	6.5e-07 	16.8	
RIFIN-A.hmm 	Pf7G8_140005500 	1.6e-149 	486.0 	1.8e-149 	485.8	
RIFIN-B.hmm 	Pf7G8_140005500 	2.5e-102 	330.6 	2.8e-54 	172.6	
RIFIN-B.hmm 	Pf7G8_140005700 	1.3e-137 	446.4 	1.5e-137 	446.3	
RIFIN-A.hmm 	Pf7G8_140005700 	2.7e-97 	314.3 	8.6e-60 	190.9	
STEVOR1.hmm 	Pf7G8_140005700 	6.7e-14 	39.7 	2.7e-09 	24.6	
RIFIN-A.hmm 	Pf7G8_140005800 	1.5e-127 	413.8 	1.7e-127 	413.6	
STEVOR1.hmm 	Pf7G8_140005800 	1.7e-13 	38.4 	6e-10 	26.7	
RIFIN-B.hmm 	Pf7G8_140005800 	1.9e-109 	353.9 	2e-64 	206.0	
STEVOR1.hmm 	Pf7G8_140005900 	4.1e-10 	27.3 	4.6e-07 	17.3	
RIFIN-B.hmm 	Pf7G8_140005900 	4.4e-143 	464.5 	4.9e-143 	464.3	
RIFIN-A.hmm 	Pf7G8_140005900 	5.8e-102 	329.6 	3e-54 	172.7	
STEVOR1.hmm 	Pf7G8_140006000 	1.3e-12 	35.5 	2.7e-08 	21.3	
RIFIN-B.hmm 	Pf7G8_140006000 	1.7e-145 	472.3 	2e-145 	472.2	
RIFIN-A.hmm 	Pf7G8_140006000 	6.3e-99 	319.6 	1.6e-54 	173.6	
STEVOR1.hmm 	Pf7G8_140084300 	1.5e-09 	25.5 	6.6e-08 	20.0	
RIFIN-A.hmm 	Pf7G8_140084300 	2.8e-105 	340.5 	2.2e-66 	212.6	
RIFIN-B.hmm 	Pf7G8_140084300 	9.7e-142 	460.0 	1.1e-141 	459.9	
RIFIN-A.hmm 	Pf7G8_140084400 	1.5e-12 	35.5 	2.9e-09 	24.8	
STEVOR1.hmm 	Pf7G8_140084400 	5e-171 	555.7 	5.6e-171 	555.5	
RIFIN-B.hmm 	Pf7G8_140084400 	8.4e-15 	42.9 	1.6e-10 	28.9	
RIFIN-B.hmm 	Pf7G8_140084500 	1.1e-103 	335.0 	1.1e-53 	170.7	
STEVOR1.hmm 	Pf7G8_140084500 	2.6e-08 	21.3 	7.3e-07 	16.6	
RIFIN-A.hmm 	Pf7G8_140084500 	2e-140 	456.1 	2.3e-140 	455.9	
