RIFIN-B.hmm 	PfGB4_000005300 	1.9e-07 	18.7 	3e-05 	11.5	
RIFIN-A.hmm 	PfGB4_050038500 	1.2e-99 	322.0 	1.9e-54 	173.4	
STEVOR1.hmm 	PfGB4_050038500 	5.8e-16 	46.5 	3.3e-10 	27.6	
RIFIN-B.hmm 	PfGB4_050038500 	7e-143 	463.8 	7.9e-143 	463.6	
RIFIN-A.hmm 	PfGB4_050038800 	4e-145 	471.5 	4.5e-145 	471.4	
RIFIN-B.hmm 	PfGB4_050038800 	5.4e-95 	306.4 	4.4e-53 	168.7	
STEVOR1.hmm 	PfGB4_050038800 	8.9e-12 	32.8 	1.1e-08 	22.6	
RIFIN-B.hmm 	PfGB4_050039000 	1.6e-132 	429.8 	1.8e-132 	429.6	
RIFIN-A.hmm 	PfGB4_050039000 	2.4e-101 	327.6 	5.4e-61 	194.9	
STEVOR1.hmm 	PfGB4_050039000 	9e-18 	52.4 	5.2e-11 	30.2	
STEVOR1.hmm 	PfGB4_050039100 	5.8e-12 	33.4 	4.5e-09 	23.9	
RIFIN-B.hmm 	PfGB4_050039100 	5e-110 	355.8 	4.3e-62 	198.3	
RIFIN-A.hmm 	PfGB4_050039100 	6.9e-157 	510.2 	7.7e-157 	510.1	
RIFIN-B.hmm 	PfGB4_060022100 	6.1e-112 	362.1 	5.2e-62 	198.1	
RIFIN-A.hmm 	PfGB4_060022100 	6e-140 	454.5 	6.7e-140 	454.4	
STEVOR1.hmm 	PfGB4_060022100 	8.5e-18 	52.5 	1.2e-13 	38.9	
RIFIN-A.hmm 	PfGB4_070005900 	3e-156 	508.1 	3.4e-156 	508.0	
RIFIN-B.hmm 	PfGB4_070005900 	4.1e-111 	359.4 	5.2e-65 	207.9	
STEVOR1.hmm 	PfGB4_070005900 	9.3e-10 	26.1 	2.3e-08 	21.6	
RIFIN-A.hmm 	PfGB4_070006100 	1.1e-150 	489.8 	1.3e-150 	489.6	
RIFIN-B.hmm 	PfGB4_070006100 	2e-103 	334.1 	5.8e-59 	188.0	
STEVOR1.hmm 	PfGB4_070006100 	9.5e-17 	49.1 	6.9e-12 	33.1	
STEVOR1.hmm 	PfGB4_070006300 	1.1e-07 	19.3 	1.2e-06 	15.9	
RIFIN-A.hmm 	PfGB4_070006300 	2e-156 	508.7 	2.2e-156 	508.6	
RIFIN-B.hmm 	PfGB4_070006300 	3.5e-101 	326.8 	7.1e-54 	171.3	
RIFIN-B.hmm 	PfGB4_070006500 	1.2e-14 	42.4 	3.6e-12 	34.3	
RIFIN-A.hmm 	PfGB4_070006500 	3.8e-14 	40.8 	7.4e-11 	30.0	
STEVOR1.hmm 	PfGB4_070006500 	9.6e-171 	554.8 	1.1e-170 	554.6	
RIFIN-A.hmm 	PfGB4_070006600 	1.4e-133 	433.6 	1.5e-133 	433.4	
STEVOR1.hmm 	PfGB4_070006600 	6.6e-13 	36.5 	2.2e-09 	24.9	
RIFIN-B.hmm 	PfGB4_070006600 	7.7e-103 	332.2 	7.7e-54 	171.2	
STEVOR1.hmm 	PfGB4_070006700 	2.3e-16 	47.8 	3.4e-11 	30.8	
RIFIN-A.hmm 	PfGB4_070006700 	8.5e-96 	309.3 	3.2e-54 	172.6	
RIFIN-B.hmm 	PfGB4_070006700 	8.9e-144 	466.7 	1e-143 	466.6	
RIFIN-B.hmm 	PfGB4_070006800 	1.3e-84 	272.3 	1.3e-46 	147.4	
RIFIN-A.hmm 	PfGB4_070006800 	1.8e-126 	410.2 	2.1e-126 	410.0	
STEVOR1.hmm 	PfGB4_070006800 	2.9e-11 	31.1 	1.1e-08 	22.7	
RIFIN-B.hmm 	PfGB4_070006900 	1.1e-147 	479.6 	1.2e-147 	479.4	
RIFIN-A.hmm 	PfGB4_070006900 	1.5e-96 	311.8 	1.4e-53 	170.5	
STEVOR1.hmm 	PfGB4_070006900 	4.3e-15 	43.6 	6e-10 	26.7	
RIFIN-B.hmm 	PfGB4_070007000 	2.4e-93 	301.0 	6.6e-51 	161.6	
STEVOR1.hmm 	PfGB4_070007000 	4.3e-09 	23.9 	1.5e-06 	15.6	
RIFIN-A.hmm 	PfGB4_070007000 	5.4e-127 	411.9 	6.1e-127 	411.8	
RIFIN-B.hmm 	PfGB4_070017100 	1.3e-32 	101.4 	6.6e-25 	76.1	
RIFIN-A.hmm 	PfGB4_070017100 	1e-51 	164.4 	1.3e-51 	164.1	
STEVOR1.hmm 	PfGB4_070017400 	3.4e-17 	50.6 	1.8e-12 	35.0	
RIFIN-B.hmm 	PfGB4_070017400 	4.8e-98 	316.5 	6.9e-57 	181.2	
RIFIN-A.hmm 	PfGB4_070017400 	7.1e-133 	431.3 	8e-133 	431.1	
STEVOR1.hmm 	PfGB4_070018300 	1.5e-18 	55.0 	7.8e-14 	39.5	
RIFIN-A.hmm 	PfGB4_070018300 	5.5e-135 	438.2 	6.2e-135 	438.0	
RIFIN-B.hmm 	PfGB4_070018300 	5.8e-102 	329.3 	7.5e-59 	187.7	
STEVOR1.hmm 	PfGB4_070036700 	1.7e-10 	28.6 	1.7e-07 	18.7	
RIFIN-A.hmm 	PfGB4_070036700 	2.5e-87 	281.5 	1.6e-63 	203.2	
RIFIN-B.hmm 	PfGB4_070036700 	8.5e-103 	332.1 	3.6e-98 	316.9	
STEVOR1.hmm 	PfGB4_070036800 	2e-165 	537.3 	2.2e-165 	537.2	
RIFIN-B.hmm 	PfGB4_070036800 	3.4e-16 	47.5 	3.5e-13 	37.6	
RIFIN-A.hmm 	PfGB4_070036800 	5.5e-15 	43.6 	1.5e-12 	35.6	
RIFIN-A.hmm 	PfGB4_070036900 	2.6e-145 	472.2 	2.9e-145 	472.0	
RIFIN-B.hmm 	PfGB4_070036900 	2e-109 	353.9 	1.9e-62 	199.5	
STEVOR1.hmm 	PfGB4_070036900 	3.7e-11 	30.7 	1.2e-07 	19.2	
STEVOR1.hmm 	PfGB4_070037000 	1.3e-153 	498.5 	2.3e-153 	497.7	
RIFIN-A.hmm 	PfGB4_070037000 	3.3e-11 	31.2 	6.7e-10 	26.9	
RIFIN-B.hmm 	PfGB4_070037000 	7.4e-12 	33.2 	8.1e-11 	29.8	
RIFIN-A.hmm 	PfGB4_070037100 	1.3e-125 	407.4 	1.5e-125 	407.2	
RIFIN-B.hmm 	PfGB4_070037100 	3.5e-89 	287.3 	3.3e-55 	175.7	
STEVOR1.hmm 	PfGB4_070037100 	5.1e-14 	40.1 	2.7e-11 	31.2	
RIFIN-B.hmm 	PfGB4_070037200 	1.5e-100 	324.7 	5.7e-59 	188.1	
STEVOR1.hmm 	PfGB4_070037200 	3.6e-14 	40.6 	3.3e-09 	24.3	
RIFIN-A.hmm 	PfGB4_070037200 	9.2e-137 	444.1 	1e-136 	443.9	
RIFIN-B.hmm 	PfGB4_070037300 	1.8e-102 	331.0 	1.4e-55 	177.0	
STEVOR1.hmm 	PfGB4_070037300 	1.9e-13 	38.2 	2.4e-09 	24.7	
RIFIN-A.hmm 	PfGB4_070037300 	2.9e-154 	501.6 	3.3e-154 	501.4	
RIFIN-B.hmm 	PfGB4_070037500 	1.7e-105 	341.0 	1.4e-58 	186.8	
RIFIN-A.hmm 	PfGB4_070037500 	5e-153 	497.5 	5.6e-153 	497.4	
STEVOR1.hmm 	PfGB4_070037500 	7.1e-13 	36.4 	2.6e-08 	21.4	
RIFIN-A.hmm 	PfGB4_080013700 	6.1e-53 	168.4 	7.5e-53 	168.1	
RIFIN-B.hmm 	PfGB4_080013700 	7.1e-33 	102.3 	5.6e-25 	76.4	
STEVOR1.hmm 	PfGB4_080036600 	1.7e-82 	265.0 	7.3e-82 	262.9	
RIFIN-B.hmm 	PfGB4_080036900 	1.5e-12 	35.5 	1.2e-11 	32.6	
RIFIN-A.hmm 	PfGB4_080036900 	3.4e-11 	31.1 	3.1e-10 	28.0	
STEVOR1.hmm 	PfGB4_080036900 	5e-159 	516.3 	5.6e-159 	516.1	
RIFIN-A.hmm 	PfGB4_080037000 	2.9e-129 	419.4 	3.5e-129 	419.1	
STEVOR1.hmm 	PfGB4_080037000 	3.2e-10 	27.6 	2.4e-07 	18.2	
RIFIN-B.hmm 	PfGB4_080037000 	8.9e-92 	295.9 	6.2e-49 	155.1	
STEVOR1.hmm 	PfGB4_080037100 	2.3e-10 	28.1 	2.2e-08 	21.6	
RIFIN-A.hmm 	PfGB4_080037100 	3.6e-146 	475.0 	4.1e-146 	474.8	
RIFIN-B.hmm 	PfGB4_080037100 	5.5e-104 	336.0 	4.3e-58 	185.2	
STEVOR1.hmm 	PfGB4_080037400 	1.3e-11 	32.2 	4.7e-08 	20.5	
RIFIN-A.hmm 	PfGB4_080037400 	5.5e-160 	520.4 	6.2e-160 	520.2	
RIFIN-B.hmm 	PfGB4_080037400 	9.2e-112 	361.5 	5.1e-65 	207.9	
RIFIN-B.hmm 	PfGB4_090005600 	1.1e-108 	351.4 	2.3e-62 	199.2	
STEVOR1.hmm 	PfGB4_090005600 	5.4e-15 	43.3 	2.5e-10 	28.0	
RIFIN-A.hmm 	PfGB4_090005600 	9.7e-158 	513.0 	1.1e-157 	512.9	
RIFIN-A.hmm 	PfGB4_090005900 	1.1e-93 	302.4 	2.8e-56 	179.4	
STEVOR1.hmm 	PfGB4_090005900 	6.9e-12 	33.1 	1.5e-08 	22.1	
RIFIN-B.hmm 	PfGB4_090005900 	8.8e-135 	437.2 	1e-134 	436.9	
RIFIN-A.hmm 	PfGB4_090006000 	3.1e-147 	478.5 	3.5e-147 	478.3	
RIFIN-B.hmm 	PfGB4_090006000 	5.8e-102 	329.3 	2.6e-57 	182.6	
STEVOR1.hmm 	PfGB4_090006000 	7.7e-16 	46.1 	1.9e-10 	28.4	
RIFIN-B.hmm 	PfGB4_090006100 	1.1e-95 	308.7 	1.5e-51 	163.7	
RIFIN-A.hmm 	PfGB4_090006100 	1.7e-138 	449.7 	1.9e-138 	449.6	
STEVOR1.hmm 	PfGB4_090006100 	2.7e-10 	27.9 	3.9e-07 	17.5	
RIFIN-B.hmm 	PfGB4_090006200 	2.1e-13 	38.4 	1.1e-11 	32.7	
STEVOR1.hmm 	PfGB4_090006200 	2.6e-162 	527.1 	3e-162 	526.9	
RIFIN-A.hmm 	PfGB4_090006200 	7.7e-11 	30.0 	8.7e-10 	26.5	
STEVOR1.hmm 	PfGB4_090006300 	1.9e-12 	35.0 	3.3e-11 	30.9	
RIFIN-B.hmm 	PfGB4_090006300 	3.5e-98 	316.9 	2.2e-55 	176.3	
RIFIN-A.hmm 	PfGB4_090006300 	4e-144 	468.3 	4.4e-144 	468.1	
STEVOR1.hmm 	PfGB4_090006500 	1.1e-20 	62.0 	4.5e-17 	50.1	
RIFIN-A.hmm 	PfGB4_090006500 	4.3e-134 	435.3 	4.9e-134 	435.1	
RIFIN-B.hmm 	PfGB4_090006500 	8.7e-102 	328.8 	8.6e-56 	177.6	
STEVOR1.hmm 	PfGB4_090006600 	6e-15 	43.2 	5.8e-12 	33.4	
RIFIN-B.hmm 	PfGB4_090006600 	9.6e-105 	338.5 	6.9e-58 	184.5	
RIFIN-A.hmm 	PfGB4_090006600 	9e-147 	477.0 	1e-146 	476.8	
RIFIN-B.hmm 	PfGB4_090006700 	1.1e-13 	39.3 	2e-12 	35.1	
STEVOR1.hmm 	PfGB4_090006700 	1.7e-167 	544.1 	1.9e-167 	543.9	
RIFIN-A.hmm 	PfGB4_090006700 	2.2e-12 	35.0 	7.2e-11 	30.1	
RIFIN-A.hmm 	PfGB4_100005000 	1.2e-145 	473.2 	1.4e-145 	473.0	
RIFIN-B.hmm 	PfGB4_100005000 	5.4e-106 	342.6 	1.5e-57 	183.4	
STEVOR1.hmm 	PfGB4_100005000 	7.6e-12 	33.0 	4.2e-08 	20.7	
RIFIN-B.hmm 	PfGB4_100005100 	2.3e-100 	324.1 	8.3e-56 	177.7	
STEVOR1.hmm 	PfGB4_100005100 	6.2e-13 	36.5 	2.8e-08 	21.2	
RIFIN-A.hmm 	PfGB4_100005100 	9.1e-144 	467.1 	1e-143 	466.9	
RIFIN-A.hmm 	PfGB4_100005200 	1.2e-135 	440.3 	1.4e-135 	440.2	
RIFIN-B.hmm 	PfGB4_100005200 	2e-100 	324.3 	5.9e-54 	171.6	
STEVOR1.hmm 	PfGB4_100005200 	9.8e-14 	39.2 	1.4e-08 	22.3	
RIFIN-A.hmm 	PfGB4_100005400 	2e-11 	31.9 	1e-09 	26.3	
STEVOR1.hmm 	PfGB4_100005400 	4.2e-162 	526.4 	4.7e-162 	526.2	
RIFIN-B.hmm 	PfGB4_100005400 	4.9e-14 	40.4 	7.2e-11 	30.0	
RIFIN-A.hmm 	PfGB4_100005500 	1.7e-92 	298.5 	1.2e-50 	160.9	
STEVOR1.hmm 	PfGB4_100005500 	1.9e-08 	21.8 	1.1e-07 	19.4	
RIFIN-B.hmm 	PfGB4_100005500 	6.7e-117 	378.4 	7.5e-117 	378.3	
RIFIN-B.hmm 	PfGB4_100005600 	4.8e-104 	336.2 	4.7e-57 	181.7	
RIFIN-A.hmm 	PfGB4_100005600 	7.9e-154 	500.2 	8.8e-154 	500.0	
STEVOR1.hmm 	PfGB4_100005600 	9.7e-11 	29.3 	6.6e-09 	23.3	
RIFIN-A.hmm 	PfGB4_100005700 	4.8e-97 	313.4 	2.2e-59 	189.6	
STEVOR1.hmm 	PfGB4_100005700 	6.7e-15 	43.0 	1.2e-09 	25.7	
RIFIN-B.hmm 	PfGB4_100005700 	7.2e-145 	470.3 	8.1e-145 	470.2	
STEVOR1.hmm 	PfGB4_110006700 	2.5e-11 	31.3 	1.6e-08 	22.0	
RIFIN-A.hmm 	PfGB4_110006700 	4.1e-150 	487.9 	4.6e-150 	487.8	
RIFIN-B.hmm 	PfGB4_110006700 	9.6e-105 	338.5 	8.6e-58 	184.2	
STEVOR1.hmm 	PfGB4_110007000 	1.2e-11 	32.3 	2.1e-07 	18.4	
RIFIN-A.hmm 	PfGB4_110007000 	8.7e-156 	506.6 	9.8e-156 	506.4	
RIFIN-B.hmm 	PfGB4_110007000 	9.9e-107 	345.0 	1.6e-60 	193.2	
STEVOR1.hmm 	PfGB4_110007200 	2.2e-165 	537.2 	2.5e-165 	537.0	
RIFIN-B.hmm 	PfGB4_110007200 	4.1e-13 	37.4 	2.2e-10 	28.4	
RIFIN-A.hmm 	PfGB4_110007200 	6.5e-11 	30.2 	1e-09 	26.2	
STEVOR1.hmm 	PfGB4_110007300 	1.2e-18 	55.3 	7.9e-15 	42.8	
RIFIN-B.hmm 	PfGB4_110007300 	2.3e-148 	481.8 	2.6e-148 	481.6	
RIFIN-A.hmm 	PfGB4_110007300 	4e-99 	320.3 	3.2e-61 	195.6	
RIFIN-A.hmm 	PfGB4_110007500 	1.2e-146 	476.6 	1.3e-146 	476.4	
STEVOR1.hmm 	PfGB4_110007500 	3.6e-13 	37.3 	2.1e-08 	21.7	
RIFIN-B.hmm 	PfGB4_110007500 	4e-100 	323.3 	2.7e-57 	182.6	
RIFIN-A.hmm 	PfGB4_110007600 	1.4e-140 	456.6 	1.6e-140 	456.4	
STEVOR1.hmm 	PfGB4_110007600 	1.8e-11 	31.7 	5.4e-08 	20.3	
RIFIN-B.hmm 	PfGB4_110007600 	3.4e-105 	339.9 	6e-60 	191.3	
RIFIN-B.hmm 	PfGB4_110007700 	1.3e-95 	308.5 	7.6e-56 	177.8	
STEVOR1.hmm 	PfGB4_110007700 	1.6e-14 	41.7 	1.4e-12 	35.4	
RIFIN-A.hmm 	PfGB4_110007700 	6.9e-139 	451.0 	7.7e-139 	450.9	
STEVOR1.hmm 	PfGB4_110007800 	1.3e-10 	28.9 	2.9e-08 	21.2	
RIFIN-B.hmm 	PfGB4_110007800 	5.9e-143 	464.0 	6.6e-143 	463.9	
RIFIN-A.hmm 	PfGB4_110007800 	7.3e-101 	326.0 	9.6e-65 	207.2	
STEVOR1.hmm 	PfGB4_110008000 	1.6e-16 	48.4 	7.6e-11 	29.7	
RIFIN-A.hmm 	PfGB4_110008000 	4.6e-148 	481.2 	5.1e-148 	481.1	
RIFIN-B.hmm 	PfGB4_110008000 	7.4e-109 	352.0 	1.1e-60 	193.6	
STEVOR1.hmm 	PfGB4_110008100 	2.7e-17 	50.9 	1.2e-11 	32.3	
RIFIN-B.hmm 	PfGB4_110008100 	2.8e-89 	287.7 	4.7e-51 	162.0	
RIFIN-A.hmm 	PfGB4_110008100 	2e-123 	400.2 	2.3e-123 	400.0	
STEVOR1.hmm 	PfGB4_110055700 	1.8e-12 	35.0 	3.6e-09 	24.2	
RIFIN-A.hmm 	PfGB4_110055700 	3e-130 	422.7 	3.3e-130 	422.5	
RIFIN-B.hmm 	PfGB4_110055700 	4.5e-91 	293.5 	3.9e-50 	159.0	
STEVOR1.hmm 	PfGB4_110055800 	1.3e-47 	150.4 	1.6e-47 	150.1	
RIFIN-B.hmm 	PfGB4_110055800 	2.3e-05 	11.9 	1.3e-06 	16.0	
RIFIN-A.hmm 	PfGB4_110055800 	2.6e-07 	18.3 	2.6e-07 	18.3	
RIFIN-B.hmm 	PfGB4_110056000 	2.7e-98 	317.3 	9.4e-53 	167.6	
STEVOR1.hmm 	PfGB4_110056000 	4.4e-15 	43.6 	1e-10 	29.3	
RIFIN-A.hmm 	PfGB4_110056000 	6.9e-147 	477.4 	7.7e-147 	477.2	
RIFIN-B.hmm 	PfGB4_110056100 	3.1e-13 	37.8 	3.7e-12 	34.2	
STEVOR1.hmm 	PfGB4_110056100 	3.4e-156 	507.0 	3.8e-156 	506.9	
RIFIN-A.hmm 	PfGB4_110056100 	6.7e-13 	36.7 	7.5e-12 	33.3	
RIFIN-A.hmm 	PfGB4_110056200 	1.1e-130 	424.1 	1.2e-130 	424.0	
STEVOR1.hmm 	PfGB4_110056200 	1.5e-16 	48.5 	5.1e-12 	33.5	
RIFIN-B.hmm 	PfGB4_110056200 	5.5e-97 	313.0 	3.6e-52 	165.7	
RIFIN-B.hmm 	PfGB4_110056300 	1.2e-97 	315.2 	7.5e-53 	167.9	
STEVOR1.hmm 	PfGB4_110056300 	4e-12 	33.9 	5.4e-08 	20.3	
RIFIN-A.hmm 	PfGB4_110056300 	9.8e-149 	483.4 	1.1e-148 	483.3	
RIFIN-A.hmm 	PfGB4_110056400 	2.5e-136 	442.6 	2.8e-136 	442.4	
STEVOR1.hmm 	PfGB4_110056400 	7.2e-13 	36.3 	9.8e-11 	29.3	
RIFIN-B.hmm 	PfGB4_110056400 	9.1e-100 	322.1 	1.3e-56 	180.3	
STEVOR1.hmm 	PfGB4_110056500 	1.7e-13 	38.4 	1.6e-10 	28.6	
RIFIN-A.hmm 	PfGB4_110056500 	2.2e-138 	449.4 	2.5e-138 	449.2	
RIFIN-B.hmm 	PfGB4_110056500 	7.1e-98 	315.9 	3.3e-51 	162.5	
RIFIN-A.hmm 	PfGB4_110056700 	1.8e-92 	298.4 	2.4e-56 	179.6	
STEVOR1.hmm 	PfGB4_110056700 	2.8e-15 	44.2 	5.6e-11 	30.1	
RIFIN-B.hmm 	PfGB4_110056700 	4.1e-134 	435.0 	4.8e-134 	434.8	
RIFIN-A.hmm 	PfGB4_110056800 	2.5e-100 	324.2 	3.4e-63 	202.1	
STEVOR1.hmm 	PfGB4_110056800 	3.6e-13 	37.3 	3.4e-09 	24.3	
RIFIN-B.hmm 	PfGB4_110056800 	9.5e-140 	453.5 	1.1e-139 	453.3	
STEVOR1.hmm 	PfGB4_110056900 	5.5e-09 	23.6 	1.3e-06 	15.8	
RIFIN-B.hmm 	PfGB4_110056900 	5e-139 	451.1 	5.7e-139 	450.9	
RIFIN-A.hmm 	PfGB4_110056900 	8.7e-100 	322.5 	8.1e-61 	194.3	
RIFIN-A.hmm 	PfGB4_110057000 	1.2e-101 	328.6 	1.1e-57 	184.1	
STEVOR1.hmm 	PfGB4_110057000 	4e-18 	53.6 	2.5e-12 	34.5	
RIFIN-B.hmm 	PfGB4_110057000 	9.2e-144 	466.7 	1e-143 	466.5	
RIFIN-B.hmm 	PfGB4_110057100 	1.3e-12 	35.7 	5.1e-11 	30.5	
STEVOR1.hmm 	PfGB4_110057100 	1.6e-171 	557.4 	1.7e-171 	557.2	
RIFIN-A.hmm 	PfGB4_110057100 	4.9e-10 	27.3 	2.1e-09 	25.2	
RIFIN-A.hmm 	PfGB4_110057200 	2.8e-142 	462.2 	3.2e-142 	462.0	
RIFIN-B.hmm 	PfGB4_110057200 	2.8e-96 	310.7 	3.7e-52 	165.7	
STEVOR1.hmm 	PfGB4_110057200 	8.9e-09 	22.9 	2.6e-07 	18.1	
STEVOR1.hmm 	PfGB4_120005500 	1.5e-13 	38.6 	6.5e-09 	23.4	
RIFIN-A.hmm 	PfGB4_120005500 	5.4e-147 	477.7 	6e-147 	477.5	
RIFIN-B.hmm 	PfGB4_120005500 	8.2e-100 	322.3 	1.1e-52 	167.4	
RIFIN-A.hmm 	PfGB4_120005600 	1.2e-12 	35.8 	6.3e-11 	30.2	
STEVOR1.hmm 	PfGB4_120005600 	1.8e-170 	553.9 	2e-170 	553.7	
RIFIN-B.hmm 	PfGB4_120005600 	4.7e-15 	43.7 	6.6e-13 	36.7	
RIFIN-B.hmm 	PfGB4_120045500 	5.2e-29 	89.6 	9.4e-23 	69.0	
RIFIN-A.hmm 	PfGB4_120045500 	5.8e-50 	158.6 	6.9e-50 	158.4	
RIFIN-A.hmm 	PfGB4_120045700 	2.5e-52 	166.4 	3.2e-52 	166.0	
RIFIN-B.hmm 	PfGB4_120045700 	2e-34 	107.4 	6e-27 	82.8	
RIFIN-B.hmm 	PfGB4_120046000 	2.6e-34 	107.0 	1.5e-26 	81.6	
RIFIN-A.hmm 	PfGB4_120046000 	7e-53 	168.2 	8.8e-53 	167.9	
RIFIN-A.hmm 	PfGB4_130005800 	1e-146 	476.8 	1.1e-146 	476.6	
RIFIN-B.hmm 	PfGB4_130005800 	7e-106 	342.2 	1e-57 	184.0	
STEVOR1.hmm 	PfGB4_130005800 	8.7e-09 	22.9 	1.1e-06 	16.1	
STEVOR1.hmm 	PfGB4_130005900 	2.8e-08 	21.3 	3.9e-08 	20.8	
RIFIN-A.hmm 	PfGB4_130005900 	4.3e-151 	491.2 	4.9e-151 	491.0	
RIFIN-B.hmm 	PfGB4_130005900 	9.4e-108 	348.4 	5.9e-65 	207.7	
RIFIN-B.hmm 	PfGB4_130006100 	1.8e-12 	35.3 	8.2e-10 	26.5	
RIFIN-A.hmm 	PfGB4_130006100 	5e-12 	33.9 	6.5e-09 	23.6	
STEVOR1.hmm 	PfGB4_130006100 	7.7e-164 	532.1 	8.6e-164 	531.9	
RIFIN-A.hmm 	PfGB4_130006200 	2.3e-87 	281.6 	4e-48 	152.6	
STEVOR1.hmm 	PfGB4_130006200 	6.1e-16 	46.4 	8.6e-13 	36.1	
RIFIN-B.hmm 	PfGB4_130006200 	9.8e-128 	414.0 	1.1e-127 	413.9	
STEVOR1.hmm 	PfGB4_130006300 	2.9e-10 	27.8 	1.2e-07 	19.2	
RIFIN-A.hmm 	PfGB4_130006300 	3.3e-152 	494.8 	3.7e-152 	494.7	
RIFIN-B.hmm 	PfGB4_130006300 	9.8e-96 	308.9 	3.8e-50 	159.1	
STEVOR1.hmm 	PfGB4_130006400 	1.4e-13 	38.7 	7e-09 	23.2	
RIFIN-A.hmm 	PfGB4_130006400 	2.4e-134 	436.1 	2.8e-134 	435.9	
RIFIN-B.hmm 	PfGB4_130006400 	3.3e-114 	369.6 	1.7e-60 	193.1	
RIFIN-B.hmm 	PfGB4_130006500 	1.1e-125 	407.3 	1.3e-125 	407.1	
RIFIN-A.hmm 	PfGB4_130006500 	2e-99 	321.3 	2e-53 	170.0	
STEVOR1.hmm 	PfGB4_130006500 	3.4e-09 	24.3 	3.6e-08 	20.9	
RIFIN-B.hmm 	PfGB4_130077900 	3.1e-100 	323.6 	3.7e-100 	323.4	
STEVOR1.hmm 	PfGB4_130077900 	7e-06 	13.4 	0.00034 	7.8	
RIFIN-A.hmm 	PfGB4_130077900 	9.1e-69 	220.5 	1.9e-40 	127.3	
RIFIN-A.hmm 	PfGB4_130078000 	6.7e-149 	484.0 	7.6e-149 	483.8	
STEVOR1.hmm 	PfGB4_130078000 	7.7e-10 	26.4 	1.5e-07 	18.9	
RIFIN-B.hmm 	PfGB4_130078000 	7.8e-95 	305.9 	8.3e-53 	167.8	
RIFIN-B.hmm 	PfGB4_130078100 	1.1e-140 	456.6 	1.2e-140 	456.4	
RIFIN-A.hmm 	PfGB4_130078100 	2.6e-100 	324.2 	4.5e-64 	205.0	
STEVOR1.hmm 	PfGB4_130078100 	4e-11 	30.6 	3.1e-07 	17.9	
RIFIN-B.hmm 	PfGB4_130078200 	1.3e-100 	324.9 	4.3e-57 	181.9	
STEVOR1.hmm 	PfGB4_130078200 	1.6e-11 	31.9 	5e-08 	20.4	
RIFIN-A.hmm 	PfGB4_130078200 	2.7e-157 	511.5 	3.1e-157 	511.4	
RIFIN-A.hmm 	PfGB4_130078700 	1.1e-92 	299.1 	6e-57 	181.6	
RIFIN-B.hmm 	PfGB4_130078700 	1.2e-130 	423.6 	1.3e-130 	423.4	
STEVOR1.hmm 	PfGB4_130078700 	3.5e-10 	27.5 	1.6e-08 	22.0	
STEVOR1.hmm 	PfGB4_130078800 	2.6e-17 	50.9 	3e-12 	34.3	
RIFIN-B.hmm 	PfGB4_130078800 	4.9e-116 	375.6 	5.5e-116 	375.4	
RIFIN-A.hmm 	PfGB4_130078800 	7.8e-93 	299.6 	5.5e-53 	168.6	
RIFIN-B.hmm 	PfGB4_130078900 	1.2e-140 	456.4 	1.4e-140 	456.2	
RIFIN-A.hmm 	PfGB4_130078900 	2.7e-95 	307.7 	3.6e-51 	162.6	
STEVOR1.hmm 	PfGB4_130078900 	4.8e-14 	40.2 	1.2e-10 	29.0	
STEVOR1.hmm 	PfGB4_130079000 	1.4e-06 	15.7 	1.4e-06 	15.7	
RIFIN-A.hmm 	PfGB4_130079000 	3.7e-150 	488.1 	4.1e-150 	488.0	
RIFIN-B.hmm 	PfGB4_130079000 	5.3e-102 	329.5 	2.8e-53 	169.3	
STEVOR1.hmm 	PfGB4_130079100 	3.2e-11 	30.9 	1.9e-07 	18.5	
RIFIN-A.hmm 	PfGB4_130079100 	4.9e-152 	494.3 	5.6e-152 	494.1	
RIFIN-B.hmm 	PfGB4_130079100 	5.2e-115 	372.2 	7.6e-65 	207.4	
RIFIN-B.hmm 	PfGB4_130079300 	1.7e-89 	288.4 	1.3e-51 	163.8	
RIFIN-A.hmm 	PfGB4_130079300 	1.9e-134 	436.5 	2.2e-134 	436.2	
STEVOR1.hmm 	PfGB4_130079300 	2.8e-12 	34.4 	2.6e-08 	21.4	
STEVOR1.hmm 	PfGB4_140005600 	1.4e-08 	22.3 	2.8e-08 	21.3	
RIFIN-B.hmm 	PfGB4_140005600 	4.9e-112 	362.4 	5.4e-66 	211.1	
RIFIN-A.hmm 	PfGB4_140005600 	6.4e-157 	510.3 	7.2e-157 	510.2	
RIFIN-B.hmm 	PfGB4_140005900 	2.5e-11 	31.5 	1e-09 	26.2	
STEVOR1.hmm 	PfGB4_140005900 	4e-166 	539.6 	4.5e-166 	539.4	
RIFIN-A.hmm 	PfGB4_140005900 	6.6e-10 	26.9 	1.6e-07 	19.0	
STEVOR1.hmm 	PfGB4_140006000 	1e-15 	45.7 	6.7e-11 	29.9	
RIFIN-A.hmm 	PfGB4_140006000 	4.6e-90 	290.5 	3.7e-53 	169.1	
RIFIN-B.hmm 	PfGB4_140006000 	5.9e-135 	437.7 	6.7e-135 	437.6	
STEVOR1.hmm 	PfGB4_140006200 	1.1e-13 	39.0 	7.7e-11 	29.7	
RIFIN-A.hmm 	PfGB4_140006200 	4.5e-156 	507.5 	5.1e-156 	507.4	
