	Genome	Gene	Type	Cluster	Occupancy
356	CD01	PfCD01_010019400	RIFIN-A	PfCD01_010019400	1
357	CD01	PfCD01_020006100	RIFIN-A	PfCD01_020006100	2
358	CD01	PfCD01_020006200	RIFIN-B	PfCD01_020006200	2
359	CD01	PfCD01_020006300	RIFIN-A	PfCD01_020006300	3
360	CD01	PfCD01_020026700	RIFIN-A	PfCD01_020026700	1
361	CD01	PfCD01_020026800	RIFIN-A	Pf7G8-2_000049300	9
362	CD01	PfCD01_020027000	RIFIN-B	PfCD01_020027000	1
363	CD01	PfCD01_020027100	RIFIN-A	PfCD01_020027100	1
364	CD01	PfCD01_030005600	RIFIN-A	PF3D7_0900200	8
365	CD01	PfCD01_030005800	RIFIN-A	PfCD01_030005800	4
366	CD01	PfCD01_030006100	RIFIN-B	PfCD01_030006100	1
367	CD01	PfCD01_030006200	RIFIN-A	PfCD01_030006200	4
368	CD01	PfCD01_030029900	RIFIN-A	PfCD01_030029900	3
369	CD01	PfCD01_030030000	RIFIN-A	Pf7G8-2_000117900	6
370	CD01	PfCD01_030030100	RIFIN-B	PfCD01_030030100	1
371	CD01	PfCD01_030030200	RIFIN-A	PfDd2_130077800	9
372	CD01	PfCD01_030030300	RIFIN-A	PfCD01_030030300	1
373	CD01	PfCD01_030030400	RIFIN-A	PfCD01_030030400	1
374	CD01	PfCD01_040005100	RIFIN-A	PfCD01_040005100	1
375	CD01	PfCD01_040005400	RIFIN-A	PfCD01_040005400	2
376	CD01	PfCD01_040005600	RIFIN-B	PfCD01_040005600	1
377	CD01	PfCD01_040005700	RIFIN-B	PfCD01_040005700	1
378	CD01	PfCD01_040005900	RIFIN-A	PfCD01_040005900	3
379	CD01	PfCD01_040007200	RIFIN-A	PF3D7_0402500	16
380	CD01	PfCD01_040018500	RIFIN-A	PF3D7_0413200	10
381	CD01	PfCD01_040018600	RIFIN-A	PF3D7_0413300	10
382	CD01	PfCD01_040026700	RIFIN-A	PF3D7_0421500	12
383	CD01	PfCD01_040030800	RIFIN-B	PfCD01_040030800	1
384	CD01	PfCD01_040030900	RIFIN-A	PfCD01_040030900	5
385	CD01	PfCD01_040031000	RIFIN-A	PfCD01_040031000	1
386	CD01	PfCD01_050005700	RIFIN-A	PfCD01_050005700	1
387	CD01	PfCD01_050005800	RIFIN-A	PfCD01_050005800	1
388	CD01	PfCD01_050006000	RIFIN-B	PfCD01_050006000	1
389	CD01	PfCD01_050006700	RIFIN-A	PfCD01_050006700	1
390	CD01	PfCD01_050006900	RIFIN-A	PfCD01_050006900	1
391	CD01	PfCD01_050007000	RIFIN-B	PfCD01_050007000	1
392	CD01	PfCD01_050007100	RIFIN-A	PfCD01_050007100	1
393	CD01	PfCD01_050007200	RIFIN-B	PfCD01_050007200	2
394	CD01	PfCD01_050007300	RIFIN-B	PF3D7_0500500	12
395	CD01	PfCD01_050039200	RIFIN-A	PfCD01_050039200	1
396	CD01	PfCD01_050039300	RIFIN-A	PfDd2_010019300	6
397	CD01	PfCD01_050039500	RIFIN-A	PfDd2_050038900	2
398	CD01	PfCD01_060005400	RIFIN-A	PfCD01_060005400	1
399	CD01	PfCD01_060005700	RIFIN-A	PfCD01_060005700	1
400	CD01	PfCD01_060006000	RIFIN-B	PfCD01_060006000	1
401	CD01	PfCD01_060006100	RIFIN-B	PfCD01_060006100	1
402	CD01	PfCD01_060006200	RIFIN-A	PfCD01_060006200	1
403	CD01	PfCD01_060023100	RIFIN-A	PF3D7_0712500	14
404	CD01	PfCD01_070005400	RIFIN-A	PfCD01_070005400	1
405	CD01	PfCD01_070005700	RIFIN-A	PF3D7_0701800	15
406	CD01	PfCD01_070016600	RIFIN-A	Pf7G8-2_000196300	7
407	CD01	PfCD01_070017000	RIFIN-A	PfCD01_070017000	1
408	CD01	PfCD01_070035200	RIFIN-B	PfCD01_070035200	1
409	CD01	PfCD01_070035400	RIFIN-A	PfCD01_070035400	1
410	CD01	PfCD01_070035500	RIFIN-A	PF3D7_0100400	5
411	CD01	PfCD01_070035700	RIFIN-A	PfCD01_070035700	1
412	CD01	PfCD01_080005600	RIFIN-B	PfCD01_080005600	1
413	CD01	PfCD01_080005700	RIFIN-A	Pf7G8-2_000216400:pseudogene	6
414	CD01	PfCD01_080013900	RIFIN-A	PfDd2_080014200	3
415	CD01	PfCD01_080014100	RIFIN-A	PfCD01_080014100	1
416	CD01	PfCD01_080014200	RIFIN-A	PfDd2_120045500	2
417	CD01	PfCD01_080038200	RIFIN-B	PfCD01_080038200	1
418	CD01	PfCD01_080038300	RIFIN-A	PfCD01_080038300	1
419	CD01	PfCD01_080038400	RIFIN-B	PfCD01_080038400	4
420	CD01	PfCD01_080038500	RIFIN-B	PfCD01_080038500	1
421	CD01	PfCD01_080038600	RIFIN-B	PfCD01_080038600	1
422	CD01	PfCD01_080038700	RIFIN-B	PfCD01_080038700	1
423	CD01	PfCD01_080039000	RIFIN-A	PfCD01_080039000	1
424	CD01	PfCD01_080039100	RIFIN-A	PfCD01_080039100	1
425	CD01	PfCD01_080039200	RIFIN-B	PfCD01_080039200	1
426	CD01	PfCD01_080039300	RIFIN-A	PfCD01_080039300	1
427	CD01	PfCD01_090005700	RIFIN-A	PfCD01_090005700	1
428	CD01	PfCD01_090005900	RIFIN-A	PfCD01_090005900	1
429	CD01	PfCD01_090006000	RIFIN-A	PfCD01_090006000	1
430	CD01	PfCD01_090042000	RIFIN-B	PfDd2_090042600	9
431	CD01	PfCD01_090042100	RIFIN-A	PfCD01_090042100	1
432	CD01	PfCD01_090042200	RIFIN-A	PfCD01_090042200	1
433	CD01	PfCD01_090042300	RIFIN-B	PfCD01_090042300	1
434	CD01	PfCD01_090042600	RIFIN-A	PfCD01_090042600	1
435	CD01	PfCD01_090042700	RIFIN-B	PfCD01_090042700	1
436	CD01	PfCD01_090042800	RIFIN-A	PF3D7_1300400	16
437	CD01	PfCD01_100005700	RIFIN-A	PfDd2_050005600	4
438	CD01	PfCD01_100005900	RIFIN-A	PfCD01_100005900	1
439	CD01	PfCD01_100006000	RIFIN-B	PfCD01_100006000	5
440	CD01	PfCD01_100044800	RIFIN-A	PfCD01_100044800	1
441	CD01	PfCD01_100044900	RIFIN-B	PfCD01_100044900	1
442	CD01	PfCD01_100045000	RIFIN-B	PfCD01_100045000	1
443	CD01	PfCD01_100045300	RIFIN-A	PfCD01_100045300	1
444	CD01	PfCD01_110006000	RIFIN-A	PF3D7_0632700	9
445	CD01	PfCD01_110006100	RIFIN-B	Pf7G8-2_000403200	4
446	CD01	PfCD01_110006200	RIFIN-B	PfCD01_110006200	1
447	CD01	PfCD01_110006300	RIFIN-A	PfCD01_110006300	2
448	CD01	PfCD01_110006400	RIFIN-A	PfCD01_110006400	2
449	CD01	PfCD01_110006500	RIFIN-B	PfCD01_110006500	1
450	CD01	PfCD01_110006600	RIFIN-A	PfCD01_110006600	1
451	CD01	PfCD01_110006700	RIFIN-B	PfCD01_110006700	1
452	CD01	PfCD01_110006800	RIFIN-B	PfCD01_110006800	1
453	CD01	PfCD01_110006900	RIFIN-A	PF3D7_0222400	9
454	CD01	PfCD01_110054600	RIFIN-A	PfDd2_040006200	9
455	CD01	PfCD01_110054900	RIFIN-B	PfDd2_040005700	5
456	CD01	PfCD01_110055100	RIFIN-A	PfCD01_110055100	1
457	CD01	PfCD01_110055200	RIFIN-A	PfCD01_110055200	1
458	CD01	PfCD01_110055300	RIFIN-A	PfCD01_110055300	1
459	CD01	PfCD01_110055400	RIFIN-A	PfCD01_110055400	1
460	CD01	PfCD01_120005600	RIFIN-A	PfCD01_120005600	2
461	CD01	PfCD01_120024400	RIFIN-A	PfCD01_120024400	2
462	CD01	PfCD01_120058200	RIFIN-A	PfCD01_120058200	1
463	CD01	PfCD01_120058400	RIFIN-A	PF3D7_0223400	7
464	CD01	PfCD01_130005600	RIFIN-A	PfCD01_130005600	3
465	CD01	PfCD01_130005900	RIFIN-B	PfCD01_130005900	6
466	CD01	PfCD01_130077600	RIFIN-B	PF3D7_1372600	15
467	CD01	PfCD01_130077700	RIFIN-A	PfCD01_130077700	1
468	CD01	PfCD01_130078000	RIFIN-B	PfCD01_130078000	2
469	CD01	PfCD01_130078100	RIFIN-A	PfCD01_130078100	2
470	CD01	PfCD01_130078200	RIFIN-A	PfCD01_130078200	1
471	CD01	PfCD01_130078300	RIFIN-A	PfCD01_130078300	1
472	CD01	PfCD01_130078500	RIFIN-A	PF3D7_0425900	6
473	CD01	PfCD01_140005700	RIFIN-A	PfCD01_140005700	1
474	CD01	PfCD01_140006000	RIFIN-B	PfCD01_140006000	1
475	CD01	PfCD01_140006100	RIFIN-A	PfCD01_140006100	1
476	CD01	PfCD01_140006200	RIFIN-A	PF3D7_1000500	4
477	CD01	PfCD01_140006300	RIFIN-B	PfCD01_140006300	1
478	CD01	PfCD01_140084600	RIFIN-A	PfCD01_140084600	1
479	CD01	PfCD01_140084700	RIFIN-A	PfDd2_010019200	2
480	CD01	PfCD01_140084800	RIFIN-A	PfCD01_140084800	1
481	CD01	PfCD01_140085000	RIFIN-B	PfCD01_140085000	1
482	CD01	PfCD01_140085300	RIFIN-A	PfCD01_140085300	2
483	CD01	PfCD01_140085500	RIFIN-A	PfCD01_140085500	1
484	CD01	PfCD01_140085700	RIFIN-A	Pf7G8-2_000183500	4
485	CD01	PfCD01_140085900	RIFIN-B	PfCD01_140085900	1
486	CD01	PfCD01_140086000	RIFIN-A	PfCD01_140086000	3
487	CD01	PfCD01_140086200	RIFIN-A	PF3D7_0100200	4
488	Dd2	PfDd2_010005600	RIFIN-A	PfDd2_010005600	1
489	Dd2	PfDd2_010005700	RIFIN-B	PfDd2_010005700	7
490	Dd2	PfDd2_010018200	RIFIN-B	PF3D7_0114700	16
491	Dd2	PfDd2_010018800	RIFIN-A	PfDd2_010018800	2
492	Dd2	PfDd2_010018900	RIFIN-B	PfDd2_010018900	1
493	Dd2	PfDd2_010019000	RIFIN-B	PfDd2_010019000	1
494	Dd2	PfDd2_010019100	RIFIN-A	PfDd2_010019100	1
495	Dd2	PfDd2_010019200	RIFIN-A	PfDd2_010019200	2
496	Dd2	PfDd2_010019300	RIFIN-A	PfDd2_010019300	6
497	Dd2	PfDd2_020024700	RIFIN-A	PfDd2_020024700	1
498	Dd2	PfDd2_020024900	RIFIN-A	PfDd2_020024900	1
499	Dd2	PfDd2_020025300	RIFIN-A	PF3D7_0101600	3
500	Dd2	PfDd2_030005500	RIFIN-A	PF3D7_0632700	9
501	Dd2	PfDd2_030005600	RIFIN-B	PF3D7_0900300	9
502	Dd2	PfDd2_030005700	RIFIN-A	PfDd2_030005700	1
503	Dd2	PfDd2_030005800	RIFIN-A	PF3D7_0300800	11
504	Dd2	PfDd2_030029500	RIFIN-A	PfDd2_030029500	3
505	Dd2	PfDd2_030029600	RIFIN-B	PfDd2_030029600	1
506	Dd2	PfDd2_030029700	RIFIN-A	PfDd2_030029700	1
507	Dd2	PfDd2_040005200	RIFIN-A	PfDd2_040005200	4
508	Dd2	PfDd2_040005300	RIFIN-A	PfDd2_040005300	1
509	Dd2	PfDd2_040005700	RIFIN-B	PfDd2_040005700	5
510	Dd2	PfDd2_040005800	RIFIN-A	PfDd2_040005800	4
511	Dd2	PfDd2_040006200	RIFIN-A	PfDd2_040006200	9
512	Dd2	PfDd2_040007500	RIFIN-A	PF3D7_0402500	16
513	Dd2	PfDd2_040007700	RIFIN-A	PF3D7_0402700	16
514	Dd2	PfDd2_040018300	RIFIN-A	PfDd2_040018300	6
515	Dd2	PfDd2_040018400	RIFIN-A	PF3D7_0413300	10
516	Dd2	PfDd2_040026100	RIFIN-A	PfDd2_040026100	3
517	Dd2	PfDd2_040026500	RIFIN-A	PF3D7_0421500	12
518	Dd2	PfDd2_040030600	RIFIN-A	PfDd2_040030600	1
519	Dd2	PfDd2_040030800	RIFIN-B	PfDd2_040030800	1
520	Dd2	PfDd2_040030900	RIFIN-A	PfDd2_040030900	1
521	Dd2	PfDd2_040031000	RIFIN-B	PfDd2_040031000	1
522	Dd2	PfDd2_040031100	RIFIN-A	PfDd2_040031100	3
523	Dd2	PfDd2_040031200	RIFIN-B	PfDd2_040031200	1
524	Dd2	PfDd2_050005100	RIFIN-A	PfDd2_050005100	1
525	Dd2	PfDd2_050005200	RIFIN-B	PfDd2_050005200	4
526	Dd2	PfDd2_050005300	RIFIN-A	PfDd2_050005300	1
527	Dd2	PfDd2_050005600	RIFIN-A	PfDd2_050005600	4
528	Dd2	PfDd2_050005800	RIFIN-B	PF3D7_0500500	12
529	Dd2	PfDd2_050037700	RIFIN-A	PfDd2_050037700	1
530	Dd2	PfDd2_050037800	RIFIN-B	PfDd2_050037800	1
531	Dd2	PfDd2_050038000	RIFIN-A	PfDd2_050038000	1
532	Dd2	PfDd2_050038100	RIFIN-B	PfDd2_050038100	1
533	Dd2	PfDd2_050038500	RIFIN-A	PfDd2_050038500	1
534	Dd2	PfDd2_050038600	RIFIN-A	PfDd2_050038600	1
535	Dd2	PfDd2_050038700	RIFIN-B	PfDd2_050038700	1
536	Dd2	PfDd2_050038900	RIFIN-A	PfDd2_050038900	2
537	Dd2	PfDd2_060005100	RIFIN-A	PF3D7_0900400	6
538	Dd2	PfDd2_060005200	RIFIN-A	PfDd2_060005200	1
539	Dd2	PfDd2_060005300	RIFIN-A	PfDd2_060005300	1
540	Dd2	PfDd2_060005500	RIFIN-A	PfDd2_060005500	4
541	Dd2	PfDd2_060022400	RIFIN-A	PfDd2_060022400	1
542	Dd2	PfDd2_060036400	RIFIN-A	PfDd2_060036400	5
543	Dd2	PfDd2_060036500	RIFIN-B	PfDd2_060036500	3
544	Dd2	PfDd2_060036600	RIFIN-B	PfDd2_060036600	4
545	Dd2	PfDd2_060036800	RIFIN-A	PfDd2_060036800	4
546	Dd2	PfDd2_070005400	RIFIN-A	PfDd2_070005400	1
547	Dd2	PfDd2_070005600	RIFIN-A	PfDd2_070005600	1
548	Dd2	PfDd2_070005700	RIFIN-B	PfDd2_070005700	1
549	Dd2	PfDd2_070005800	RIFIN-A	PfDd2_070005800	1
550	Dd2	PfDd2_070006000	RIFIN-A	PF3D7_0701800	15
551	Dd2	PfDd2_070016600	RIFIN-A	PF3D7_0713000	14
552	Dd2	PfDd2_070035200	RIFIN-A	PfDd2_070035200	2
553	Dd2	PfDd2_070035300	RIFIN-A	PfDd2_070035300	2
554	Dd2	PfDd2_070035500	RIFIN-A	PfDd2_070035500	1
555	Dd2	PfDd2_070035600	RIFIN-A	PfDd2_070035600	2
556	Dd2	PfDd2_080005600	RIFIN-A	PfDd2_080005600	5
557	Dd2	PfDd2_080005900	RIFIN-A	PfDd2_080005900	1
558	Dd2	PfDd2_080014200	RIFIN-A	PfDd2_080014200	3
559	Dd2	PfDd2_090006200	RIFIN-A	PF3D7_0300700	8
560	Dd2	PfDd2_090006300	RIFIN-A	PfDd2_090006300	2
561	Dd2	PfDd2_090006500	RIFIN-B	PfDd2_090006500	2
562	Dd2	PfDd2_090006600	RIFIN-A	PfDd2_090006600	3
563	Dd2	PfDd2_090006900	RIFIN-A	PfDd2_090006900	6
564	Dd2	PfDd2_090042600	RIFIN-B	PfDd2_090042600	9
565	Dd2	PfDd2_090042700	RIFIN-A	PfDd2_090042700	6
566	Dd2	PfDd2_090042800	RIFIN-B	PfDd2_090042800	1
567	Dd2	PfDd2_100005200	RIFIN-A	PfDd2_100005200	3
568	Dd2	PfDd2_100005300	RIFIN-A	PfDd2_100005300	1
569	Dd2	PfDd2_100005400	RIFIN-A	PfDd2_100005400	1
570	Dd2	PfDd2_100005800	RIFIN-A	PfDd2_100005800	1
571	Dd2	PfDd2_100005900	RIFIN-B	PF3D7_1000600	8
572	Dd2	PfDd2_100044800	RIFIN-A	PF3D7_1101400	5
573	Dd2	PfDd2_100044900	RIFIN-B	PfDd2_100044900	2
574	Dd2	PfDd2_100045100	RIFIN-A	PfDd2_100045100	1
575	Dd2	PfDd2_100045400	RIFIN-A	PfDd2_100045400	6
576	Dd2	PfDd2_100045500	RIFIN-B	PfDd2_100045500	2
577	Dd2	PfDd2_100045700	RIFIN-A	PfDd2_100045700	2
578	Dd2	PfDd2_100045800	RIFIN-A	PfDd2_100045800	8
579	Dd2	PfDd2_110052400	RIFIN-B	PF3D7_1149800	6
580	Dd2	PfDd2_110052600	RIFIN-A	PfDd2_110052600	1
581	Dd2	PfDd2_110052700	RIFIN-A	PfDd2_110052700	1
582	Dd2	PfDd2_110052900	RIFIN-B	PfDd2_110052900	1
583	Dd2	PfDd2_110053100	RIFIN-A	PfDd2_110053100	1
584	Dd2	PfDd2_110053200	RIFIN-A	PF3D7_1300400	16
585	Dd2	PfDd2_120005000	RIFIN-A	PfDd2_120005000	3
586	Dd2	PfDd2_120005300	RIFIN-B	PfDd2_120005300	2
587	Dd2	PfDd2_120005400	RIFIN-A	PfDd2_120005400	2
588	Dd2	PfDd2_120045400	RIFIN-A	PfDd2_120045400	1
589	Dd2	PfDd2_120045500	RIFIN-A	PfDd2_120045500	2
590	Dd2	PfDd2_130005800	RIFIN-A	PfDd2_130005800	1
591	Dd2	PfDd2_130005900	RIFIN-B	PfDd2_130005900	1
592	Dd2	PfDd2_130006000	RIFIN-A	PfDd2_130006000	1
593	Dd2	PfDd2_130006100	RIFIN-A	PfDd2_130006100	1
594	Dd2	PfDd2_130006300	RIFIN-A	PfDd2_130006300	1
595	Dd2	PfDd2_130077700	RIFIN-B	PF3D7_1372600	15
596	Dd2	PfDd2_130077800	RIFIN-A	PfDd2_130077800	9
597	Dd2	PfDd2_130077900	RIFIN-B	PfDd2_130077900	2
598	Dd2	PfDd2_130078000	RIFIN-B	PfDd2_130078000	2
599	Dd2	PfDd2_130078100	RIFIN-B	PfDd2_130078100	2
600	Dd2	PfDd2_130078300	RIFIN-A	PfDd2_130078300	4
601	Dd2	PfDd2_130078500	RIFIN-A	PfDd2_130078500	3
602	Dd2	PfDd2_130078600	RIFIN-A	PfDd2_130078600	2
603	Dd2	PfDd2_140005000	RIFIN-A	PfDd2_140005000	4
604	Dd2	PfDd2_140005100	RIFIN-B	PfDd2_140005100	4
605	Dd2	PfDd2_140005200	RIFIN-B	PfDd2_140005200	5
606	Dd2	PfDd2_140083300	RIFIN-A	PF3D7_1253700	13
607	Dd2	PfDd2_140083600	RIFIN-B	PfDd2_140083600	1
608	Dd2	PfDd2_140083700	RIFIN-A	PfDd2_140083700	3
609	GA01	PfGA01_000006000	RIFIN-A	PF3D7_0201200	10
610	GA01	PfGA01_000006100	RIFIN-A	Pf7G8-2_000049300	9
611	GA01	PfGA01_000006300	RIFIN-B	PF3D7_0201000	3
612	GA01	PfGA01_000006500	RIFIN-A	PfGA01_000006500	1
613	GA01	PfGA01_000006600	RIFIN-A	PfDd2_010005400	10
614	GA01	PfGA01_000006800	RIFIN-B	PF3D7_0632600	6
615	GA01	PfGA01_000007000	RIFIN-B	PfGA01_000007000	2
616	GA01	PfGA01_000007300	RIFIN-B	PfGA01_000007300	1
617	GA01	PfGA01_000007600	RIFIN-A	PfGA01_000007600	1
618	GA01	PfGA01_000009500	RIFIN-A	PF3D7_0200200	4
619	GA01	PfGA01_000009700	RIFIN-A	PF3D7_1101100	4
620	GA01	PfGA01_000009800	RIFIN-B	PfGA01_000009800	1
621	GA01	PfGA01_000009900	RIFIN-A	PfGA01_000009900	1
622	GA01	PfGA01_000010000	RIFIN-A	PfGA01_000010000	1
623	GA01	PfGA01_000010100	RIFIN-B	PfDd2_100044900	2
624	GA01	PfGA01_000010200	RIFIN-A	PF3D7_0701300	5
625	GA01	PfGA01_010005700	RIFIN-A	PfDd2_040005200	4
626	GA01	PfGA01_010005900	RIFIN-A	PfGA01_010005900	1
627	GA01	PfGA01_010006100	RIFIN-B	PfGA01_010006100	1
628	GA01	PfGA01_010006200	RIFIN-A	PfGA01_010006200	1
629	GA01	PfGA01_010006300	RIFIN-B	PfDd2_010005700	7
630	GA01	PfGA01_010018600	RIFIN-B	PF3D7_0114700	16
631	GA01	PfGA01_010019300	RIFIN-A	PfGA01_010019300	6
632	GA01	PfGA01_010019400	RIFIN-A	PfGA01_010019400	2
633	GA01	PfGA01_010019500	RIFIN-A	PfGA01_010019500	1
634	GA01	PfGA01_010019600	RIFIN-A	PfGA01_010019600	4
635	GA01	PfGA01_010019800	RIFIN-B	PfGA01_010019800	1
636	GA01	PfGA01_010020200	RIFIN-A	PfGA01_010020200	1
637	GA01	PfGA01_020025200	RIFIN-A	Pf7G8-2_000325000	6
638	GA01	PfGA01_020025300	RIFIN-B	PfGA01_020025300	1
639	GA01	PfGA01_020025400	RIFIN-A	PfGA01_020025400	5
640	GA01	PfGA01_030005900	RIFIN-A	PfGA01_030005900	4
641	GA01	PfGA01_030006000	RIFIN-B	PfGA01_030006000	1
642	GA01	PfGA01_030006100	RIFIN-A	PfGA01_030006100	1
643	GA01	PfGA01_030006300	RIFIN-B	PfGA01_030006300	1
644	GA01	PfGA01_030006400	RIFIN-B	PfGA01_030006400	1
645	GA01	PfGA01_030006500	RIFIN-A	PfCD01_030005800	4
646	GA01	PfGA01_030006800	RIFIN-A	PfGA01_030006800	1
647	GA01	PfGA01_030006900	RIFIN-B	PfGA01_030006900	1
648	GA01	PfGA01_030007100	RIFIN-A	PfGA01_030007100	2
649	GA01	PfGA01_030007200	RIFIN-A	PF3D7_0300800	11
650	GA01	PfGA01_030031100	RIFIN-A	PfGA01_030031100	1
651	GA01	PfGA01_030031200	RIFIN-A	PfGA01_030031200	1
652	GA01	PfGA01_030031400	RIFIN-B	PfGA01_030031400	1
653	GA01	PfGA01_030031500	RIFIN-A	PfGA01_030031500	1
654	GA01	PfGA01_030031600	RIFIN-A	PfGA01_030031600	1
655	GA01	PfGA01_030031800	RIFIN-A	PfGA01_030031800	4
656	GA01	PfGA01_030031900	RIFIN-A	PfGA01_030031900	1
657	GA01	PfGA01_030032100	RIFIN-A	PfGA01_030032100	1
658	GA01	PfGA01_040005700	RIFIN-A	PF3D7_0833400	6
659	GA01	PfGA01_040005900	RIFIN-A	PfGA01_040005900	1
660	GA01	PfGA01_040006000	RIFIN-A	PfGA01_040006000	1
661	GA01	PfGA01_040007100	RIFIN-A	PF3D7_0402500	16
662	GA01	PfGA01_040007300	RIFIN-A	PF3D7_0402700	16
663	GA01	PfGA01_040017600	RIFIN-A	PF3D7_0413200	10
664	GA01	PfGA01_040017700	RIFIN-A	PF3D7_0413300	10
665	GA01	PfGA01_040025600	RIFIN-A	PfDd2_040026100	3
666	GA01	PfGA01_040025900	RIFIN-A	PfGA01_040025900	1
667	GA01	PfGA01_040030800	RIFIN-A	PfGA01_040030800	1
668	GA01	PfGA01_050004000	RIFIN-A	PF3D7_0833000	3
669	GA01	PfGA01_050005100	RIFIN-B	PfGA01_050005100	1
670	GA01	PfGA01_050005200	RIFIN-B	PfGA01_050005200	1
671	GA01	PfGA01_050005300	RIFIN-B	PF3D7_0500500	12
672	GA01	PfGA01_050036800	RIFIN-B	PF3D7_0532900	15
673	GA01	PfGA01_050037100	RIFIN-A	PF3D7_1300500	3
674	GA01	PfGA01_050037200	RIFIN-A	PfCD01_030006200	4
675	GA01	PfGA01_050037400	RIFIN-A	PfGA01_050037400	2
676	GA01	PfGA01_060005200	RIFIN-A	PF3D7_0400700	4
677	GA01	PfGA01_060005500	RIFIN-B	Pf7G8-2_000403200	4
678	GA01	PfGA01_060005700	RIFIN-A	PfGA01_060005700	1
679	GA01	PfGA01_060022700	RIFIN-A	PF3D7_0617700	6
680	GA01	PfGA01_070005200	RIFIN-A	PF3D7_0701800	15
681	GA01	PfGA01_070015700	RIFIN-B	PfGA01_070015700	1
682	GA01	PfGA01_070016000	RIFIN-A	PF3D7_0713000	14
683	GA01	PfGA01_070034700	RIFIN-B	PfGA01_070034700	3
684	GA01	PfGA01_070034800	RIFIN-A	PfGA01_070034800	3
685	GA01	PfGA01_070035000	RIFIN-A	PfGA01_070035000	2
686	GA01	PfGA01_070035700	RIFIN-B	PF3D7_1040100	4
687	GA01	PfGA01_070035800	RIFIN-A	PfGA01_070035800	1
688	GA01	PfGA01_070035900	RIFIN-A	PfGA01_070035900	1
689	GA01	PfGA01_070036000	RIFIN-B	PfGA01_070036000	1
690	GA01	PfGA01_070036100	RIFIN-A	PfGA01_070036100	1
691	GA01	PfGA01_070036200	RIFIN-B	PfGA01_070036200	1
692	GA01	PfGA01_070036300	RIFIN-A	PfGA01_070036300	1
693	GA01	PfGA01_080035600	RIFIN-B	PF3D7_0832800	4
694	GA01	PfGA01_080035800	RIFIN-A	PfGA01_080035800	1
695	GA01	PfGA01_080035900	RIFIN-A	PfGA01_080035900	1
696	GA01	PfGA01_080036100	RIFIN-B	PF3D7_0500400	6
697	GA01	PfGA01_080036200	RIFIN-A	PfGA01_080036200	1
698	GA01	PfGA01_080036300	RIFIN-B	PfGA01_080036300	1
699	GA01	PfGA01_080036600	RIFIN-A	PfGA01_080036600	3
700	GA01	PfGA01_080036700	RIFIN-A	PfGA01_080036700	1
701	GA01	PfGA01_080036800	RIFIN-A	PF3D7_0223400	7
702	GA01	PfGA01_090005400	RIFIN-A	PfGA01_090005400	1
703	GA01	PfGA01_090005600	RIFIN-A	PF3D7_1300400	16
704	GA01	PfGA01_090005700	RIFIN-B	PfGA01_090005700	2
705	GA01	PfGA01_090005900	RIFIN-A	PfGA01_090005900	2
706	GA01	PfGA01_090006000	RIFIN-B	PfGA01_090006000	1
707	GA01	PfGA01_100005500	RIFIN-A	PF3D7_1255100	3
708	GA01	PfGA01_100005600	RIFIN-B	PfGA01_100005600	1
709	GA01	PfGA01_100005700	RIFIN-A	PfGA01_100005700	3
710	GA01	PfGA01_100005900	RIFIN-A	PfGA01_100005900	1
711	GA01	PfGA01_100006000	RIFIN-B	PfGA01_100006000	1
712	GA01	PfGA01_100006100	RIFIN-A	PfGA01_100006100	1
713	GA01	PfGA01_100006200	RIFIN-B	PfCD01_100006000	5
714	GA01	PfGA01_100045100	RIFIN-A	PfGA01_100045100	1
715	GA01	PfGA01_100045200	RIFIN-A	PfGA01_100045200	1
716	GA01	PfGA01_110005500	RIFIN-A	PfGA01_110005500	1
717	GA01	PfGA01_110005700	RIFIN-A	PfGA01_110005700	2
718	GA01	PfGA01_110005900	RIFIN-A	PfGA01_110005900	1
719	GA01	PfGA01_110006000	RIFIN-B	PfGA01_110006000	1
720	GA01	PfGA01_110006100	RIFIN-A	PF3D7_0631700	5
721	GA01	PfGA01_110053300	RIFIN-A	PfDd2_040006200	9
722	GA01	PfGA01_110053600	RIFIN-B	PfDd2_040005700	5
723	GA01	PfGA01_110053700	RIFIN-A	PfGA01_110053700	1
724	GA01	PfGA01_110053800	RIFIN-B	PfGA01_110053800	2
725	GA01	PfGA01_110054100	RIFIN-A	PfGA01_110054100	1
726	GA01	PfGA01_110054300	RIFIN-A	PfGA01_110054300	1
727	GA01	PfGA01_120005600	RIFIN-A	PfCD01_000008400	3
728	GA01	PfGA01_120045000	RIFIN-B	PfGA01_120045000	2
729	GA01	PfGA01_120045200	RIFIN-B	PfGA01_120045200	1
730	GA01	PfGA01_120045400	RIFIN-B	PfGA01_120045400	1
731	GA01	PfGA01_120045600	RIFIN-A	Pf7G8-2_000389900	3
732	GA01	PfGA01_120045700	RIFIN-A	Pf7G8-2_000390000	3
733	GA01	PfGA01_120046000	RIFIN-A	PfGA01_120046000	1
734	GA01	PfGA01_120046100	RIFIN-A	PfGA01_120046100	1
735	GA01	PfGA01_120059400	RIFIN-A	PF3D7_1372700	3
736	GA01	PfGA01_120059900	RIFIN-A	PfGA01_120059900	1
737	GA01	PfGA01_120060000	RIFIN-A	PfGA01_120060000	1
738	GA01	PfGA01_120060100	RIFIN-A	PfGA01_120060100	1
