STEVOR1.hmm 	PfIT_000006900 	1.8e-11 	31.8 	4.5e-08 	20.6	
STEVOR1.hmm 	PfIT_090005400 	8.7e-16 	45.9 	6.5e-12 	33.2	
RIFIN-A.hmm 	PfIT_090005500 	1.1e-156 	509.6 	1.2e-156 	509.4	
RIFIN-B.hmm 	PfIT_090005500 	2e-104 	337.4 	1.6e-58 	186.5	
STEVOR1.hmm 	PfIT_090005500 	5.6e-08 	20.3 	3.9e-07 	17.5	
RIFIN-B.hmm 	PfIT_090005700 	1.2e-09 	26.0 	2.4e-09 	25.0	
RIFIN-A.hmm 	PfIT_090005700 	1.4e-11 	32.4 	3.2e-08 	21.3	
STEVOR1.hmm 	PfIT_090005700 	4.4e-170 	552.6 	4.9e-170 	552.5	
STEVOR1.hmm 	PfIT_090005800 	2.7e-10 	27.9 	2.4e-09 	24.8	
RIFIN-B.hmm 	PfIT_090005800 	5.2e-118 	382.1 	1.2e-65 	210.0	
RIFIN-A.hmm 	PfIT_090005800 	5.3e-126 	408.7 	6.1e-126 	408.5	
STEVOR1.hmm 	PfIT_090005900 	1.6e-09 	25.4 	1.8e-06 	15.4	
RIFIN-B.hmm 	PfIT_090005900 	1.6e-138 	449.5 	1.8e-138 	449.3	
RIFIN-A.hmm 	PfIT_090005900 	6.5e-103 	332.7 	1.2e-54 	174.0	
RIFIN-A.hmm 	PfIT_090006000 	2.2e-74 	238.9 	6.5e-40 	125.6	
RIFIN-B.hmm 	PfIT_090006000 	4.4e-102 	329.7 	6.6e-54 	171.4	
STEVOR1.hmm 	PfIT_090006000 	5.5e-14 	40.0 	1e-08 	22.7	
RIFIN-B.hmm 	PfIT_090006200 	0.003 	5.0 	0.00061 	7.2	
STEVOR1.hmm 	PfIT_090006200 	2.3e-25 	77.4 	4.4e-21 	63.3	
RIFIN-A.hmm 	PfIT_090006300 	1.4e-148 	482.9 	1.6e-148 	482.7	
RIFIN-B.hmm 	PfIT_090006300 	1.5e-105 	341.1 	4e-65 	208.3	
STEVOR1.hmm 	PfIT_090006300 	1.6e-17 	51.6 	3.1e-12 	34.3	
RIFIN-B.hmm 	PfIT_090006400 	1.2e-13 	39.1 	9.6e-11 	29.6	
RIFIN-A.hmm 	PfIT_090006400 	3.7e-11 	31.0 	1.2e-09 	26.0	
STEVOR1.hmm 	PfIT_090006400 	9.7e-166 	538.3 	1.1e-165 	538.2	
RIFIN-B.hmm 	PfIT_100005000 	2.5e-09 	24.9 	2.1e-08 	21.9	
STEVOR1.hmm 	PfIT_100005000 	3.3e-106 	342.8 	3.8e-106 	342.6	
RIFIN-A.hmm 	PfIT_100005000 	3.8e-10 	27.7 	1.1e-06 	16.4	
STEVOR1.hmm 	PfIT_100043700 	1.3e-163 	531.3 	1.5e-163 	531.2	
RIFIN-A.hmm 	PfIT_100043700 	2.1e-12 	35.1 	8.5e-10 	26.5	
RIFIN-B.hmm 	PfIT_100043700 	3.8e-13 	37.5 	1.5e-11 	32.3	
RIFIN-A.hmm 	PfIT_100043800 	2.1e-144 	469.2 	2.4e-144 	469.0	
RIFIN-B.hmm 	PfIT_100043800 	2.9e-107 	346.7 	2.9e-61 	195.6	
STEVOR1.hmm 	PfIT_100043800 	3.2e-15 	44.0 	1.8e-13 	38.3	
RIFIN-A.hmm 	PfIT_100043900 	1.9e-152 	495.6 	2.1e-152 	495.5	
STEVOR1.hmm 	PfIT_100043900 	4.4e-13 	37.0 	5.7e-09 	23.5	
RIFIN-B.hmm 	PfIT_100043900 	5e-100 	323.0 	3.2e-54 	172.4	
STEVOR1.hmm 	PfIT_110005700 	1.2e-09 	25.8 	2.7e-07 	18.0	
RIFIN-B.hmm 	PfIT_110005700 	4.7e-99 	319.8 	1.1e-52 	167.4	
RIFIN-A.hmm 	PfIT_110005700 	6.9e-156 	506.9 	7.7e-156 	506.8	
STEVOR1.hmm 	PfIT_110006000 	1.6e-14 	41.8 	2.9e-11 	31.0	
RIFIN-B.hmm 	PfIT_110006000 	1e-131 	427.1 	1.1e-131 	427.0	
RIFIN-A.hmm 	PfIT_110006000 	2.3e-95 	307.9 	4.1e-51 	162.4	
RIFIN-B.hmm 	PfIT_120005600 	1.6e-103 	334.4 	1.8e-54 	173.3	
RIFIN-A.hmm 	PfIT_120005600 	8.3e-156 	506.7 	9.3e-156 	506.5	
STEVOR1.hmm 	PfIT_120005600 	8.4e-10 	26.3 	2.5e-07 	18.1	
RIFIN-A.hmm 	PfIT_120005700 	1.5e-149 	486.1 	1.7e-149 	485.9	
RIFIN-B.hmm 	PfIT_120005700 	2.8e-94 	304.1 	1.4e-52 	167.1	
STEVOR1.hmm 	PfIT_120005700 	6e-08 	20.2 	2.8e-06 	14.7	
RIFIN-A.hmm 	PfIT_120005800 	1.2e-94 	305.6 	8.3e-54 	171.3	
RIFIN-B.hmm 	PfIT_120005800 	1.8e-139 	452.5 	2.1e-139 	452.4	
STEVOR1.hmm 	PfIT_120005800 	8.6e-12 	32.8 	2.2e-08 	21.6	
STEVOR1.hmm 	PfIT_120005900 	4.2e-14 	40.4 	2.4e-09 	24.7	
RIFIN-A.hmm 	PfIT_120005900 	6e-141 	457.8 	6.7e-141 	457.7	
RIFIN-B.hmm 	PfIT_120005900 	7.4e-117 	378.3 	7.7e-67 	213.9	
RIFIN-A.hmm 	PfIT_120045300 	1.4e-135 	440.2 	1.5e-135 	440.0	
RIFIN-B.hmm 	PfIT_120045300 	1e-109 	354.8 	2.9e-65 	208.8	
STEVOR1.hmm 	PfIT_120045300 	5.5e-12 	33.4 	9.1e-08 	19.6	
RIFIN-A.hmm 	PfIT_120045400 	2.2e-132 	429.7 	2.4e-132 	429.5	
STEVOR1.hmm 	PfIT_120045400 	3.1e-16 	47.4 	9.9e-12 	32.6	
RIFIN-B.hmm 	PfIT_120045400 	7.3e-98 	315.9 	6.7e-56 	178.0	
RIFIN-A.hmm 	PfIT_120045900 	1.4e-135 	440.2 	1.5e-135 	440.0	
RIFIN-B.hmm 	PfIT_120045900 	1e-109 	354.8 	2.9e-65 	208.8	
STEVOR1.hmm 	PfIT_120045900 	5.5e-12 	33.4 	9.1e-08 	19.6	
RIFIN-A.hmm 	PfIT_120046000 	1.5e-134 	436.7 	1.7e-134 	436.6	
STEVOR1.hmm 	PfIT_120046000 	1.5e-16 	48.4 	2.8e-12 	34.4	
RIFIN-B.hmm 	PfIT_120046000 	1.9e-97 	314.5 	2.1e-57 	182.9	
RIFIN-B.hmm 	PfIT_120059400 	4.5e-99 	319.8 	7.6e-53 	167.9	
STEVOR1.hmm 	PfIT_120059400 	4e-13 	37.2 	2.3e-10 	28.1	
RIFIN-A.hmm 	PfIT_120059400 	8.7e-142 	460.6 	9.7e-142 	460.4	
RIFIN-A.hmm 	PfIT_120059500 	1.5e-97 	315.1 	2.3e-52 	166.5	
STEVOR1.hmm 	PfIT_120059500 	2.8e-11 	31.1 	8.7e-10 	26.2	
RIFIN-B.hmm 	PfIT_120059500 	4.7e-124 	401.9 	5.3e-124 	401.8	
STEVOR1.hmm 	PfIT_120059600 	1.2e-14 	42.2 	4.5e-11 	30.4	
RIFIN-B.hmm 	PfIT_120059600 	2.8e-150 	488.1 	3.2e-150 	487.9	
RIFIN-A.hmm 	PfIT_120059600 	8.6e-104 	335.6 	3.8e-55 	175.7	
RIFIN-A.hmm 	PfIT_120059700 	3.3e-102 	330.4 	3.6e-65 	208.6	
RIFIN-B.hmm 	PfIT_120059700 	6.4e-135 	437.6 	7.2e-135 	437.5	
STEVOR1.hmm 	PfIT_120059700 	6.9e-10 	26.5 	1.5e-07 	18.9	
RIFIN-B.hmm 	PfIT_120059800 	2.1e-12 	35.0 	2.1e-12 	35.0	
RIFIN-A.hmm 	PfIT_120059800 	3.8e-12 	34.3 	2e-11 	31.9	
STEVOR1.hmm 	PfIT_120059800 	8e-164 	532.0 	8.9e-164 	531.9	
RIFIN-B.hmm 	PfIT_120059900 	1.5e-100 	324.7 	1.5e-55 	176.8	
RIFIN-A.hmm 	PfIT_120059900 	2e-137 	446.2 	2.4e-137 	446.0	
STEVOR1.hmm 	PfIT_120059900 	3.2e-17 	50.6 	3.4e-13 	37.4	
STEVOR1.hmm 	PfIT_120060000 	2.1e-162 	527.4 	2.3e-162 	527.2	
RIFIN-A.hmm 	PfIT_120060000 	6.6e-10 	26.9 	1.2e-08 	22.7	
RIFIN-B.hmm 	PfIT_120060000 	7.5e-14 	39.8 	9.7e-12 	32.9	
RIFIN-A.hmm 	PfIT_120060100 	2.1e-155 	505.4 	2.3e-155 	505.2	
RIFIN-B.hmm 	PfIT_120060100 	2.2e-102 	330.7 	2.4e-58 	186.0	
STEVOR1.hmm 	PfIT_120060100 	9e-10 	26.2 	1e-07 	19.4	
RIFIN-A.hmm 	PfIT_120060200 	2.9e-146 	475.3 	3.2e-146 	475.1	
STEVOR1.hmm 	PfIT_120060200 	7e-10 	26.5 	1.4e-08 	22.2	
RIFIN-B.hmm 	PfIT_120060200 	9.9e-103 	331.8 	3e-55 	175.8	
RIFIN-A.hmm 	PfIT_130005400 	1.9e-137 	446.3 	2.2e-137 	446.1	
STEVOR1.hmm 	PfIT_130005400 	3.7e-09 	24.2 	6.1e-07 	16.9	
RIFIN-B.hmm 	PfIT_130005400 	5.6e-97 	313.0 	1.6e-51 	163.6	
STEVOR1.hmm 	PfIT_130005500 	1.6e-14 	41.8 	2.6e-11 	31.2	
RIFIN-A.hmm 	PfIT_130005500 	2.1e-122 	396.8 	2.8e-122 	396.4	
RIFIN-B.hmm 	PfIT_130005500 	3e-89 	287.5 	5.6e-52 	165.1	
RIFIN-B.hmm 	PfIT_130005600 	1e-133 	433.7 	1.2e-133 	433.5	
RIFIN-A.hmm 	PfIT_130005600 	1e-95 	309.1 	5.2e-55 	175.2	
STEVOR1.hmm 	PfIT_130005600 	7.1e-11 	29.8 	5.2e-08 	20.4	
RIFIN-A.hmm 	PfIT_130005800 	1.6e-139 	453.2 	1.8e-139 	453.0	
STEVOR1.hmm 	PfIT_130005800 	1.7e-11 	31.8 	1.4e-08 	22.2	
RIFIN-B.hmm 	PfIT_130005800 	3.2e-99 	320.3 	2.6e-53 	169.4	
RIFIN-B.hmm 	PfIT_130005900 	2.4e-13 	38.1 	1.1e-11 	32.6	
RIFIN-A.hmm 	PfIT_130005900 	3.3e-12 	34.4 	9.6e-10 	26.4	
STEVOR1.hmm 	PfIT_130005900 	4.2e-165 	536.2 	4.7e-165 	536.1	
RIFIN-B.hmm 	PfIT_130077100 	1.4e-90 	292.0 	3.7e-50 	159.1	
STEVOR1.hmm 	PfIT_130077100 	1.7e-13 	38.4 	3.7e-10 	27.4	
RIFIN-A.hmm 	PfIT_130077100 	4.3e-130 	422.1 	4.8e-130 	421.9	
RIFIN-A.hmm 	PfIT_130077200 	0.00033 	8.1 	0.00051 	7.5	
STEVOR1.hmm 	PfIT_130077200 	6.9e-46 	144.8 	8.1e-46 	144.5	
RIFIN-A.hmm 	PfIT_130077400 	1.8e-153 	499.0 	2e-153 	498.8	
STEVOR1.hmm 	PfIT_130077400 	3.9e-11 	30.6 	4.1e-08 	20.7	
RIFIN-B.hmm 	PfIT_130077400 	4e-109 	352.9 	1.8e-63 	202.9	
STEVOR1.hmm 	PfIT_130077500 	2.2e-11 	31.4 	2.4e-09 	24.7	
RIFIN-B.hmm 	PfIT_130077500 	2e-147 	478.7 	2.2e-147 	478.6	
RIFIN-A.hmm 	PfIT_130077500 	6.6e-105 	339.3 	8.7e-66 	210.6	
STEVOR1.hmm 	PfIT_130077600 	2.4e-166 	540.3 	2.7e-166 	540.2	
RIFIN-A.hmm 	PfIT_130077600 	9.1e-15 	42.9 	3.5e-11 	31.1	
RIFIN-B.hmm 	PfIT_130077600 	9.6e-17 	49.3 	6.2e-12 	33.5	
RIFIN-B.hmm 	PfIT_130077700 	2.5e-105 	340.4 	9.2e-60 	190.7	
STEVOR1.hmm 	PfIT_130077700 	4e-11 	30.6 	2e-08 	21.7	
RIFIN-A.hmm 	PfIT_130077700 	8.2e-155 	503.4 	9.2e-155 	503.2	
RIFIN-B.hmm 	PfIT_140006300 	2.4e-107 	347.0 	1e-60 	193.8	
STEVOR1.hmm 	PfIT_140006300 	2e-11 	31.6 	1.3e-07 	19.1	
RIFIN-A.hmm 	PfIT_140006300 	3.1e-150 	488.4 	3.5e-150 	488.2	
STEVOR1.hmm 	PfIT_140006500 	1.3e-12 	35.5 	1.5e-09 	25.5	
RIFIN-B.hmm 	PfIT_140006500 	3.2e-95 	307.2 	1.9e-49 	156.7	
RIFIN-A.hmm 	PfIT_140006500 	7e-136 	441.1 	7.9e-136 	441.0	
RIFIN-A.hmm 	PfIT_140006600 	1.6e-126 	410.4 	1.8e-126 	410.2	
STEVOR1.hmm 	PfIT_140006600 	5e-14 	40.1 	3.6e-08 	20.9	
RIFIN-B.hmm 	PfIT_140006600 	6.9e-87 	279.8 	5.7e-53 	168.3	
STEVOR1.hmm 	PfIT_140006700 	1.3e-153 	498.5 	2.3e-153 	497.7	
RIFIN-A.hmm 	PfIT_140006700 	3.3e-11 	31.2 	6.7e-10 	26.9	
RIFIN-B.hmm 	PfIT_140006700 	7.4e-12 	33.2 	8.1e-11 	29.8	
RIFIN-A.hmm 	PfIT_140006800 	1.5e-113 	367.7 	3.5e-113 	366.5	
STEVOR1.hmm 	PfIT_140006800 	4e-17 	50.3 	1.4e-13 	38.7	
RIFIN-B.hmm 	PfIT_140006800 	7.5e-86 	276.4 	1.8e-48 	153.5	
RIFIN-A.hmm 	PfIT_140006900 	4e-148 	481.4 	4.5e-148 	481.2	
RIFIN-B.hmm 	PfIT_140006900 	7.3e-108 	348.7 	4.7e-61 	194.9	
STEVOR1.hmm 	PfIT_140006900 	9.9e-12 	32.6 	9.4e-09 	22.8	
RIFIN-A.hmm 	PfIT_140007000 	1.1e-97 	315.5 	8.3e-55 	174.5	
RIFIN-B.hmm 	PfIT_140007000 	1.7e-143 	465.8 	1.9e-143 	465.6	
STEVOR1.hmm 	PfIT_140007000 	3e-17 	50.7 	2.3e-10 	28.1	
RIFIN-B.hmm 	PfIT_140007200 	1.6e-104 	337.7 	2.3e-56 	179.5	
RIFIN-A.hmm 	PfIT_140007200 	2.7e-154 	501.7 	3e-154 	501.5	
STEVOR1.hmm 	PfIT_140007200 	5.4e-14 	40.0 	1.8e-08 	21.9	
RIFIN-A.hmm 	PfIT_140007300 	2.1e-13 	38.4 	1e-09 	26.3	
RIFIN-B.hmm 	PfIT_140007300 	4.6e-12 	33.9 	1e-11 	32.8	
STEVOR1.hmm 	PfIT_140007300 	8.3e-167 	541.8 	9.3e-167 	541.7	
RIFIN-B.hmm 	PfIT_140085200 	1.1e-78 	252.9 	1.7e-43 	137.2	
STEVOR1.hmm 	PfIT_140085200 	1.2e-12 	35.6 	1e-09 	26.0	
RIFIN-A.hmm 	PfIT_140085200 	2.1e-98 	317.9 	2.6e-98 	317.6	
STEVOR1.hmm 	PfIT_140085500 	1.2e-12 	35.6 	5e-09 	23.7	
RIFIN-B.hmm 	PfIT_140085500 	2.7e-132 	429.0 	3.1e-132 	428.8	
RIFIN-A.hmm 	PfIT_140085500 	2.9e-91 	294.4 	4.6e-49 	155.7	
RIFIN-B.hmm 	PfIT_140085600 	1.5e-97 	314.8 	7.7e-51 	161.3	
STEVOR1.hmm 	PfIT_140085600 	2.9e-09 	24.5 	5.2e-07 	17.1	
RIFIN-A.hmm 	PfIT_140085600 	8e-144 	467.3 	9e-144 	467.1	
