RIFIN-B.hmm 	PfHB3_000006500 	1.4e-104 	338.0 	2e-59 	189.6	
RIFIN-B.hmm 	PfHB3_120005900 	1.5e-109 	354.2 	7e-62 	197.6	
STEVOR1.hmm 	PfHB3_120005900 	3.4e-11 	30.8 	4.7e-08 	20.5	
RIFIN-A.hmm 	PfHB3_120005900 	3.7e-153 	498.0 	4.1e-153 	497.8	
RIFIN-A.hmm 	PfHB3_120045400 	1.5e-131 	426.9 	1.7e-131 	426.7	
STEVOR1.hmm 	PfHB3_120045400 	4.5e-12 	33.7 	1.1e-07 	19.3	
RIFIN-B.hmm 	PfHB3_120045400 	7.8e-100 	322.3 	6e-54 	171.6	
STEVOR1.hmm 	PfHB3_120058400 	1.2e-166 	541.4 	1.3e-166 	541.2	
RIFIN-B.hmm 	PfHB3_120058400 	3.7e-11 	31.0 	1.3e-10 	29.2	
RIFIN-A.hmm 	PfHB3_120058400 	8.3e-09 	23.3 	8.3e-09 	23.3	
STEVOR1.hmm 	PfHB3_120058500 	3.3e-12 	34.2 	4.8e-09 	23.8	
RIFIN-B.hmm 	PfHB3_120058500 	5.6e-104 	336.0 	1e-56 	180.7	
RIFIN-A.hmm 	PfHB3_120058500 	7.4e-156 	506.8 	8.3e-156 	506.7	
STEVOR1.hmm 	PfHB3_120058600 	1.2e-17 	52.0 	2e-10 	28.3	
RIFIN-A.hmm 	PfHB3_120058600 	3.5e-98 	317.2 	9.7e-53 	167.7	
RIFIN-B.hmm 	PfHB3_120058600 	5.4e-134 	434.6 	6e-134 	434.4	
RIFIN-A.hmm 	PfHB3_120058700 	2.9e-14 	41.2 	1.1e-11 	32.7	
RIFIN-B.hmm 	PfHB3_120058700 	7.2e-14 	39.8 	1.5e-12 	35.5	
STEVOR1.hmm 	PfHB3_120058700 	9.9e-169 	548.2 	1.1e-168 	548.0	
RIFIN-B.hmm 	PfHB3_120058800 	1.2e-110 	357.9 	2.9e-62 	198.9	
RIFIN-A.hmm 	PfHB3_120058800 	1.2e-148 	483.1 	1.4e-148 	483.0	
STEVOR1.hmm 	PfHB3_120058800 	1.2e-17 	52.0 	2.8e-12 	34.4	
RIFIN-B.hmm 	PfHB3_120058900 	1.3e-136 	443.2 	1.4e-136 	443.0	
RIFIN-A.hmm 	PfHB3_120058900 	1.4e-91 	295.5 	6.9e-52 	164.9	
STEVOR1.hmm 	PfHB3_120058900 	3.4e-15 	44.0 	9.5e-10 	26.1	
STEVOR1.hmm 	PfHB3_120059000 	3.9e-10 	27.4 	9e-08 	19.6	
RIFIN-B.hmm 	PfHB3_120059000 	4.1e-106 	343.0 	7.9e-59 	187.6	
RIFIN-A.hmm 	PfHB3_120059000 	4.2e-150 	487.9 	4.7e-150 	487.7	
RIFIN-A.hmm 	PfHB3_130005800 	1.4e-148 	482.9 	1.6e-148 	482.7	
STEVOR1.hmm 	PfHB3_130005800 	1.9e-12 	35.0 	3.2e-09 	24.3	
RIFIN-B.hmm 	PfHB3_130005800 	3.8e-101 	326.7 	2.3e-54 	172.9	
STEVOR1.hmm 	PfHB3_130005900 	2.7e-13 	37.7 	4.1e-09 	24.0	
RIFIN-B.hmm 	PfHB3_130005900 	3.8e-147 	477.8 	4.2e-147 	477.7	
RIFIN-A.hmm 	PfHB3_130005900 	6.7e-94 	303.1 	4.6e-56 	178.7	
RIFIN-B.hmm 	PfHB3_130006000 	1.1e-96 	312.0 	3.2e-51 	162.6	
STEVOR1.hmm 	PfHB3_130006000 	5.6e-11 	30.1 	7.7e-08 	19.8	
RIFIN-A.hmm 	PfHB3_130006000 	9.6e-142 	460.4 	1.1e-141 	460.3	
RIFIN-A.hmm 	PfHB3_130006100 	1.5e-136 	443.4 	1.7e-136 	443.2	
RIFIN-B.hmm 	PfHB3_130006100 	2.3e-106 	343.8 	3.4e-56 	178.9	
STEVOR1.hmm 	PfHB3_130006100 	2.4e-18 	54.3 	7.3e-14 	39.6	
RIFIN-A.hmm 	PfHB3_130006200 	1.6e-145 	472.9 	1.8e-145 	472.7	
STEVOR1.hmm 	PfHB3_130006200 	1.9e-10 	28.4 	4.4e-08 	20.6	
RIFIN-B.hmm 	PfHB3_130006200 	4e-96 	310.2 	2e-53 	169.8	
RIFIN-A.hmm 	PfHB3_130006300 	2e-132 	429.8 	2.2e-132 	429.6	
STEVOR1.hmm 	PfHB3_130006300 	4.2e-15 	43.7 	2.3e-10 	28.1	
RIFIN-B.hmm 	PfHB3_130006300 	5.6e-100 	322.8 	4.5e-52 	165.4	
RIFIN-B.hmm 	PfHB3_130006400 	2.1e-106 	343.9 	7.3e-56 	177.8	
STEVOR1.hmm 	PfHB3_130006400 	2.2e-09 	24.9 	1.6e-07 	18.8	
RIFIN-A.hmm 	PfHB3_130006400 	2.8e-142 	462.2 	3.2e-142 	462.0	
RIFIN-A.hmm 	PfHB3_130006500 	1.3e-142 	463.2 	1.5e-142 	463.1	
RIFIN-B.hmm 	PfHB3_130006500 	6.9e-103 	332.4 	1.5e-54 	173.5	
STEVOR1.hmm 	PfHB3_130006500 	8.7e-11 	29.5 	5.3e-07 	17.1	
RIFIN-A.hmm 	PfHB3_130006600 	1.5e-10 	29.0 	4e-09 	24.3	
STEVOR1.hmm 	PfHB3_130006600 	4.9e-172 	559.0 	5.5e-172 	558.9	
RIFIN-B.hmm 	PfHB3_130006600 	7e-13 	36.6 	5.4e-12 	33.7	
STEVOR1.hmm 	PfHB3_130006700 	1.4e-11 	32.1 	1.2e-08 	22.5	
RIFIN-B.hmm 	PfHB3_130006700 	3.6e-135 	438.5 	4e-135 	438.3	
RIFIN-A.hmm 	PfHB3_130006700 	3.7e-94 	304.0 	2.5e-50 	159.8	
STEVOR1.hmm 	PfHB3_130078100 	1.7e-12 	35.1 	2.1e-09 	24.9	
RIFIN-A.hmm 	PfHB3_130078100 	5.3e-130 	421.8 	6e-130 	421.6	
RIFIN-B.hmm 	PfHB3_130078100 	5e-91 	293.4 	3.9e-50 	159.0	
STEVOR1.hmm 	PfHB3_130078500 	1.9e-15 	44.8 	5e-10 	27.0	
RIFIN-A.hmm 	PfHB3_130078500 	2.2e-96 	311.3 	1.2e-58 	187.2	
RIFIN-B.hmm 	PfHB3_130078500 	7.2e-145 	470.3 	8.1e-145 	470.2	
RIFIN-B.hmm 	PfHB3_130078600 	2.4e-102 	330.6 	5e-56 	178.4	
RIFIN-A.hmm 	PfHB3_130078600 	2.9e-155 	504.9 	3.3e-155 	504.7	
STEVOR1.hmm 	PfHB3_130078600 	8.2e-11 	29.6 	1.6e-07 	18.8	
RIFIN-B.hmm 	PfHB3_130078700 	1e-13 	39.4 	1.3e-12 	35.7	
RIFIN-A.hmm 	PfHB3_130078700 	2.5e-11 	31.6 	2.6e-10 	28.2	
STEVOR1.hmm 	PfHB3_130078700 	3.2e-161 	523.5 	3.6e-161 	523.3	
STEVOR1.hmm 	PfHB3_130078800 	1.1e-12 	35.7 	1e-08 	22.7	
RIFIN-A.hmm 	PfHB3_130078800 	1.3e-149 	486.3 	1.4e-149 	486.2	
RIFIN-B.hmm 	PfHB3_130078800 	5.6e-110 	355.7 	4.4e-64 	204.8	
STEVOR1.hmm 	PfHB3_130079000 	2.1e-11 	31.5 	3.6e-09 	24.2	
RIFIN-B.hmm 	PfHB3_130079000 	2.1e-143 	465.5 	2.4e-143 	465.3	
RIFIN-A.hmm 	PfHB3_130079000 	3.1e-96 	310.8 	7.3e-60 	191.2	
RIFIN-B.hmm 	PfHB3_130079100 	2.5e-13 	38.1 	1e-10 	29.5	
RIFIN-A.hmm 	PfHB3_130079100 	3.2e-10 	27.9 	9e-09 	23.2	
STEVOR1.hmm 	PfHB3_130079100 	6e-168 	545.6 	6.7e-168 	545.4	
RIFIN-A.hmm 	PfHB3_130079300 	1.3e-152 	496.2 	1.5e-152 	496.0	
RIFIN-B.hmm 	PfHB3_130079300 	3.4e-106 	343.3 	2.9e-62 	198.9	
STEVOR1.hmm 	PfHB3_130079300 	4.1e-07 	17.4 	4.7e-06 	13.9	
RIFIN-B.hmm 	PfHB3_130079900 	1e-105 	341.7 	6.2e-64 	204.4	
STEVOR1.hmm 	PfHB3_130079900 	2.1e-13 	38.1 	2.1e-10 	28.2	
RIFIN-A.hmm 	PfHB3_130079900 	9.9e-144 	467.0 	1.1e-143 	466.8	
RIFIN-B.hmm 	PfHB3_130080000 	2e-106 	344.0 	1.6e-61 	196.4	
STEVOR1.hmm 	PfHB3_130080000 	3.3e-11 	30.9 	1.3e-07 	19.1	
RIFIN-A.hmm 	PfHB3_130080000 	3.8e-135 	438.7 	4.2e-135 	438.6	
RIFIN-A.hmm 	PfHB3_140005700 	2.8e-152 	495.1 	3.1e-152 	494.9	
RIFIN-B.hmm 	PfHB3_140005700 	3.3e-103 	333.4 	2.1e-55 	176.4	
STEVOR1.hmm 	PfHB3_140005700 	5.7e-11 	30.1 	1.2e-08 	22.5	
RIFIN-B.hmm 	PfHB3_140005800 	1.2e-153 	499.2 	1.3e-153 	499.0	
RIFIN-A.hmm 	PfHB3_140005800 	3.3e-102 	330.4 	5.2e-63 	201.5	
STEVOR1.hmm 	PfHB3_140005800 	7.5e-13 	36.3 	2.2e-08 	21.6	
RIFIN-B.hmm 	PfHB3_140005900 	1.5e-98 	318.1 	2.3e-54 	172.9	
RIFIN-A.hmm 	PfHB3_140005900 	2.2e-147 	479.0 	2.5e-147 	478.8	
STEVOR1.hmm 	PfHB3_140005900 	7e-13 	36.4 	1.3e-08 	22.4	
RIFIN-B.hmm 	PfHB3_140006000 	1.9e-144 	468.9 	2.2e-144 	468.8	
RIFIN-A.hmm 	PfHB3_140006000 	4.4e-98 	316.9 	4.7e-53 	168.8	
STEVOR1.hmm 	PfHB3_140006000 	7.6e-13 	36.2 	1e-08 	22.7	
RIFIN-B.hmm 	PfHB3_140006200 	1.1e-105 	341.6 	2.7e-61 	195.7	
RIFIN-A.hmm 	PfHB3_140006200 	4.5e-148 	481.2 	5.1e-148 	481.1	
STEVOR1.hmm 	PfHB3_140006200 	5.9e-10 	26.8 	3.8e-07 	17.5	
STEVOR1.hmm 	PfHB3_140006300 	7.7e-15 	42.8 	1.5e-10 	28.7	
RIFIN-A.hmm 	PfHB3_140006300 	8.4e-146 	473.8 	9.4e-146 	473.6	
RIFIN-B.hmm 	PfHB3_140006300 	9.4e-113 	364.8 	9.5e-64 	203.8	
STEVOR1.hmm 	PfHB3_140006400 	1.5e-168 	547.6 	1.7e-168 	547.4	
RIFIN-B.hmm 	PfHB3_140006400 	1.9e-11 	31.9 	1.4e-10 	29.0	
RIFIN-A.hmm 	PfHB3_140006400 	5e-12 	33.9 	2e-09 	25.3	
STEVOR1.hmm 	PfHB3_140006500 	1.2e-09 	25.8 	2.5e-07 	18.1	
RIFIN-B.hmm 	PfHB3_140006500 	1.4e-98 	318.2 	7.7e-52 	164.6	
RIFIN-A.hmm 	PfHB3_140006500 	2.1e-136 	442.8 	2.4e-136 	442.7	
STEVOR1.hmm 	PfHB3_140084300 	1.9e-12 	34.9 	5.3e-11 	30.2	
RIFIN-A.hmm 	PfHB3_140084300 	2.3e-98 	317.8 	2.9e-98 	317.5	
RIFIN-B.hmm 	PfHB3_140084300 	8.6e-79 	253.2 	1.7e-43 	137.2	
RIFIN-A.hmm 	PfHB3_140084800 	1.9e-14 	41.8 	1.8e-12 	35.4	
STEVOR1.hmm 	PfHB3_140084800 	6.6e-167 	542.2 	7.4e-167 	542.0	
RIFIN-B.hmm 	PfHB3_140084800 	9.6e-17 	49.3 	4.2e-14 	40.6	
RIFIN-A.hmm 	PfHB3_140085000 	1.4e-153 	499.3 	1.6e-153 	499.1	
RIFIN-B.hmm 	PfHB3_140085000 	2.1e-110 	357.1 	7.4e-61 	194.3	
STEVOR1.hmm 	PfHB3_140085000 	2.5e-11 	31.3 	1.3e-08 	22.3	
