RIFIN-A.hmm 	PfSN01_000005100 	1.5e-124 	403.8 	1.8e-124 	403.6	
RIFIN-A.hmm 	PfSN01_060037400 	7.7e-134 	434.4 	9.2e-134 	434.2	
RIFIN-B.hmm 	PfSN01_060037500 	1.1e-100 	325.1 	7.7e-54 	171.2	
RIFIN-A.hmm 	PfSN01_060037500 	1.9e-132 	429.9 	2.1e-132 	429.7	
STEVOR1.hmm 	PfSN01_060037500 	7.3e-15 	42.9 	1e-09 	26.0	
RIFIN-B.hmm 	PfSN01_060037600 	2.1e-98 	317.7 	4.3e-54 	172.0	
STEVOR1.hmm 	PfSN01_060037600 	6.2e-19 	56.3 	1.5e-13 	38.5	
RIFIN-A.hmm 	PfSN01_060037600 	7.5e-136 	441.0 	8.4e-136 	440.9	
RIFIN-A.hmm 	PfSN01_060037700 	2.8e-153 	498.3 	3.2e-153 	498.2	
STEVOR1.hmm 	PfSN01_060037700 	2.9e-12 	34.3 	1.4e-08 	22.3	
RIFIN-B.hmm 	PfSN01_060037700 	5.3e-101 	326.2 	8.1e-56 	177.7	
STEVOR1.hmm 	PfSN01_070005500 	2.7e-11 	31.2 	2.8e-09 	24.6	
RIFIN-B.hmm 	PfSN01_070005500 	4.2e-104 	336.3 	1.2e-55 	177.2	
RIFIN-A.hmm 	PfSN01_070005500 	5.6e-151 	490.8 	6.3e-151 	490.6	
STEVOR1.hmm 	PfSN01_070005600 	1.2e-10 	29.0 	2.5e-08 	21.4	
RIFIN-A.hmm 	PfSN01_070005600 	2e-105 	341.0 	2.8e-67 	215.5	
RIFIN-B.hmm 	PfSN01_070005600 	3.4e-152 	494.4 	3.8e-152 	494.2	
RIFIN-B.hmm 	PfSN01_070005800 	1.2e-114 	371.0 	9.2e-60 	190.7	
RIFIN-A.hmm 	PfSN01_070005800 	3.7e-138 	448.6 	4.2e-138 	448.5	
STEVOR1.hmm 	PfSN01_070005800 	4.8e-17 	50.0 	1.1e-12 	35.7	
RIFIN-A.hmm 	PfSN01_070005900 	1.1e-146 	476.7 	1.2e-146 	476.6	
RIFIN-B.hmm 	PfSN01_070005900 	7.3e-113 	365.2 	7.9e-66 	210.6	
STEVOR1.hmm 	PfSN01_070005900 	7.7e-10 	26.4 	1.7e-08 	21.9	
STEVOR1.hmm 	PfSN01_070006300 	2.2e-13 	38.0 	9.5e-11 	29.4	
RIFIN-B.hmm 	PfSN01_070006300 	3.7e-133 	431.8 	4.1e-133 	431.7	
RIFIN-A.hmm 	PfSN01_070006300 	5.2e-95 	306.8 	7.9e-54 	171.3	
RIFIN-A.hmm 	PfSN01_070006500 	1.1e-144 	470.1 	1.2e-144 	470.0	
RIFIN-B.hmm 	PfSN01_070006500 	2.7e-102 	330.4 	5.8e-53 	168.3	
STEVOR1.hmm 	PfSN01_070006500 	4.1e-13 	37.1 	4e-09 	24.0	
RIFIN-B.hmm 	PfSN01_070006600 	1.2e-93 	302.0 	3.3e-51 	162.6	
RIFIN-A.hmm 	PfSN01_070006600 	1.4e-128 	417.1 	1.6e-128 	416.9	
STEVOR1.hmm 	PfSN01_070006600 	9.6e-10 	26.1 	6.6e-07 	16.8	
RIFIN-B.hmm 	PfSN01_070017200 	2.5e-32 	100.5 	2.1e-22 	67.9	
RIFIN-A.hmm 	PfSN01_070017200 	3.5e-57 	182.4 	4.1e-57 	182.1	
RIFIN-A.hmm 	PfSN01_070017600 	2.5e-126 	409.8 	2.8e-126 	409.6	
RIFIN-B.hmm 	PfSN01_070017600 	4.1e-93 	300.3 	1.9e-51 	163.3	
STEVOR1.hmm 	PfSN01_070017600 	7.2e-17 	49.5 	1.2e-12 	35.6	
STEVOR1.hmm 	PfSN01_070036000 	1.7e-10 	28.6 	1.7e-07 	18.7	
RIFIN-A.hmm 	PfSN01_070036000 	2.5e-87 	281.5 	1.6e-63 	203.2	
RIFIN-B.hmm 	PfSN01_070036000 	8.5e-103 	332.1 	3.6e-98 	316.9	
RIFIN-A.hmm 	PfSN01_070036100 	2.8e-12 	34.7 	3.6e-10 	27.7	
STEVOR1.hmm 	PfSN01_070036100 	4.7e-161 	523.0 	5.2e-161 	522.8	
RIFIN-B.hmm 	PfSN01_070036100 	8.1e-15 	43.0 	9.2e-12 	32.9	
RIFIN-A.hmm 	PfSN01_070036200 	3.2e-100 	323.9 	9e-100 	322.4	
RIFIN-B.hmm 	PfSN01_070036200 	4.7e-69 	221.2 	2.9e-59 	189.0	
STEVOR1.hmm 	PfSN01_070036200 	6.5e-08 	20.1 	1.2e-06 	15.9	
RIFIN-A.hmm 	PfSN01_070036300 	3e-137 	445.6 	3.4e-137 	445.5	
STEVOR1.hmm 	PfSN01_070036300 	4.8e-16 	46.8 	4.1e-11 	30.6	
RIFIN-B.hmm 	PfSN01_070036300 	7.9e-96 	309.2 	9.2e-51 	161.1	
STEVOR1.hmm 	PfSN01_070036500 	2.2e-13 	38.0 	5.1e-09 	23.7	
RIFIN-B.hmm 	PfSN01_070036500 	3.3e-140 	455.0 	3.7e-140 	454.8	
RIFIN-A.hmm 	PfSN01_070036500 	9.8e-99 	319.0 	2.1e-61 	196.3	
STEVOR1.hmm 	PfSN01_070036600 	1e-08 	22.7 	1.7e-06 	15.4	
RIFIN-B.hmm 	PfSN01_070036600 	4.6e-98 	316.5 	5.8e-52 	165.0	
RIFIN-A.hmm 	PfSN01_070036600 	8.4e-144 	467.2 	9.5e-144 	467.0	
RIFIN-A.hmm 	PfSN01_080013100 	2.1e-47 	150.2 	2.9e-47 	149.8	
RIFIN-B.hmm 	PfSN01_080013100 	4e-41 	129.4 	5.2e-41 	129.0	
RIFIN-A.hmm 	PfSN01_080013400 	1e-97 	315.6 	1.3e-97 	315.3	
STEVOR1.hmm 	PfSN01_080013400 	2.2e-12 	34.7 	2.2e-12 	34.7	
RIFIN-B.hmm 	PfSN01_080013400 	6e-73 	234.0 	3.1e-53 	169.2	
STEVOR1.hmm 	PfSN01_080036400 	2.2e-88 	284.3 	2.4e-88 	284.2	
RIFIN-A.hmm 	PfSN01_080036900 	1.2e-11 	32.6 	3.1e-10 	28.0	
RIFIN-B.hmm 	PfSN01_080036900 	1.4e-13 	38.9 	1.2e-11 	32.6	
STEVOR1.hmm 	PfSN01_080036900 	2.3e-159 	517.4 	2.6e-159 	517.2	
RIFIN-A.hmm 	PfSN01_080037000 	1.2e-131 	427.2 	1.5e-131 	426.9	
RIFIN-B.hmm 	PfSN01_080037000 	1.8e-96 	311.3 	7.4e-53 	168.0	
STEVOR1.hmm 	PfSN01_080037000 	5.4e-12 	33.5 	1.8e-07 	18.6	
RIFIN-A.hmm 	PfSN01_080037100 	1.1e-09 	26.2 	4.8e-09 	24.1	
STEVOR1.hmm 	PfSN01_080037100 	7.5e-156 	505.9 	9.7e-156 	505.5	
RIFIN-B.hmm 	PfSN01_080037100 	8e-13 	36.4 	9.2e-11 	29.6	
RIFIN-B.hmm 	PfSN01_080037200 	1.6e-99 	321.3 	6.4e-55 	174.8	
STEVOR1.hmm 	PfSN01_080037200 	8e-14 	39.5 	1.4e-08 	22.2	
RIFIN-A.hmm 	PfSN01_080037200 	9.3e-143 	463.8 	1e-142 	463.6	
STEVOR1.hmm 	PfSN01_080037300 	5.5e-13 	36.7 	3.4e-08 	21.0	
RIFIN-A.hmm 	PfSN01_080037300 	7.2e-147 	477.3 	8.1e-147 	477.1	
RIFIN-B.hmm 	PfSN01_080037300 	7.5e-102 	329.0 	1.5e-57 	183.4	
STEVOR1.hmm 	PfSN01_080037500 	2.6e-12 	34.5 	5.6e-08 	20.3	
RIFIN-B.hmm 	PfSN01_080037500 	4.1e-102 	329.8 	4e-54 	172.1	
RIFIN-A.hmm 	PfSN01_080037500 	5.9e-144 	467.7 	6.6e-144 	467.5	
RIFIN-B.hmm 	PfSN01_090005600 	1.7e-97 	314.7 	2.6e-51 	162.9	
RIFIN-A.hmm 	PfSN01_090005600 	2.8e-155 	504.9 	3.2e-155 	504.8	
STEVOR1.hmm 	PfSN01_090005600 	8.3e-13 	36.1 	4e-09 	24.0	
RIFIN-B.hmm 	PfSN01_090005800 	1.2e-105 	341.5 	4.1e-60 	191.8	
STEVOR1.hmm 	PfSN01_090005800 	5e-13 	36.8 	2.2e-08 	21.6	
RIFIN-A.hmm 	PfSN01_090005800 	6e-141 	457.8 	6.7e-141 	457.6	
RIFIN-B.hmm 	PfSN01_090005900 	2.5e-122 	396.3 	3e-64 	205.4	
RIFIN-A.hmm 	PfSN01_090005900 	3.2e-102 	330.5 	5.1e-100 	323.2	
STEVOR1.hmm 	PfSN01_090005900 	3.8e-13 	37.3 	8.7e-10 	26.2	
RIFIN-A.hmm 	PfSN01_090006000 	1.1e-82 	266.2 	1.8e-51 	163.5	
RIFIN-B.hmm 	PfSN01_090006000 	4.8e-118 	382.2 	5.5e-118 	382.0	
STEVOR1.hmm 	PfSN01_090006000 	5.6e-09 	23.6 	3.5e-08 	20.9	
RIFIN-B.hmm 	PfSN01_090006200 	0.003 	5.0 	0.00061 	7.2	
STEVOR1.hmm 	PfSN01_090006200 	2.3e-25 	77.4 	4.4e-21 	63.3	
STEVOR1.hmm 	PfSN01_090006300 	3.2e-11 	30.9 	1.9e-08 	21.8	
RIFIN-A.hmm 	PfSN01_090006300 	3.2e-131 	425.8 	3.8e-131 	425.6	
RIFIN-B.hmm 	PfSN01_090006300 	4.7e-93 	300.0 	7.4e-65 	207.4	
RIFIN-B.hmm 	PfSN01_090006400 	1.2e-13 	39.1 	9.6e-11 	29.6	
RIFIN-A.hmm 	PfSN01_090006400 	3.7e-11 	31.0 	1.2e-09 	26.0	
STEVOR1.hmm 	PfSN01_090006400 	9.7e-166 	538.3 	1.1e-165 	538.2	
STEVOR1.hmm 	PfSN01_100005300 	2.8e-10 	27.9 	3.8e-09 	24.1	
RIFIN-A.hmm 	PfSN01_100005300 	3.3e-161 	524.4 	3.7e-161 	524.3	
RIFIN-B.hmm 	PfSN01_100005300 	9.9e-117 	377.9 	5.1e-69 	221.1	
RIFIN-A.hmm 	PfSN01_100005500 	2.4e-130 	422.9 	3e-130 	422.6	
STEVOR1.hmm 	PfSN01_100005500 	8.3e-13 	36.1 	8.3e-11 	29.6	
RIFIN-B.hmm 	PfSN01_100005500 	8e-83 	266.4 	1.3e-49 	157.3	
RIFIN-A.hmm 	PfSN01_100005600 	1.7e-10 	28.8 	2e-08 	22.0	
RIFIN-B.hmm 	PfSN01_100005600 	2.5e-12 	34.8 	9.5e-09 	23.0	
STEVOR1.hmm 	PfSN01_100005600 	2.5e-147 	477.9 	3.2e-147 	477.5	
RIFIN-B.hmm 	PfSN01_100005700 	1e-105 	341.7 	1.9e-60 	192.9	
STEVOR1.hmm 	PfSN01_100005700 	2e-09 	25.0 	1.5e-08 	22.1	
RIFIN-A.hmm 	PfSN01_100005700 	3.8e-158 	514.4 	4.3e-158 	514.2	
STEVOR1.hmm 	PfSN01_100005900 	2.3e-168 	547.0 	2.5e-168 	546.8	
RIFIN-B.hmm 	PfSN01_100005900 	4.3e-14 	40.6 	1.6e-10 	28.9	
RIFIN-A.hmm 	PfSN01_100005900 	8.9e-13 	36.3 	1.4e-09 	25.8	
RIFIN-A.hmm 	PfSN01_100006000 	1.3e-151 	492.9 	1.4e-151 	492.8	
STEVOR1.hmm 	PfSN01_100006000 	5e-09 	23.7 	2e-06 	15.2	
RIFIN-B.hmm 	PfSN01_100006000 	8e-103 	332.2 	2.9e-54 	172.6	
RIFIN-A.hmm 	PfSN01_100006100 	1.3e-97 	315.3 	1.7e-59 	190.0	
RIFIN-B.hmm 	PfSN01_100006100 	1.5e-145 	472.6 	1.7e-145 	472.4	
STEVOR1.hmm 	PfSN01_100006100 	8e-15 	42.8 	6.9e-10 	26.5	
RIFIN-A.hmm 	PfSN01_100045000 	1.3e-109 	354.8 	2e-80 	258.8	
RIFIN-B.hmm 	PfSN01_100045000 	1.5e-86 	278.6 	1.8e-86 	278.4	
STEVOR1.hmm 	PfSN01_100045000 	3.8e-19 	56.9 	3.1e-12 	34.3	
RIFIN-B.hmm 	PfSN01_100045100 	2.7e-132 	429.0 	3.1e-132 	428.8	
RIFIN-A.hmm 	PfSN01_100045100 	2e-101 	327.9 	1.8e-59 	189.9	
STEVOR1.hmm 	PfSN01_100045100 	3.2e-15 	44.1 	2.8e-09 	24.5	
RIFIN-A.hmm 	PfSN01_100045200 	1.5e-141 	459.8 	1.6e-141 	459.7	
STEVOR1.hmm 	PfSN01_100045200 	5.9e-08 	20.2 	1.8e-06 	15.3	
RIFIN-B.hmm 	PfSN01_100045200 	9.8e-100 	322.0 	5.6e-53 	168.4	
STEVOR1.hmm 	PfSN01_100045400 	6.7e-12 	33.2 	8.9e-09 	22.9	
RIFIN-A.hmm 	PfSN01_100045400 	6.9e-153 	497.1 	7.7e-153 	496.9	
RIFIN-B.hmm 	PfSN01_100045400 	8.9e-109 	351.7 	1.1e-64 	206.9	
STEVOR1.hmm 	PfSN01_100045500 	1.5e-11 	32.0 	1.1e-07 	19.3	
RIFIN-B.hmm 	PfSN01_100045500 	3.6e-116 	376.0 	1.1e-69 	223.3	
RIFIN-A.hmm 	PfSN01_100045500 	8.6e-163 	529.6 	9.6e-163 	529.5	
RIFIN-B.hmm 	PfSN01_110052600 	1.3e-104 	338.1 	7.9e-60 	190.9	
STEVOR1.hmm 	PfSN01_110052600 	2.9e-12 	34.3 	2e-08 	21.7	
RIFIN-A.hmm 	PfSN01_110052600 	4.2e-147 	478.0 	4.7e-147 	477.9	
STEVOR1.hmm 	PfSN01_110052700 	1.3e-12 	35.5 	3.5e-08 	20.9	
RIFIN-B.hmm 	PfSN01_110052700 	3.1e-102 	330.2 	2.1e-57 	182.9	
RIFIN-A.hmm 	PfSN01_110052700 	6.4e-146 	474.2 	7.1e-146 	474.0	
STEVOR1.hmm 	PfSN01_110052900 	2.5e-09 	24.7 	2.5e-06 	14.8	
RIFIN-A.hmm 	PfSN01_110052900 	2.7e-141 	458.9 	3.1e-141 	458.8	
RIFIN-B.hmm 	PfSN01_110052900 	2e-97 	314.5 	1.9e-51 	163.4	
RIFIN-B.hmm 	PfSN01_120006100 	2.6e-102 	330.5 	3.9e-56 	178.7	
STEVOR1.hmm 	PfSN01_120006100 	6.5e-12 	33.2 	3.4e-08 	21.0	
RIFIN-A.hmm 	PfSN01_120006100 	7.3e-153 	497.0 	8.2e-153 	496.8	
RIFIN-A.hmm 	PfSN01_120006200 	2e-110 	357.4 	1.1e-65 	210.3	
RIFIN-B.hmm 	PfSN01_120006200 	3.6e-137 	445.0 	4.1e-137 	444.9	
STEVOR1.hmm 	PfSN01_120006200 	7.9e-16 	46.1 	2.1e-10 	28.2	
RIFIN-B.hmm 	PfSN01_120006300 	2.4e-108 	350.3 	1.2e-59 	190.3	
STEVOR1.hmm 	PfSN01_120006300 	3.1e-15 	44.1 	3.2e-10 	27.7	
RIFIN-A.hmm 	PfSN01_120006300 	4.9e-152 	494.3 	5.4e-152 	494.1	
STEVOR1.hmm 	PfSN01_120045900 	1.3e-09 	25.6 	2.4e-07 	18.2	
RIFIN-B.hmm 	PfSN01_120045900 	1.9e-132 	429.5 	9.6e-96 	308.9	
RIFIN-A.hmm 	PfSN01_120045900 	8.7e-86 	276.4 	1.1e-45 	144.6	
RIFIN-A.hmm 	PfSN01_120046100 	5.8e-53 	168.5 	7.2e-53 	168.2	
RIFIN-B.hmm 	PfSN01_120046100 	6.7e-33 	102.4 	4.6e-25 	76.6	
STEVOR1.hmm 	PfSN01_120059500 	1.2e-12 	35.6 	1.6e-09 	25.3	
RIFIN-A.hmm 	PfSN01_120059500 	1.9e-98 	318.0 	2.4e-98 	317.7	
RIFIN-B.hmm 	PfSN01_120059500 	8.4e-79 	253.2 	2e-43 	137.0	
STEVOR1.hmm 	PfSN01_120059900 	1.3e-14 	42.1 	9.5e-10 	26.1	
RIFIN-A.hmm 	PfSN01_120059900 	2.2e-105 	340.9 	2.2e-57 	183.0	
RIFIN-B.hmm 	PfSN01_120059900 	7.9e-151 	489.9 	8.8e-151 	489.8	
STEVOR1.hmm 	PfSN01_120060000 	1.5e-172 	560.7 	1.7e-172 	560.6	
RIFIN-B.hmm 	PfSN01_120060000 	1.7e-12 	35.4 	8.8e-11 	29.7	
RIFIN-A.hmm 	PfSN01_120060000 	3.9e-13 	37.5 	4.2e-10 	27.5	
STEVOR1.hmm 	PfSN01_120060300 	4.9e-11 	30.3 	3.3e-08 	21.0	
RIFIN-B.hmm 	PfSN01_120060300 	7.3e-100 	322.4 	4.5e-52 	165.4	
RIFIN-A.hmm 	PfSN01_120060300 	8.2e-151 	490.3 	9.1e-151 	490.1	
RIFIN-B.hmm 	PfSN01_120060400 	5e-106 	342.7 	4e-61 	195.1	
STEVOR1.hmm 	PfSN01_120060400 	6e-11 	30.0 	2.3e-07 	18.3	
RIFIN-A.hmm 	PfSN01_120060400 	8e-150 	487.0 	8.9e-150 	486.8	
STEVOR1.hmm 	PfSN01_120060600 	1.1e-14 	42.3 	5e-10 	27.0	
RIFIN-B.hmm 	PfSN01_120060600 	1.4e-138 	449.6 	1.6e-138 	449.5	
RIFIN-A.hmm 	PfSN01_120060600 	1.6e-100 	324.9 	2.2e-61 	196.2	
STEVOR1.hmm 	PfSN01_120060700 	7.3e-12 	33.0 	3.8e-09 	24.1	
RIFIN-A.hmm 	PfSN01_120060700 	8.5e-158 	513.2 	9.5e-158 	513.1	
RIFIN-B.hmm 	PfSN01_120060700 	9e-114 	368.1 	5e-66 	211.2	
RIFIN-A.hmm 	PfSN01_120060900 	1e-93 	302.5 	2.4e-54 	173.0	
STEVOR1.hmm 	PfSN01_120060900 	2.2e-10 	28.2 	5.5e-08 	20.3	
RIFIN-B.hmm 	PfSN01_120060900 	6e-144 	467.3 	6.9e-144 	467.1	
RIFIN-A.hmm 	PfSN01_130075100 	1.4e-77 	249.5 	1.6e-42 	134.1	
RIFIN-B.hmm 	PfSN01_130075100 	1.5e-112 	364.2 	1.7e-112 	363.9	
STEVOR1.hmm 	PfSN01_130075100 	6.8e-08 	20.0 	3.5e-06 	14.4	
RIFIN-A.hmm 	PfSN01_130075200 	1.9e-155 	505.5 	2.1e-155 	505.3	
RIFIN-B.hmm 	PfSN01_130075200 	2.3e-107 	347.1 	3.1e-61 	195.5	
STEVOR1.hmm 	PfSN01_130075200 	3.9e-09 	24.1 	3.3e-07 	17.8	
STEVOR1.hmm 	PfSN01_130075500 	6.7e-12 	33.2 	8.9e-09 	22.9	
RIFIN-A.hmm 	PfSN01_130075500 	6.9e-153 	497.1 	7.7e-153 	496.9	
RIFIN-B.hmm 	PfSN01_130075500 	8.9e-109 	351.7 	1.1e-64 	206.9	
STEVOR1.hmm 	PfSN01_130075600 	1.5e-11 	32.0 	1.1e-07 	19.3	
RIFIN-B.hmm 	PfSN01_130075600 	3.6e-116 	376.0 	1.1e-69 	223.3	
RIFIN-A.hmm 	PfSN01_130075600 	8.6e-163 	529.6 	9.6e-163 	529.5	
RIFIN-A.hmm 	PfSN01_140006200 	3.5e-156 	507.9 	3.9e-156 	507.8	
STEVOR1.hmm 	PfSN01_140006200 	3.9e-13 	37.2 	1.5e-08 	22.1	
RIFIN-B.hmm 	PfSN01_140006200 	4.1e-115 	372.6 	4.8e-67 	214.6	
RIFIN-A.hmm 	PfSN01_140006300 	1.4e-12 	35.7 	4.4e-10 	27.5	
STEVOR1.hmm 	PfSN01_140006300 	5.1e-166 	539.3 	5.7e-166 	539.1	
RIFIN-B.hmm 	PfSN01_140006300 	5e-13 	37.1 	1.6e-11 	32.1	
RIFIN-A.hmm 	PfSN01_140006400 	1.7e-147 	479.3 	2e-147 	479.1	
STEVOR1.hmm 	PfSN01_140006400 	2.9e-13 	37.6 	4.3e-10 	27.2	
RIFIN-B.hmm 	PfSN01_140006400 	3.3e-101 	326.8 	1.6e-54 	173.4	
RIFIN-B.hmm 	PfSN01_140006700 	1.9e-131 	426.2 	2.1e-131 	426.1	
STEVOR1.hmm 	PfSN01_140006700 	2.7e-17 	50.9 	5.6e-17 	49.8	
RIFIN-A.hmm 	PfSN01_140006700 	6e-89 	286.8 	1.1e-47 	151.1	
STEVOR1.hmm 	PfSN01_140006800 	2e-152 	494.6 	2.3e-152 	494.4	
RIFIN-B.hmm 	PfSN01_140006800 	3.1e-20 	60.8 	5.3e-15 	43.6	
RIFIN-A.hmm 	PfSN01_140006800 	3.8e-16 	47.4 	3.7e-12 	34.3	
STEVOR1.hmm 	PfSN01_140007200 	1.7e-08 	21.9 	4.7e-08 	20.5	
RIFIN-A.hmm 	PfSN01_140007200 	1.7e-142 	462.9 	1.9e-142 	462.7	
RIFIN-B.hmm 	PfSN01_140007200 	2.3e-96 	311.0 	5.1e-52 	165.2	
RIFIN-B.hmm 	PfSN01_140007500 	1.3e-141 	459.6 	1.4e-141 	459.5	
RIFIN-A.hmm 	PfSN01_140007500 	3.2e-89 	287.7 	5.6e-52 	165.3	
STEVOR1.hmm 	PfSN01_140007500 	7.9e-14 	39.5 	1.6e-09 	25.4	
RIFIN-A.hmm 	PfSN01_140007600 	3e-146 	475.2 	3.4e-146 	475.1	
RIFIN-B.hmm 	PfSN01_140007600 	4.5e-107 	346.1 	3.1e-60 	192.2	
STEVOR1.hmm 	PfSN01_140007600 	5.7e-12 	33.4 	1.5e-08 	22.1	
RIFIN-A.hmm 	PfSN01_140007700 	4e-96 	310.4 	1.8e-53 	170.2	
STEVOR1.hmm 	PfSN01_140007700 	5.8e-14 	39.9 	4.4e-09 	23.9	
RIFIN-B.hmm 	PfSN01_140007700 	9.4e-141 	456.8 	1.1e-140 	456.6	
STEVOR1.hmm 	PfSN01_140007800 	1.2e-14 	42.2 	1.6e-10 	28.6	
RIFIN-B.hmm 	PfSN01_140007800 	3.7e-109 	353.0 	1.8e-65 	209.4	
RIFIN-A.hmm 	PfSN01_140007800 	9.7e-156 	506.4 	1.1e-155 	506.3	
STEVOR1.hmm 	PfSN01_140008000 	2.1e-13 	38.1 	4.5e-09 	23.9	
RIFIN-B.hmm 	PfSN01_140008000 	4e-139 	451.4 	4.5e-139 	451.3	
RIFIN-A.hmm 	PfSN01_140008000 	5.2e-96 	310.0 	1.5e-51 	163.8	
STEVOR1.hmm 	PfSN01_140086000 	1.2e-08 	22.4 	1.5e-05 	12.3	
RIFIN-B.hmm 	PfSN01_140086000 	1.7e-84 	272.0 	2.3e-49 	156.5	
RIFIN-A.hmm 	PfSN01_140086000 	7e-114 	368.8 	7.8e-114 	368.6	
STEVOR1.hmm 	PfSN01_140086400 	2.6e-11 	31.2 	7.2e-08 	19.9	
RIFIN-A.hmm 	PfSN01_140086400 	3.4e-98 	317.2 	6.9e-55 	174.8	
RIFIN-B.hmm 	PfSN01_140086400 	7.2e-127 	411.2 	8.1e-127 	411.0	
RIFIN-B.hmm 	PfSN01_140086500 	3.5e-13 	37.6 	4.4e-12 	34.0	
RIFIN-A.hmm 	PfSN01_140086500 	4.3e-15 	43.9 	2.6e-11 	31.5	
STEVOR1.hmm 	PfSN01_140086500 	6.1e-170 	552.1 	6.8e-170 	552.0	
RIFIN-A.hmm 	PfSN01_140086600 	2.9e-151 	491.7 	3.3e-151 	491.6	
RIFIN-B.hmm 	PfSN01_140086600 	5.9e-100 	322.7 	1.1e-57 	183.8	
STEVOR1.hmm 	PfSN01_140086600 	9.3e-12 	32.7 	8.3e-08 	19.7	
RIFIN-B.hmm 	PfSN01_140086700 	3e-12 	34.5 	4.3e-11 	30.7	
STEVOR1.hmm 	PfSN01_140086700 	6.7e-169 	548.7 	7.5e-169 	548.6	
RIFIN-A.hmm 	PfSN01_140086700 	6.8e-10 	26.8 	2.3e-09 	25.1	
RIFIN-B.hmm 	PfSN01_140086900 	1.1e-105 	341.6 	1.7e-55 	176.6	
STEVOR1.hmm 	PfSN01_140086900 	1.5e-10 	28.7 	4.9e-09 	23.8	
RIFIN-A.hmm 	PfSN01_140086900 	3.4e-149 	484.9 	3.8e-149 	484.8	
RIFIN-B.hmm 	PfSN01_140087000 	1.1e-62 	200.3 	6.3e-52 	164.9	
RIFIN-A.hmm 	PfSN01_140087000 	1.6e-91 	295.3 	7.1e-87 	280.0	
STEVOR1.hmm 	PfSN01_140087000 	1.9e-11 	31.6 	1.2e-09 	25.8	
RIFIN-A.hmm 	PfSN01_140087100 	1.6e-140 	456.4 	1.8e-140 	456.2	
RIFIN-B.hmm 	PfSN01_140087100 	2.2e-100 	324.1 	1.2e-54 	173.9	
STEVOR1.hmm 	PfSN01_140087100 	4.8e-12 	33.6 	1.4e-08 	22.3	
RIFIN-A.hmm 	PfSN01_140087200 	2.6e-141 	459.0 	2.9e-141 	458.9	
STEVOR1.hmm 	PfSN01_140087200 	2.9e-12 	34.3 	2.2e-08 	21.6	
RIFIN-B.hmm 	PfSN01_140087200 	3.8e-101 	326.7 	6.4e-58 	184.6	
STEVOR1.hmm 	PfSN01_140087300 	2e-11 	31.6 	9.5e-08 	19.5	
RIFIN-B.hmm 	PfSN01_140087300 	5.7e-96 	309.6 	4.2e-52 	165.5	
RIFIN-A.hmm 	PfSN01_140087300 	8.6e-145 	470.5 	9.6e-145 	470.3	
RIFIN-A.hmm 	PfSN01_140087400 	1.4e-138 	450.0 	1.6e-138 	449.8	
RIFIN-B.hmm 	PfSN01_140087400 	2.7e-110 	356.7 	6.8e-66 	210.8	
STEVOR1.hmm 	PfSN01_140087400 	2.8e-15 	44.2 	2.8e-10 	27.8	
RIFIN-A.hmm 	PfSN01_140087600 	1e-151 	493.2 	1.2e-151 	493.0	
RIFIN-B.hmm 	PfSN01_140087600 	4.6e-103 	332.9 	3.8e-54 	172.2	
STEVOR1.hmm 	PfSN01_140087600 	7.9e-14 	39.5 	1.2e-08 	22.4	
RIFIN-A.hmm 	PfSN01_140087900 	1.1e-135 	440.6 	1.2e-135 	440.4	
RIFIN-B.hmm 	PfSN01_140087900 	1.8e-96 	311.3 	2.5e-50 	159.7	
STEVOR1.hmm 	PfSN01_140087900 	4.5e-16 	46.9 	3.3e-10 	27.6	
RIFIN-A.hmm 	PfSN01_140088000 	1e-11 	32.8 	7.3e-10 	26.7	
STEVOR1.hmm 	PfSN01_140088000 	6.6e-167 	542.2 	7.4e-167 	542.0	
RIFIN-B.hmm 	PfSN01_140088000 	7.1e-12 	33.3 	9.8e-11 	29.5	
RIFIN-A.hmm 	PfSN01_140088100 	1e-142 	463.6 	1.2e-142 	463.4	
STEVOR1.hmm 	PfSN01_140088100 	2.6e-12 	34.5 	2.7e-09 	24.6	
RIFIN-B.hmm 	PfSN01_140088100 	8.3e-105 	338.7 	7.8e-58 	184.3	
STEVOR1.hmm 	PfSN01_140088200 	3.2e-14 	40.8 	1.4e-08 	22.3	
RIFIN-A.hmm 	PfSN01_140088200 	5.1e-141 	458.0 	5.7e-141 	457.9	
RIFIN-B.hmm 	PfSN01_140088200 	9.4e-104 	335.2 	7.2e-56 	177.9	
RIFIN-A.hmm 	PfSN01_140088400 	4.4e-101 	326.7 	3.1e-65 	208.8	
STEVOR1.hmm 	PfSN01_140088400 	5.1e-12 	33.5 	3.8e-08 	20.8	
RIFIN-B.hmm 	PfSN01_140088400 	5.5e-143 	464.1 	6.3e-143 	464.0	
RIFIN-A.hmm 	PfSN01_140088500 	1.3e-157 	512.7 	1.4e-157 	512.5	
STEVOR1.hmm 	PfSN01_140088500 	6.2e-15 	43.1 	3.1e-10 	27.7	
RIFIN-B.hmm 	PfSN01_140088500 	8.1e-112 	361.7 	2.3e-65 	209.1	
