RIFIN-A.hmm 	PfCD01_000005600 	1.5e-13 	38.9 	6.5e-10 	26.9	
RIFIN-A.hmm 	PfCD01_070035700 	3e-146 	475.2 	3.4e-146 	475.1	
RIFIN-A.hmm 	PfCD01_080005600 	1.3e-103 	335.0 	8.6e-59 	187.7	
STEVOR1.hmm 	PfCD01_080005600 	1.3e-14 	42.1 	7.1e-10 	26.5	
RIFIN-B.hmm 	PfCD01_080005600 	9.9e-135 	437.0 	1.1e-134 	436.9	
STEVOR1.hmm 	PfCD01_080005700 	1.2e-13 	38.9 	1.1e-08 	22.6	
RIFIN-B.hmm 	PfCD01_080005700 	1.8e-106 	344.2 	2.9e-61 	195.6	
RIFIN-A.hmm 	PfCD01_080005700 	4.2e-147 	478.0 	4.8e-147 	477.9	
STEVOR1.hmm 	PfCD01_080013900 	1.3e-16 	48.6 	5.3e-12 	33.5	
RIFIN-A.hmm 	PfCD01_080013900 	1.6e-148 	482.7 	1.8e-148 	482.5	
RIFIN-B.hmm 	PfCD01_080013900 	3.7e-115 	372.7 	6.2e-60 	191.2	
RIFIN-B.hmm 	PfCD01_080014100 	1.5e-112 	364.2 	1.9e-64 	206.1	
STEVOR1.hmm 	PfCD01_080014100 	1.5e-14 	41.8 	9.7e-12 	32.6	
RIFIN-A.hmm 	PfCD01_080014100 	1.8e-140 	456.3 	2e-140 	456.1	
STEVOR1.hmm 	PfCD01_080014200 	1.2e-17 	52.0 	8.9e-13 	36.0	
RIFIN-A.hmm 	PfCD01_080014200 	2.4e-132 	429.5 	2.7e-132 	429.4	
RIFIN-B.hmm 	PfCD01_080014200 	6.7e-96 	309.4 	6.6e-55 	174.7	
RIFIN-B.hmm 	PfCD01_080014500 	3.5e-19 	57.3 	5e-19 	56.8	
RIFIN-A.hmm 	PfCD01_080014500 	3.9e-29 	90.1 	4.9e-29 	89.8	
STEVOR1.hmm 	PfCD01_080037600 	1.1e-83 	268.9 	4.8e-83 	266.8	
RIFIN-A.hmm 	PfCD01_080038000 	1.1e-06 	16.3 	1.1e-06 	16.3	
RIFIN-B.hmm 	PfCD01_080038000 	1.1e-07 	19.6 	1.1e-07 	19.6	
STEVOR1.hmm 	PfCD01_080038000 	1.5e-53 	169.9 	2e-53 	169.5	
STEVOR1.hmm 	PfCD01_080038200 	1.4e-11 	32.1 	7.3e-10 	26.5	
RIFIN-A.hmm 	PfCD01_080038200 	1.8e-104 	337.9 	5.7e-61 	194.8	
RIFIN-B.hmm 	PfCD01_080038200 	2.7e-137 	445.4 	3e-137 	445.3	
RIFIN-B.hmm 	PfCD01_080038300 	2.3e-98 	317.5 	1.3e-51 	163.9	
RIFIN-A.hmm 	PfCD01_080038300 	3.1e-148 	481.8 	3.5e-148 	481.6	
STEVOR1.hmm 	PfCD01_080038300 	5.1e-12 	33.6 	5.1e-08 	20.4	
RIFIN-B.hmm 	PfCD01_080038400 	1.7e-143 	465.8 	1.9e-143 	465.7	
RIFIN-A.hmm 	PfCD01_080038400 	2.9e-95 	307.6 	5.1e-53 	168.7	
STEVOR1.hmm 	PfCD01_080038400 	3.9e-16 	47.1 	4.2e-10 	27.3	
STEVOR1.hmm 	PfCD01_080038500 	1.1e-06 	16.0 	6.5e-06 	13.5	
RIFIN-B.hmm 	PfCD01_080038500 	2.1e-137 	445.8 	2.4e-137 	445.6	
RIFIN-A.hmm 	PfCD01_080038500 	3.6e-105 	340.2 	1.8e-59 	189.9	
RIFIN-A.hmm 	PfCD01_080038600 	1.7e-100 	324.8 	3.8e-62 	198.7	
RIFIN-B.hmm 	PfCD01_080038600 	2.1e-148 	482.0 	2.3e-148 	481.8	
STEVOR1.hmm 	PfCD01_080038600 	2.2e-22 	67.6 	1.1e-16 	48.9	
STEVOR1.hmm 	PfCD01_080038700 	1.9e-17 	51.4 	2.9e-13 	37.6	
RIFIN-B.hmm 	PfCD01_080038700 	3.5e-147 	477.9 	3.9e-147 	477.8	
RIFIN-A.hmm 	PfCD01_080038700 	4e-96 	310.4 	1.8e-52 	166.9	
RIFIN-A.hmm 	PfCD01_080038800 	1.4e-11 	32.4 	3.9e-11 	30.9	
STEVOR1.hmm 	PfCD01_080038800 	2.2e-167 	543.8 	2.4e-167 	543.6	
RIFIN-B.hmm 	PfCD01_080038800 	6.3e-13 	36.8 	4.6e-12 	33.9	
RIFIN-A.hmm 	PfCD01_080039000 	2.8e-136 	442.5 	3.1e-136 	442.3	
STEVOR1.hmm 	PfCD01_080039000 	4e-14 	40.5 	1.3e-10 	29.0	
RIFIN-B.hmm 	PfCD01_080039000 	5.1e-104 	336.1 	1.9e-54 	173.2	
RIFIN-A.hmm 	PfCD01_080039100 	2.8e-130 	422.7 	3.4e-130 	422.4	
RIFIN-B.hmm 	PfCD01_080039100 	3.6e-85 	274.2 	6.6e-51 	161.6	
STEVOR1.hmm 	PfCD01_080039100 	5.1e-13 	36.8 	2.2e-12 	34.7	
RIFIN-A.hmm 	PfCD01_080039200 	1.3e-89 	289.0 	5.7e-50 	158.6	
STEVOR1.hmm 	PfCD01_080039200 	4.7e-18 	53.4 	1.2e-10 	29.0	
RIFIN-B.hmm 	PfCD01_080039200 	8.9e-135 	437.2 	1e-134 	437.0	
STEVOR1.hmm 	PfCD01_080039300 	2.6e-16 	47.6 	3.7e-11 	30.7	
RIFIN-A.hmm 	PfCD01_080039300 	4.8e-150 	487.7 	5.3e-150 	487.6	
RIFIN-B.hmm 	PfCD01_080039300 	5.9e-111 	358.9 	5.1e-62 	198.1	
RIFIN-A.hmm 	PfCD01_090005700 	1.3e-146 	476.5 	1.4e-146 	476.3	
STEVOR1.hmm 	PfCD01_090005700 	1.6e-13 	38.5 	1.5e-08 	22.2	
RIFIN-B.hmm 	PfCD01_090005700 	5.5e-97 	313.0 	5.2e-52 	165.2	
RIFIN-B.hmm 	PfCD01_090005900 	1.4e-101 	328.1 	4.8e-57 	181.7	
RIFIN-A.hmm 	PfCD01_090005900 	3.5e-146 	475.0 	4e-146 	474.8	
STEVOR1.hmm 	PfCD01_090005900 	7.9e-15 	42.8 	7.4e-10 	26.4	
RIFIN-A.hmm 	PfCD01_090006000 	2.7e-147 	478.7 	3e-147 	478.5	
RIFIN-B.hmm 	PfCD01_090006000 	3.7e-101 	326.7 	7.3e-58 	184.4	
STEVOR1.hmm 	PfCD01_090006000 	8.1e-11 	29.6 	1.1e-07 	19.3	
RIFIN-A.hmm 	PfCD01_090006100 	2.3e-12 	35.0 	7.2e-11 	30.1	
STEVOR1.hmm 	PfCD01_090006100 	3.1e-166 	539.9 	3.5e-166 	539.8	
RIFIN-B.hmm 	PfCD01_090006100 	6.7e-14 	40.0 	2e-12 	35.1	
RIFIN-A.hmm 	PfCD01_090042000 	1e-94 	305.8 	9.9e-60 	190.7	
RIFIN-B.hmm 	PfCD01_090042000 	2e-127 	413.0 	2.2e-127 	412.9	
STEVOR1.hmm 	PfCD01_090042000 	5.7e-11 	30.1 	1.5e-08 	22.1	
RIFIN-B.hmm 	PfCD01_090042100 	1.9e-103 	334.2 	3.8e-53 	168.9	
RIFIN-A.hmm 	PfCD01_090042100 	3.3e-148 	481.7 	3.7e-148 	481.5	
STEVOR1.hmm 	PfCD01_090042100 	4.7e-13 	36.9 	5.9e-10 	26.8	
RIFIN-A.hmm 	PfCD01_090042200 	3.1e-142 	462.0 	3.5e-142 	461.9	
RIFIN-B.hmm 	PfCD01_090042200 	4.3e-104 	336.3 	1.1e-56 	180.5	
STEVOR1.hmm 	PfCD01_090042200 	6.5e-19 	56.2 	1.2e-11 	32.3	
RIFIN-A.hmm 	PfCD01_090042300 	1.3e-108 	351.4 	3e-61 	195.7	
RIFIN-B.hmm 	PfCD01_090042300 	6.1e-150 	487.0 	6.9e-150 	486.8	
STEVOR1.hmm 	PfCD01_090042300 	8.9e-13 	36.0 	5.1e-10 	27.0	
RIFIN-B.hmm 	PfCD01_090042400 	1.4e-11 	32.3 	5.7e-11 	30.3	
RIFIN-A.hmm 	PfCD01_090042400 	2.4e-09 	25.1 	2.4e-09 	25.1	
STEVOR1.hmm 	PfCD01_090042400 	7.1e-165 	535.5 	7.9e-165 	535.3	
RIFIN-A.hmm 	PfCD01_090042600 	1.6e-153 	499.1 	1.8e-153 	499.0	
RIFIN-B.hmm 	PfCD01_090042600 	2.3e-105 	340.5 	6.8e-59 	187.8	
STEVOR1.hmm 	PfCD01_090042600 	2.3e-12 	34.7 	4.8e-08 	20.5	
STEVOR1.hmm 	PfCD01_090042700 	1.4e-14 	42.0 	6.5e-09 	23.3	
RIFIN-A.hmm 	PfCD01_090042700 	1.7e-101 	328.1 	8.1e-61 	194.3	
RIFIN-B.hmm 	PfCD01_090042700 	8.1e-140 	453.7 	9.1e-140 	453.6	
RIFIN-A.hmm 	PfCD01_090042800 	1.3e-147 	479.7 	1.4e-147 	479.6	
STEVOR1.hmm 	PfCD01_090042800 	2.1e-13 	38.1 	1.8e-08 	21.9	
RIFIN-B.hmm 	PfCD01_090042800 	4.5e-102 	329.7 	2.7e-58 	185.8	
RIFIN-A.hmm 	PfCD01_100005700 	1.3e-142 	463.3 	1.5e-142 	463.1	
RIFIN-B.hmm 	PfCD01_100005700 	5.5e-102 	329.4 	1.1e-57 	183.8	
STEVOR1.hmm 	PfCD01_100005700 	6.3e-07 	16.8 	1.1e-06 	16.0	
RIFIN-B.hmm 	PfCD01_100005800 	1.7e-11 	32.1 	4.1e-10 	27.5	
RIFIN-A.hmm 	PfCD01_100005800 	2e-09 	25.3 	1.1e-08 	22.8	
STEVOR1.hmm 	PfCD01_100005800 	5.7e-151 	489.8 	6.4e-151 	489.7	
RIFIN-A.hmm 	PfCD01_100005900 	4.1e-150 	488.0 	4.6e-150 	487.8	
STEVOR1.hmm 	PfCD01_100005900 	4e-13 	37.2 	7e-09 	23.2	
RIFIN-B.hmm 	PfCD01_100005900 	6.8e-101 	325.8 	3.1e-56 	179.0	
RIFIN-B.hmm 	PfCD01_100006000 	1.3e-144 	469.4 	1.5e-144 	469.3	
RIFIN-A.hmm 	PfCD01_100006000 	8.1e-97 	312.7 	4.3e-60 	191.9	
STEVOR1.hmm 	PfCD01_100006000 	8.7e-15 	42.6 	1.2e-10 	29.1	
RIFIN-A.hmm 	PfCD01_100044800 	2.9e-142 	462.1 	3.2e-142 	462.0	
RIFIN-B.hmm 	PfCD01_100044800 	4.8e-107 	346.0 	1.1e-60 	193.7	
STEVOR1.hmm 	PfCD01_100044800 	4e-17 	50.3 	6.7e-12 	33.2	
RIFIN-A.hmm 	PfCD01_100044900 	5.7e-94 	303.3 	1.2e-57 	183.9	
STEVOR1.hmm 	PfCD01_100044900 	6.5e-15 	43.0 	2.8e-09 	24.5	
RIFIN-B.hmm 	PfCD01_100044900 	8.5e-143 	463.5 	9.5e-143 	463.4	
RIFIN-A.hmm 	PfCD01_100045000 	1.1e-105 	341.9 	1.3e-57 	183.8	
STEVOR1.hmm 	PfCD01_100045000 	4.2e-17 	50.2 	6.6e-11 	29.9	
RIFIN-B.hmm 	PfCD01_100045000 	6.4e-151 	490.2 	7.2e-151 	490.0	
RIFIN-A.hmm 	PfCD01_100045100 	1.1e-13 	39.3 	5.2e-11 	30.5	
STEVOR1.hmm 	PfCD01_100045100 	2.4e-168 	546.9 	2.6e-168 	546.8	
RIFIN-B.hmm 	PfCD01_100045100 	2.6e-12 	34.7 	2.6e-12 	34.7	
STEVOR1.hmm 	PfCD01_100045300 	1.9e-09 	25.1 	5e-07 	17.2	
RIFIN-A.hmm 	PfCD01_100045300 	3.2e-146 	475.2 	3.5e-146 	475.0	
RIFIN-B.hmm 	PfCD01_100045300 	4.4e-102 	329.7 	9.6e-54 	170.9	
RIFIN-B.hmm 	PfCD01_110006000 	5.6e-98 	316.2 	5.1e-51 	161.9	
STEVOR1.hmm 	PfCD01_110006000 	7.5e-10 	26.4 	4e-07 	17.5	
RIFIN-A.hmm 	PfCD01_110006000 	9.5e-155 	503.2 	1.1e-154 	503.0	
RIFIN-A.hmm 	PfCD01_110006100 	1.3e-90 	292.3 	3.5e-52 	165.9	
RIFIN-B.hmm 	PfCD01_110006100 	4.7e-139 	451.2 	5.3e-139 	451.1	
STEVOR1.hmm 	PfCD01_110006100 	4.8e-16 	46.8 	2.4e-10 	28.1	
STEVOR1.hmm 	PfCD01_110006200 	3.2e-11 	30.9 	6.3e-09 	23.4	
RIFIN-B.hmm 	PfCD01_110006200 	6.5e-136 	440.9 	7.3e-136 	440.7	
RIFIN-A.hmm 	PfCD01_110006200 	6.7e-102 	329.4 	1.6e-63 	203.2	
RIFIN-A.hmm 	PfCD01_110006300 	5.6e-144 	467.8 	6.3e-144 	467.6	
STEVOR1.hmm 	PfCD01_110006300 	6.9e-11 	29.8 	7.9e-08 	19.8	
RIFIN-B.hmm 	PfCD01_110006300 	8.8e-108 	348.4 	1.1e-62 	200.3	
STEVOR1.hmm 	PfCD01_110006400 	1.2e-14 	42.2 	7.9e-10 	26.3	
RIFIN-A.hmm 	PfCD01_110006400 	3.3e-146 	475.1 	3.7e-146 	475.0	
RIFIN-B.hmm 	PfCD01_110006400 	5e-109 	352.5 	4.7e-60 	191.6	
RIFIN-A.hmm 	PfCD01_110006500 	2.2e-106 	344.1 	5.8e-64 	204.6	
STEVOR1.hmm 	PfCD01_110006500 	3.8e-13 	37.2 	5.9e-09 	23.5	
RIFIN-B.hmm 	PfCD01_110006500 	5.1e-142 	461.0 	5.7e-142 	460.8	
STEVOR1.hmm 	PfCD01_110006600 	1.5e-10 	28.7 	2.2e-07 	18.3	
RIFIN-B.hmm 	PfCD01_110006600 	2.4e-106 	343.7 	5.7e-58 	184.8	
RIFIN-A.hmm 	PfCD01_110006600 	4.1e-146 	474.8 	4.6e-146 	474.6	
RIFIN-A.hmm 	PfCD01_110006700 	1.2e-101 	328.6 	1.3e-62 	200.2	
RIFIN-B.hmm 	PfCD01_110006700 	6.1e-137 	444.3 	6.8e-137 	444.1	
STEVOR1.hmm 	PfCD01_110006700 	9e-13 	36.0 	2.4e-08 	21.5	
RIFIN-A.hmm 	PfCD01_110006800 	1.3e-94 	305.4 	1.2e-55 	177.3	
RIFIN-B.hmm 	PfCD01_110006800 	1.4e-122 	397.1 	1.6e-122 	396.9	
STEVOR1.hmm 	PfCD01_110006800 	4.3e-08 	20.6 	4.4e-07 	17.3	
RIFIN-B.hmm 	PfCD01_110006900 	2.6e-79 	254.9 	1.5e-55 	176.8	
RIFIN-A.hmm 	PfCD01_110006900 	3.2e-112 	363.4 	3.5e-112 	363.2	
STEVOR1.hmm 	PfCD01_110006900 	6.1e-11 	30.0 	6.1e-11 	30.0	
RIFIN-B.hmm 	PfCD01_110054600 	2.1e-90 	291.4 	4.2e-50 	158.9	
RIFIN-A.hmm 	PfCD01_110054600 	3.6e-130 	422.4 	4.1e-130 	422.2	
STEVOR1.hmm 	PfCD01_110054600 	4.5e-12 	33.7 	2e-09 	25.1	
RIFIN-B.hmm 	PfCD01_110054700 	1.4e-05 	12.6 	1.1e-05 	12.9	
STEVOR1.hmm 	PfCD01_110054700 	1e-46 	147.4 	1.3e-46 	147.2	
RIFIN-A.hmm 	PfCD01_110054700 	9.5e-08 	19.8 	9.5e-08 	19.8	
RIFIN-B.hmm 	PfCD01_110054900 	1.2e-146 	476.1 	1.4e-146 	476.0	
STEVOR1.hmm 	PfCD01_110054900 	1.7e-14 	41.7 	1.5e-09 	25.4	
RIFIN-A.hmm 	PfCD01_110054900 	4.9e-103 	333.1 	3.5e-55 	175.8	
RIFIN-B.hmm 	PfCD01_110055000 	1.5e-13 	38.8 	1.2e-11 	32.6	
STEVOR1.hmm 	PfCD01_110055000 	1.5e-168 	547.5 	1.7e-168 	547.4	
RIFIN-A.hmm 	PfCD01_110055000 	3.2e-09 	24.6 	1.8e-07 	18.9	
STEVOR1.hmm 	PfCD01_110055100 	1.4e-14 	41.9 	1.1e-12 	35.8	
RIFIN-B.hmm 	PfCD01_110055100 	2.3e-88 	284.7 	1.4e-51 	163.8	
RIFIN-A.hmm 	PfCD01_110055100 	9.1e-119 	384.9 	1.2e-118 	384.4	
RIFIN-B.hmm 	PfCD01_110055200 	1.1e-102 	331.8 	7.8e-59 	187.6	
STEVOR1.hmm 	PfCD01_110055200 	1.4e-08 	22.3 	1.8e-06 	15.3	
RIFIN-A.hmm 	PfCD01_110055200 	2.7e-154 	501.7 	3e-154 	501.5	
STEVOR1.hmm 	PfCD01_110055300 	2e-12 	34.9 	2.4e-08 	21.5	
RIFIN-B.hmm 	PfCD01_110055300 	3.9e-100 	323.3 	6.7e-58 	184.5	
RIFIN-A.hmm 	PfCD01_110055300 	8.3e-144 	467.2 	9.3e-144 	467.0	
STEVOR1.hmm 	PfCD01_110055400 	3.2e-10 	27.6 	1.2e-08 	22.5	
RIFIN-A.hmm 	PfCD01_110055400 	4.7e-138 	448.3 	5.4e-138 	448.1	
RIFIN-B.hmm 	PfCD01_110055400 	9.5e-98 	315.5 	1.7e-51 	163.5	
STEVOR1.hmm 	PfCD01_120005600 	2.4e-14 	41.2 	7.2e-09 	23.2	
RIFIN-B.hmm 	PfCD01_120005600 	6.5e-114 	368.6 	7.1e-66 	210.7	
RIFIN-A.hmm 	PfCD01_120005600 	7.3e-158 	513.4 	8.2e-158 	513.3	
RIFIN-B.hmm 	PfCD01_120024300 	3.3e-13 	37.7 	3.3e-13 	37.7	
RIFIN-A.hmm 	PfCD01_120024300 	7.4e-14 	39.9 	3.7e-11 	31.0	
STEVOR1.hmm 	PfCD01_120024300 	8.5e-155 	502.4 	9.6e-155 	502.2	
STEVOR1.hmm 	PfCD01_120024400 	1.8e-18 	54.7 	2e-13 	38.2	
RIFIN-B.hmm 	PfCD01_120024400 	2e-101 	327.6 	2.3e-56 	179.5	
RIFIN-A.hmm 	PfCD01_120024400 	3.2e-126 	409.4 	3.6e-126 	409.2	
RIFIN-A.hmm 	PfCD01_120045500 	5.6e-53 	168.5 	6.9e-53 	168.2	
RIFIN-B.hmm 	PfCD01_120045500 	8.2e-33 	102.1 	5.6e-25 	76.4	
RIFIN-B.hmm 	PfCD01_120058100 	1.3e-10 	29.2 	1.3e-10 	29.2	
STEVOR1.hmm 	PfCD01_120058100 	3.1e-166 	540.0 	3.5e-166 	539.8	
RIFIN-A.hmm 	PfCD01_120058100 	8.3e-09 	23.3 	8.3e-09 	23.3	
RIFIN-B.hmm 	PfCD01_120058200 	1.5e-98 	318.1 	4.9e-54 	171.8	
RIFIN-A.hmm 	PfCD01_120058200 	6.2e-149 	484.1 	6.9e-149 	483.9	
STEVOR1.hmm 	PfCD01_120058200 	8e-13 	36.2 	3.3e-08 	21.0	
RIFIN-B.hmm 	PfCD01_120058400 	2.2e-100 	324.1 	2.3e-54 	172.9	
RIFIN-A.hmm 	PfCD01_120058400 	4.9e-154 	500.9 	5.5e-154 	500.7	
STEVOR1.hmm 	PfCD01_120058400 	5.2e-09 	23.7 	7.7e-07 	16.5	
STEVOR1.hmm 	PfCD01_130005600 	2.4e-10 	28.1 	2e-08 	21.8	
RIFIN-A.hmm 	PfCD01_130005600 	4.8e-161 	523.9 	5.3e-161 	523.7	
RIFIN-B.hmm 	PfCD01_130005600 	8.4e-111 	358.4 	7.2e-63 	200.9	
RIFIN-A.hmm 	PfCD01_130005800 	1.7e-14 	42.0 	5.1e-11 	30.5	
STEVOR1.hmm 	PfCD01_130005800 	3.9e-160 	519.9 	4.4e-160 	519.8	
RIFIN-B.hmm 	PfCD01_130005800 	6.8e-12 	33.4 	1.5e-11 	32.2	
STEVOR1.hmm 	PfCD01_130005900 	3.4e-12 	34.1 	2.3e-08 	21.6	
RIFIN-A.hmm 	PfCD01_130005900 	3.8e-113 	366.4 	8.4e-69 	220.6	
RIFIN-B.hmm 	PfCD01_130005900 	8.9e-150 	486.5 	9.9e-150 	486.3	
RIFIN-B.hmm 	PfCD01_130077600 	1.6e-108 	350.9 	1.9e-108 	350.6	
RIFIN-A.hmm 	PfCD01_130077600 	4.9e-76 	244.3 	8.3e-48 	151.5	
STEVOR1.hmm 	PfCD01_130077600 	5.7e-07 	17.0 	2.9e-05 	11.4	
STEVOR1.hmm 	PfCD01_130077700 	2.5e-12 	34.6 	2.8e-08 	21.2	
RIFIN-B.hmm 	PfCD01_130077700 	5.2e-108 	349.2 	5.2e-61 	194.8	
RIFIN-A.hmm 	PfCD01_130077700 	9.2e-135 	437.5 	1e-134 	437.3	
RIFIN-A.hmm 	PfCD01_130078000 	1.1e-87 	282.7 	1.1e-52 	167.6	
STEVOR1.hmm 	PfCD01_130078000 	2.2e-15 	44.6 	1e-09 	26.0	
RIFIN-B.hmm 	PfCD01_130078000 	5e-139 	451.1 	5.6e-139 	451.0	
RIFIN-A.hmm 	PfCD01_130078100 	1.4e-146 	476.3 	1.6e-146 	476.1	
RIFIN-B.hmm 	PfCD01_130078100 	1.6e-98 	318.0 	1.1e-53 	170.7	
STEVOR1.hmm 	PfCD01_130078100 	2.1e-18 	54.5 	4.5e-12 	33.7	
RIFIN-B.hmm 	PfCD01_130078200 	2e-102 	330.8 	1.2e-55 	177.2	
STEVOR1.hmm 	PfCD01_130078200 	3.3e-13 	37.4 	1.6e-08 	22.1	
RIFIN-A.hmm 	PfCD01_130078200 	7.5e-147 	477.2 	8.4e-147 	477.1	
STEVOR1.hmm 	PfCD01_130078300 	2.9e-13 	37.6 	2.1e-08 	21.7	
RIFIN-B.hmm 	PfCD01_130078300 	4.2e-100 	323.2 	5.4e-58 	184.8	
RIFIN-A.hmm 	PfCD01_130078300 	9.2e-147 	476.9 	1e-146 	476.8	
STEVOR1.hmm 	PfCD01_130078500 	3.6e-10 	27.5 	2.2e-07 	18.4	
RIFIN-B.hmm 	PfCD01_130078500 	4.8e-112 	362.5 	1.9e-64 	206.1	
RIFIN-A.hmm 	PfCD01_130078500 	8.6e-160 	519.8 	9.6e-160 	519.6	
STEVOR1.hmm 	PfCD01_140005700 	3.1e-13 	37.5 	1.8e-10 	28.5	
RIFIN-A.hmm 	PfCD01_140005700 	3.9e-139 	451.8 	4.4e-139 	451.7	
RIFIN-B.hmm 	PfCD01_140005700 	5.2e-97 	313.1 	6.2e-51 	161.7	
RIFIN-B.hmm 	PfCD01_140005900 	1.2e-09 	25.9 	2.2e-09 	25.1	
RIFIN-A.hmm 	PfCD01_140005900 	1.5e-08 	22.4 	1.6e-06 	15.8	
STEVOR1.hmm 	PfCD01_140005900 	9.7e-167 	541.6 	1.1e-166 	541.5	
RIFIN-B.hmm 	PfCD01_140006000 	3.8e-149 	484.4 	4.2e-149 	484.2	
STEVOR1.hmm 	PfCD01_140006000 	4e-12 	33.9 	1.1e-08 	22.6	
RIFIN-A.hmm 	PfCD01_140006000 	5.6e-108 	349.4 	2.4e-62 	199.4	
STEVOR1.hmm 	PfCD01_140006100 	3e-09 	24.5 	1.9e-06 	15.2	
RIFIN-B.hmm 	PfCD01_140006100 	4.4e-95 	306.7 	1.7e-51 	163.5	
RIFIN-A.hmm 	PfCD01_140006100 	4.8e-149 	484.4 	5.4e-149 	484.3	
STEVOR1.hmm 	PfCD01_140006200 	2e-08 	21.7 	2.9e-06 	14.7	
RIFIN-B.hmm 	PfCD01_140006200 	3.1e-99 	320.3 	8.1e-53 	167.8	
RIFIN-A.hmm 	PfCD01_140006200 	9.2e-144 	467.1 	1e-143 	466.9	
RIFIN-B.hmm 	PfCD01_140006300 	1.3e-144 	469.5 	1.5e-144 	469.3	
STEVOR1.hmm 	PfCD01_140006300 	1e-12 	35.8 	8.6e-09 	22.9	
RIFIN-A.hmm 	PfCD01_140006300 	6.7e-97 	313.0 	5.6e-54 	171.8	
STEVOR1.hmm 	PfCD01_140084300 	1.4e-71 	229.2 	2.5e-71 	228.3	
RIFIN-A.hmm 	PfCD01_140084600 	1.3e-146 	476.4 	1.5e-146 	476.2	
STEVOR1.hmm 	PfCD01_140084600 	2.3e-08 	21.5 	2.3e-08 	21.5	
RIFIN-B.hmm 	PfCD01_140084600 	4.5e-106 	342.8 	2.2e-62 	199.3	
STEVOR1.hmm 	PfCD01_140084700 	3.3e-13 	37.5 	1.1e-09 	25.9	
RIFIN-B.hmm 	PfCD01_140084700 	5e-98 	316.4 	5e-58 	185.0	
RIFIN-A.hmm 	PfCD01_140084700 	7.8e-133 	431.1 	8.8e-133 	431.0	
RIFIN-B.hmm 	PfCD01_140084800 	4.8e-100 	323.0 	3.2e-54 	172.4	
STEVOR1.hmm 	PfCD01_140084800 	5.5e-13 	36.7 	3.9e-09 	24.1	
RIFIN-A.hmm 	PfCD01_140084800 	5e-145 	471.2 	5.6e-145 	471.1	
STEVOR1.hmm 	PfCD01_140085000 	1.4e-16 	48.6 	2.6e-12 	34.5	
RIFIN-A.hmm 	PfCD01_140085000 	5.2e-99 	319.9 	1.3e-54 	173.9	
RIFIN-B.hmm 	PfCD01_140085000 	5e-137 	444.5 	5.6e-137 	444.4	
RIFIN-B.hmm 	PfCD01_140085100 	2.5e-14 	41.3 	5.9e-12 	33.6	
STEVOR1.hmm 	PfCD01_140085100 	6.2e-167 	542.3 	7e-167 	542.1	
RIFIN-A.hmm 	PfCD01_140085100 	6.4e-12 	33.5 	2.5e-10 	28.3	
STEVOR1.hmm 	PfCD01_140085300 	1.1e-13 	39.0 	2.8e-11 	31.1	
RIFIN-A.hmm 	PfCD01_140085300 	4.4e-143 	464.8 	4.9e-143 	464.7	
RIFIN-B.hmm 	PfCD01_140085300 	8.9e-99 	318.9 	8.9e-52 	164.4	
RIFIN-B.hmm 	PfCD01_140085400 	2.9e-13 	37.9 	3e-12 	34.5	
STEVOR1.hmm 	PfCD01_140085400 	5.3e-170 	552.3 	5.9e-170 	552.2	
RIFIN-A.hmm 	PfCD01_140085400 	5.9e-15 	43.5 	3.6e-11 	31.1	
STEVOR1.hmm 	PfCD01_140085500 	1e-08 	22.7 	2e-06 	15.2	
RIFIN-B.hmm 	PfCD01_140085500 	4.1e-97 	313.4 	1e-51 	164.2	
RIFIN-A.hmm 	PfCD01_140085500 	8.8e-136 	440.8 	9.9e-136 	440.7	
STEVOR1.hmm 	PfCD01_140085600 	1.9e-164 	534.1 	2.2e-164 	533.9	
RIFIN-B.hmm 	PfCD01_140085600 	3.9e-11 	30.8 	9.2e-11 	29.6	
RIFIN-A.hmm 	PfCD01_140085600 	7.1e-09 	23.5 	7.1e-09 	23.5	
STEVOR1.hmm 	PfCD01_140085700 	1.3e-10 	28.9 	4.8e-09 	23.8	
RIFIN-B.hmm 	PfCD01_140085700 	1.3e-103 	334.7 	6.2e-60 	191.2	
RIFIN-A.hmm 	PfCD01_140085700 	2.5e-148 	482.1 	2.8e-148 	481.9	
RIFIN-A.hmm 	PfCD01_140085900 	1.5e-93 	301.9 	2e-52 	166.7	
STEVOR1.hmm 	PfCD01_140085900 	2.2e-10 	28.2 	9.8e-08 	19.5	
RIFIN-B.hmm 	PfCD01_140085900 	5.7e-138 	447.7 	6.4e-138 	447.5	
STEVOR1.hmm 	PfCD01_140086000 	3.9e-14 	40.5 	4.1e-11 	30.6	
RIFIN-B.hmm 	PfCD01_140086000 	3.9e-98 	316.8 	7.7e-55 	174.5	
RIFIN-A.hmm 	PfCD01_140086000 	7.7e-148 	480.5 	8.6e-148 	480.3	
STEVOR1.hmm 	PfCD01_140086200 	1.8e-11 	31.7 	3.9e-08 	20.8	
RIFIN-A.hmm 	PfCD01_140086200 	3.1e-155 	504.8 	3.5e-155 	504.6	
RIFIN-B.hmm 	PfCD01_140086200 	3.9e-113 	366.1 	2.8e-70 	225.2	
