STEVOR1.hmm 	Pf7G8-2_000005800 	1.8e-14 	41.6 	7.3e-11 	29.8	
STEVOR1.hmm 	Pf7G8-2_000403200 	2e-16 	48.0 	2.6e-10 	28.0	
RIFIN-A.hmm 	Pf7G8-2_000403300 	1.9e-155 	505.5 	2.2e-155 	505.3	
STEVOR1.hmm 	Pf7G8-2_000403300 	5.6e-13 	36.7 	9.4e-09 	22.8	
RIFIN-B.hmm 	Pf7G8-2_000403300 	7.8e-110 	355.2 	4e-64 	205.0	
RIFIN-B.hmm 	Pf7G8-2_000474500 	1.1e-78 	252.9 	1.7e-43 	137.2	
STEVOR1.hmm 	Pf7G8-2_000474500 	1.2e-12 	35.6 	1e-09 	26.0	
RIFIN-A.hmm 	Pf7G8-2_000474500 	2.1e-98 	317.9 	2.6e-98 	317.6	
RIFIN-A.hmm 	Pf7G8-2_000474900 	3.2e-130 	422.5 	7.7e-130 	421.3	
STEVOR1.hmm 	Pf7G8-2_000474900 	3.7e-17 	50.4 	2.6e-10 	27.9	
RIFIN-B.hmm 	Pf7G8-2_000474900 	8.4e-85 	272.9 	5.1e-47 	148.8	
STEVOR1.hmm 	Pf7G8-2_000475400 	2.3e-17 	51.1 	2.7e-12 	34.5	
RIFIN-B.hmm 	Pf7G8-2_000475400 	6.3e-102 	329.2 	5.3e-55 	175.0	
RIFIN-A.hmm 	Pf7G8-2_000475400 	6.4e-145 	470.9 	7.2e-145 	470.7	
STEVOR1.hmm 	Pf7G8-2_000475500 	1.2e-09 	25.7 	6.5e-07 	16.8	
RIFIN-A.hmm 	Pf7G8-2_000475500 	1.6e-149 	486.0 	1.8e-149 	485.8	
RIFIN-B.hmm 	Pf7G8-2_000475500 	2.5e-102 	330.6 	2.8e-54 	172.6	
STEVOR1.hmm 	Pf7G8-2_000475900 	4.1e-10 	27.3 	4.6e-07 	17.3	
RIFIN-B.hmm 	Pf7G8-2_000475900 	4.4e-143 	464.5 	4.9e-143 	464.3	
RIFIN-A.hmm 	Pf7G8-2_000475900 	5.8e-102 	329.6 	3e-54 	172.7	
STEVOR1.hmm 	Pf7G8-2_000476000 	1.3e-12 	35.5 	2.7e-08 	21.3	
RIFIN-B.hmm 	Pf7G8-2_000476000 	1.7e-145 	472.3 	2e-145 	472.2	
RIFIN-A.hmm 	Pf7G8-2_000476000 	6.3e-99 	319.6 	1.6e-54 	173.6	
STEVOR1.hmm 	Pf7G8-2_000552600 	1.5e-09 	25.5 	6.6e-08 	20.0	
RIFIN-A.hmm 	Pf7G8-2_000552600 	2.8e-105 	340.5 	2.2e-66 	212.6	
RIFIN-B.hmm 	Pf7G8-2_000552600 	9.7e-142 	460.0 	1.1e-141 	459.9	
RIFIN-A.hmm 	Pf7G8-2_000552700 	1.5e-12 	35.5 	2.9e-09 	24.8	
STEVOR1.hmm 	Pf7G8-2_000552700 	5e-171 	555.7 	5.6e-171 	555.5	
RIFIN-B.hmm 	Pf7G8-2_000552700 	8.4e-15 	42.9 	1.6e-10 	28.9	
RIFIN-B.hmm 	Pf7G8-2_000552800 	1.1e-103 	335.0 	1.1e-53 	170.7	
STEVOR1.hmm 	Pf7G8-2_000552800 	2.6e-08 	21.3 	7.3e-07 	16.6	
RIFIN-A.hmm 	Pf7G8-2_000552800 	2e-140 	456.1 	2.3e-140 	455.9	
