Unnamed: 0.1	Gene ID	Genome	Chromosome	Start Position	End Position	Product Description	Cluster	Occupancy	Genes in cluster	Number of genes unmapped	Percentage of genes unmapped	Location
118	PfCD01_090005800	CD01	PfCD01_09	51077	62211	erythrocyte membrane protein 1, PfEMP1	PfCD01_090005800	1	PfCD01_090005800	1	100.0	Subtelomeric/Variable
119	PfCD01_090042000	CD01	PfCD01_09	1472547	1473640	rifin	PfDd2_090042600	9	PfDd2_090042600, Pf7G8_090042400, PfHB3_000011300, PfKH02_090042400, Pf7G8-2_000285500, PfGB4_000010700, PfKH01_090041700, PfCD01_090042000, PfNF166_090041600	5	55.55555555555556	Subtelomeric/Variable
120	PfCD01_090042700	CD01	PfCD01_09	1493834	1494936	rifin	PfCD01_090042700	1	PfCD01_090042700	1	100.0	Subtelomeric/Variable
121	PfCD01_090042900	CD01	PfCD01_09	1501052	1512235	erythrocyte membrane protein 1, PfEMP1	PfCD01_090042900	1	PfCD01_090042900	1	100.0	Subtelomeric/Variable
122	PfCD01_100005600	CD01	PfCD01_10	31712	41972	erythrocyte membrane protein 1, PfEMP1	PfCD01_100005600	1	PfCD01_100005600	1	100.0	Subtelomeric/Variable
123	PfCD01_100040300	CD01	PfCD01_10	1397094	1398595	S-antigen	PfCD01_100040300	1	PfCD01_100040300	1	100.0	Core
124	PfCD01_100044800	CD01	PfCD01_10	1612100	1613361	rifin	PfCD01_100044800	1	PfCD01_100044800	1	100.0	Subtelomeric/Variable
125	PfCD01_100044900	CD01	PfCD01_10	1615356	1616422	rifin	PfCD01_100044900	1	PfCD01_100044900	1	100.0	Subtelomeric/Variable
126	PfCD01_100045400	CD01	PfCD01_10	1630560	1639703	erythrocyte membrane protein 1, PfEMP1	PfCD01_100045400	1	PfCD01_100045400	1	100.0	Subtelomeric/Variable
127	PfCD01_100045500	CD01	PfCD01_10	1641109	1648309	erythrocyte membrane protein 1, PfEMP1	PfCD01_100045500	1	PfCD01_100045500	1	100.0	Subtelomeric/Variable
128	PfCD01_110005900	CD01	PfCD01_11	33040	42022	erythrocyte membrane protein 1, PfEMP1	PfCD01_110005900	2	PfIT_140085700, PfCD01_110005900	2	100.0	Subtelomeric/Variable
129	PfCD01_110006100	CD01	PfCD01_11	47620	48694	rifin	Pf7G8-2_000403200	4	Pf7G8_120059800, Pf7G8-2_000403200, PfGA01_060005500, PfCD01_110006100	2	50.0	Subtelomeric/Variable
130	PfCD01_110055400	CD01	PfCD01_11	2029262	2030415	rifin	PfCD01_110055400	1	PfCD01_110055400	1	100.0	Subtelomeric/Variable
131	PfCD01_120024200	CD01	PfCD01_12	783725	786906	erythrocyte membrane protein 1 (PfEMP1), pseudogene	PfCD01_120024200	2	PfKH01_120025600, PfKH01_120025700, PfCD01_120024200	1	50.0	Core
132	PfCD01_120024400	CD01	PfCD01_12	792163	793425	rifin	PfCD01_120024400	2	PfKH01_120025900, PfCD01_120024400	1	50.0	Core
133	PfCD01_120024500	CD01	PfCD01_12	797772	798776	hypothetical protein	PfCD01_120024500	2	PfKH01_120026000, PfCD01_120024500	2	100.0	Core
134	PfCD01_120024600	CD01	PfCD01_12	798819	800200	Duffy binding domain/acidic terminal segments, variant surface antigen of PfEMP1, putative	PfCD01_120024600	2	PfKH01_120026100, PfCD01_120024600	2	100.0	Core
135	PfCD01_120045100	CD01	PfCD01_12	1718526	1726081	erythrocyte membrane protein 1, PfEMP1	PfCD01_120045100	2	PfCD01_120045100, PfSN01_070016700	2	100.0	Subtelomeric/Variable
136	PfCD01_130005500	CD01	PfCD01_13	23277	30624	erythrocyte membrane protein 1, PfEMP1	PfCD01_130005500	1	PfCD01_130005500	1	100.0	Subtelomeric/Variable
137	PfCD01_130007500	CD01	PfCD01_13	114460	115515	hypothetical protein	PfDd2_130007800	11	PfDd2_130007800, Pf7G8_130006400, PfHB3_130008300, PfIT_130007200, PfKE01_130007600, PfGB4_130007900, PfKH01_130006200, PfGA01_130008000, PfGN01_130008700, PfCD01_130007500, PfSN01_130005000	11	100.0	Core
138	PfCD01_130069500	CD01	PfCD01_13	2564371	2564877	hypothetical protein	PfDd2_130069700	15	PfDd2_130069700, Pf7G8_130068400, PfHB3_130070300, PfIT_130069200, PfKH02_130066800, PfKE01_130069500, Pf7G8-2_000466300, PfGB4_130069800, PfKH01_130067900, PfGA01_130070000, PfGN01_130070600, PfCD01_130069500, PfSN01_130066900, PfNF166_130068800, PfNF54_130068500	15	100.0	Core
139	PfCD01_130077700	CD01	PfCD01_13	2863443	2864835	rifin	PfCD01_130077700	1	PfCD01_130077700	1	100.0	Subtelomeric/Variable
140	PfCD01_130078200	CD01	PfCD01_13	2878659	2879931	rifin	PfCD01_130078200	1	PfCD01_130078200	1	100.0	Subtelomeric/Variable
141	PfCD01_140005600	CD01	PfCD01_14	27805	37678	erythrocyte membrane protein 1, PfEMP1	PfCD01_140005600	1	PfCD01_140005600	1	100.0	Subtelomeric/Variable
142	PfCD01_140005700	CD01	PfCD01_14	39587	40817	rifin	PfCD01_140005700	1	PfCD01_140005700	1	100.0	Subtelomeric/Variable
143	PfCD01_140084500	CD01	PfCD01_14	3310393	3311268	rifin	Pf7G8-2_000036000	6	Pf7G8_010006100, PfHB3_010006100, Pf7G8-2_000036000, PfKH01_010007100, PfGN01_140084600, PfCD01_140084500	3	50.0	Subtelomeric/Variable
144	PfCD01_140084600	CD01	PfCD01_14	3313206	3314534	rifin	PfCD01_140084600	1	PfCD01_140084600	1	100.0	Subtelomeric/Variable
145	PfCD01_140084800	CD01	PfCD01_14	3318676	3319880	rifin	PfCD01_140084800	1	PfCD01_140084800	1	100.0	Subtelomeric/Variable
146	PfDd2_010005500	Dd2	PfDd2_01	29541	39741	erythrocyte membrane protein 1, PfEMP1	PfDd2_010005500	4	PfDd2_010005500, PfHB3_120045300, PfGB4_000013800, PfGA01_110054000	3	75.0	Subtelomeric/Variable
147	PfDd2_010018800	Dd2	PfDd2_01	549522	551102	rifin	PfDd2_010018800	2	PfDd2_010018800, PfGB4_010018900	1	50.0	Subtelomeric/Variable
148	PfDd2_010019200	Dd2	PfDd2_01	562349	563519	rifin	PfDd2_010019200	2	PfDd2_010019200, PfCD01_140084700	1	50.0	Subtelomeric/Variable
149	PfDd2_010019400	Dd2	PfDd2_01	569431	579166	erythrocyte membrane protein 1, PfEMP1	PfDd2_010019400	1	PfDd2_010019400	1	100.0	Subtelomeric/Variable
150	PfDd2_020009600	Dd2	PfDd2_02	167680	168570	merozoite surface protein 2	PfDd2_020009600	8	PfDd2_020009600, PfHB3_020011500, PfKH02_020010800, PfKE01_020009300, PfKH01_020012000, PfGA01_020009800, PfCD01_020011700, PfSN01_020009800	1	12.5	Core
151	PfDd2_020024900	Dd2	PfDd2_02	780191	781362	rifin	PfDd2_020024900	1	PfDd2_020024900	1	100.0	Subtelomeric/Variable
152	PfDd2_020025400	Dd2	PfDd2_02	791867	803377	erythrocyte membrane protein 1, PfEMP1	PfDd2_020025400	3	PfDd2_020025400, PfIT_110005600, PfKH01_000029300	2	66.66666666666666	Subtelomeric/Variable
153	PfDd2_030005700	Dd2	PfDd2_03	41612	42987	rifin	PfDd2_030005700	1	PfDd2_030005700	1	100.0	Subtelomeric/Variable
154	PfDd2_030029800	Dd2	PfDd2_03	1003137	1011067	erythrocyte membrane protein 1, PfEMP1	PfDd2_030029800	1	PfDd2_030029800	1	100.0	Subtelomeric/Variable
155	PfDd2_040005100	Dd2	PfDd2_04	3483	14910	erythrocyte membrane protein 1, PfEMP1	PfDd2_040005100	1	PfDd2_040005100	1	100.0	Subtelomeric/Variable
156	PfDd2_040005700	Dd2	PfDd2_04	29666	30763	rifin	PfDd2_040005700	5	PfDd2_040005700, PfGB4_000012900, PfGA01_110053600, PfCD01_110054900, PfNF166_040031500	1	20.0	Subtelomeric/Variable
157	PfDd2_040018200	Dd2	PfDd2_04	540458	548154	erythrocyte membrane protein 1, PfEMP1	PfDd2_040018200	2	PfDd2_040018200, PfGA01_000007100	2	100.0	Subtelomeric/Variable
158	PfDd2_040025900	Dd2	PfDd2_04	883861	892626	erythrocyte membrane protein 1, PfEMP1	PfDd2_040025900	3	PfDd2_040025900, PfHB3_040024700, PfGN01_040026100	2	66.66666666666666	Core
159	PfDd2_040026100	Dd2	PfDd2_04	897372	898489	rifin	PfDd2_040026100	3	PfDd2_040026100, PfHB3_080014400, PfGA01_040025600	2	66.66666666666666	Subtelomeric/Variable
160	PfDd2_040026300	Dd2	PfDd2_04	904261	913085	erythrocyte membrane protein 1, PfEMP1	PfDd2_040026300	6	PfDd2_040026300, Pf7G8_030005800, PfHB3_080005000, PfKE01_040027900, Pf7G8-2_000069600:pseudogene, PfGA01_040025800	4	66.66666666666666	Subtelomeric/Variable
161	PfDd2_040030400	Dd2	PfDd2_04	1084458	1085056	Plasmodium exported protein (hyp10), unknown function	PfDd2_040030400	7	PfDd2_040030400, PfHB3_120058300, PfIT_040030000, PfKH02_040030900, PfGB4_040030200, PfSN01_040030100, PfNF166_040031100	7	100.0	Subtelomeric/Variable
162	PfDd2_050005400	Dd2	PfDd2_05	27339	28299	rifin, pseudogene	PfDd2_050005400	1	PfDd2_050005400	1	100.0	Subtelomeric/Variable
163	PfDd2_050005700	Dd2	PfDd2_05	36920	37945	stevor	PfDd2_050005700	2	PfDd2_050005700, PfCD01_040005500	1	50.0	Subtelomeric/Variable
164	PfDd2_050037600	Dd2	PfDd2_05	1341926	1354420	erythrocyte membrane protein 1 (PfEMP1), pseudogene	PfDd2_050037600	3	PfDd2_050037600, PfGA01_050037000, PfSN01_050037600	1	33.33333333333333	Subtelomeric/Variable
165	PfDd2_050037800	Dd2	PfDd2_05	1359711	1360831	rifin	PfDd2_050037800	1	PfDd2_050037800	1	100.0	Subtelomeric/Variable
166	PfDd2_050038000	Dd2	PfDd2_05	1365635	1366994	rifin	PfDd2_050038000	1	PfDd2_050038000	1	100.0	Subtelomeric/Variable
167	PfDd2_050038100	Dd2	PfDd2_05	1368899	1369996	rifin	PfDd2_050038100	1	PfDd2_050038100	1	100.0	Subtelomeric/Variable
168	PfDd2_050039000	Dd2	PfDd2_05	1393432	1405083	erythrocyte membrane protein 1, PfEMP1	PfDd2_050039000	1	PfDd2_050039000	1	100.0	Subtelomeric/Variable
169	PfDd2_070005500	Dd2	PfDd2_07	24611	36217	erythrocyte membrane protein 1, PfEMP1	PfDd2_070005500	3	PfDd2_070005500, PfGB4_040031300, PfSN01_090005700	3	100.0	Subtelomeric/Variable
170	PfDd2_070005600	Dd2	PfDd2_07	39085	40355	rifin	PfDd2_070005600	1	PfDd2_070005600	1	100.0	Subtelomeric/Variable
171	PfDd2_070005800	Dd2	PfDd2_07	45875	47083	rifin	PfDd2_070005800	1	PfDd2_070005800	1	100.0	Subtelomeric/Variable
172	PfDd2_070015900	Dd2	PfDd2_07	487000	497786	erythrocyte membrane protein 1, PfEMP1	PfDd2_070015900	2	PfDd2_070015900, PfIT_070016600	2	100.0	Core
173	PfDd2_070016000	Dd2	PfDd2_07	500510	510592	erythrocyte membrane protein 1, PfEMP1	PfDd2_070016000	3	PfDd2_070016000, PfIT_070016700, PfGN01_000022000	2	66.66666666666666	Subtelomeric/Variable
174	PfDd2_070016200	Dd2	PfDd2_07	518207	527277	erythrocyte membrane protein 1, PfEMP1	PfDd2_070016200	3	PfDd2_070016200, PfIT_070016900, PfGB4_070017900	3	100.0	Subtelomeric/Variable
175	PfDd2_070016400	Dd2	PfDd2_07	540461	549472	erythrocyte membrane protein 1, PfEMP1	PfDd2_070016400	3	PfDd2_070016400, PfIT_070017100, PfGB4_070018100	3	100.0	Subtelomeric/Variable
176	PfDd2_080005500	Dd2	PfDd2_08	31728	42695	erythrocyte membrane protein 1, PfEMP1	PfDd2_080005500	2	PfDd2_080005500, PfGN01_030030800	2	100.0	Subtelomeric/Variable
177	PfDd2_090006100	Dd2	PfDd2_09	33533	45036	erythrocyte membrane protein 1, PfEMP1	PfDd2_090006100	1	PfDd2_090006100	1	100.0	Subtelomeric/Variable
178	PfDd2_090006300	Dd2	PfDd2_09	51982	53230	rifin	PfDd2_090006300	2	PfDd2_090006300, PfKH02_090006000	1	50.0	Subtelomeric/Variable
179	PfDd2_090042600	Dd2	PfDd2_09	1465105	1466198	rifin	PfDd2_090042600	9	PfDd2_090042600, Pf7G8_090042400, PfHB3_000011300, PfKH02_090042400, Pf7G8-2_000285500, PfGB4_000010700, PfKH01_090041700, PfCD01_090042000, PfNF166_090041600	5	55.55555555555556	Subtelomeric/Variable
180	PfDd2_090042800	Dd2	PfDd2_09	1471530	1472625	rifin	PfDd2_090042800	1	PfDd2_090042800	1	100.0	Subtelomeric/Variable
181	PfDd2_100040400	Dd2	PfDd2_10	1370799	1372548	S-antigen protein, putative	PfDd2_100040400	1	PfDd2_100040400	1	100.0	Core
182	PfDd2_100045900	Dd2	PfDd2_10	1618184	1628349	erythrocyte membrane protein 1, PfEMP1	PfDd2_100045900	3	PfDd2_100045900, PfKH02_040026700, PfKH01_070035900	2	66.66666666666666	Subtelomeric/Variable
183	PfDd2_110027900	Dd2	PfDd2_11	889812	893878	hypothetical protein	PfDd2_110027900	7	PfDd2_110027900, Pf7G8_110028600, PfHB3_110028200, PfIT_110029200, PfKH02_110030000, Pf7G8-2_000347600, Pf7G8-2_000347700, PfKH01_110029000	6	85.71428571428571	Core
184	PfDd2_110053300	Dd2	PfDd2_11	1948442	1958591	erythrocyte membrane protein 1, PfEMP1	PfDd2_110053300	1	PfDd2_110053300	1	100.0	Subtelomeric/Variable
185	PfDd2_120005300	Dd2	PfDd2_12	11482	12580	rifin	PfDd2_120005300	2	PfDd2_120005300, PfKH02_120005800	1	50.0	Subtelomeric/Variable
186	PfDd2_120028600	Dd2	PfDd2_12	955362	956045	50S ribosomal protein L24, putative	PfDd2_120028600	1	PfDd2_120028600	1	100.0	Core
187	PfDd2_120028700	Dd2	PfDd2_12	956551	957477	Mitochondrial carrier protein, putative	PfDd2_120028700	1	PfDd2_120028700	1	100.0	Core
188	PfDd2_120045300	Dd2	PfDd2_12	1685986	1695001	erythrocyte membrane protein 1, PfEMP1	PfDd2_120045300	4	PfDd2_120045300, Pf7G8_120045800, PfKH02_040017600, Pf7G8-2_000389800	3	75.0	Core
189	PfDd2_120045400	Dd2	PfDd2_12	1697513	1698742	Rifin/stevor family, putative	PfDd2_120045400	1	PfDd2_120045400	1	100.0	Core
190	PfDd2_130005700	Dd2	PfDd2_13	36512	45875	erythrocyte membrane protein 1, PfEMP1	PfDd2_130005700	1	PfDd2_130005700	1	100.0	Subtelomeric/Variable
191	PfDd2_130006100	Dd2	PfDd2_13	60910	62164	rifin	PfDd2_130006100	1	PfDd2_130006100	1	100.0	Subtelomeric/Variable
192	PfDd2_130006300	Dd2	PfDd2_13	67384	68603	rifin	PfDd2_130006300	1	PfDd2_130006300	1	100.0	Subtelomeric/Variable
193	PfDd2_130007800	Dd2	PfDd2_13	131288	132334	hypothetical protein	PfDd2_130007800	11	PfDd2_130007800, Pf7G8_130006400, PfHB3_130008300, PfIT_130007200, PfKE01_130007600, PfGB4_130007900, PfKH01_130006200, PfGA01_130008000, PfGN01_130008700, PfCD01_130007500, PfSN01_130005000	11	100.0	Core
194	PfDd2_130069700	Dd2	PfDd2_13	2576951	2577457	hypothetical protein	PfDd2_130069700	15	PfDd2_130069700, Pf7G8_130068400, PfHB3_130070300, PfIT_130069200, PfKH02_130066800, PfKE01_130069500, Pf7G8-2_000466300, PfGB4_130069800, PfKH01_130067900, PfGA01_130070000, PfGN01_130070600, PfCD01_130069500, PfSN01_130066900, PfNF166_130068800, PfNF54_130068500	15	100.0	Core
195	PfDd2_130078300	Dd2	PfDd2_13	2892330	2893534	rifin	PfDd2_130078300	4	PfDd2_130078300, Pf7G8_030006100, PfIT_120059900, Pf7G8-2_000069900	4	100.0	Subtelomeric/Variable
196	PfDd2_130078800	Dd2	PfDd2_13	2917204	2926999	erythrocyte membrane protein 1, PfEMP1	PfDd2_130078800	1	PfDd2_130078800	1	100.0	Subtelomeric/Variable
197	PfGA01_000006400	GA01	PfGA01_00_2	39848	40705	stevor	PfDd2_050038800	3	PfDd2_050038800, PfGA01_000006400, PfNF166_010005300:pseudogene	1	33.33333333333333	Subtelomeric/Variable
198	PfGA01_000006900	GA01	PfGA01_00_2	61757	70708	erythrocyte membrane protein 1, PfEMP1	PfGA01_000006900	1	PfGA01_000006900	1	100.0	Subtelomeric/Variable
199	PfGA01_000007100	GA01	PfGA01_00_2	74786	83761	erythrocyte membrane protein 1, PfEMP1	PfDd2_040018200	2	PfDd2_040018200, PfGA01_000007100	2	100.0	Subtelomeric/Variable
200	PfGA01_000007300	GA01	PfGA01_00_2	85248	86443	rifin	PfGA01_000007300	1	PfGA01_000007300	1	100.0	Subtelomeric/Variable
201	PfGA01_010019300	GA01	PfGA01_01	569281	570539	rifin	PfGA01_010019300	6	PfHB3_010019000, PfKH01_010020200, PfGA01_010019300, PfGN01_010019200, PfSN01_000014000, PfNF166_000019500	4	66.66666666666666	Subtelomeric/Variable
202	PfGA01_010019800	GA01	PfGA01_01	584614	585722	rifin	PfGA01_010019800	1	PfGA01_010019800	1	100.0	Subtelomeric/Variable
203	PfGA01_010020300	GA01	PfGA01_01	596095	604749	erythrocyte membrane protein 1, PfEMP1	Pf7G8-2_000049000	11	Pf7G8_020005600, PfHB3_030029400, PfIT_030005100, PfKE01_060038600, Pf7G8-2_000049000, PfGB4_010019400, PfGA01_010020300, PfGN01_070005300, PfCD01_050005600, PfSN01_140088600, PfNF166_120005000	1	9.090909090909092	Subtelomeric/Variable
204	PfGA01_030006400	GA01	PfGA01_03	65326	66409	rifin	PfGA01_030006400	1	PfGA01_030006400	1	100.0	Subtelomeric/Variable
205	PfGA01_030006800	GA01	PfGA01_03	76136	77394	rifin	PfGA01_030006800	1	PfGA01_030006800	1	100.0	Subtelomeric/Variable
206	PfGA01_030031600	GA01	PfGA01_03	1057382	1058734	rifin	PfGA01_030031600	1	PfGA01_030031600	1	100.0	Subtelomeric/Variable
207	PfGA01_030032000	GA01	PfGA01_03	1071417	1082328	erythrocyte membrane protein 1, PfEMP1	PfGA01_030032000	2	PfGA01_030032000, PfGN01_100005800	1	50.0	Subtelomeric/Variable
208	PfGA01_040005600	GA01	PfGA01_04	20824	30004	erythrocyte membrane protein 1 (PfEMP1), pseudogene	Pf7G8-2_000094000	10	Pf7G8_040005600, PfKE01_100005500, Pf7G8-2_000094000, PfGB4_000006900, PfKH01_000028900, PfGA01_040005600, PfGN01_080038400, PfCD01_000006600, PfSN01_000005600, PfNF166_040007200	4	40.0	Subtelomeric/Variable
209	PfGA01_040025200	GA01	PfGA01_04	869745	877798	erythrocyte membrane protein 1, PfEMP1	PfGA01_040025200	1	PfGA01_040025200	1	100.0	Core
210	PfGA01_040025600	GA01	PfGA01_04	891385	892505	rifin	PfDd2_040026100	3	PfDd2_040026100, PfHB3_080014400, PfGA01_040025600	2	66.66666666666666	Core
211	PfGA01_040025700	GA01	PfGA01_04	894414	895689	rifin	PfDd2_040026200	2	PfDd2_040026200, PfGA01_040025700	1	50.0	Core
212	PfGA01_040025800	GA01	PfGA01_04	898249	905945	erythrocyte membrane protein 1, PfEMP1	PfDd2_040026300	6	PfDd2_040026300, Pf7G8_030005800, PfHB3_080005000, PfKE01_040027900, Pf7G8-2_000069600:pseudogene, PfGA01_040025800	4	66.66666666666666	Core
213	PfGA01_040030000	GA01	PfGA01_04	1086166	1086667	hypothetical protein	Pf7G8_070006200	3	Pf7G8_070006200, PfIT_100043300, PfGA01_040030000	3	100.0	Subtelomeric/Variable
214	PfGA01_040030200	GA01	PfGA01_04	1091010	1091828	hypothetical protein	Pf7G8_100043800	4	Pf7G8_100043800, PfHB3_100043700, PfGA01_040030200, PfSN01_140006900	4	100.0	Subtelomeric/Variable
215	PfGA01_040030700	GA01	PfGA01_04	1104906	1105898	stevor	PfGA01_040030700	3	PfHB3_100044200, PfGA01_040030700, PfSN01_140006500	2	66.66666666666666	Subtelomeric/Variable
216	PfGA01_040030900	GA01	PfGA01_04	1111264	1118825	erythrocyte membrane protein 1, PfEMP1	PfGA01_040030900	1	PfGA01_040030900	1	100.0	Subtelomeric/Variable
217	PfGA01_050037600	GA01	PfGA01_05	1352937	1360575	erythrocyte membrane protein 1, PfEMP1	PfGA01_050037600	1	PfGA01_050037600	1	100.0	Subtelomeric/Variable
218	PfGA01_060005500	GA01	PfGA01_06	43872	44944	rifin	Pf7G8-2_000403200	4	Pf7G8_120059800, Pf7G8-2_000403200, PfGA01_060005500, PfCD01_110006100	2	50.0	Subtelomeric/Variable
219	PfGA01_060005600	GA01	PfGA01_06	46425	55798	erythrocyte membrane protein 1, PfEMP1	PfGA01_060005600	1	PfGA01_060005600	1	100.0	Subtelomeric/Variable
220	PfGA01_070015900	GA01	PfGA01_07	493648	502369	erythrocyte membrane protein 1, PfEMP1	PfGA01_070015900	4	PfKE01_070016000, PfKH01_080013500, PfGA01_070015900, PfSN01_070017500	2	50.0	Core
221	PfGA01_070034700	GA01	PfGA01_07	1292908	1294003	rifin	PfGA01_070034700	3	PfKH02_000008200, PfGA01_070034700, PfNF166_070035200	2	66.66666666666666	Subtelomeric/Variable
222	PfGA01_070036200	GA01	PfGA01_07	1340854	1342037	rifin	PfGA01_070036200	1	PfGA01_070036200	1	100.0	Subtelomeric/Variable
223	PfGA01_070036400	GA01	PfGA01_07	1347668	1359271	erythrocyte membrane protein 1, PfEMP1	PfGA01_070036400	1	PfGA01_070036400	1	100.0	Subtelomeric/Variable
224	PfGA01_080012800	GA01	PfGA01_08	359149	366630	erythrocyte membrane protein 1, PfEMP1	PfGA01_080012800	2	PfIT_080014100, PfGA01_080012800	2	100.0	Core
225	PfGA01_080036000	GA01	PfGA01_08	1308255	1315666	erythrocyte membrane protein 1, PfEMP1	PfCD01_080005400	4	PfGB4_000018400, PfGA01_080036000, PfGN01_000022600, PfCD01_080005400	4	100.0	Subtelomeric/Variable
226	PfGA01_080036300	GA01	PfGA01_08	1323750	1324865	rifin	PfGA01_080036300	1	PfGA01_080036300	1	100.0	Subtelomeric/Variable
227	PfGA01_100040400	GA01	PfGA01_10	1409042	1411354	S-antigen	PfGA01_100040400	1	PfGA01_100040400	1	100.0	Core
228	PfGA01_110005700	GA01	PfGA01_11	39849	41074	rifin	PfGA01_110005700	2	PfHB3_130078800, PfGA01_110005700	2	100.0	Subtelomeric/Variable
229	PfGA01_110054100	GA01	PfGA01_11	2006705	2007964	rifin	PfGA01_110054100	1	PfGA01_110054100	1	100.0	Subtelomeric/Variable
230	PfGA01_110054300	GA01	PfGA01_11	2019520	2020812	rifin	PfGA01_110054300	1	PfGA01_110054300	1	100.0	Subtelomeric/Variable
231	PfGA01_120005700	GA01	PfGA01_12	21847	31938	erythrocyte membrane protein 1, PfEMP1	PfGA01_120005700	1	PfGA01_120005700	1	100.0	Subtelomeric/Variable
232	PfGA01_120024100	GA01	PfGA01_12	742359	752271	erythrocyte membrane protein 1, PfEMP1	PfGA01_120024100	3	PfGB4_080013400, PfKH01_040026700, PfGA01_120024100	3	100.0	Core
233	PfGA01_120044800	GA01	PfGA01_12	1672109	1679811	erythrocyte membrane protein 1, PfEMP1	PfGA01_120044800	1	PfGA01_120044800	1	100.0	Core
234	PfGA01_120045000	GA01	PfGA01_12	1690648	1691864	rifin	PfGA01_120045000	2	PfGA01_120045000, PfSN01_120045900	1	50.0	Subtelomeric/Variable
235	PfGA01_120045100	GA01	PfGA01_12	1693377	1700202	erythrocyte membrane protein 1, PfEMP1	PfGA01_120045100	1	PfGA01_120045100	1	100.0	Subtelomeric/Variable
236	PfGA01_120045200	GA01	PfGA01_12	1701528	1702744	rifin	PfGA01_120045200	1	PfGA01_120045200	1	100.0	Subtelomeric/Variable
237	PfGA01_120045300	GA01	PfGA01_12	1704254	1711666	erythrocyte membrane protein 1 (PfEMP1), pseudogene	PfGA01_120045300	1	PfGA01_120045300	1	100.0	Subtelomeric/Variable
238	PfGA01_120045400	GA01	PfGA01_12	1712414	1713630	rifin	PfGA01_120045400	1	PfGA01_120045400	1	100.0	Subtelomeric/Variable
239	PfGA01_120045600	GA01	PfGA01_12	1723970	1724938	rifin	Pf7G8-2_000389900	3	Pf7G8_120045900, Pf7G8-2_000389900, PfGA01_120045600	1	33.33333333333333	Subtelomeric/Variable
240	PfGA01_120045700	GA01	PfGA01_12	1726859	1727975	rifin	Pf7G8-2_000390000	3	Pf7G8_120046000, Pf7G8-2_000390000, PfGA01_120045700	1	33.33333333333333	Subtelomeric/Variable
241	PfGA01_120058900	GA01	PfGA01_12	2200879	2201856	Plasmodium RESA N-terminal, putative	Pf7G8_120059150	10	Pf7G8_120059150, PfHB3_120058250, PfIT_120058800, PfKH02_120058150, PfKE01_120058900, PfGB4_120058800, PfKH01_120059550, PfGA01_120058900, PfGN01_120059700, PfSN01_120058900	9	90.0	Subtelomeric/Variable
242	PfGA01_120060300	GA01	PfGA01_12	2246538	2247766	rifin	PfGA01_120060300	1	PfGA01_120060300	1	100.0	Subtelomeric/Variable
243	PfGA01_120060600	GA01	PfGA01_12	2256364	2265505	erythrocyte membrane protein 1, PfEMP1	PfGA01_120060600	1	PfGA01_120060600	1	100.0	Subtelomeric/Variable
244	PfGA01_130005500	GA01	PfGA01_13	28483	34969	erythrocyte membrane protein 1, PfEMP1	PfGA01_130005500	1	PfGA01_130005500	1	100.0	Subtelomeric/Variable
245	PfGA01_130005700	GA01	PfGA01_13	40377	41975	rifin	PfGA01_130005700	1	PfGA01_130005700	1	100.0	Subtelomeric/Variable
246	PfGA01_130005900	GA01	PfGA01_13	47154	48253	rifin	PfGA01_130005900	1	PfGA01_130005900	1	100.0	Subtelomeric/Variable
247	PfGA01_130007400	GA01	PfGA01_13	113526	120318	surface-associated interspersed protein	PfGA01_130007400	7	PfHB3_130007700, PfIT_130006700, PfKH02_000009900, PfGA01_130007400, PfGN01_130008100, PfSN01_000019600, PfNF166_130007200	7	100.0	Core
248	PfGA01_130008000	GA01	PfGA01_13	136659	137693	hypothetical protein	PfDd2_130007800	11	PfDd2_130007800, Pf7G8_130006400, PfHB3_130008300, PfIT_130007200, PfKE01_130007600, PfGB4_130007900, PfKH01_130006200, PfGA01_130008000, PfGN01_130008700, PfCD01_130007500, PfSN01_130005000	11	100.0	Core
249	PfGA01_130070000	GA01	PfGA01_13	2586019	2586525	hypothetical protein	PfDd2_130069700	15	PfDd2_130069700, Pf7G8_130068400, PfHB3_130070300, PfIT_130069200, PfKH02_130066800, PfKE01_130069500, Pf7G8-2_000466300, PfGB4_130069800, PfKH01_130067900, PfGA01_130070000, PfGN01_130070600, PfCD01_130069500, PfSN01_130066900, PfNF166_130068800, PfNF54_130068500	15	100.0	Core
250	PfGB4_000008300	GB4	PfGB4_00_31	32023	33265	rifin	PfGB4_000008300	1	PfGB4_000008300	1	100.0	Subtelomeric/Variable
251	PfGB4_000010800	GB4	PfGB4_00_32	86219	87591	rifin	PfDd2_090042700	6	PfDd2_090042700, Pf7G8_090042500, Pf7G8-2_000285600, PfGB4_000010800, PfKH01_090041800, PfNF166_090041700	1	16.666666666666664	Subtelomeric/Variable
252	PfGB4_000010900	GB4	PfGB4_00_32	89985	91318	rifin	PfCD01_020006100	2	PfGB4_000010900, PfCD01_020006100	1	50.0	Subtelomeric/Variable
253	PfGB4_000013300	GB4	PfGB4_00_33	47947	49196	rifin	PfGB4_000013300	1	PfGB4_000013300	1	100.0	Subtelomeric/Variable
254	PfGB4_000013500	GB4	PfGB4_00_33	54292	55496	rifin	PfGB4_000013500	1	PfGB4_000013500	1	100.0	Subtelomeric/Variable
