Gene ID	source_id	Genomic Location (Gene)	Product Description	Selected Samples that match	Sum of Unique Peptides (Within Samples)	Unique Peptides (Across Samples)
PF3D7_0715900	PF3D7_0715900.1	Pf3D7_07_v3:697,965..701,574(+)	cation diffusion facilitator family protein, putative	16	37	12
PF3D7_0716000	PF3D7_0716000.1	Pf3D7_07_v3:702,601..706,721(+)	RNA-binding protein, putative	18	64	37
PF3D7_0716100	PF3D7_0716100.1	Pf3D7_07_v3:706,991..711,199(-)	protein SDA1, putative	3	5	5
PF3D7_0716200	PF3D7_0716200.1	Pf3D7_07_v3:711,820..715,046(+)	PDCD2 domain-containing protein, putative	2	2	2
PF3D7_0716300	PF3D7_0716300.1	Pf3D7_07_v3:716,275..719,340(+)	conserved protein, unknown function	14	35	20
PF3D7_0716400	PF3D7_0716400.1	Pf3D7_07_v3:719,353..721,623(+)	transcription initiation factor IIA subunit 1, putative	4	6	3
PF3D7_0716700	PF3D7_0716700.1	Pf3D7_07_v3:728,081..731,148(+)	conserved Plasmodium protein, unknown function	1	1	1
PF3D7_0716800	PF3D7_0716800.1	Pf3D7_07_v3:731,974..734,370(-)	eukaryotic translation initiation factor 3 subunit I, putative	30	284	39
PF3D7_0717100	PF3D7_0717100.1	Pf3D7_07_v3:741,609..744,981(+)	CRAL/TRIO domain-containing protein, putative	3	3	3
PF3D7_0717200	PF3D7_0717200.1	Pf3D7_07_v3:745,040..747,459(-)	conserved Plasmodium protein, unknown function	4	7	6
PF3D7_0717300	PF3D7_0717300.1	Pf3D7_07_v3:747,860..751,189(+)	transcription initiation factor IIE subunit alpha, putative	3	4	3
PF3D7_0717400	PF3D7_0717400.1	Pf3D7_07_v3:751,584..755,027(+)	queuine tRNA-ribosyltransferase, putative	5	16	12
PF3D7_0717500	PF3D7_0717500.1	Pf3D7_07_v3:755,098..758,456(+)	calcium-dependent protein kinase 4	17	200	50
PF3D7_0717600	PF3D7_0717600.1	Pf3D7_07_v3:758,490..763,360(-)	inner membrane complex protein, putative	7	14	11
PF3D7_0717700	PF3D7_0717700.1	Pf3D7_07_v3:764,201..766,451(-)	serine--tRNA ligase, putative	22	294	75
PF3D7_0717800	PF3D7_0717800.1	Pf3D7_07_v3:767,357..771,949(-)	conserved Plasmodium protein, unknown function	4	35	34
PF3D7_0717900	PF3D7_0717900.1	Pf3D7_07_v3:772,279..775,568(-)	thioredoxin-like protein	10	28	14
PF3D7_0718000	PF3D7_0718000.1	Pf3D7_07_v3:776,141..795,637(-)	dynein heavy chain, putative	9	205	136
PF3D7_0718100	PF3D7_0718100.1	Pf3D7_07_v3:795,957..805,184(-)	exported serine/threonine protein kinase	6	12	11
PF3D7_0718300	PF3D7_0718300.1	Pf3D7_07_v3:812,301..820,635(-)	cysteine repeat modular protein 2	3	66	66
PF3D7_0718500	PF3D7_0718500.1	Pf3D7_07_v3:824,069..826,448(+)	prefoldin subunit 3, putative	15	77	12
PF3D7_0718600	PF3D7_0718600.1	Pf3D7_07_v3:826,587..831,534(+)	conserved Plasmodium protein, unknown function	1	1	1
PF3D7_0719000	PF3D7_0719000.1	Pf3D7_07_v3:837,682..839,204(+)	translation machinery-associated protein, putative	7	35	11
PF3D7_0719200	PF3D7_0719200.1	Pf3D7_07_v3:840,693..843,025(+)	NIMA related kinase 4	5	55	17
PF3D7_0719300	PF3D7_0719300.1	Pf3D7_07_v3:843,566..848,302(+)	actin-related protein ARP6	6	17	17
PF3D7_0719400	PF3D7_0719400.1	Pf3D7_07_v3:848,223..853,891(-)	conserved Plasmodium protein, unknown function	8	13	7
PF3D7_0719500	PF3D7_0719500.1	Pf3D7_07_v3:854,313..857,078(-)	cell division control protein CDC50A	6	9	7
PF3D7_0719600	PF3D7_0719600.1	Pf3D7_07_v3:858,476..861,392(-)	60S ribosomal protein L11a, putative	28	114	22
PF3D7_0719700	PF3D7_0719700.1	Pf3D7_07_v3:859,916..863,337(+)	40S ribosomal protein S10, putative	31	152	31
PF3D7_0719900	PF3D7_0719900.1	Pf3D7_07_v3:865,738..876,273(+)	conserved Plasmodium membrane protein, unknown function	11	46	42
PF3D7_0720000	PF3D7_0720000.1	Pf3D7_07_v3:876,312..877,716(+)	exosome complex component CSL4, putative	6	19	7
PF3D7_0720100	PF3D7_0720100.1	Pf3D7_07_v3:877,733..879,225(-)	pre-rRNA-processing protein ESF2, putative	2	2	1
PF3D7_0720200	PF3D7_0720200.1	Pf3D7_07_v3:879,431..880,461(+)	conserved protein, unknown function	3	4	2
PF3D7_0720400	PF3D7_0720400.1	Pf3D7_07_v3:882,414..885,394(+)	apoptosis-inducing factor, putative	18	217	54
PF3D7_0720500	PF3D7_0720500.1	Pf3D7_07_v3:885,897..888,194(+)	conserved Plasmodium protein, unknown function	8	22	5
PF3D7_0720700	PF3D7_0720700.1	Pf3D7_07_v3:889,883..899,213(+)	phosphoinositide-binding protein PX1	16	115	61
PF3D7_0720800	PF3D7_0720800.1	Pf3D7_07_v3:899,525..901,353(+)	Ham1-like protein, putative	12	45	13
PF3D7_0720900	PF3D7_0720900.1	Pf3D7_07_v3:901,363..903,408(+)	tetratricopeptide repeat protein, putative	4	14	6
PF3D7_0721000	PF3D7_0721000.1	Pf3D7_07_v3:903,558..914,883(+)	conserved Plasmodium membrane protein, unknown function	4	6	5
PF3D7_0721100	PF3D7_0721100.1	Pf3D7_07_v3:915,483..917,854(+)	conserved protein, unknown function	24	142	27
PF3D7_0721200	PF3D7_0721200.1	Pf3D7_07_v3:917,535..921,058(-)	conserved Plasmodium protein, unknown function	3	4	4
PF3D7_0721400	PF3D7_0721400.1	Pf3D7_07_v3:925,872..928,510(+)	rhoptry protein, putative	14	91	19
PF3D7_0721600	PF3D7_0721600.1	Pf3D7_07_v3:930,961..933,016(-)	40S ribosomal protein S5, putative	33	171	31
PF3D7_0721700	PF3D7_0721700.1	Pf3D7_07_v3:935,116..937,312(+)	secreted ookinete protein, putative	12	205	48
PF3D7_0721800	PF3D7_0721800.1	Pf3D7_07_v3:937,845..939,457(+)	conserved Plasmodium protein, unknown function	1	1	1
PF3D7_0722000	PF3D7_0722000.1	Pf3D7_07_v3:941,358..943,425(+)	conserved Plasmodium protein, unknown function	2	6	5
PF3D7_0722100	PF3D7_0722100.1	Pf3D7_07_v3:943,456..945,979(+)	protein pelota homolog, putative	8	16	7
PF3D7_0722200	PF3D7_0722200.1	Pf3D7_07_v3:946,077..949,317(+)	rhoptry-associated leucine zipper-like protein 1	19	191	63
PF3D7_0722300	PF3D7_0722300.1	Pf3D7_07_v3:948,774..953,832(-)	ubiquitin carboxyl-terminal hydrolase, putative	1	1	1
PF3D7_0722400	PF3D7_0722400.1	Pf3D7_07_v3:954,400..956,685(+)	Obg-like ATPase 1, putative	26	301	54
PF3D7_0722500	PF3D7_0722500.1	Pf3D7_07_v3:956,747..958,325(-)	pre-mRNA-splicing factor CWC15, putative	4	8	8
PF3D7_0722600	PF3D7_0722600.1	Pf3D7_07_v3:958,352..961,340(-)	U3 small nucleolar RNA-associated protein 7, putative	7	10	10
PF3D7_0722700	PF3D7_0722700.1	Pf3D7_07_v3:961,629..963,030(+)	respiratory chain complex 3 associated protein 1	6	8	2
PF3D7_0722900	PF3D7_0722900.1	Pf3D7_07_v3:965,664..968,075(-)	conserved protein, unknown function	3	16	12
PF3D7_0723000	PF3D7_0723000.1	Pf3D7_07_v3:968,088..970,023(-)	tRNAHis guanylyltransferase, putative	8	28	11
PF3D7_0723200	PF3D7_0723200.1	Pf3D7_07_v3:972,658..974,272(+)	conserved Plasmodium protein, unknown function	3	16	13
PF3D7_0723300	PF3D7_0723300.1	Pf3D7_07_v3:975,585..978,720(+)	conserved protein, unknown function	20	120	42
PF3D7_0723400	PF3D7_0723400.1	Pf3D7_07_v3:978,565..984,099(-)	conserved Plasmodium protein, unknown function	13	55	44
PF3D7_0723500	PF3D7_0723500.1	Pf3D7_07_v3:984,384..985,928(-)	dynactin subunit 5, putative	3	4	2
PF3D7_0723600	PF3D7_0723600.1	Pf3D7_07_v3:986,292..987,765(+)	proteasome assembly chaperone 4, putative	5	7	2
PF3D7_0723700	PF3D7_0723700.1	Pf3D7_07_v3:987,805..991,350(+)	metallo-hydrolase/oxidoreductase, putative	1	2	2
PF3D7_0723800	PF3D7_0723800.1	Pf3D7_07_v3:991,989..1,000,332(+)	apicomplexan kinetochore protein 1, putative	18	201	122
PF3D7_0723900	PF3D7_0723900.1	Pf3D7_07_v3:1,000,342..1,005,611(-)	RNA-binding protein, putative	15	41	25
PF3D7_0724000	PF3D7_0724000.1	Pf3D7_07_v3:1,006,222..1,012,279(+)	Rab GTPase activator and protein kinase, putative	5	7	6
PF3D7_0724100	PF3D7_0724100.1	Pf3D7_07_v3:1,011,770..1,017,083(-)	conserved Plasmodium protein, unknown function	17	73	52
PF3D7_0724200	PF3D7_0724200.1	Pf3D7_07_v3:1,019,248..1,020,817(-)	type 2A phosphatase-associated protein 42, putative	3	8	5
PF3D7_0724500	PF3D7_0724500.1	Pf3D7_07_v3:1,024,663..1,026,167(+)	conserved Plasmodium protein, unknown function	4	37	16
PF3D7_0724600	PF3D7_0724600.1	Pf3D7_07_v3:1,026,103..1,033,815(-)	protein kinase, putative	6	22	19
PF3D7_0724700	PF3D7_0724700.1	Pf3D7_07_v3:1,034,245..1,046,354(-)	bromodomain protein 6, putative	10	35	33
PF3D7_0724800	PF3D7_0724800.1	Pf3D7_07_v3:1,046,357..1,049,418(-)	kelch domain-containing protein, putative	1	1	1
PF3D7_0724900	PF3D7_0724900.1	Pf3D7_07_v3:1,052,392..1,058,413(+)	kinesin-20, putative	2	2	2
PF3D7_0725000	PF3D7_0725000.1	Pf3D7_07_v3:1,058,649..1,063,957(-)	exonuclease I, putative	6	13	11
PF3D7_0725100	PF3D7_0725100.1	Pf3D7_07_v3:1,064,276..1,070,581(+)	conserved Plasmodium membrane protein, unknown function	3	4	4
PF3D7_0725200	PF3D7_0725200.1	Pf3D7_07_v3:1,070,594..1,072,029(+)	mago nashi protein homologue, putative	8	29	9
PF3D7_0725300	PF3D7_0725300.1	Pf3D7_07_v3:1,071,985..1,075,144(-)	WD repeat-containing protein, putative	11	13	9
PF3D7_0725400	PF3D7_0725400.1	Pf3D7_07_v3:1,078,691..1,080,123(+)	conserved Plasmodium protein, unknown function	5	12	5
PF3D7_0726100	PF3D7_0726100.1	Pf3D7_07_v3:1,093,546..1,097,313(-)	Plasmodium exported protein, unknown function	2	3	3
PF3D7_0726200	PF3D7_0726200.1	Pf3D7_07_v3:1,099,013..1,103,615(+)	serine/threonine protein kinase, FIKK family	1	1	1
PF3D7_0726300	PF3D7_0726300.1	Pf3D7_07_v3:1,103,794..1,109,232(+)	DNA mismatch repair protein PMS1, putative	6	22	13
PF3D7_0726400	PF3D7_0726400.1	Pf3D7_07_v3:1,108,583..1,125,415(-)	conserved Plasmodium membrane protein, unknown function	14	72	47
PF3D7_0726500	PF3D7_0726500.1	Pf3D7_07_v3:1,125,789..1,138,474(-)	ubiquitin carboxyl-terminal hydrolase, putative	23	315	137
PF3D7_0726600	PF3D7_0726600.1	Pf3D7_07_v3:1,139,818..1,143,059(+)	conserved Plasmodium protein, unknown function	1	1	1
PF3D7_0726900	PF3D7_0726900.1	Pf3D7_07_v3:1,144,814..1,147,488(+)	mitochondrial import inner membrane translocase subunit TIM50, putative	8	36	13
PF3D7_0727000	PF3D7_0727000.1	Pf3D7_07_v3:1,147,264..1,151,617(-)	vacuolar protein sorting-associated protein 53, putative	4	5	4
PF3D7_0727200	PF3D7_0727200.1	Pf3D7_07_v3:1,156,175..1,158,838(-)	cysteine desulfurase IscS	11	51	19
PF3D7_0727300	PF3D7_0727300.1	Pf3D7_07_v3:1,159,604..1,162,222(-)	DNA (cytosine-5)-methyltransferase	1	2	2
PF3D7_0727400	PF3D7_0727400.1	Pf3D7_07_v3:1,162,392..1,164,096(+)	proteasome subunit alpha type-5, putative	28	232	36
PF3D7_0727700	PF3D7_0727700.1	Pf3D7_07_v3:1,171,212..1,174,450(-)	conserved Plasmodium protein, unknown function	1	2	2
PF3D7_0727800	PF3D7_0727800.1	Pf3D7_07_v3:1,175,363..1,181,839(+)	cation transporting ATPase, putative	13	102	43
PF3D7_0727900	PF3D7_0727900.1	Pf3D7_07_v3:1,183,630..1,190,173(+)	conserved Plasmodium protein, unknown function	8	15	15
PF3D7_0728000	PF3D7_0728000.1	Pf3D7_07_v3:1,190,698..1,192,848(-)	eukaryotic translation initiation factor 2 subunit alpha	20	153	26
PF3D7_0728100	PF3D7_0728100.1	Pf3D7_07_v3:1,193,347..1,210,448(-)	anaphase-promoting complex subunit 1, putative	6	11	11
PF3D7_0728200	PF3D7_0728200.1	Pf3D7_07_v3:1,211,209..1,213,613(+)	actin-like protein, putative	5	15	8
PF3D7_0728500	PF3D7_0728500.1	Pf3D7_07_v3:1,216,088..1,217,201(-)	EF hand domain-containing protein, putative	2	4	3
PF3D7_0728600	PF3D7_0728600.1	Pf3D7_07_v3:1,217,404..1,225,908(+)	RING zinc finger protein, putative	10	28	16
PF3D7_0728700	PF3D7_0728700.1	Pf3D7_07_v3:1,225,499..1,229,857(-)	alpha/beta hydrolase, putative	3	13	13
PF3D7_0728800	PF3D7_0728800.1	Pf3D7_07_v3:1,230,145..1,232,666(+)	conserved Plasmodium protein, unknown function	4	6	5
PF3D7_0728900	PF3D7_0728900.1	Pf3D7_07_v3:1,232,210..1,235,443(-)	RNA-binding protein, putative	5	5	4
PF3D7_0729000	PF3D7_0729000.1	Pf3D7_07_v3:1,235,416..1,236,794(+)	signal recognition particle subunit SRP9	7	12	4
PF3D7_0729100	PF3D7_0729100.1	Pf3D7_07_v3:1,237,998..1,246,671(+)	apicomplexan kinetochore protein 8, putative	18	136	94
PF3D7_0729200	PF3D7_0729200.1	Pf3D7_07_v3:1,246,810..1,248,317(+)	1-cys peroxiredoxin	11	30	10
PF3D7_0729300	PF3D7_0729300.1	Pf3D7_07_v3:1,248,478..1,251,901(-)	60S ribosomal export protein NMD3, putative	6	12	12
PF3D7_0729400	PF3D7_0729400.1	Pf3D7_07_v3:1,252,237..1,254,478(+)	ribosome biogenesis protein BRX1, putative	3	5	4
PF3D7_0729500	PF3D7_0729500.1	Pf3D7_07_v3:1,254,778..1,258,355(+)	N6-adenosine-methyltransferase MT-A70	5	21	19
PF3D7_0729600	PF3D7_0729600.1	Pf3D7_07_v3:1,258,496..1,260,113(+)	COX assembly mitochondrial protein, putative	1	1	1
PF3D7_0729700	PF3D7_0729700.1	Pf3D7_07_v3:1,259,830..1,262,801(-)	zinc finger protein, putative	1	1	1
PF3D7_0729800	PF3D7_0729800.1	Pf3D7_07_v3:1,263,193..1,264,952(+)	dynein light chain, putative	1	4	4
PF3D7_0729900	PF3D7_0729900.1	Pf3D7_07_v3:1,265,910..1,281,347(+)	dynein heavy chain, putative	12	965	328
PF3D7_0730100	PF3D7_0730100.1	Pf3D7_07_v3:1,282,562..1,285,940(+)	tRNA pseudouridine synthase D, putative	1	2	2
PF3D7_0730200	PF3D7_0730200.1	Pf3D7_07_v3:1,286,026..1,290,117(-)	AP-4 complex subunit beta, putative	12	38	18
PF3D7_0730300	PF3D7_0730300.1	Pf3D7_07_v3:1,297,144..1,302,090(+)	AP2 domain transcription factor AP2-L, putative	8	11	9
PF3D7_0730400	PF3D7_0730400.1	Pf3D7_07_v3:1,304,347..1,305,096(+)	IMP1-like protein, putative	17	74	19
PF3D7_0730500	PF3D7_0730500.1	Pf3D7_07_v3:1,305,154..1,315,639(-)	conserved Plasmodium protein, unknown function	10	76	59
PF3D7_0730800	PF3D7_0730800.1	Pf3D7_07_v3:1,320,155..1,323,192(+)	Plasmodium exported protein, unknown function	9	26	15
PF3D7_0730900	PF3D7_0730900.1	Pf3D7_07_v3:1,324,452..1,333,940(+)	EMP1-trafficking protein	27	158	71
PF3D7_0731100	PF3D7_0731100.1	Pf3D7_07_v3:1,336,751..1,342,768(+)	EMP1-trafficking protein	9	62	26
PF3D7_0731300	PF3D7_0731300.1	Pf3D7_07_v3:1,348,427..1,351,829(+)	Plasmodium exported protein (PHISTb), unknown function	15	49	23
PF3D7_0731500	PF3D7_0731500.1	Pf3D7_07_v3:1,357,251..1,363,653(+)	erythrocyte binding antigen-175	11	90	67
PF3D7_0731600	PF3D7_0731600.1	Pf3D7_07_v3:1,366,407..1,370,816(+)	acyl-CoA synthetase	20	158	57
PF3D7_0731800	PF3D7_0731800.1	Pf3D7_07_v3:1,376,748..1,380,999(+)	alpha/beta hydrolase, putative	6	28	11
PF3D7_0733000	PF3D7_0733000.1	Pf3D7_07_v3:1,417,588..1,426,234(-)	erythrocyte membrane protein 1, PfEMP1	3	6	6
PF3D7_0800200	PF3D7_0800200.1	Pf3D7_08_v3:29,147..39,682(-)	erythrocyte membrane protein 1, PfEMP1	5	9	9
PF3D7_0800300	PF3D7_0800300.1	Pf3D7_08_v3:40,302..51,425(+)	erythrocyte membrane protein 1, PfEMP1	2	5	5
PF3D7_0800600	PF3D7_0800600.1	Pf3D7_08_v3:61,138..62,135(-)	Plasmodium exported protein (PHISTa), unknown function	3	27	25
PF3D7_0800700	PF3D7_0800700.1	Pf3D7_08_v3:65,153..74,000(-)	surface-associated interspersed protein 8.3 (SURFIN 8.3)	1	2	2
PF3D7_0801000	PF3D7_0801000.1	Pf3D7_08_v3:83,838..89,909(-)	Plasmodium exported protein (PHISTc)	18	118	55
PF3D7_0801400	PF3D7_0801400.1	Pf3D7_08_v3:104,442..105,517(-)	conserved Plasmodium protein, unknown function	2	3	2
PF3D7_0801500	PF3D7_0801500.1	Pf3D7_08_v3:106,068..108,513(-)	nucleolar protein 10, putative	3	5	4
PF3D7_0801600	PF3D7_0801600.1	Pf3D7_08_v3:108,965..109,811(-)	conserved protein, unknown function	8	27	6
PF3D7_0801700	PF3D7_0801700.1	Pf3D7_08_v3:111,319..118,441(+)	sentrin-specific protease 2, putative	10	27	22
PF3D7_0801800	PF3D7_0801800.1	Pf3D7_08_v3:117,932..122,572(-)	mannose-6-phosphate isomerase, putative	25	175	73
PF3D7_0801900	PF3D7_0801900.1	Pf3D7_08_v3:126,226..143,894(+)	lysine-specific histone demethylase, putative	6	71	61
PF3D7_0802000	PF3D7_0802000.1	Pf3D7_08_v3:145,632..151,659(+)	glutamate dehydrogenase, putative	24	222	68
PF3D7_0802100	PF3D7_0802100.1	Pf3D7_08_v3:151,702..161,318(-)	AP2 domain transcription factor AP2-LT	7	16	16
PF3D7_0802200	PF3D7_0802200.1	Pf3D7_08_v3:164,729..166,701(+)	1-cys peroxiredoxin	20	153	32
PF3D7_0802300	PF3D7_0802300.1	Pf3D7_08_v3:166,711..170,995(-)	periodic tryptophan protein 2, putative	2	4	3
PF3D7_0802400	PF3D7_0802400.1	Pf3D7_08_v3:171,844..174,406(+)	cyclin-like protein, putative	3	5	5
PF3D7_0802500	PF3D7_0802500.1	Pf3D7_08_v3:174,618..180,248(-)	inositol 5-phosphatase, putative	1	2	2
PF3D7_0802600	PF3D7_0802600.1	Pf3D7_08_v3:180,040..188,229(+)	adenylyl cyclase beta	8	45	42
PF3D7_0802700	PF3D7_0802700.1	Pf3D7_08_v3:188,566..190,316(+)	conserved Plasmodium protein, unknown function	5	8	5
PF3D7_0802800	PF3D7_0802800.1	Pf3D7_08_v3:191,422..194,498(+)	serine/threonine protein phosphatase 2B catalytic subunit A	15	118	36
PF3D7_0802900	PF3D7_0802900.1	Pf3D7_08_v3:194,562..196,059(-)	conserved Plasmodium protein, unknown function	8	45	10
PF3D7_0803000	PF3D7_0803000.1	Pf3D7_08_v3:196,270..198,711(+)	peptidyl-prolyl cis-trans isomerase	3	4	2
PF3D7_0803100	PF3D7_0803100.1	Pf3D7_08_v3:198,725..203,315(-)	U3 small nucleolar RNA-associated protein 14, putative	7	12	11
PF3D7_0803200	PF3D7_0803200.1	Pf3D7_08_v3:203,741..207,068(-)	filament assembling protein, putative	16	67	31
PF3D7_0803300	PF3D7_0803300.1	Pf3D7_08_v3:208,184..210,463(+)	mitogen-activated protein kinase organizer 1, putative	2	3	2
PF3D7_0803400	PF3D7_0803400.1	Pf3D7_08_v3:211,217..217,167(+)	DNA repair and recombination protein RAD54, putative	4	4	4
PF3D7_0803500	PF3D7_0803500.1	Pf3D7_08_v3:217,476..222,589(+)	AAA family ATPase, putative	2	2	2
PF3D7_0803600	PF3D7_0803600.1	Pf3D7_08_v3:222,976..230,577(+)	GRAM domain-containing protein, putative	5	7	6
PF3D7_0803700	PF3D7_0803700.1	Pf3D7_08_v3:230,967..233,374(+)	tubulin gamma chain	14	110	29
PF3D7_0803800	PF3D7_0803800.1	Pf3D7_08_v3:232,904..234,916(-)	proteasome subunit beta type-4	23	179	32
PF3D7_0804000	PF3D7_0804000.1	Pf3D7_08_v3:236,954..241,286(+)	cactin homolog, putative	3	7	5
PF3D7_0804300	PF3D7_0804300.1	Pf3D7_08_v3:241,609..244,804(+)	zinc finger protein, putative	2	3	3
PF3D7_0804400	PF3D7_0804400.1	Pf3D7_08_v3:245,027..248,440(+)	methionine aminopeptidase 1c, putative	1	1	1
PF3D7_0804500	PF3D7_0804500.1	Pf3D7_08_v3:248,516..268,538(+)	conserved Plasmodium membrane protein, unknown function	17	196	110
PF3D7_0804600	PF3D7_0804600.1	Pf3D7_08_v3:268,603..271,146(-)	tRNA pseudouridine synthase, putative	1	5	5
PF3D7_0804700	PF3D7_0804700.1	Pf3D7_08_v3:271,417..277,413(-)	conserved Plasmodium protein, unknown function	2	3	3
PF3D7_0804800	PF3D7_0804800.1	Pf3D7_08_v3:278,082..279,206(+)	peptidyl-prolyl cis-trans isomerase	11	30	7
PF3D7_0804900	PF3D7_0804900.1	Pf3D7_08_v3:279,251..282,015(-)	GTPase-activating protein, putative	23	73	29
PF3D7_0805000	PF3D7_0805000.1	Pf3D7_08_v3:282,505..285,200(-)	alpha/beta hydrolase, putative	5	32	10
PF3D7_0805100	PF3D7_0805100.1	Pf3D7_08_v3:286,432..289,198(+)	conserved protein, unknown function	2	4	4
PF3D7_0805200	PF3D7_0805200.1	Pf3D7_08_v3:290,626..291,907(+)	gamete release protein, putative	4	4	1
PF3D7_0805300	PF3D7_0805300.1	Pf3D7_08_v3:293,097..297,324(-)	zinc finger protein, putative	1	3	3
PF3D7_0805600	PF3D7_0805600.1	Pf3D7_08_v3:310,797..313,261(+)	phosphatidic acid phosphatase 2	1	1	1
PF3D7_0805700	PF3D7_0805700.1	Pf3D7_08_v3:313,371..319,794(-)	serine/threonine protein kinase, FIKK family	8	69	56
PF3D7_0806000	PF3D7_0806000.1	Pf3D7_08_v3:325,872..330,187(-)	AAA family ATPase, putative	1	1	1
PF3D7_0806100	PF3D7_0806100.1	Pf3D7_08_v3:330,475..333,020(+)	conserved Plasmodium protein, unknown function	2	6	6
PF3D7_0806200	PF3D7_0806200.1	Pf3D7_08_v3:333,168..337,845(+)	Dpy-19-like C-mannosyltransferase	7	70	29
PF3D7_0806300	PF3D7_0806300.1	Pf3D7_08_v3:337,844..343,424(-)	ferlin-like protein, putative	9	17	10
PF3D7_0806400	PF3D7_0806400.1	Pf3D7_08_v3:344,038..345,365(+)	UDP-N-acetylglucosamine transferase subunit ALG13, putative	3	5	3
PF3D7_0806500	PF3D7_0806500.1	Pf3D7_08_v3:344,952..348,269(-)	DnaJ protein, putative	16	55	27
PF3D7_0806600	PF3D7_0806600.1	Pf3D7_08_v3:349,042..353,536(-)	kinesin-like protein, putative	2	4	4
PF3D7_0806700	PF3D7_0806700.1	Pf3D7_08_v3:353,841..362,906(+)	conserved Plasmodium membrane protein, unknown function	2	2	2
PF3D7_0806800	PF3D7_0806800.1	Pf3D7_08_v3:362,926..367,241(-)	V-type proton ATPase subunit a, putative	35	308	73
PF3D7_0806900	PF3D7_0806900.1	Pf3D7_08_v3:368,475..370,478(-)	conserved protein, unknown function	1	1	1
PF3D7_0807000	PF3D7_0807000.1	Pf3D7_08_v3:367,780..372,978(+)	YEATS domain-containing protein, putative	10	19	8
PF3D7_0807100	PF3D7_0807100.1	Pf3D7_08_v3:372,356..376,952(-)	DNA helicase PSH3	2	2	2
PF3D7_0807200	PF3D7_0807200.1	Pf3D7_08_v3:377,439..379,755(+)	conserved Plasmodium membrane protein, unknown function	11	28	11
PF3D7_0807300	PF3D7_0807300.1	Pf3D7_08_v3:380,766..383,025(+)	ras-related protein Rab-18	26	97	18
PF3D7_0807500	PF3D7_0807500.1	Pf3D7_08_v3:386,301..388,944(+)	proteasome subunit alpha type-6, putative	21	226	39
PF3D7_0807600	PF3D7_0807600.1	Pf3D7_08_v3:388,027..395,335(-)	conserved Plasmodium protein, unknown function	27	129	59
PF3D7_0807700	PF3D7_0807700.1	Pf3D7_08_v3:395,356..399,048(-)	serine protease DegP	3	59	39
PF3D7_0807800	PF3D7_0807800.1	Pf3D7_08_v3:399,105..401,398(-)	26S proteasome regulatory subunit RPN10, putative	23	192	38
PF3D7_0807900	PF3D7_0807900.1	Pf3D7_08_v3:401,761..404,190(+)	tyrosine--tRNA ligase	28	197	42
PF3D7_0808100	PF3D7_0808100.1	Pf3D7_08_v3:409,306..415,756(+)	AP-3 complex subunit delta, putative	6	12	9
PF3D7_0808200	PF3D7_0808200.1	Pf3D7_08_v3:415,549..419,066(-)	plasmepsin X	10	80	31
PF3D7_0808300	PF3D7_0808300.1	Pf3D7_08_v3:419,883..422,701(+)	ubiquitin regulatory protein, putative	17	72	25
PF3D7_0808400	PF3D7_0808400.1	Pf3D7_08_v3:422,708..424,763(+)	coatomer subunit epsilon, putative	13	93	18
PF3D7_0808600	PF3D7_0808600.1	Pf3D7_08_v3:430,405..439,297(+)	erythrocyte membrane protein 1, PfEMP1	1	2	2
PF3D7_0808700	PF3D7_0808700.1	Pf3D7_08_v3:440,408..448,062(+)	erythrocyte membrane protein 1, PfEMP1	1	1	1
PF3D7_0809100	PF3D7_0809100.1	Pf3D7_08_v3:459,071..467,014(+)	erythrocyte membrane protein 1, PfEMP1	2	2	2
PF3D7_0809200	PF3D7_0809200.1	Pf3D7_08_v3:467,507..472,481(-)	asparagine-rich antigen Pfa55-14	3	6	6
PF3D7_0809400	PF3D7_0809400.1	Pf3D7_08_v3:475,439..478,480(+)	conserved protein, unknown function	1	1	1
PF3D7_0809600	PF3D7_0809600.1	Pf3D7_08_v3:479,438..497,431(-)	peptidase family C50, putative	10	23	22
PF3D7_0809700	PF3D7_0809700.1	Pf3D7_08_v3:499,463..501,569(-)	RuvB-like helicase 1	7	86	30
PF3D7_0809800	PF3D7_0809800.1	Pf3D7_08_v3:502,338..506,698(-)	conserved Plasmodium protein, unknown function	1	2	2
PF3D7_0809900	PF3D7_0809900.1	Pf3D7_08_v3:507,486..512,862(-)	JmjC domain-containing protein 1, putative	5	8	8
PF3D7_0810000	PF3D7_0810000.1	Pf3D7_08_v3:517,385..518,627(-)	acyl-CoA binding protein, putative	11	29	8
PF3D7_0810200	PF3D7_0810200.1	Pf3D7_08_v3:521,170..524,750(+)	ABC1 family, putative	7	52	19
PF3D7_0810300	PF3D7_0810300.1	Pf3D7_08_v3:524,487..530,847(-)	protein phosphatase PPM5, putative	18	92	32
PF3D7_0810500	PF3D7_0810500.1	Pf3D7_08_v3:533,991..536,642(-)	protein phosphatase PPM7, putative	13	57	16
PF3D7_0810600	PF3D7_0810600.1	Pf3D7_08_v3:538,956..545,974(+)	ATP-dependent RNA helicase DBP1, putative	37	415	81
PF3D7_0810700	PF3D7_0810700.1	Pf3D7_08_v3:545,282..547,450(-)	conserved Plasmodium protein, unknown function	2	3	3
PF3D7_0810800	PF3D7_0810800.1	Pf3D7_08_v3:547,896..551,057(+)	hydroxymethyldihydropterin pyrophosphokinase-dihydropteroate synthase	21	104	34
